fact_unit,2009-12-10,2010-03-10,2010-06-10,2010-09-29,2010-12-09,2011-03-09,2011-06-09,2011-09-28,2011-12-07,2012-03-07,2012-06-06,2012-09-27,2012-12-05,2013-03-07,2013-06-05,2013-09-26,2013-12-05,2014-03-06,2014-06-04,2014-09-24,2014-12-11,2015-03-11,2015-06-11,2015-09-29,2015-12-10,2016-03-10,2016-06-07,2016-09-22,2016-12-07,2017-03-09,2017-06-08,2017-09-27,2017-12-08,2018-03-05,2018-06-05,2018-09-27,2018-12-06,2019-03-06,2019-06-05,2019-09-26,2019-12-04,2020-03-04,2020-06-03,2020-09-24,2020-12-09,2021-03-10,2021-06-09,2021-09-23,2021-12-08,2022-03-09,2022-06-08,2022-09-22,2022-12-07,2023-03-08,2023-06-07,2023-09-21,2023-12-06,2024-03-06,2024-06-05,2024-09-19,2024-12-04,2025-03-05,2025-06-02,2025-09-18
AccountsPayableCurrent / USD,569000000.0,569000000.0,569000000.0,569000000.0,545000000.0,545000000.0,545000000.0,545000000.0,585000000.0,585000000.0,585000000.0,585000000.0,571000000.0,571000000.0,571000000.0,571000000.0,523000000.0,523000000.0,523000000.0,523000000.0,527000000.0,527000000.0,527000000.0,527000000.0,527000000.0,544000000.0,544000000.0,544000000.0,610000000.0,610000000.0,610000000.0,610000000.0,666000000.0,666000000.0,666000000.0,666000000.0,893000000.0,893000000.0,814000000.0,705000000.0,814000000.0,814000000.0,814000000.0,814000000.0,1049000000.0,1049000000.0,1049000000.0,1049000000.0,1070000000.0,1070000000.0,1070000000.0,1070000000.0,1334000000.0,1334000000.0,1334000000.0,1334000000.0,1306000000.0,1306000000.0,1306000000.0,1306000000.0,1311000000.0,1311000000.0,1311000000.0,1311000000.0
AccountsReceivableGrossCurrent / USD,,,,,,,,483000000.0,,,,530000000.0,,,,523000000.0,,,,587000000.0,,,,597000000.0,597000000.0,,,570000000.0,,,,566000000.0,,,,561000000.0,,,,528000000.0,,,,538000000.0,,,,544000000.0,,,,556000000.0,,,,502000000.0,,,,513000000.0,,,,602000000.0
AccountsReceivableNetCurrent / USD,,,,,,,,466000000.0,,560000000.0,560000000.0,519000000.0,,,,513000000.0,,,,576000000.0,,,,585000000.0,585000000.0,,,557000000.0,,,,554000000.0,,,,550000000.0,,,,510000000.0,,,,525000000.0,,,,530000000.0,,,,544000000.0,,,,490000000.0,,,,494000000.0,,,,587000000.0
AccruedIncomeTaxesCurrent / USD,14000000.0,14000000.0,14000000.0,14000000.0,30000000.0,30000000.0,30000000.0,30000000.0,33000000.0,33000000.0,33000000.0,33000000.0,22000000.0,22000000.0,22000000.0,22000000.0,19000000.0,19000000.0,19000000.0,19000000.0,37000000.0,37000000.0,37000000.0,37000000.0,37000000.0,29000000.0,29000000.0,29000000.0,22000000.0,22000000.0,22000000.0,22000000.0,20000000.0,20000000.0,20000000.0,20000000.0,22000000.0,22000000.0,22000000.0,10000000.0,15000000.0,15000000.0,15000000.0,15000000.0,24000000.0,24000000.0,24000000.0,24000000.0,5000000.0,5000000.0,5000000.0,5000000.0,3000000.0,3000000.0,3000000.0,3000000.0,20000000.0,20000000.0,20000000.0,20000000.0,7000000.0,7000000.0,7000000.0,7000000.0
AccruedLiabilitiesCurrent / USD,579000000.0,579000000.0,579000000.0,579000000.0,560000000.0,560000000.0,560000000.0,560000000.0,619000000.0,619000000.0,619000000.0,619000000.0,598000000.0,598000000.0,598000000.0,598000000.0,617000000.0,617000000.0,617000000.0,617000000.0,553000000.0,553000000.0,553000000.0,553000000.0,553000000.0,589000000.0,589000000.0,589000000.0,604000000.0,604000000.0,604000000.0,604000000.0,561000000.0,561000000.0,561000000.0,561000000.0,676000000.0,676000000.0,637000000.0,516000000.0,609000000.0,609000000.0,609000000.0,609000000.0,693000000.0,693000000.0,693000000.0,693000000.0,576000000.0,576000000.0,576000000.0,576000000.0,621000000.0,621000000.0,621000000.0,621000000.0,592000000.0,592000000.0,592000000.0,592000000.0,720000000.0,720000000.0,720000000.0,720000000.0
AccruedMarketingCostsCurrent / USD,,,,,,,,129000000.0,,,,132000000.0,,,,140000000.0,,,,137000000.0,,,,122000000.0,122000000.0,,,125000000.0,,,,130000000.0,,,,131000000.0,,,,130000000.0,,,,,,,,,,,,121000000.0,,,,141000000.0,,,,156000000.0,,,,186000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,,2992000000.0,,,,3260000000.0,,,,3356000000.0,,,,3395000000.0,,,,3201000000.0,3201000000.0,,,3166000000.0,,,,3357000000.0,,,,3589000000.0,,,,2773000000.0,,,,2760000000.0,,,,2917000000.0,,,,3119000000.0,,,,3335000000.0,,,,3518000000.0,,,,3720000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-718000000.0,-718000000.0,-718000000.0,-718000000.0,-736000000.0,-736000000.0,-736000000.0,-736000000.0,-427000000.0,-427000000.0,-427000000.0,-427000000.0,-776000000.0,-776000000.0,-776000000.0,-776000000.0,-565000000.0,-565000000.0,-565000000.0,-565000000.0,-569000000.0,-569000000.0,-569000000.0,-569000000.0,145000000.0,-168000000.0,-168000000.0,-168000000.0,-104000000.0,-104000000.0,-104000000.0,-104000000.0,-53000000.0,-53000000.0,-53000000.0,-53000000.0,-118000000.0,-118000000.0,-118000000.0,-118000000.0,-198000000.0,-198000000.0,-198000000.0,-198000000.0,-10000000.0,-10000000.0,-10000000.0,-10000000.0,5000000.0,5000000.0,5000000.0,5000000.0,2000000.0,2000000.0,2000000.0,2000000.0,-3000000.0,-3000000.0,-3000000.0,-3000000.0,-17000000.0,-17000000.0,-17000000.0,-17000000.0
AdditionalPaidInCapitalCommonStock / USD,332000000.0,332000000.0,332000000.0,332000000.0,341000000.0,341000000.0,341000000.0,341000000.0,331000000.0,331000000.0,331000000.0,331000000.0,329000000.0,329000000.0,329000000.0,329000000.0,362000000.0,362000000.0,362000000.0,362000000.0,330000000.0,330000000.0,330000000.0,330000000.0,330000000.0,339000000.0,339000000.0,339000000.0,354000000.0,354000000.0,354000000.0,354000000.0,359000000.0,359000000.0,359000000.0,359000000.0,349000000.0,349000000.0,349000000.0,349000000.0,372000000.0,372000000.0,372000000.0,372000000.0,394000000.0,394000000.0,394000000.0,394000000.0,414000000.0,414000000.0,414000000.0,414000000.0,415000000.0,415000000.0,415000000.0,415000000.0,420000000.0,420000000.0,420000000.0,420000000.0,437000000.0,437000000.0,437000000.0,437000000.0
AdvertisingExpense / USD,,,,,,,,,,,,515000000.0,,,,449000000.0,,,,476000000.0,,,,419000000.0,419000000.0,,,411000000.0,,,,385000000.0,,,,397000000.0,,,,327000000.0,,,,327000000.0,,,,347000000.0,,,,463000000.0,,,,399000000.0,,,,314000000.0,,,,365000000.0
