fact_unit,2019-11-13,2020-02-25,2020-05-12,2020-08-07,2020-11-12,2021-03-01,2021-05-07,2021-08-06,2021-11-05,2022-02-25,2022-05-06,2022-08-08,2022-11-04,2023-02-24,2023-05-05,2023-08-09,2023-11-07,2024-02-23,2024-05-08,2024-08-09,2024-11-08,2025-02-20,2025-05-07,2025-08-08,2025-11-07
IncomeTaxesPaid / USD,4000.0,40000.0,3000.0,52000.0,97000.0,36000.0,34000.0,142000.0,186000.0,143000.0,327000.0,543000.0,939000.0,410000.0,339000.0,386000.0,1082000.0,1486000.0,3022000.0,10677000.0,14163000.0,1595000.0,4647000.0,14822000.0,15811000.0
IncreaseDecreaseInAccountsPayable / USD,4814000.0,4647000.0,14524000.0,7473000.0,4213000.0,7241000.0,-1391000.0,2692000.0,6406000.0,2484000.0,-9226000.0,7372000.0,12432000.0,6539000.0,-7624000.0,23179000.0,2483000.0,3078000.0,18545000.0,24897000.0,57268000.0,-1286000.0,-17122000.0,31570000.0,8576000.0
IncreaseDecreaseInAccountsReceivable / USD,8577000.0,19274000.0,7585000.0,12179000.0,32224000.0,25322000.0,7116000.0,23684000.0,21253000.0,47510000.0,-9223000.0,24908000.0,61880000.0,64248000.0,7319000.0,38100000.0,83738000.0,107112000.0,-28773000.0,-60139000.0,10194000.0,135701000.0,-55490000.0,30586000.0,-11842000.0
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities / USD,6320000.0,2860000.0,1408000.0,-8601000.0,-1990000.0,10857000.0,2025000.0,1648000.0,6884000.0,6376000.0,9682000.0,7308000.0,19226000.0,3970000.0,-2911000.0,-4310000.0,27350000.0,37270000.0,-28080000.0,-44089000.0,-68242000.0,37578000.0,-7433000.0,-15856000.0,-5709000.0
IncreaseDecreaseInContractWithCustomerLiability / USD,19352000.0,29825000.0,18884000.0,34542000.0,51096000.0,31599000.0,6884000.0,26787000.0,27964000.0,67790000.0,21000000.0,56578000.0,94865000.0,69788000.0,81735000.0,72050000.0,101398000.0,176281000.0,28966000.0,39039000.0,98037000.0,168644000.0,6720000.0,28666000.0,27284000.0
IncreaseDecreaseInDeferredCharges / USD,6045000.0,3352000.0,3390000.0,6112000.0,10894000.0,8925000.0,4619000.0,11237000.0,15804000.0,20146000.0,6711000.0,16701000.0,27610000.0,25080000.0,8166000.0,21469000.0,34671000.0,42775000.0,11750000.0,27618000.0,42612000.0,51098000.0,12636000.0,32170000.0,51323000.0
IncreaseDecreaseInOtherOperatingAssets / USD,4939000.0,1482000.0,8219000.0,4029000.0,8480000.0,6955000.0,-919000.0,915000.0,605000.0,8486000.0,-572000.0,932000.0,1844000.0,-968000.0,805000.0,1752000.0,1920000.0,2627000.0,-164000.0,-2241000.0,-1243000.0,5179000.0,-2614000.0,-2171000.0,-3636000.0
IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets / USD,746000.0,4250000.0,8492000.0,12206000.0,9476000.0,1331000.0,1404000.0,6481000.0,6821000.0,10046000.0,5998000.0,2537000.0,941000.0,4403000.0,8391000.0,12629000.0,11280000.0,737000.0,15810000.0,16823000.0,10314000.0,6565000.0,14075000.0,8443000.0,10073000.0
InterestExpenseDebt / USD,,,,,,,,,,,,,,,,,,,,,,,1084000.0,2227000.0,3373000.0
InterestExpenseDebtExcludingAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,234000.0,467000.0,701000.0
InterestExpenseNonoperating / USD,,,,,,,,,,,,,,,,,,,,3707000.0,5010000.0,16535000.0,1374000.0,2851000.0,4425000.0
InterestIncomeExpenseNonoperatingNet / USD,,,,529000.0,1036000.0,913000.0,3778000.0,7002000.0,,4110000.0,5898000.0,11140000.0,15970000.0,21234000.0,5496000.0,12251000.0,21338000.0,21412000.0,18520000.0,41875000.0,64174000.0,20625000.0,34189000.0,69364000.0,105222000.0
InterestReceivableCurrent / USD,,,,,,,,,,,,,,,,,,8100000.0,,,,15100000.0,,,
