fact_unit,2019-11-13,2020-02-25,2020-05-12,2020-08-07,2020-11-12,2021-03-01,2021-05-07,2021-08-06,2021-11-05,2022-02-25,2022-05-06,2022-08-08,2022-11-04,2023-02-24,2023-05-05,2023-08-09,2023-11-07,2024-02-23,2024-05-08,2024-08-09,2024-11-08,2025-02-20,2025-05-07,2025-08-08,2025-11-07
CommonStockCapitalSharesReservedForFutureIssuance / shares,,218749194.0,,,,75486098.0,,,,84255358.0,,,,95722963.0,,,,109028144.0,,,,116411855.0,,,
ComprehensiveIncomeNetOfTax / USD,-4143000.0,-2618000.0,-9541000.0,-13480000.0,-17686000.0,-10684000.0,5284000.0,8695000.0,-5875000.0,-16608000.0,-14603000.0,-23885000.0,-30389000.0,-22393000.0,1013000.0,-9820000.0,-42620000.0,-26862000.0,-17437000.0,-27951000.0,-6892000.0,-58752000.0,37149000.0,78957000.0,152973000.0
ContractWithCustomerLiabilityCurrent / USD,,,,134148000.0,134148000.0,134148000.0,204825000.0,204825000.0,204825000.0,204825000.0,371985000.0,371985000.0,371985000.0,371985000.0,543024000.0,543024000.0,543024000.0,543024000.0,765735000.0,765735000.0,765735000.0,765735000.0,961853000.0,961853000.0,961853000.0
ContractWithCustomerLiabilityNoncurrent / USD,,,,4340000.0,4340000.0,4340000.0,3450000.0,3450000.0,3450000.0,3450000.0,13896000.0,13896000.0,13896000.0,13896000.0,12944000.0,12944000.0,12944000.0,12944000.0,21210000.0,21210000.0,21210000.0,21210000.0,22693000.0,22693000.0,22693000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,29800000.0,9200000.0,31300000.0,51700000.0,62900000.0,37100000.0,68100000.0,100800000.0,121000000.0,71000000.0,96400000.0,158800000.0,192400000.0,126800000.0,165400000.0,279900000.0,344400000.0,206600000.0,245300000.0,391700000.0,486500000.0,374600000.0,346800000.0,570000000.0,701400000.0
ContractualObligation / USD,,,,,,,,,,97000000.0,,,,326600000.0,,,,347100000.0,,,,365600000.0,,,
ConvertibleLongTermNotesPayable / USD,,,,559621000.0,567683000.0,575864000.0,575864000.0,575864000.0,575864000.0,575864000.0,735482000.0,735482000.0,735482000.0,735482000.0,738847000.0,738847000.0,738847000.0,738847000.0,742235000.0,742235000.0,742235000.0,742235000.0,979282000.0,979282000.0,979282000.0
ConvertibleNotesPayableCurrent / USD,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,634023000.0,634023000.0,634023000.0
CostOfGoodsAndServicesSold / USD,30690000.0,23414000.0,18950000.0,39928000.0,63225000.0,46529000.0,26479000.0,55357000.0,89340000.0,88949000.0,46666000.0,103764000.0,167096000.0,130197000.0,74462000.0,156387000.0,249986000.0,234245000.0,99914000.0,201760000.0,305079000.0,346743000.0,110098000.0,233597000.0,371353000.0
CurrentFederalTaxExpenseBenefit / USD,-5000000.0,41000.0,,-5600000.0,-5600000.0,,,,,0.0,,,,0.0,,,,232000.0,,,,3122000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,477000.0,,,,559000.0,,,,967000.0,,,,2239000.0,,,,2091000.0,,,,9179000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,578000.0,,,,432000.0,,,,1093000.0,,,,2363000.0,,,,2367000.0,,,,12484000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,60000.0,,,,-127000.0,,,,126000.0,,,,124000.0,,,,44000.0,,,,183000.0,,,
DeferredCosts / USD,7292000.0,7292000.0,17409000.0,17409000.0,17409000.0,17409000.0,26750000.0,26750000.0,26750000.0,26750000.0,42062000.0,42062000.0,42062000.0,42062000.0,55338000.0,55338000.0,55338000.0,55338000.0,73728000.0,73728000.0,73728000.0,73728000.0,86573000.0,86573000.0,86573000.0
DeferredCostsCurrent / USD,3717000.0,3717000.0,8346000.0,8346000.0,8346000.0,8346000.0,13638000.0,13638000.0,13638000.0,13638000.0,23235000.0,23235000.0,23235000.0,23235000.0,33054000.0,33054000.0,33054000.0,33054000.0,44938000.0,44938000.0,44938000.0,44938000.0,56095000.0,56095000.0,56095000.0
DeferredCostsCurrentAndNoncurrent / USD,11000000.0,,25800000.0,25800000.0,25800000.0,25800000.0,40400000.0,40400000.0,40400000.0,40400000.0,65300000.0,65300000.0,65300000.0,65300000.0,88400000.0,88400000.0,88400000.0,88400000.0,118700000.0,118700000.0,118700000.0,118700000.0,142700000.0,142700000.0,142700000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,-121000.0,,,,90000.0,,,,-359000.0,,,,-38000.0,,,,-44000.0,,,,-394000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,,-121000.0,,,,90000.0,,,,-359000.0,,,,-38000.0,,,,-44000.0,,,,-394000.0,,,
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,0.0,,,
DeferredTaxAssetsGross / USD,,13482000.0,,,,31014000.0,,,,96804000.0,,,,178135000.0,,,,228599000.0,,,,373722000.0,,,
DeferredTaxAssetsLiabilitiesNet / USD,,,,,,38000.0,,,,38000.0,,,,82000.0,,,,449000.0,,,,1356000.0,,,
DeferredTaxAssetsNet / USD,,3752000.0,,,,15809000.0,,,,62957000.0,,,,29487000.0,,,,39782000.0,,,,52110000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,7448000.0,,,,14631000.0,,,,66801000.0,,,,128263000.0,,,,54974000.0,,,,49057000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsDomestic / USD,,28000000.0,,,,56600000.0,,,,263200000.0,,,,505400000.0,,,,243400000.0,,,,148900000.0,,,
DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal / USD,,24200000.0,,,,42000000.0,,,,177500000.0,,,,342100000.0,,,,92000000.0,,,,206400000.0,,,
DeferredTaxAssetsOther / USD,,2091000.0,,,,1297000.0,,,,1114000.0,,,,11829000.0,,,,15494000.0,,,,21649000.0,,,
DeferredTaxAssetsTaxCreditCarryforwardsResearch / USD,,,,,,,,,,,,,,,,,,13841000.0,,,,46639000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,1668000.0,,,,2085000.0,,,,11820000.0,,,,23669000.0,,,,48872000.0,,,,47652000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,9730000.0,,15100000.0,,15205000.0,,,,33847000.0,,,,148648000.0,,,,188817000.0,,,,321612000.0,,,
DeferredTaxLiabilities / USD,,3752000.0,,11200000.0,,15809000.0,,,,62919000.0,,,,29405000.0,,,,39333000.0,,,,50754000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,9210000.0,,,,11394000.0,,,,12815000.0,,,,17151000.0,,,,20916000.0,,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,,,,,,,,,,,,,,,,,,,56000.0,,,
DefinedContributionPlanEmployerDiscretionaryContributionAmount / USD,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0,2700000.0,4300000.0,0.0,1400000.0,3100000.0,4700000.0,5700000.0,1800000.0,3800000.0,6400000.0
DepreciationAndAmortization / USD,4239000.0,2704000.0,2111000.0,4769000.0,8776000.0,6026000.0,3688000.0,7395000.0,11367000.0,12370000.0,4402000.0,9865000.0,16062000.0,15450000.0,7394000.0,15512000.0,24825000.0,22938000.0,10275000.0,20825000.0,32434000.0,34629000.0,12895000.0,25335000.0,39227000.0
DepreciationDepletionAndAmortization / USD,3900000.0,2200000.0,1900000.0,4400000.0,8300000.0,5500000.0,3500000.0,7000000.0,10700000.0,11600000.0,4000000.0,8400000.0,13100000.0,14500000.0,5800000.0,12200000.0,19400000.0,18500000.0,8100000.0,16400000.0,25800000.0,27000000.0,10700000.0,21600000.0,34000000.0
EarningsPerShareBasic / USD/shares,-0.06,-0.04,-0.12,-0.17,,-0.15,0.02,0.02,-0.03,-0.12,-0.04,-0.07,-0.09,-0.08,0.03,0.02,-0.07,-0.07,-0.08,-0.09,-0.02,-0.16,0.13,0.26,0.41
EarningsPerShareDiluted / USD/shares,-0.06,-0.04,-0.12,-0.17,,-0.15,0.02,0.02,-0.03,-0.12,-0.04,-0.07,-0.09,-0.08,0.03,0.01,-0.07,-0.07,-0.08,-0.09,-0.02,-0.16,0.12,0.24,0.39
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,13000.0,-54000.0,-87000.0,-23000.0,49000.0,47000.0,-141000.0,-113000.0,393000.0,-21000.0,-782000.0,-662000.0,-1420000.0,779000.0,-629000.0,-2871000.0,-6866000.0,-1993000.0,623000.0,836000.0,-769000.0,-1935000.0,-1374000.0,-1577000.0,1521000.0
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,0.34,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,,0.21,,,
EmployeeServiceShareBasedCompensationAllocationOfRecognizedPeriodCostsCapitalizedAmount / USD,136000.0,248000.0,52000.0,123000.0,137000.0,167000.0,103000.0,301000.0,1521000.0,201000.0,2153000.0,4212000.0,6762000.0,3404000.0,3506000.0,6840000.0,10760000.0,9660000.0,4227000.0,8237000.0,11308000.0,14853000.0,2646000.0,6906000.0,11281000.0
EntityPublicFloat / USD,,2400000000.0,,,,26280000000.0,,,,24470000000.0,,,,25900000000.0,,,,29300000000.0,,,,39200000000.0,,,
