fact_unit,2010-08-10,2010-11-09,2011-03-01,2011-05-10,2011-08-09,2011-11-08,2012-02-28,2012-05-08,2012-08-07,2012-11-07,2013-02-25,2013-05-02,2013-08-05,2013-11-05,2014-02-25,2014-05-12,2014-08-08,2014-11-07,2015-02-25,2015-05-12,2015-08-12,2015-11-10,2016-02-24,2016-05-10,2016-08-10,2016-11-07,2017-02-24,2017-05-08,2017-08-08,2017-11-07,2018-02-27,2018-05-09,2018-08-03,2018-11-05,2019-02-22,2019-05-07,2019-08-02,2019-11-04,2020-02-28,2020-05-08,2020-05-22,2020-08-07,2020-11-06,2021-02-26,2021-05-07,2021-08-09,2021-11-04,2022-02-23,2022-05-05,2022-08-05,2022-11-02,2023-02-17,2023-05-03,2023-08-04,2023-11-03,2024-02-26,2025-01-16,2025-04-25,2025-05-12,2025-08-06,2025-11-05
AccountsPayableCurrent / USD,53775000.0,53775000.0,53775000.0,72349000.0,72349000.0,72349000.0,72349000.0,97956000.0,97956000.0,97956000.0,97956000.0,124532000.0,124532000.0,124532000.0,124532000.0,112522000.0,112522000.0,112522000.0,112522000.0,103800000.0,103800000.0,103800000.0,103800000.0,99800000.0,99800000.0,99800000.0,99800000.0,109800000.0,109800000.0,109800000.0,109800000.0,146000000.0,146000000.0,146000000.0,146000000.0,147600000.0,147600000.0,147600000.0,147600000.0,159300000.0,,159300000.0,159300000.0,159300000.0,143200000.0,143200000.0,143200000.0,143200000.0,207300000.0,207300000.0,207300000.0,207300000.0,175500000.0,175500000.0,175500000.0,175500000.0,175500000.0,165300000.0,161600000.0,161600000.0,161600000.0
AccountsReceivableNetCurrent / USD,202293000.0,202293000.0,202293000.0,222820000.0,222820000.0,222820000.0,202293000.0,275201000.0,275201000.0,275201000.0,222820000.0,323477000.0,323477000.0,323477000.0,275201000.0,337932000.0,337932000.0,337932000.0,323477000.0,362000000.0,362000000.0,362000000.0,337900000.0,361900000.0,361900000.0,361900000.0,362000000.0,354800000.0,354800000.0,354800000.0,354800000.0,427700000.0,427700000.0,427700000.0,366200000.0,512600000.0,512600000.0,512600000.0,427700000.0,608200000.0,,608200000.0,608200000.0,512600000.0,620500000.0,620500000.0,620500000.0,608200000.0,624800000.0,624800000.0,624800000.0,620500000.0,643300000.0,643300000.0,643300000.0,624800000.0,624800000.0,706600000.0,725800000.0,725800000.0,725800000.0
AccruedIncomeTaxesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47100000.0,,,,,,23700000.0,23700000.0,23700000.0,39700000.0,325000000.0,325000000.0,325000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,107412000.0,,,,118635000.0,,,,142655000.0,,,,164135000.0,,,,176800000.0,,,,195700000.0,,,,213900000.0,,,,250700000.0,,,,262100000.0,,,,,316200000.0,,,,346300000.0,,,,363000000.0,,,,359500000.0,359500000.0,350500000.0,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,,,,,,,,,,,1616000.0,,,,2130000.0,,,,1768000.0,,,,3500000.0,,,,3400000.0,,,,3100000.0,,,,3400000.0,,,,2700000.0,,,,,3700000.0,,,,2500000.0,,,,1700000.0,,,,-1300000.0,-1300000.0,-1200000.0,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,,,,,49084000.0,,,,6756000.0,,,,24741000.0,,,,34962000.0,,,,-73200000.0,,,,-163400000.0,,,,-216800000.0,,,,-127800000.0,,,,-183400000.0,,,,,-173100000.0,,,,-96000000.0,,,,-160000000.0,,,,-241600000.0,-241600000.0,-158000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,48297000.0,48297000.0,48297000.0,48027000.0,48027000.0,48027000.0,48027000.0,5140000.0,5140000.0,5140000.0,5140000.0,22611000.0,22611000.0,22611000.0,22611000.0,33194000.0,33194000.0,33194000.0,33194000.0,-61300000.0,-61300000.0,-76700000.0,-76700000.0,-166800000.0,-166800000.0,-166800000.0,-166800000.0,-219900000.0,-219900000.0,-219900000.0,-219900000.0,-131400000.0,-131400000.0,-131400000.0,-131400000.0,-186100000.0,-186100000.0,-186100000.0,-186100000.0,-176800000.0,,-176800000.0,-176800000.0,-176800000.0,-98500000.0,-98500000.0,-98500000.0,-98500000.0,-161700000.0,-161700000.0,-161700000.0,-161700000.0,-234900000.0,-234900000.0,-234900000.0,-234900000.0,-234900000.0,-152100000.0,-381900000.0,-381900000.0,-381900000.0
AdditionalPaidInCapitalCommonStock / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,1238000000.0,1348300000.0,1348300000.0,1348300000.0,1348300000.0,1461100000.0,1461100000.0,1461100000.0,1461100000.0,1591900000.0,1591900000.0,1591900000.0,1591900000.0,1692800000.0,,1692800000.0,1692800000.0,1692800000.0,1801700000.0,1801700000.0,1801700000.0,1801700000.0,1935600000.0,1935600000.0,1935600000.0,1935600000.0,2054900000.0,2054900000.0,2054900000.0,2054900000.0,2054900000.0,2214600000.0,2369400000.0,2369400000.0,2369400000.0
AdjustmentForAmortization / USD,25348000.0,38968000.0,45066000.0,13817000.0,27733000.0,42165000.0,52672000.0,16065000.0,32641000.0,56747000.0,57639000.0,28797000.0,57875000.0,89315000.0,,39332000.0,79095000.0,120713000.0,,40600000.0,78400000.0,117800000.0,162800000.0,40700000.0,81500000.0,122200000.0,158500000.0,40300000.0,79900000.0,117200000.0,162400000.0,33300000.0,69100000.0,109100000.0,150800000.0,40500000.0,83100000.0,132900000.0,148800000.0,44300000.0,,87800000.0,128600000.0,179600000.0,40400000.0,80200000.0,120200000.0,167800000.0,35800000.0,70800000.0,105100000.0,157800000.0,34600000.0,66900000.0,97900000.0,138600000.0,34700000.0,131600000.0,54500000.0,109000000.0,154400000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,,,,,,,,,,,,,32808000.0,,,,36600000.0,,,,44100000.0,,,,50900000.0,,,,53200000.0,17600000.0,17600000.0,17600000.0,65000000.0,16600000.0,,16600000.0,16600000.0,78000000.0,11800000.0,11800000.0,11800000.0,72500000.0,25100000.0,25100000.0,25100000.0,81300000.0,,,,112800000.0,35700000.0,,36800000.0,76000000.0,114000000.0
AdvertisingExpense / USD,,,,,,,20400000.0,,,,21300000.0,,,,33800000.0,,,,32900000.0,,,,33800000.0,,,,39000000.0,,,,32300000.0,,,,37200000.0,,,,37200000.0,,,,,42700000.0,,,,42700000.0,,,,,,,,,,50900000.0,,,
AmortizationOfIntangibleAssets / USD,14499000.0,22411000.0,22376000.0,8046000.0,16172000.0,24250000.0,30335000.0,9177000.0,19044000.0,32830000.0,32739000.0,15676000.0,31458000.0,47170000.0,85902000.0,39332000.0,79095000.0,120713000.0,125707000.0,40600000.0,37500000.0,56800000.0,81700000.0,18200000.0,36000000.0,53400000.0,75600000.0,16200000.0,31800000.0,47300000.0,69800000.0,14300000.0,29600000.0,46600000.0,62200000.0,17400000.0,36100000.0,57700000.0,63000000.0,20100000.0,,39800000.0,57300000.0,76400000.0,16900000.0,33500000.0,50200000.0,73700000.0,13700000.0,26700000.0,39000000.0,65500000.0,12100000.0,23400000.0,34500000.0,50900000.0,11700000.0,46600000.0,26700000.0,53200000.0,79700000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,2800000.0,2200000.0,5000000.0,900000.0,1200000.0,1600000.0,1800000.0,3800000.0,4200000.0,4600000.0,3800000.0,2500000.0,2800000.0,3000000.0,4800000.0,100000.0,200000.0,,3100000.0,,,,1400000.0,,,,6100000.0,,,,4300000.0,,,,,,,300000.0,300000.0,700000.0,500000.0,1800000.0,1100000.0,,,200000.0,0.0,500000.0,700000.0,1500000.0,1500000.0,100000.0,100000.0,1300000.0,800000.0,1500000.0,1800000.0
AociLossCashFlowHedgeCumulativeGainLossAfterTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,5400000.0,5400000.0,4700000.0,,,
