fact_unit,2018-06-07,2018-09-13,2018-12-06,2019-03-06,2019-06-05,2019-09-18,2019-12-06,2020-03-04,2020-06-03,2020-09-17,2020-12-08,2021-03-04,2021-06-03,2021-09-16,2021-12-08,2022-03-09,2022-06-09,2022-09-15,2022-12-07,2023-03-08,2023-06-07,2023-09-14,2023-12-06,2024-03-06,2024-06-07,2024-09-12,2024-12-05,2025-03-10,2025-05-29,2025-09-11,2025-11-25
AccountsPayableCurrent / USD,3763000.0,3763000.0,4895000.0,4895000.0,4895000.0,4895000.0,6208000.0,6208000.0,6208000.0,6208000.0,5233000.0,5233000.0,5233000.0,5233000.0,12547000.0,12547000.0,12547000.0,12547000.0,26154000.0,26154000.0,26154000.0,26154000.0,18481000.0,18481000.0,18481000.0,18481000.0,23309000.0,23309000.0,23309000.0,23309000.0,46906000.0
AccountsReceivableNetCurrent / USD,39052000.0,39052000.0,61611000.0,61611000.0,61611000.0,61611000.0,93341000.0,93341000.0,93341000.0,93341000.0,147584000.0,147584000.0,147584000.0,147584000.0,257109000.0,257109000.0,257109000.0,257109000.0,399745000.0,399745000.0,399745000.0,399745000.0,582636000.0,582636000.0,582636000.0,582636000.0,736529000.0,736529000.0,736529000.0,736529000.0,992181000.0
AccretionAmortizationOfDiscountsAndPremiumsInvestments / USD,,,,,,,,,,0.0,300000.0,442000.0,463000.0,2181000.0,-2605000.0,-5446000.0,-8600000.0,-50000.0,-2671000.0,-4662000.0,-5942000.0,-11715000.0,165000.0,1433000.0,3389000.0,-6580000.0,3199000.0,9582000.0,14584000.0,6582000.0,5003000.0
AccruedBonusesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,37417000.0,53452000.0,53452000.0,53452000.0,53452000.0,51598000.0
AccruedEmployeeBenefitsCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,7362000.0,8803000.0,8803000.0,8803000.0,8803000.0,9410000.0
AccruedSalariesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,44024000.0,47184000.0,47184000.0,47184000.0,47184000.0,61370000.0
AccruedSalesCommissionCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,47997000.0,51371000.0,51371000.0,51371000.0,51371000.0,59429000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,17304000.0,17304000.0,24401000.0,24401000.0,24401000.0,24401000.0,33737000.0,33737000.0,33737000.0,33737000.0,50628000.0,50628000.0,50628000.0,50628000.0,77217000.0,77217000.0,77217000.0,77217000.0,119117000.0,119117000.0,119117000.0,119117000.0,176424000.0,176424000.0,176424000.0,176424000.0,250311000.0,250311000.0,250311000.0,250311000.0,371776000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,0.0,-124000.0,-124000.0,-124000.0,-124000.0,268000.0,268000.0,268000.0,268000.0,463000.0,463000.0,463000.0,463000.0,-650000.0,-650000.0,-650000.0,-650000.0,-25850000.0,-25850000.0,-25850000.0,-25850000.0,-1576000.0,-1576000.0,-1576000.0,-1576000.0,-4789000.0,-4789000.0,-4789000.0,-4789000.0,8081000.0
AdditionalPaidInCapital / USD,18734000.0,18734000.0,438392000.0,438392000.0,438392000.0,438392000.0,532618000.0,532618000.0,532618000.0,532618000.0,823804000.0,823804000.0,823804000.0,823804000.0,1131006000.0,1131006000.0,1131006000.0,1131006000.0,1590885000.0,1590885000.0,1590885000.0,1590885000.0,1816915000.0,1816915000.0,1816915000.0,1816915000.0,2426819000.0,2426819000.0,2426819000.0,2426819000.0,2980591000.0
