fact_unit,2017-11-06,2018-02-15,2018-05-04,2018-08-03,2018-11-02,2019-02-11,2019-05-03,2019-08-06,2019-10-31,2020-02-14,2020-05-05,2020-07-31,2020-10-30,2021-02-12,2021-05-04,2021-06-03,2021-08-04,2021-11-03,2022-02-11,2022-05-06,2022-08-04,2022-11-08,2023-02-15,2023-05-03,2023-08-03,2023-11-02,2024-02-15,2024-05-01,2024-07-31,2024-11-05,2025-02-14,2025-05-02,2025-08-05,2025-11-06
AssetsNoncurrentOtherThanNoncurrentInvestmentsAndPropertyPlantAndEquipment / USD,24942000000.0,24942000000.0,97444000000.0,97444000000.0,97444000000.0,97444000000.0,94197000000.0,49463000000.0,49463000000.0,49463000000.0,47994000000.0,47994000000.0,47947000000.0,49207000000.0,35029000000.0,52250000000.0,35029000000.0,35029000000.0,35029000000.0,25651000000.0,25651000000.0,25651000000.0,25651000000.0,24354000000.0,24354000000.0,24354000000.0,24354000000.0,25154000000.0,25154000000.0,25154000000.0,25154000000.0,25154000000.0,24504000000.0,22869000000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperation / USD,,,,,,,,,,,,,0.0,110275000000.0,,132901000000.0,,,21278000000.0,,,,28220000000.0,,,,7664000000.0,,,,1291000000.0,1291000000.0,,
BusinessCombinationAcquisitionRelatedCosts / USD,,,,,,,,,,,,,,,,,,,22000000.0,2000000.0,4000000.0,5000000.0,22000000.0,2000000.0,4000000.0,5000000.0,22000000.0,,,,6000000.0,6000000.0,,
CashAndCashEquivalentsAtCarryingValue / USD,8577000000.0,5654000000.0,5848000000.0,6218000000.0,13148000000.0,6607000000.0,10281000000.0,8548000000.0,8548000000.0,8548000000.0,1540000000.0,1540000000.0,1540000000.0,1540000000.0,2544000000.0,1540000000.0,2544000000.0,2544000000.0,2544000000.0,1972000000.0,1972000000.0,1972000000.0,1972000000.0,3662000000.0,3662000000.0,3662000000.0,3662000000.0,2392000000.0,2392000000.0,2392000000.0,2392000000.0,2392000000.0,1850000000.0,1843000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,6624000000.0,6624000000.0,6624000000.0,8580000000.0,14015000000.0,14015000000.0,14015000000.0,6624000000.0,14022000000.0,14022000000.0,14022000000.0,14015000000.0,1569000000.0,14015000000.0,1569000000.0,1569000000.0,8583000000.0,8733000000.0,8733000000.0,8733000000.0,1522000000.0,2037000000.0,2037000000.0,2037000000.0,8733000000.0,3772000000.0,3772000000.0,3772000000.0,2037000000.0,2037000000.0,2803000000.0,2796000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsDisposalGroupIncludingDiscontinuedOperations / USD,,,,,,,,,,,,,,,8000000.0,,8000000.0,8000000.0,5439000000.0,42000000.0,42000000.0,42000000.0,55000000.0,39000000.0,39000000.0,39000000.0,42000000.0,0.0,0.0,0.0,39000000.0,39000000.0,0.0,7000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,,,,,,,,,,1577000000.0,,1577000000.0,1577000000.0,14022000000.0,8775000000.0,8775000000.0,8775000000.0,1577000000.0,2076000000.0,2076000000.0,2076000000.0,8775000000.0,3772000000.0,3772000000.0,3772000000.0,2076000000.0,2076000000.0,2803000000.0,2803000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,-630000000.0,-391000000.0,6539000000.0,-1956000000.0,-3182000000.0,,,,,,,,205000000.0,,2192000000.0,8663000000.0,-12445000000.0,-4377000000.0,-4795000000.0,-7037000000.0,7198000000.0,-303000000.0,-547000000.0,-142000000.0,-6699000000.0,-136000000.0,1224000000.0,-2025000000.0,1696000000.0,1696000000.0,-1294000000.0,-1117000000.0
CashEquivalentsAtCarryingValue / USD,,,6927000000.0,6927000000.0,6927000000.0,6927000000.0,9951000000.0,8226000000.0,8226000000.0,8226000000.0,417000000.0,417000000.0,417000000.0,417000000.0,,417000000.0,,,,,,841000000.0,841000000.0,2198000000.0,2198000000.0,2198000000.0,2198000000.0,408000000.0,408000000.0,408000000.0,408000000.0,408000000.0,314000000.0,314000000.0
CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,-16000000.0,-19000000.0,1082000000.0,,,,-21000000.0,-21000000.0,,-6000000.0
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,-39000000.0,-56000000.0,-103000000.0,-9000000.0,-19000000.0,-60000000.0,-81000000.0,-81000000.0,,-42000000.0
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,-191000000.0,-350000000.0,435000000.0,-62000000.0,-107000000.0,-176000000.0,-661000000.0,-661000000.0,-439000000.0,-229000000.0
CommonStockDividendsPerShareDeclared / USD/shares,1.38,1.72,0.46,0.92,1.38,1.84,0.38,2.27,3.42,5.28,1.56,1.86,1.86,4.56,0.3,4.56,0.9,0.9,2.16,0.3,0.9,0.9,1.2,0.33,0.99,0.99,1.2,0.36,1.08,1.08,1.32,1.32,1.14,1.14
CommonStockParOrStatedValuePerShare / USD/shares,2.5,2.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,1500000000.0,1500000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,5000000000.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0,1666666667.0
CommonStockSharesIssued / shares,1242794836.0,1242794836.0,2341455518.0,2341455518.0,2341455518.0,2341455518.0,2352430301.0,784143433.0,784143433.0,784143433.0,738564728.0,738564728.0,738564728.0,738564728.0,734204054.0,738564728.0,734204054.0,734204054.0,734204054.0,511792785.0,511792785.0,511792785.0,511792785.0,458124262.0,458124262.0,458124262.0,458124262.0,430110140.0,430110140.0,430110140.0,430110140.0,430110140.0,417994343.0,417994343.0
