fact_unit,2017-11-06,2018-02-15,2018-05-04,2018-08-03,2018-11-02,2019-02-11,2019-05-03,2019-08-06,2019-10-31,2020-02-14,2020-05-05,2020-07-31,2020-10-30,2021-02-12,2021-05-04,2021-06-03,2021-08-04,2021-11-03,2022-02-11,2022-05-06,2022-08-04,2022-11-08,2023-02-15,2023-05-03,2023-08-03,2023-11-02,2024-02-15,2024-05-01,2024-07-31,2024-11-05,2025-02-14,2025-05-02,2025-08-05,2025-11-06
DeferredTaxAssetsOperatingLossCarryforwards / USD,,1522000000.0,,,,2838000000.0,,,,646000000.0,,,,645000000.0,,609000000.0,,,672000000.0,,,,777000000.0,,,,638000000.0,,,,664000000.0,664000000.0,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,928000000.0,,,,349000000.0,,,,32000000.0,,,,131000000.0,,112000000.0,,,140000000.0,,,,109000000.0,,,,130000000.0,,,,206000000.0,206000000.0,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits / USD,,,,,,,,,,293000000.0,,,,245000000.0,,213000000.0,,,218000000.0,,,,89000000.0,,,,55000000.0,,,,46000000.0,46000000.0,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsOther / USD,,1964000000.0,,,,1661000000.0,,,,120000000.0,,,,65000000.0,,52000000.0,,,131000000.0,,,,121000000.0,,,,139000000.0,,,,131000000.0,131000000.0,,
DeferredTaxAssetsValuationAllowance / USD,,1061000000.0,,,,2511000000.0,,,,-593000000.0,,,,-634000000.0,,-598000000.0,,,677000000.0,,,,700000000.0,,,,703000000.0,,,,738000000.0,738000000.0,,
DeferredTaxLiabilities / USD,,4397000000.0,,,,4397000000.0,,,,-3734000000.0,,,,-3278000000.0,,-2188000000.0,,,1863000000.0,,,,1343000000.0,,,,1049000000.0,,,,818000000.0,818000000.0,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets / USD,,1536000000.0,,,,7296000000.0,,,,-2977000000.0,,,,-2752000000.0,,-1960000000.0,,,1814000000.0,,,,1303000000.0,,,,1123000000.0,,,,999000000.0,999000000.0,,
DeferredTaxLiabilitiesInvestments / USD,,119000000.0,,,,611000000.0,,,,-457000000.0,,,,-341000000.0,,-185000000.0,,,254000000.0,,,,308000000.0,,,,290000000.0,,,,204000000.0,204000000.0,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,,,,,,,,,,-96000000.0,,,97000000.0,,,,99000000.0,,,,101000000.0,,,,116000000.0,116000000.0,,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,2860000000.0,,,,3634000000.0,,,,-792000000.0,,,,-796000000.0,,-590000000.0,,,426000000.0,,,,269000000.0,,,,272000000.0,,,,343000000.0,343000000.0,,
DefinedBenefitPlanAccumulatedBenefitObligation / USD,,28800000000.0,,,,55500000000.0,,,,51400000000.0,,,,4500000000.0,,4500000000.0,,,5000000000.0,,,,4000000000.0,,,,2600000000.0,,,,2600000000.0,2600000000.0,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeBeforeTax / USD,,,,,,,,,,,,,,,,,,,556000000.0,,,,-100000000.0,,,,-60000000.0,,,,87000000.0,87000000.0,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetGainsLossesBeforeTax / USD,,,,,,,,,,,,,,,,,,,-603000000.0,,,,60000000.0,,,,45000000.0,,,,-95000000.0,-95000000.0,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeNetPriorServiceCostCreditBeforeTax / USD,,,,,,,,,,,,,,,,,,,-47000000.0,,,,-40000000.0,,,,-15000000.0,,,,-8000000.0,-8000000.0,,
DefinedBenefitPlanActualReturnOnPlanAssets / USD,,,,,,,,,,,,,,,,,,,309000000.0,,,,222000000.0,,,,-735000000.0,,,,109000000.0,109000000.0,,
DefinedBenefitPlanActuarialGainLoss / USD,,,,,,,,,,,,,,,,,,,-316000000.0,,,,411000000.0,,,,872000000.0,,,,-132000000.0,-132000000.0,,
DefinedBenefitPlanAmortizationOfGainsLosses / USD,,,,,,,,,,,,,,,,,,,122000000.0,-3000000.0,-7000000.0,-10000000.0,-16000000.0,-1000000.0,-1000000.0,-2000000.0,-12000000.0,,1000000.0,2000000.0,-1000000.0,-1000000.0,0.0,0.0
DefinedBenefitPlanAmortizationOfPriorServiceCostCredit / USD,,,,,,,,,,,,,,,,,,,-9000000.0,-1000000.0,-2000000.0,-4000000.0,-5000000.0,-1000000.0,-3000000.0,-4000000.0,-5000000.0,-1000000.0,-1000000.0,-2000000.0,-5000000.0,-5000000.0,-1000000.0,-2000000.0
DefinedBenefitPlanAmountsRecognizedInBalanceSheet / USD,,,,,,,,,,,,,,,,,,,-1177000000.0,,,,-250000000.0,,,,-130000000.0,,,,-280000000.0,-280000000.0,,
DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent / USD,,21200000000.0,,,,23400000000.0,,,,3800000000.0,,,,4158000000000.0,,4158000000.0,,,4000000000.0,,,,2600000000.0,,,,2400000000.0,,,,2200000000.0,2200000000.0,,
DefinedBenefitPlanBenefitObligation / USD,,,,,,,,,,,,,,,,,,,4806000000.0,,,,5335000000.0,,,,4286000000.0,,,,2726000000.0,2726000000.0,,
DefinedBenefitPlanBenefitObligationBenefitsPaid / USD,,,,,,,,,,,,,,,,,,,271000000.0,,,,243000000.0,,,,233000000.0,,,,208000000.0,208000000.0,,
DefinedBenefitPlanBenefitObligationContributionsByPlanParticipant / USD,,,,,,,,,,,,,,,,,,,11000000.0,,,,9000000.0,,,,7000000.0,,,,7000000.0,7000000.0,,
DefinedBenefitPlanContributionsByEmployer / USD,,,,,,,,,,697000000.0,,,,98000000.0,,98000000.0,,,101000000.0,,,,88000000.0,,,,79000000.0,,,,66000000.0,66000000.0,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter / USD,,,,,,,,,,,,,,,,,,,1054000000.0,,,,918000000.0,,,,912000000.0,,,,845000000.0,845000000.0,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths / USD,,,,,,,,,,,,,,,,,,,198000000.0,,,,181000000.0,,,,182000000.0,,,,173000000.0,173000000.0,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive / USD,,,,,,,,,,,,,,,,,,,207000000.0,,,,175000000.0,,,,181000000.0,,,,174000000.0,174000000.0,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour / USD,,,,,,,,,,,,,,,,,,,198000000.0,,,,178000000.0,,,,178000000.0,,,,169000000.0,169000000.0,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree / USD,,,,,,,,,,,,,,,,,,,194000000.0,,,,172000000.0,,,,183000000.0,,,,167000000.0,167000000.0,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo / USD,,,,,,,,,,,,,,,,,,,192000000.0,,,,170000000.0,,,,178000000.0,,,,171000000.0,171000000.0,,
DefinedBenefitPlanExpectedFutureEmployerContributionsNextFiscalYear / USD,,,,,,,,,,85000000.0,,,,100000000.0,,90000000.0,,,90000000.0,,,,76000000.0,,,,57000000.0,,,,56000000.0,56000000.0,,
DefinedBenefitPlanExpectedFutureEmployerContributionsRemainderOfFiscalYear / USD,,,,,,,500000000.0,240000000.0,200000000.0,,60000000.0,45000000.0,30000000.0,,75000000.0,,57000000.0,46000000.0,,65000000.0,45000000.0,35000000.0,,55000000.0,35000000.0,19000000.0,,44000000.0,29000000.0,19000000.0,,42000000.0,29000000.0,17000000.0
DefinedBenefitPlanExpectedReturnOnPlanAssets / USD,,,,,,,,,,,,,,,,,,,988000000.0,28000000.0,54000000.0,80000000.0,110000000.0,27000000.0,52000000.0,76000000.0,105000000.0,23000000.0,47000000.0,71000000.0,97000000.0,97000000.0,50000000.0,75000000.0
DefinedBenefitPlanFairValueOfPlanAssets / USD,,,,,,,,,,,,,,,,,,,3757000000.0,,,,4158000000.0,,,,4036000000.0,,,,2596000000.0,2596000000.0,,
DefinedBenefitPlanForeignCurrencyExchangeRateChangesBenefitObligation / USD,,,,,,,,,,,,,,,,,,,347000000.0,,,,-149000000.0,,,,354000000.0,,,,-133000000.0,-133000000.0,,
DefinedBenefitPlanFundedStatusOfPlan / USD,,,,,,,,980000000.0,,,,,,,,,,,-1177000000.0,,,,-250000000.0,,,,-130000000.0,,,,-280000000.0,-280000000.0,,
DefinedBenefitPlanInterestCost / USD,,,,,,,,,,,,,,,,,,,683000000.0,11000000.0,21000000.0,32000000.0,58000000.0,14000000.0,27000000.0,41000000.0,42000000.0,24000000.0,49000000.0,75000000.0,55000000.0,55000000.0,42000000.0,62000000.0
DefinedBenefitPlanNetPeriodicBenefitCost / USD,,,1000000.0,2000000.0,36000000.0,-34000000.0,110000000.0,55000000.0,79000000.0,35000000.0,21000000.0,39000000.0,60000000.0,96000000.0,-11000000.0,91000000.0,-19000000.0,-23000000.0,-3000000.0,2000000.0,4000000.0,2000000.0,40000000.0,-1000000.0,-3000000.0,-6000000.0,0.0,8000000.0,11000000.0,17000000.0,-7000000.0,-7000000.0,5000000.0,7000000.0
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateAccumulatedBenefitObligation / USD,,26590000000.0,,,,51563000000.0,,,,47577000000.0,,,,1731000000.0,,1731000000.0,,,1896000000.0,,,,1007000000.0,,,,566000000.0,,,,700000000.0,700000000.0,,
DefinedBenefitPlanPensionPlansWithAccumulatedBenefitObligationsInExcessOfPlanAssetsAggregateFairValueOfPlanAssets / USD,,18523000000.0,,,,38850000000.0,,,,36803000000.0,,,,690000000.0,,690000000.0,,,735000000.0,,,,216000000.0,,,,46000000.0,,,,138000000.0,138000000.0,,
DefinedBenefitPlanPlanAssetsBenefitsPaid / USD,,,,,,,,,,,,,,,,,,,271000000.0,,,,243000000.0,,,,233000000.0,,,,208000000.0,208000000.0,,
DefinedBenefitPlanPlanAssetsContributionsByPlanParticipant / USD,,,,,,,,,,,,,,,,,,,11000000.0,,,,9000000.0,,,,7000000.0,,,,7000000.0,7000000.0,,
DefinedBenefitPlanPlanAssetsForeignCurrencyTranslationGainLoss / USD,,,,,,,,,,,,,,,,,,,251000000.0,,,,-82000000.0,,,,-342000000.0,,,,139000000.0,139000000.0,,
DefinedBenefitPlanPlanAssetsTargetAllocationPercentage / pure,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,1.0,1.0,,
DefinedBenefitPlanRecognizedNetGainLossDueToSettlementsAndCurtailments1 / USD,,,,,,,,,,,,,,,,,,,0.0,-2000000.0,-3000000.0,-2000000.0,-9000000.0,0.0,-1000000.0,1000000.0,-3000000.0,1000000.0,2000000.0,2000000.0,4000000.0,4000000.0,1000000.0,-1000000.0
DefinedBenefitPlanServiceCost / USD,,,,,,,,,,,,,,,,,,,189000000.0,15000000.0,29000000.0,42000000.0,72000000.0,12000000.0,23000000.0,32000000.0,53000000.0,9000000.0,13000000.0,19000000.0,43000000.0,43000000.0,15000000.0,21000000.0
Depreciation / USD,1540000000.0,1908000000.0,578000000.0,1112000000.0,1820000000.0,2130000000.0,953000000.0,571000000.0,857000000.0,555000000.0,,,,1126000000.0,168000000.0,806000000.0,340000000.0,513000000.0,701000000.0,130000000.0,265000000.0,407000000.0,544000000.0,,,,546000000.0,,,,545000000.0,545000000.0,,
DepreciationDepletionAndAmortization / USD,2067000000.0,2521000000.0,778000000.0,1517000000.0,2518000000.0,2862000000.0,1484000000.0,507000000.0,499000000.0,1060000000.0,772000000.0,507000000.0,499000000.0,2170000000.0,345000000.0,1539000000.0,694000000.0,2326000000.0,3195000000.0,391000000.0,724000000.0,1094000000.0,3094000000.0,342000000.0,578000000.0,861000000.0,1112000000.0,277000000.0,559000000.0,853000000.0,1135000000.0,1135000000.0,589000000.0,777000000.0
DerivativeAssetCollateralObligationToReturnCashOffset / USD,,,0.0,0.0,0.0,,54000000.0,,,,,,,,9000000.0,,9000000.0,9000000.0,9000000.0,6000000.0,6000000.0,6000000.0,6000000.0,17000000.0,17000000.0,17000000.0,17000000.0,11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,15000000.0,15000000.0
DerivativeAssets / USD,140000000.0,140000000.0,161000000.0,161000000.0,161000000.0,161000000.0,248000000.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DerivativeAssetsLiabilitiesAtFairValueNet / USD,,,-258000000.0,-258000000.0,-258000000.0,-258000000.0,-43000000.0,31000000.0,31000000.0,31000000.0,-1000000.0,-1000000.0,-1000000.0,-1000000.0,-9000000.0,-1000000.0,-9000000.0,-9000000.0,-9000000.0,69000000.0,69000000.0,69000000.0,69000000.0,53000000.0,53000000.0,53000000.0,53000000.0,40000000.0,40000000.0,40000000.0,40000000.0,40000000.0,-69000000.0,-69000000.0
DerivativeInstrumentsNotDesignatedAsHedgingInstrumentsGainLossNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-39000000.0,152000000.0
DerivativeLiabilityCollateralRightToReclaimCashOffset / USD,1000000.0,1000000.0,26000000.0,26000000.0,26000000.0,26000000.0,26000000.0,,,,,,,,9000000.0,,9000000.0,9000000.0,9000000.0,6000000.0,6000000.0,6000000.0,6000000.0,17000000.0,17000000.0,17000000.0,17000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare / USD/shares,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,3.78,4.29,1.79,0.8,1.52,1.53,4.54,-0.08,5.31,-0.19,-0.41,0.87,8.28,8.98,9.49,-2.16,0.54,1.38,1.44,9.75,-0.02,-0.86,-0.78,9.75,9.75,0.05,0.22
DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare / USD/shares,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,3.78,4.26,1.77,0.8,1.52,1.53,4.51,-0.08,5.31,-0.19,-0.41,0.87,8.26,8.96,9.46,-2.16,0.53,1.38,1.44,9.72,-0.02,-0.86,-0.78,9.73,9.73,0.05,0.22
DividendsCommonStock / USD,1531000000.0,1942000000.0,557000000.0,1115000000.0,1673000000.0,2037000000.0,880000000.0,2629000000.0,2625000000.0,2558000000.0,1176000000.0,1389000000.0,1389000000.0,3491000000.0,222000000.0,3491000000.0,662000000.0,662000000.0,1611000000.0,161000000.0,476000000.0,476000000.0,882000000.0,169000000.0,500000000.0,500000000.0,630000000.0,165000000.0,495000000.0,,652000000.0,652000000.0,,
EarningsPerShareBasic / USD/shares,3.6,6.45,0.74,1.82,2.04,3.57,0.47,3.69,4.35,2.18,0.69,-0.07,0.43,4.99,-0.83,4.99,-4.2,-4.31,0.67,8.92,10.35,11.35,-4.01,0.95,2.51,3.25,11.92,0.56,0.27,0.97,11.77,11.77,0.87,1.96
EarningsPerShareDiluted / USD/shares,3.48,6.15,0.72,1.79,2.01,3.52,0.47,3.69,4.32,2.15,0.69,-0.07,0.43,4.96,-0.83,4.99,-4.2,-4.31,0.67,8.9,10.33,11.32,-4.01,0.95,2.5,3.24,11.89,0.56,0.27,0.97,11.75,11.75,0.87,1.96
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,,,,,,,,,,-45000000.0,,-30000000.0,4000000.0,9000000.0,-37000000.0,-28000000.0,-49000000.0,67000000.0,-25000000.0,-78000000.0,-191000000.0,-72000000.0,-7000000.0,-29000000.0,-56000000.0,-148000000.0,-148000000.0,-42000000.0,-9000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,,0.216,,,,0.002,,1.344,0.693,1.153,0.552,-0.058,-0.214,0.326,-0.206,-0.37,-0.036,-0.085,0.016,-0.003,0.105,0.142,-0.071,0.168,0.211,0.238,0.164,0.233,0.239,0.256,0.267,0.267,0.362,0.277
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,0.35,,,,0.35,,,,0.35,,,,0.35,,0.35,,,0.21,,,,0.21,,,,0.21,,,,0.21,0.21,,
EffectiveIncomeTaxRateReconciliationEquityInEarningsLossesOfUnconsolidatedSubsidiary / pure,,0.018,,,,0.012,,,,0.002,,,,-0.01,,0.046,,,-0.048,,,,-0.002,,,,0.005,,,,-0.002,-0.002,,
EffectiveIncomeTaxRateReconciliationFdiiPercent / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,,,,0.02,0.02,,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,-0.04,,,,-0.07,,,,0.024,,,,-0.052,,0.171,,,0.15,,,,0.047,,,,-0.078,,,,-0.039,-0.039,,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses / pure,,0.0,,,,0.0,,,,0.0,,,,0.0,,0.0,,,-0.408,,,,-0.298,,,,0.0,,,,0.0,0.0,,
EffectiveIncomeTaxRateReconciliationOtherAdjustments / pure,,-0.008,,,,-0.002,,,,-0.037,,,,0.075,,-0.386,,,0.571,,,,0.003,,,,0.003,,,,0.025,0.025,,
EffectiveIncomeTaxRateReconciliationRepatriationOfForeignEarnings / pure,,0.013,,,,0.046,,,,-0.026,,,,-0.034,,0.15,,,-0.131,,,,-0.057,,,,0.044,,,,0.05,0.05,,
EffectiveIncomeTaxRateReconciliationShareBasedCompensationExcessTaxBenefitPercent / pure,,,,,,0.0,,,,0.002,,,,-0.014,,0.064,,,0.008,,,,-0.006,,,,0.001,,,,-0.002,-0.002,,
EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes / pure,,0.006,,,,0.002,,,,0.025,,,,0.041,,-0.128,,,-1.196,,,,0.029,,,,-0.033,,,,0.002,0.002,,
EffectiveIncomeTaxRateReconciliationTaxContingencies / pure,,0.008,,,,-0.008,,,,0.0,,,,-0.008,,0.037,,,-0.38,,,,-0.024,,,,0.006,,,,0.01,0.01,,
EmployeeRelatedLiabilitiesCurrent / USD,,1105000000.0,,,,1931000000.0,,,,,,,,,,,360000000.0,480000000.0,498000000.0,436000000.0,436000000.0,436000000.0,436000000.0,291000000.0,291000000.0,291000000.0,291000000.0,250000000.0,250000000.0,250000000.0,250000000.0,250000000.0,383000000.0,365000000.0
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedStockOptions / USD,,,,,,,,,,23000000.0,,,,10000000.0,,9000000.0,,,5000000.0,,,,5000000.0,,,,2000000.0,,,,200000.0,200000.0,,
EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense / USD,,129000000.0,,,,97000000.0,,11000000.0,16000000.0,4000000.0,4000000.0,12000000.0,18000000.0,19000000.0,8000000.0,15000000.0,12000000.0,16000000.0,18000000.0,3000000.0,7000000.0,10000000.0,18000000.0,4000000.0,8000000.0,12000000.0,13000000.0,3000000.0,7000000.0,12000000.0,16000000.0,16000000.0,9000000.0,13000000.0
EntityCommonStockSharesOutstanding / shares,2339990261.0,2329023478.0,2320786686.0,2307376875.0,2294243816.0,2254762058.0,2246387858.0,745482399.0,740806717.0,739388462.0,733797258.0,733827575.0,733849605.0,538089014.0,532142336.0,,523056692.0,518103842.0,512907484.0,508526549.0,500901913.0,496788948.0,458338052.0,459016772.0,459061017.0,430042492.0,417582864.0,418104390.0,417495113.0,417955411.0,418049127.0,418498705.0,418716685.0,418975324.0
EntityPublicFloat / USD,,76900000000.0,,,,151800000000.0,,,,56.1,,,,39000000000.0,,,,,41000000000.0,,,,28000000000.0,,,,33000000000.0,,,,34000000000.0,,,
EquityMethodInvestmentDividendsOrDistributions / USD,,816000000.0,,,,685000000.0,,,,237000000.0,,,,318000000.0,,310000000.0,,,189000000.0,,,,82000000.0,,,,98000000.0,,,,103000000.0,103000000.0,,
EquityMethodInvestmentOtherThanTemporaryImpairment / USD,,,,,,,,,,456000000.0,,,,456000000.0,,456000000.0,,,,94000000.0,94000000.0,94000000.0,94000000.0,94000000.0,94000000.0,94000000.0,94000000.0,,,,94000000.0,94000000.0,,
EquityMethodInvestments / USD,3747000000.0,3958000000.0,5336000000.0,5336000000.0,5336000000.0,3747000000.0,5204000000.0,1745000000.0,1745000000.0,1896000000.0,1204000000.0,1204000000.0,1204000000.0,1745000000.0,889000000.0,1642000000.0,889000000.0,889000000.0,889000000.0,,,,,,,,818000000.0,,,,686000000.0,686000000.0,778000000.0,508000000.0
FinanceLeaseLiabilityNoncurrent / USD,,,,,,,432000000.0,2000000.0,2000000.0,2000000.0,,,,2000000.0,,2000000.0,,,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,,,1000000.0,,,,10000000.0,10000000.0,,
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,4295000000.0,4295000000.0,5550000000.0,5550000000.0,5550000000.0,5550000000.0,7414000000.0,3172000000.0,3172000000.0,3172000000.0,-4143000000.0,-4143000000.0,-4143000000.0,4143000000.0,4102000000.0,3295000000.0,4102000000.0,4102000000.0,4010000000.0,4000000000.0,4000000000.0,4000000000.0,4000000000.0,3678000000.0,3678000000.0,3678000000.0,3678000000.0,3836000000.0,3836000000.0,3836000000.0,3836000000.0,3836000000.0,4205000000.0,3743000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,1239000000.0,2003000000.0,1988000000.0,1984000000.0,1899000000.0,1876000000.0,1893000000.0,1015000000.0,1010000000.0,2131000000.0,1595000000.0,1070000000.0,,988000000.0,628000000.0,675000000.0,607000000.0,676000000.0,763000000.0,590000000.0,580000000.0,567000000.0,578000000.0,546000000.0,543000000.0,596000000.0,601000000.0,547000000.0,545000000.0,559000000.0,555000000.0,555000000.0,536000000.0,471000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear / USD,,,,,,,,,,,,,,,482000000.0,,324000000.0,174000000.0,,449000000.0,292000000.0,139000000.0,,433000000.0,284000000.0,151000000.0,,441000000.0,289000000.0,148000000.0,,412000000.0,276000000.0,122000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,1654000000.0,1744000000.0,1752000000.0,1753000000.0,1708000000.0,1566000000.0,1500000000.0,856000000.0,854000000.0,853000000.0,826000000.0,840000000.0,,726000000.0,516000000.0,567000000.0,495000000.0,554000000.0,637000000.0,441000000.0,434000000.0,424000000.0,432000000.0,373000000.0,371000000.0,423000000.0,427000000.0,363000000.0,362000000.0,373000000.0,337000000.0,337000000.0,343000000.0,298000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,1701000000.0,1823000000.0,1832000000.0,1831000000.0,1742000000.0,1698000000.0,1612000000.0,961000000.0,956000000.0,954000000.0,925000000.0,919000000.0,,819000000.0,535000000.0,616000000.0,513000000.0,572000000.0,663000000.0,490000000.0,482000000.0,471000000.0,481000000.0,425000000.0,422000000.0,476000000.0,480000000.0,419000000.0,418000000.0,430000000.0,427000000.0,427000000.0,379000000.0,326000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,1749000000.0,1872000000.0,1881000000.0,1879000000.0,1815000000.0,1784000000.0,1760000000.0,993000000.0,988000000.0,991000000.0,968000000.0,985000000.0,,914000000.0,581000000.0,639000000.0,562000000.0,622000000.0,708000000.0,518000000.0,510000000.0,498000000.0,508000000.0,473000000.0,470000000.0,523000000.0,528000000.0,472000000.0,470000000.0,483000000.0,480000000.0,480000000.0,435000000.0,378000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,1831000000.0,1919000000.0,1929000000.0,1926000000.0,1857000000.0,1825000000.0,1851000000.0,1007000000.0,1002000000.0,1010000000.0,1008000000.0,1069000000.0,,966000000.0,603000000.0,666000000.0,582000000.0,652000000.0,734000000.0,559000000.0,551000000.0,539000000.0,549000000.0,501000000.0,497000000.0,550000000.0,555000000.0,519000000.0,518000000.0,531000000.0,527000000.0,527000000.0,488000000.0,427000000.0
FiniteLivedIntangibleAssetsGross / USD,10260000000.0,10260000000.0,26993000000.0,26993000000.0,26993000000.0,26993000000.0,26779000000.0,14942000000.0,14942000000.0,14942000000.0,16065000000.0,16065000000.0,16065000000.0,16065000000.0,11145000000.0,11402000000.0,11145000000.0,11145000000.0,11053000000.0,9418000000.0,9418000000.0,9418000000.0,9418000000.0,8369000000.0,8369000000.0,8369000000.0,8369000000.0,8846000000.0,8846000000.0,8846000000.0,8846000000.0,8846000000.0,8771000000.0,7805000000.0
FiniteLivedIntangibleAssetsNet / USD,5965000000.0,5965000000.0,21443000000.0,21443000000.0,21443000000.0,21443000000.0,19365000000.0,11770000000.0,11770000000.0,11770000000.0,11922000000.0,11922000000.0,11922000000.0,11922000000.0,7043000000.0,8107000000.0,7043000000.0,7043000000.0,7043000000.0,5418000000.0,5418000000.0,5418000000.0,5418000000.0,4691000000.0,4691000000.0,4691000000.0,4691000000.0,5010000000.0,5010000000.0,5010000000.0,5010000000.0,5010000000.0,4566000000.0,4062000000.0
ForeignCurrencyTransactionGainLossBeforeTax / USD,-102000000.0,-190000000.0,-26000000.0,-56000000.0,16000000.0,-126000000.0,-148000000.0,-122000000.0,-148000000.0,-54000000.0,-61000000.0,-78000000.0,-101000000.0,-93000000.0,-3000000.0,-84000000.0,-21000000.0,-27000000.0,-104000000.0,-6000000.0,-16000000.0,-35000000.0,-54000000.0,-5000000.0,4000000.0,9000000.0,-53000000.0,-20000000.0,-48000000.0,-31000000.0,15000000.0,15000000.0,0.0,-17000000.0
GainLossOnDispositionOfAssets1 / USD,179000000.0,4655000000.0,17000000.0,190000000.0,475000000.0,214000000.0,35000000.0,,,,,,,,,,,612000000.0,149000000.0,4982000000.0,5118000000.0,5117000000.0,642000000.0,-3000000.0,69000000.0,75000000.0,171000000.0,6000000.0,8000000.0,8000000.0,78000000.0,78000000.0,,5000000.0
GainLossOnSaleOfBusiness / USD,,2043000000.0,,,,-26000000.0,,,,,197000000.0,197000000.0,590000000.0,593000000.0,197000000.0,593000000.0,197000000.0,590000000.0,593000000.0,3000000.0,143000000.0,146000000.0,593000000.0,6000000.0,63000000.0,68000000.0,143000000.0,6000000.0,7000000.0,7000000.0,69000000.0,69000000.0,,
GainLossOnSaleOfOtherAssets / USD,130000000.0,237000000.0,4000000.0,137000000.0,148000000.0,170000000.0,34000000.0,6000000.0,-1000000.0,65000000.0,53000000.0,63000000.0,127000000.0,8000000.0,197000000.0,8000000.0,193000000.0,611000000.0,144000000.0,27000000.0,167000000.0,175000000.0,632000000.0,-1000000.0,69000000.0,75000000.0,171000000.0,6000000.0,8000000.0,8000000.0,78000000.0,78000000.0,,5000000.0
GainsLossesOnExtinguishmentOfDebt / USD,,-68000000.0,,,-6000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-74000000.0,-74000000.0
Goodwill / USD,15272000000.0,12154000000.0,59527000000.0,59527000000.0,59527000000.0,15272000000.0,59032000000.0,34496000000.0,34496000000.0,34820000000.0,33151000000.0,33151000000.0,33151000000.0,34496000000.0,18702000000.0,22387000000.0,18702000000.0,18702000000.0,22139000000.0,16981000000.0,16981000000.0,16981000000.0,16040000000.0,16663000000.0,16663000000.0,16663000000.0,16981000000.0,16720000000.0,16720000000.0,16720000000.0,16663000000.0,16663000000.0,16567000000.0,15812000000.0
GoodwillAcquiredDuringPeriod / USD,,,,,,,,,,732000000.0,53000000.0,53000000.0,53000000.0,54000000.0,,54000000.0,,1219000000.0,53000000.0,,,,1213000000.0,,,731000000.0,818000000.0,7000000.0,7000000.0,114000000.0,818000000.0,818000000.0,,
