fact_unit,2009-08-05,2009-11-05,2010-02-25,2010-05-06,2010-08-06,2010-11-05,2011-03-01,2011-05-06,2011-08-05,2011-11-03,2012-02-24,2012-05-04,2012-08-03,2012-11-02,2013-02-22,2013-05-03,2013-08-02,2013-11-01,2014-02-21,2014-05-02,2014-08-01,2014-11-10,2015-02-20,2015-05-05,2015-08-07,2015-11-06,2016-02-18,2016-05-05,2016-08-04,2016-11-03,2017-02-17,2017-05-04,2017-08-03,2017-11-03,2018-02-20,2018-05-03,2018-08-02,2018-10-12,2018-11-02,2019-02-20,2019-05-06,2019-05-07,2019-08-05,2019-11-05,2020-02-20,2020-05-06,2020-08-05,2020-11-05,2021-02-25,2021-05-06,2021-06-21,2021-08-05,2021-11-04,2022-02-16,2022-05-03,2022-08-04,2022-11-03,2023-02-13,2023-05-01,2023-07-27,2023-10-31,2024-02-23,2024-05-02,2024-07-25,2024-10-29,2025-02-12,2025-04-29,2025-07-24,2025-10-31
AccountsPayableAndAccruedLiabilitiesCurrent / USD,20032000000.0,20032000000.0,20032000000.0,20999000000.0,21260000000.0,21260000000.0,21260000000.0,20055000000.0,20055000000.0,20055000000.0,20055000000.0,19858000000.0,19858000000.0,19858000000.0,19956000000.0,20494000000.0,20494000000.0,20494000000.0,20494000000.0,21107000000.0,21107000000.0,21107000000.0,21107000000.0,23592000000.0,23592000000.0,23592000000.0,23592000000.0,30372000000.0,30372000000.0,30372000000.0,30372000000.0,31138000000.0,31138000000.0,31138000000.0,31138000000.0,34470000000.0,34470000000.0,31138000000.0,34470000000.0,34470000000.0,43184000000.0,43184000000.0,43184000000.0,43184000000.0,43184000000.0,45956000000.0,45956000000.0,45956000000.0,45956000000.0,50051000000.0,45956000000.0,50051000000.0,50051000000.0,50051000000.0,50661000000.0,39095000000.0,39095000000.0,39095000000.0,42644000000.0,42644000000.0,42644000000.0,42644000000.0,35852000000.0,35852000000.0,35852000000.0,35852000000.0,35657000000.0,35657000000.0,35657000000.0
AccountsPayableCurrent / USD,,,,,,,7511000000.0,,,,7437000000.0,,,,10485000000.0,,,,12076000000.0,,,,11561000000.0,,,,14984000000.0,,,,21047000000.0,,,,22027000000.0,,,22027000000.0,,24439000000.0,,,,,27018000000.0,,,,29640000000.0,,29640000000.0,,,31836000000.0,,,,29511000000.0,,,,31101000000.0,,,,27309000000.0,,,
AccountsReceivableNetCurrent / USD,16047000000.0,16047000000.0,16047000000.0,14978000000.0,14845000000.0,14845000000.0,14845000000.0,13610000000.0,13610000000.0,13610000000.0,13610000000.0,13606000000.0,13606000000.0,13606000000.0,13231000000.0,12657000000.0,12657000000.0,12657000000.0,12657000000.0,12918000000.0,12918000000.0,12918000000.0,12918000000.0,14527000000.0,14527000000.0,14527000000.0,14527000000.0,16532000000.0,16532000000.0,16532000000.0,16532000000.0,16794000000.0,16794000000.0,16794000000.0,16794000000.0,16522000000.0,16522000000.0,16794000000.0,16522000000.0,16522000000.0,26472000000.0,26472000000.0,26472000000.0,26472000000.0,26472000000.0,,22636000000.0,22636000000.0,22636000000.0,20215000000.0,22636000000.0,20215000000.0,20215000000.0,20215000000.0,17571000000.0,12313000000.0,12313000000.0,12313000000.0,11466000000.0,11466000000.0,11466000000.0,11466000000.0,10289000000.0,10289000000.0,10289000000.0,10289000000.0,9638000000.0,9638000000.0,9638000000.0
AccruedIncomeTaxes / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019000000.0,,,,1148000000.0,,,,798000000.0,,,,1022000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-17057000000.0,-17057000000.0,-17057000000.0,-14408000000.0,-14412000000.0,-14412000000.0,-418000000.0,2712000000.0,2712000000.0,2712000000.0,2678000000.0,3180000000.0,3180000000.0,3180000000.0,2712000000.0,5236000000.0,5236000000.0,5236000000.0,3180000000.0,5236000000.0,5236000000.0,5236000000.0,5236000000.0,7880000000.0,7880000000.0,7880000000.0,5235000000.0,8061000000.0,8061000000.0,8061000000.0,7880000000.0,5334000000.0,5334000000.0,5334000000.0,8061000000.0,4961000000.0,4961000000.0,8061000000.0,4961000000.0,5334000000.0,4249000000.0,4249000000.0,4249000000.0,4249000000.0,4961000000.0,5470000000.0,5470000000.0,5470000000.0,5470000000.0,4330000000.0,5470000000.0,4330000000.0,4330000000.0,4330000000.0,3529000000.0,3529000000.0,3529000000.0,3529000000.0,2766000000.0,2766000000.0,2766000000.0,2766000000.0,2300000000.0,2300000000.0,2300000000.0,2300000000.0,795000000.0,795000000.0,795000000.0
AdditionalCollateralAggregateFairValue / USD,,,,,232000000.0,173000000.0,115000000.0,43000000.0,28000000.0,147000000.0,161000000.0,102000000.0,163000000.0,98000000.0,120000000.0,149000000.0,169000000.0,55000000.0,54000000.0,51000000.0,50000000.0,50000000.0,91000000.0,147000000.0,69000000.0,105000000.0,105000000.0,130000000.0,151000000.0,162000000.0,150000000.0,123000000.0,133000000.0,141000000.0,107000000.0,84000000.0,138000000.0,107000000.0,150000000.0,154000000.0,175000000.0,175000000.0,137000000.0,122000000.0,35000000.0,0.0,76000000.0,25000000.0,33000000.0,48000000.0,33000000.0,57000000.0,54000000.0,36000000.0,62000000.0,57000000.0,23000000.0,42000000.0,55000000.0,52000000.0,53000000.0,53000000.0,52000000.0,50000000.0,52000000.0,52000000.0,50000000.0,50000000.0,54000000.0
AdditionalPaidInCapitalCommonStock / USD,91728000000.0,91728000000.0,91728000000.0,91707000000.0,91707000000.0,91707000000.0,91707000000.0,91731000000.0,91731000000.0,91731000000.0,91731000000.0,91156000000.0,91156000000.0,91156000000.0,91156000000.0,91038000000.0,91038000000.0,91038000000.0,91038000000.0,91091000000.0,91091000000.0,91091000000.0,91091000000.0,91108000000.0,91108000000.0,91108000000.0,91108000000.0,89763000000.0,89763000000.0,89763000000.0,89763000000.0,89604000000.0,89604000000.0,89604000000.0,89604000000.0,89563000000.0,89563000000.0,89604000000.0,89563000000.0,89563000000.0,125525000000.0,125525000000.0,125525000000.0,125525000000.0,125525000000.0,,126279000000.0,126279000000.0,126279000000.0,130175000000.0,126279000000.0,130175000000.0,130175000000.0,130175000000.0,130112000000.0,130112000000.0,130112000000.0,130112000000.0,123610000000.0,123610000000.0,123610000000.0,123610000000.0,114519000000.0,114519000000.0,114519000000.0,114519000000.0,109108000000.0,109108000000.0,109108000000.0
AdjustmentForAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3495000000.0,,,,218000000.0,,,,169000000.0,,,
AdjustmentsToAdditionalPaidInCapitalIncreaseInCarryingAmountOfRedeemablePreferredStock / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,663000000.0,,,
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities / USD,,,,,,,,4698000000.0,9189000000.0,6331994633.44,21958000000.0,4264000000.0,9631000000.0,16338000000.0,15043000000.0,4193000000.0,9708000000.0,17338000000.0,30559000000.0,4426000000.0,10058000000.0,10058000000.0,31637000000.0,5065000000.0,9514000000.0,14939000000.0,16074000000.0,3399000000.0,9375000000.0,17094000000.0,24602000000.0,4015000000.0,10807000000.0,18384000000.0,22193000000.0,5391000000.0,10082000000.0,21487000000.0,17762000000.0,25109000000.0,4188000000.0,4188000000.0,9169000000.0,16699000000.0,8163000000.0,6704000000.0,17014000000.0,24454000000.0,23649000000.0,3903000000.0,23649000000.0,14399000000.0,23354000000.0,33693000000.0,1985000000.0,6228000000.0,10519000000.0,39006000000.0,2481000000.0,5470000000.0,9218000000.0,13394000000.0,2225000000.0,7385000000.0,13895000000.0,42686000000.0,3796000000.0,8940000000.0,19030000000.0
