fact_unit,2020-05-07,2020-05-12,2020-08-12,2020-11-10,2021-03-01,2021-04-30,2021-05-10,2021-08-09,2021-11-08,2022-02-28,2022-04-29,2022-05-09,2022-08-08,2022-11-07,2023-02-27,2023-04-28,2023-05-08,2023-08-07,2023-11-08,2024-02-28,2024-04-26,2024-05-09,2024-08-08,2024-11-07,2025-02-27,2025-04-30,2025-05-08,2025-08-07,2025-11-06
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,,,,,-1674500000.0,,-461500000.0,-2331100000.0,-1879100000.0,-461500000.0,,-1802400000.0,-1802400000.0,-1802400000.0,-1802400000.0,,-3385900000.0,-2271600000.0,-3421500000.0,-3385900000.0,,-3246700000.0,-3246700000.0,-3246700000.0,-3246700000.0,,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,0.0,0.0,0.0,0.0,-1797200000.0,,-858000000.0,-2453500000.0,-2024900000.0,-858000000.0,,-1744300000.0,-1744300000.0,-1744300000.0,-1744300000.0,,-2761200000.0,-2061000000.0,-2899200000.0,-2747400000.0,,-2747400000.0,-2747400000.0,-2747400000.0,-3212900000.0,,-3212900000.0,-3212900000.0,-3212900000.0
AdditionalPaidInCapital / USD,0.0,0.0,0.0,0.0,8643500000.0,,18438800000.0,18438800000.0,18438800000.0,18438800000.0,,18536100000.0,18536100000.0,18536100000.0,18536100000.0,,18645800000.0,18645800000.0,18645800000.0,18645800000.0,,18814700000.0,18814700000.0,18814700000.0,18814700000.0,,18921600000.0,18921600000.0,18921600000.0
AdjustmentForAmortization / USD,,,,,1830400000.0,,351200000.0,702800000.0,1070900000.0,1763300000.0,,767800000.0,1449400000.0,2120900000.0,1688200000.0,,648100000.0,1282200000.0,1898100000.0,2805000000.0,,635300000.0,1226500000.0,1810500000.0,2678100000.0,,601000000.0,1300200000.0,1874900000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,13400000.0,6300000.0,,9300000.0,8800000.0,8600000.0,13900000.0,,19400000.0,19700000.0,22200000.0,11600000.0,,28800000.0,51200000.0,52200000.0
AdjustmentsToAdditionalPaidInCapitalOther / USD,,,,,,,,,,,,,,,,,6100000.0,6100000.0,6100000.0,6100000.0,,6100000.0,6100000.0,6100000.0,6100000.0,,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,-3300000.0,,19400000.0,34700000.0,49800000.0,56800000.0,,32700000.0,63700000.0,88700000.0,79200000.0,,28300000.0,57700000.0,86800000.0,111200000.0,,42600000.0,81800000.0,124900000.0,116400000.0,,46700000.0,81400000.0,113800000.0
AmortizationOfIntangibleAssets / USD,,,,,1606400000.0,,351200000.0,702800000.0,1070900000.0,1582700000.0,,684400000.0,1366000000.0,2037500000.0,1605800000.0,,648100000.0,1282200000.0,1898100000.0,2702200000.0,,603300000.0,1194500000.0,1778500000.0,2504600000.0,,601000000.0,1198200000.0,1772900000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,8900000.0,,9600000.0,10400000.0,9800000.0,9100000.0,,10900000.0,10500000.0,10800000.0,10300000.0,,15500000.0,12600000.0,13300000.0,12700000.0,,13900000.0,19000000.0,16800000.0,11800000.0,,7900000.0,22700000.0,20500000.0
Assets / USD,0.0,0.0,0.0,0.0,31255500000.0,,61553000000.0,61553000000.0,61553000000.0,61553000000.0,,54842800000.0,54842800000.0,54842800000.0,54842800000.0,,50022200000.0,50022200000.0,50022200000.0,50022200000.0,,47685500000.0,47685500000.0,47685500000.0,47685500000.0,,41500900000.0,41500900000.0,41500900000.0
