fact_unit,2020-05-07,2020-05-12,2020-08-12,2020-11-10,2021-03-01,2021-04-30,2021-05-10,2021-08-09,2021-11-08,2022-02-28,2022-04-29,2022-05-09,2022-08-08,2022-11-07,2023-02-27,2023-04-28,2023-05-08,2023-08-07,2023-11-08,2024-02-28,2024-04-26,2024-05-09,2024-08-08,2024-11-07,2025-02-27,2025-04-30,2025-05-08,2025-08-07,2025-11-06
FiniteLivedIntangibleAssetsAccumulatedAmortization / USD,,,,,8579500000.0,,10801600000.0,10801600000.0,10801600000.0,10801600000.0,,12918500000.0,12918500000.0,12918500000.0,12918500000.0,,14923600000.0,14923600000.0,14923600000.0,14923600000.0,,15316400000.0,15316400000.0,15316400000.0,15316400000.0,,17091800000.0,17091800000.0,17091800000.0
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths / USD,,,,,2652000000.0,,2603000000.0,2616000000.0,2592000000.0,2577000000.0,,2392000000.0,2341000000.0,2280000000.0,2322000000.0,,2274000000.0,2271000000.0,2223000000.0,2314000000.0,,2255000000.0,2261000000.0,2296000000.0,2228000000.0,,2251000000.0,2324000000.0,2329000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear / USD,,,,,,,2001000000.0,1339000000.0,661000000.0,,,1916000000.0,1250000000.0,609000000.0,,,1772000000.0,1182000000.0,573000000.0,,,1750000000.0,1169000000.0,580000000.0,,,1726000000.0,1189000000.0,595000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive / USD,,,,,2198000000.0,,,,,2164000000.0,,,,,1871000000.0,,,,,1859000000.0,,,,,1210000000.0,,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour / USD,,,,,2296000000.0,,2244000000.0,2257000000.0,2237000000.0,2222000000.0,,2141000000.0,2098000000.0,2049000000.0,2083000000.0,,1912000000.0,1909000000.0,1882000000.0,2102000000.0,,1769000000.0,1758000000.0,1781000000.0,1738000000.0,,1233000000.0,1235000000.0,1240000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree / USD,,,,,2414000000.0,,2337000000.0,2350000000.0,2335000000.0,2320000000.0,,2198000000.0,2151000000.0,2097000000.0,2136000000.0,,2124000000.0,2121000000.0,2094000000.0,2183000000.0,,2006000000.0,1993000000.0,2025000000.0,1966000000.0,,1793000000.0,1840000000.0,1846000000.0
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo / USD,,,,,2578000000.0,,2442000000.0,2454000000.0,2428000000.0,2414000000.0,,2295000000.0,2247000000.0,2190000000.0,2230000000.0,,2179000000.0,2177000000.0,2149000000.0,2235000000.0,,2205000000.0,2213000000.0,2243000000.0,2179000000.0,,2034000000.0,2103000000.0,2107000000.0
FiniteLivedIntangibleAssetsGross / USD,,,,,20109100000.0,,40404100000.0,40404100000.0,40404100000.0,40404100000.0,,39006200000.0,39006200000.0,39006200000.0,39006200000.0,,37490500000.0,37490500000.0,37490500000.0,37490500000.0,,34178100000.0,34178100000.0,34178100000.0,34178100000.0,,33348500000.0,33348500000.0,33348500000.0
FiniteLivedIntangibleAssetsNet / USD,,,,,11529600000.0,,29602500000.0,29602500000.0,29602500000.0,29602500000.0,,26087700000.0,26087700000.0,26087700000.0,26087700000.0,,22566900000.0,22566900000.0,22566900000.0,22566900000.0,,18861700000.0,18861700000.0,18861700000.0,18861700000.0,,16256700000.0,16256700000.0,16256700000.0
GainLossOnSaleOfBusiness / USD,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,1754100000.0,,70400000.0,-188400000.0,-295800000.0
GainLossRelatedToLitigationSettlement / USD,,,,,49500000.0,,-1800000.0,-17600000.0,-36500000.0,21400000.0,,-22900000.0,-45900000.0,-55300000.0,-107800000.0,,-6200000.0,-17100000.0,-13200000.0,-329200000.0,,-600000.0,10400000.0,36500000.0,-4400000.0,,-76800000.0,-207800000.0,-239300000.0
GainsLossesOnExtinguishmentOfDebt / USD,,,,,,,,,,,,,,,,,,,,,,,,16700000.0,16500000.0,,,,
Goodwill / USD,,,,,9747800000.0,,12347000000.0,12347000000.0,12347000000.0,9590600000.0,,12113700000.0,12113700000.0,12113700000.0,12347000000.0,,10425800000.0,10425800000.0,10425800000.0,12113700000.0,,9867100000.0,9867100000.0,9867100000.0,10425800000.0,,9133300000.0,9133300000.0,9133300000.0
GoodwillAcquiredDuringPeriod / USD,,,,,,,,,,2107500000.0,,,,,,,95300000.0,95300000.0,95300000.0,95900000.0,,19500000.0,19500000.0,19500000.0,95900000.0,,,,
GoodwillImpairmentLoss / USD,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,0.0,581000000.0,,0.0,321000000.0,321000000.0
GoodwillTransfers / USD,,,,,,,,,,,,-953000000.0,-936900000.0,-911800000.0,-919700000.0,,,,-65900000.0,-189000000.0,,,,,-189000000.0,,,,
GoodwillTranslationAndPurchaseAccountingAdjustments / USD,,,,,-157200000.0,,-293100000.0,-221900000.0,-396100000.0,648900000.0,,-181900000.0,-653800000.0,-1147300000.0,-528900000.0,,52100000.0,11400000.0,-177100000.0,-651200000.0,,-193100000.0,-239700000.0,-3900000.0,115400000.0,,265600000.0,551800000.0,534300000.0
GrossProfit / USD,,,,,4001600000.0,,906100000.0,1931800000.0,3090300000.0,3897600000.0,,1127300000.0,2455000000.0,4029100000.0,3796700000.0,,1771200000.0,3474500000.0,5222900000.0,5575500000.0,,1542200000.0,3150800000.0,4842100000.0,6497000000.0,,1504000000.0,2949400000.0,4408600000.0
ImpairmentOfIntangibleAssetsIndefinitelivedExcludingGoodwill / USD,,,,,,,0.0,0.0,0.0,,,83400000.0,83400000.0,83400000.0,,,0.0,0.0,0.0,,,32000000.0,0.0,0.0,,,,102000000.0,102000000.0
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest / USD,0.0,0.0,0.0,0.0,298400000.0,,30700000.0,50700000.0,292300000.0,154400000.0,,-441300000.0,-660400000.0,-460500000.0,-721200000.0,,527500000.0,916800000.0,1344300000.0,-664400000.0,,322700000.0,655700000.0,1057900000.0,2813200000.0,,204600000.0,-187200000.0,-96700000.0
IncomeTaxExaminationInterestExpense / USD,,,,,-18300000.0,,,,,35200000.0,,,,,6000000.0,,,,,18500000.0,,,,,21100000.0,,,,
IncomeTaxExaminationPenaltiesAndInterestAccrued / USD,,,,,17200000.0,,,,,86700000.0,,,,,96800000.0,,,,,106400000.0,,,,,115700000.0,,,,
IncomeTaxExpenseBenefit / USD,0.0,0.0,0.0,0.0,-54100000.0,,9900000.0,-9500000.0,46400000.0,137600000.0,,596300000.0,656400000.0,544800000.0,-51300000.0,,128300000.0,203700000.0,276900000.0,604700000.0,,98000000.0,167000000.0,237600000.0,734600000.0,,90700000.0,25300000.0,21000000.0
IncomeTaxReceivable / USD,,,,,,,,,,,,,,,,,,,,328400000.0,,340200000.0,340200000.0,340200000.0,340200000.0,,300700000.0,300700000.0,300700000.0
IncomeTaxesPaid / USD,0.0,0.0,0.0,0.0,228600000.0,,,,,278600000.0,,,,,324400000.0,,,,,641700000.0,,,,,735200000.0,,,,
IncreaseDecreaseInAccountsPayableTrade / USD,,,,,220300000.0,,-201000000.0,-234500000.0,-99700000.0,-96300000.0,,191900000.0,-53500000.0,-108400000.0,-82700000.0,,-30200000.0,254500000.0,-75400000.0,-70400000.0,,183400000.0,192700000.0,236300000.0,170200000.0,,287900000.0,56300000.0,-9700000.0
IncreaseDecreaseInAccountsReceivable / USD,,,,,-340100000.0,,-73600000.0,-122600000.0,27300000.0,20000000.0,,59800000.0,114700000.0,-69100000.0,-78700000.0,,115500000.0,142300000.0,-98900000.0,-59300000.0,,-215000000.0,-69200000.0,2800000.0,240300000.0,,-9800000.0,-32600000.0,400000.0
IncreaseDecreaseInAccruedIncomeTaxesPayable / USD,,,,,-23900000.0,,10800000.0,49300000.0,115200000.0,57900000.0,,494600000.0,-337700000.0,-675300000.0,3600000.0,,67000000.0,17800000.0,29500000.0,-699600000.0,,-53900000.0,-22100000.0,-29600000.0,25300000.0,,-2300000.0,18700000.0,286900000.0
IncreaseDecreaseInInventories / USD,,,,,547600000.0,,131800000.0,275800000.0,532400000.0,512900000.0,,203400000.0,341000000.0,351100000.0,741900000.0,,69100000.0,270100000.0,439600000.0,427600000.0,,151100000.0,266500000.0,485700000.0,259500000.0,,370400000.0,558800000.0,687800000.0
IncreaseDecreaseInOtherOperatingCapitalNet / USD,,,,,177900000.0,,-75000000.0,-44600000.0,-176200000.0,-63500000.0,,354600000.0,93500000.0,399600000.0,-46000000.0,,-132700000.0,4200000.0,134800000.0,666500000.0,,224800000.0,416100000.0,152700000.0,618300000.0,,111800000.0,160800000.0,62300000.0
IncreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,,,80000000.0,,,,,55000000.0,,,,,55000000.0,,,,,40000000.0,,,,,21000000.0,,,,
IncrementalCommonSharesAttributableToShareBasedPaymentArrangements / shares,,,,,2000000.0,,600000.0,400000.0,500000.0,800000.0,,0.0,0.0,0.0,0.0,,2600000.0,3700000.0,4300000.0,0.0,,3100000.0,3800000.0,5200000.0,5300000.0,,14300000.0,0.0,0.0
IndefiniteLivedIntangibleAssetsExcludingGoodwill / USD,,,,,120300000.0,,80700000.0,80700000.0,80700000.0,80700000.0,,46500000.0,46500000.0,46500000.0,46500000.0,,40200000.0,40200000.0,40200000.0,40200000.0,,319400000.0,319400000.0,319400000.0,319400000.0,,814200000.0,814200000.0,814200000.0
IntangibleAssetsGrossExcludingGoodwill / USD,,,,,20229400000.0,,40484800000.0,40484800000.0,40484800000.0,40484800000.0,,39052700000.0,39052700000.0,39052700000.0,39052700000.0,,37530700000.0,37530700000.0,37530700000.0,37530700000.0,,34497500000.0,34497500000.0,34497500000.0,34497500000.0,,34162700000.0,34162700000.0,34162700000.0
IntangibleAssetsNetExcludingGoodwill / USD,,,,,11649900000.0,,29683200000.0,29683200000.0,29683200000.0,29683200000.0,,26134200000.0,26134200000.0,26134200000.0,26134200000.0,,22607100000.0,22607100000.0,22607100000.0,22607100000.0,,19181100000.0,19181100000.0,19181100000.0,19181100000.0,,17070900000.0,17070900000.0,17070900000.0
InterestExpense / USD,,,5300000.0,76000000.0,542300000.0,,119900000.0,236100000.0,353400000.0,517300000.0,,169000000.0,336100000.0,488000000.0,497800000.0,,146200000.0,292100000.0,445300000.0,636200000.0,,147000000.0,290700000.0,432200000.0,592400000.0,,138400000.0,284200000.0,429800000.0
InterestPaidNet / USD,,,,,460800000.0,,,,,470600000.0,,,,,555400000.0,,,,,684800000.0,,,,,642500000.0,,,,
InterestPayableCurrent / USD,,,5100000.0,,59100000.0,,90900000.0,90900000.0,90900000.0,90900000.0,,86600000.0,86600000.0,86600000.0,86600000.0,,80200000.0,80200000.0,80200000.0,80200000.0,,66800000.0,66800000.0,66800000.0,66800000.0,,49900000.0,49900000.0,49900000.0
InventoryFinishedGoodsNetOfReserves / USD,,,,,1366900000.0,,3075400000.0,3075400000.0,3075400000.0,3075400000.0,,2062000000.0,2062000000.0,2062000000.0,2062000000.0,,2192600000.0,2192600000.0,2192600000.0,2192600000.0,,2135900000.0,2135900000.0,2135900000.0,2135900000.0,,1980900000.0,1980900000.0,1980900000.0
InventoryNet / USD,,,,,2670900000.0,,5471900000.0,5471900000.0,5471900000.0,5471900000.0,,3977700000.0,3977700000.0,3977700000.0,3977700000.0,,3519500000.0,3519500000.0,3519500000.0,3519500000.0,,3469700000.0,3469700000.0,3469700000.0,3469700000.0,,3854100000.0,3854100000.0,3854100000.0
InventoryRawMaterialsNetOfReserves / USD,,,,,886800000.0,,958400000.0,958400000.0,958400000.0,958400000.0,,922400000.0,922400000.0,922400000.0,922400000.0,,571500000.0,571500000.0,571500000.0,571500000.0,,731700000.0,731700000.0,731700000.0,731700000.0,,1345900000.0,1345900000.0,1345900000.0
InventoryValuationReserves / USD,,,,,268900000.0,,,,,353600000.0,,,,,519000000.0,,,,,484800000.0,,,,,479300000.0,,,,
InventoryWorkInProcessNetOfReserves / USD,,,,,417200000.0,,1438100000.0,1438100000.0,1438100000.0,1438100000.0,,993300000.0,993300000.0,993300000.0,993300000.0,,755400000.0,755400000.0,755400000.0,755400000.0,,602100000.0,602100000.0,602100000.0,602100000.0,,527300000.0,527300000.0,527300000.0
LesseeOperatingLeaseLiabilityPaymentsDue / USD,,,,,361900000.0,,,,,310800000.0,,,,,284000000.0,,,,,270700000.0,,,,,297600000.0,,,,
LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive / USD,,,,,95100000.0,,,,,68200000.0,,,,,52300000.0,,,,,39500000.0,,,,,59500000.0,,,,
LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths / USD,,,,,89900000.0,,,,,82000000.0,,,,,76400000.0,,,,,79300000.0,,,,,78200000.0,,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFive / USD,,,,,27700000.0,,,,,23900000.0,,,,,23100000.0,,,,,17300000.0,,,,,16800000.0,,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearFour / USD,,,,,34600000.0,,,,,28800000.0,,,,,30200000.0,,,,,30400000.0,,,,,25600000.0,,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearThree / USD,,,,,46600000.0,,,,,42900000.0,,,,,38600000.0,,,,,41500000.0,,,,,46400000.0,,,,
LesseeOperatingLeaseLiabilityPaymentsDueYearTwo / USD,,,,,68000000.0,,,,,65000000.0,,,,,63400000.0,,,,,62700000.0,,,,,71100000.0,,,,
LesseeOperatingLeaseLiabilityUndiscountedExcessAmount / USD,,,,,,,,,,23200000.0,,,,,22000000.0,,,,,22300000.0,,,,,31200000.0,,,,
Liabilities / USD,0.0,0.0,0.0,0.0,19371700000.0,,38598900000.0,38598900000.0,38598900000.0,38598900000.0,,34350100000.0,34350100000.0,34350100000.0,34350100000.0,,28949900000.0,28949900000.0,28949900000.0,28949900000.0,,27218100000.0,27218100000.0,27218100000.0,27218100000.0,,22865400000.0,22865400000.0,22865400000.0
LiabilitiesAndStockholdersEquity / USD,0.0,0.0,0.0,0.0,31255500000.0,,61553000000.0,61553000000.0,61553000000.0,61553000000.0,,54842800000.0,54842800000.0,54842800000.0,54842800000.0,,50022200000.0,50022200000.0,50022200000.0,50022200000.0,,47685500000.0,47685500000.0,47685500000.0,47685500000.0,,41500900000.0,41500900000.0,41500900000.0
LiabilitiesCurrent / USD,0.0,0.0,0.0,0.0,5569100000.0,,10562900000.0,10562900000.0,10562900000.0,10562900000.0,,9884400000.0,9884400000.0,9884400000.0,9884400000.0,,6746200000.0,6746200000.0,6746200000.0,6746200000.0,,7777400000.0,7777400000.0,7777400000.0,7777400000.0,,5779400000.0,5779400000.0,5779400000.0
LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation / USD,,,,,,,,,,,,0.0,0.0,0.0,0.0,,22500000.0,22500000.0,0.0,0.0,,275100000.0,275100000.0,275100000.0,275100000.0,,,,
LiabilityForUncertainTaxPositionsNoncurrent / USD,,,,,109600000.0,,469500000.0,469500000.0,469500000.0,469500000.0,,426100000.0,426100000.0,426100000.0,426100000.0,,414600000.0,414600000.0,414600000.0,414600000.0,,399300000.0,399300000.0,399300000.0,399300000.0,,341900000.0,341900000.0,341900000.0
LitigationReserveCurrent / USD,,,,,138200000.0,,362900000.0,362900000.0,362900000.0,362900000.0,,715600000.0,715600000.0,715600000.0,715600000.0,,297200000.0,297200000.0,297200000.0,297200000.0,,244000000.0,244000000.0,244000000.0,244000000.0,,472800000.0,472800000.0,472800000.0
LongTermDebtCurrent / USD,,,,,1508100000.0,,2308500000.0,2308500000.0,2308500000.0,2308500000.0,,1877500000.0,1877500000.0,1877500000.0,1877500000.0,,1259100000.0,1259100000.0,1259100000.0,1259100000.0,,1943400000.0,1943400000.0,1943400000.0,1943400000.0,,8300000.0,8300000.0,8300000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive / USD,,,,,14432000000.0,,14293000000.0,14330000000.0,14610000000.0,11940000000.0,,11854000000.0,11688000000.0,11493000000.0,10091000000.0,,10118000000.0,10132000000.0,10064000000.0,8580000000.0,,8549000000.0,8539000000.0,8592000000.0,8494000000.0,,8552000000.0,8673000000.0,8667000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths / USD,,,,,2250000000.0,,2250000000.0,0.0,0.0,1853000000.0,,1830000000.0,0.0,0.0,1250000000.0,,500000000.0,500000000.0,500000000.0,1932000000.0,,1888000000.0,1071000000.0,1114000000.0,0.0,,0.0,0.0,0.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive / USD,,,,,1361000000.0,,1337000000.0,1343000000.0,1329000000.0,2598000000.0,,2579000000.0,3340000000.0,3226000000.0,1660000000.0,,1671000000.0,1677000000.0,1649000000.0,1578000000.0,,1559000000.0,1553000000.0,1585000000.0,0.0,,0.0,0.0,0.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour / USD,,,,,2138000000.0,,2053000000.0,2075000000.0,2027000000.0,1318000000.0,,1303000000.0,1274000000.0,1240000000.0,2555000000.0,,2551000000.0,2527000000.0,2518000000.0,1688000000.0,,1667000000.0,1661000000.0,1696000000.0,1527000000.0,,1561000000.0,1634000000.0,1630000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree / USD,,,,,1250000000.0,,1250000000.0,2150000000.0,1250000000.0,1990000000.0,,1937000000.0,1835000000.0,1715000000.0,1285000000.0,,1292000000.0,1295000000.0,1279000000.0,2534000000.0,,2514000000.0,2499000000.0,1953000000.0,1630000000.0,,1669000000.0,1752000000.0,1747000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo / USD,,,,,2516000000.0,,2480000000.0,2489000000.0,1869000000.0,1250000000.0,,1250000000.0,1250000000.0,1250000000.0,1873000000.0,,1897000000.0,1909000000.0,1850000000.0,1302000000.0,,1289000000.0,1286000000.0,325000000.0,1929000000.0,,1942000000.0,1953000000.0,1945000000.0
LongTermDebtNoncurrent / USD,,,0.0,0.0,11214300000.0,,22429200000.0,22429200000.0,22429200000.0,22429200000.0,,19717100000.0,19717100000.0,19717100000.0,19717100000.0,,18015200000.0,18015200000.0,18015200000.0,18015200000.0,,16188100000.0,16188100000.0,16188100000.0,16188100000.0,,14038900000.0,14038900000.0,14038900000.0
NetCashProvidedByUsedInFinancingActivities / USD,0.0,0.0,0.0,0.0,-1090900000.0,,-24800000.0,-609100000.0,-754800000.0,-1169000000.0,,-1099800000.0,-1785300000.0,-2662800000.0,-605700000.0,,-1009000000.0,-1788600000.0,-2547300000.0,-3012000000.0,,-974700000.0,-1278200000.0,-1375800000.0,-3877900000.0,,-425600000.0,-1273500000.0,-2910200000.0
NetCashProvidedByUsedInInvestingActivities / USD,0.0,0.0,0.0,0.0,-1210400000.0,,-145600000.0,-220100000.0,-278800000.0,-525400000.0,,236300000.0,219500000.0,101300000.0,-301100000.0,,-66900000.0,-149000000.0,-264000000.0,-117800000.0,,-749500000.0,-836300000.0,-891200000.0,1474100000.0,,-154300000.0,221500000.0,1969400000.0
NetCashProvidedByUsedInOperatingActivities / USD,0.0,0.0,0.0,0.0,2341700000.0,,291100000.0,670600000.0,1195600000.0,1803700000.0,,848800000.0,1408200000.0,2493800000.0,1231800000.0,,1138500000.0,1941000000.0,2810000000.0,3016900000.0,,971200000.0,1496300000.0,2331500000.0,2999000000.0,,614600000.0,993700000.0,1820200000.0
NetIncomeLossAvailableToCommonStockholdersBasic / USD,,,,,,,20800000.0,60200000.0,245900000.0,,,-1037600000.0,-1316800000.0,-1005300000.0,,,399200000.0,713100000.0,1067400000.0,,,224700000.0,488700000.0,820300000.0,,,113900000.0,-212500000.0,-117700000.0
NumberOfReportableSegments / right,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0
NumberOfReportableSegments / segment,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
NumberOfReportingUnits / right,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,5.0,5.0
OciBeforeReclassificationsBeforeTaxAttributableToParent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,-142400000.0,-148600000.0,82600000.0
OperatingExpenses / USD,0.0,0.0,0.0,0.0,3096000000.0,,721400000.0,1612900000.0,2420000000.0,3182100000.0,,1393500000.0,2769000000.0,3985500000.0,4007500000.0,,1063800000.0,2218400000.0,3406700000.0,5609500000.0,,1142400000.0,2381800000.0,3621400000.0,4882100000.0,,1300100000.0,2985400000.0,4218700000.0
OperatingIncomeLoss / USD,,,,,905600000.0,,184700000.0,318900000.0,670300000.0,715500000.0,,-266200000.0,-314000000.0,43600000.0,-210800000.0,,707400000.0,1256100000.0,1816200000.0,-34000000.0,,399800000.0,769000000.0,1220700000.0,1614900000.0,,203900000.0,-36000000.0,189900000.0
OperatingLeaseLiability / USD,,,,,322400000.0,,,,,287600000.0,,,,,262000000.0,,,,,248400000.0,,,,,266400000.0,,,,
OperatingLeaseLiabilityCurrent / USD,,,,,76700000.0,,92900000.0,92900000.0,92900000.0,92900000.0,,86700000.0,86700000.0,86700000.0,86700000.0,,80600000.0,80600000.0,80600000.0,80600000.0,,83000000.0,83000000.0,83000000.0,83000000.0,,87100000.0,87100000.0,87100000.0
OperatingLeaseLiabilityNoncurrent / USD,,,,,175700000.0,,229500000.0,229500000.0,229500000.0,229500000.0,,200900000.0,200900000.0,200900000.0,200900000.0,,181400000.0,181400000.0,181400000.0,181400000.0,,165400000.0,165400000.0,165400000.0,165400000.0,,179300000.0,179300000.0,179300000.0
OperatingLeaseRightOfUseAsset / USD,,,,,254600000.0,,323600000.0,323600000.0,323600000.0,323600000.0,,290800000.0,290800000.0,290800000.0,290800000.0,,259300000.0,259300000.0,259300000.0,259300000.0,,245600000.0,245600000.0,245600000.0,245600000.0,,253100000.0,253100000.0,253100000.0
OperatingLeaseWeightedAverageDiscountRatePercent / pure,,,,,0.031,,,,,0.026,,,,,0.03,,,,,0.033,,,,,0.037,,,,
OtherAccruedLiabilitiesCurrent / USD,,,,,575300000.0,,1973200000.0,1973200000.0,1973200000.0,1973200000.0,,1254600000.0,1254600000.0,1254600000.0,1265500000.0,,978100000.0,978100000.0,978100000.0,978100000.0,,922200000.0,922200000.0,922200000.0,922200000.0,,1147500000.0,1147500000.0,1147500000.0
OtherAssetsCurrent / USD,,,0.0,0.0,286200000.0,,1236100000.0,1236100000.0,1236100000.0,1236100000.0,,1467100000.0,1467100000.0,1467100000.0,1467100000.0,,1404000000.0,1404000000.0,1404000000.0,328400000.0,,271000000.0,271000000.0,271000000.0,271000000.0,,387200000.0,387200000.0,387200000.0
OtherAssetsNoncurrent / USD,,,,,405000000.0,,1047500000.0,1047500000.0,1047500000.0,1047500000.0,,1170700000.0,1170700000.0,1170700000.0,1170700000.0,,2403500000.0,2403500000.0,2403500000.0,2403500000.0,,2208700000.0,2208700000.0,2208700000.0,2208700000.0,,2356900000.0,2356900000.0,2356900000.0
OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax / USD,,,,,,,,,,-415500000.0,,,,,1213000000.0,,,,,-1340900000.0,,,,,-1583500000.0,,,,
OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditBeforeTax / USD,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,600000.0,,,,
OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax / USD,,,,,-100000.0,,,,,500000.0,,,,,600000.0,,-1700000.0,-2700000.0,-3500000.0,-1100000.0,,900000.0,1100000.0,-200000.0,-2800000.0,,-300000.0,-300000.0,800000.0
OtherComprehensiveIncomeLossBeforeReclassificationsBeforeTax / USD,,,,,600000.0,,,,,-1100000.0,,,,,-2800000.0,,,,,1500000.0,,,,,-100000.0,,,,
OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax / USD,,,,,,,,,,76300000.0,,263400000.0,214200000.0,359300000.0,-325800000.0,,165100000.0,496000000.0,,,,-41700000.0,-20300000.0,142500000.0,,,156200000.0,221300000.0,-1800000.0
OtherComprehensiveIncomeLossBeforeTax / USD,0.0,0.0,0.0,0.0,-1096700000.0,,-667100000.0,-236500000.0,367400000.0,-343100000.0,,-490600000.0,-322200000.0,-548700000.0,912600000.0,,,,,-775200000.0,,,,,-884000000.0,,,,
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent / USD,,,,,,,,,,,,,,,,,-272000000.0,-1020400000.0,-1793000000.0,,,-15900000.0,-252600000.0,-414000000.0,,,-151200000.0,-169400000.0,57100000.0
OtherComprehensiveIncomeLossCashFlowHedgeGainLossBeforeReclassificationTax / USD,,,,,,,,,,,,,,,-10100000.0,,,,,39300000.0,,,,,-82100000.0,,,,
OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationBeforeTax / USD,,,,,,,,,,,,,,,300000.0,,13100000.0,40100000.0,,,,7700000.0,14400000.0,29000000.0,,,5000000.0,13400000.0,14300000.0
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax / USD,,,,,-1125200000.0,,-656600000.0,-204600000.0,483100000.0,,,-721200000.0,-560500000.0,-967900000.0,,,-469200000.0,-1619100000.0,-2782100000.0,,,45300000.0,-208800000.0,-559600000.0,,,-342500000.0,-432200000.0,77800000.0
OtherComprehensiveIncomeLossNetOfTax / USD,0.0,0.0,0.0,0.0,-1072600000.0,,-656300000.0,-227700000.0,373400000.0,-352300000.0,,-527600000.0,-347000000.0,-613900000.0,939200000.0,,-316700000.0,-1154900000.0,-2014800000.0,-886300000.0,,-3400000.0,-244400000.0,-447300000.0,-1016900000.0,,-193600000.0,-227800000.0,61100000.0
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax / USD,,,,,3800000.0,,1600000.0,-5000000.0,-3400000.0,24800000.0,,-800000.0,-73300000.0,-74100000.0,14000000.0,,2600000.0,2100000.0,3300000.0,-73900000.0,,-1300000.0,5500000.0,10400000.0,-279100000.0,,6200000.0,11800000.0,10400000.0
OtherComprehensiveIncomeLossTax / USD,0.0,0.0,0.0,0.0,-24100000.0,,-10800000.0,-8800000.0,-6000000.0,9200000.0,,37000000.0,24800000.0,65200000.0,-26600000.0,,44700000.0,134500000.0,221800000.0,111100000.0,,-12500000.0,-8200000.0,33300000.0,132900000.0,,42400000.0,58400000.0,-4000000.0
OtherLiabilitiesCurrent / USD,,,0.0,0.0,2319900000.0,,4960700000.0,4960700000.0,4960700000.0,4960700000.0,,4619600000.0,4619600000.0,4619600000.0,4619600000.0,,3440900000.0,3440900000.0,3440900000.0,3440900000.0,,3393900000.0,3393900000.0,3393900000.0,3393900000.0,,3724700000.0,3724700000.0,3724700000.0
OtherLiabilitiesNoncurrent / USD,,,,,960800000.0,,2483100000.0,2483100000.0,2483100000.0,2483100000.0,,1933600000.0,1933600000.0,1933600000.0,1933600000.0,,1756500000.0,1756500000.0,1756500000.0,1756500000.0,,1516900000.0,1516900000.0,1516900000.0,1516900000.0,,1939200000.0,1939200000.0,1939200000.0
OtherNoncashIncomeExpense / USD,,,,,-286100000.0,,-28700000.0,-97400000.0,-134300000.0,-360600000.0,,-33300000.0,-203500000.0,-288200000.0,-366400000.0,,-37800000.0,-3800000.0,-193000000.0,-411800000.0,,-29600000.0,-42900000.0,52100000.0,-434300000.0,,3000000.0,244900000.0,180600000.0
