fact_unit,2009-08-06,2009-11-05,2010-02-25,2010-05-06,2010-08-05,2010-09-14,2010-11-04,2011-02-24,2011-05-05,2011-05-23,2011-08-05,2011-11-04,2011-11-10,2012-02-24,2012-05-03,2012-06-13,2012-08-02,2012-11-01,2013-02-21,2013-05-09,2013-06-17,2013-08-08,2013-11-07,2014-02-27,2014-05-08,2014-08-07,2014-11-06,2015-02-26,2015-05-06,2015-08-06,2015-11-05,2016-02-25,2016-05-05,2016-08-04,2016-11-02,2017-02-23,2017-05-04,2017-08-04,2017-11-01,2018-02-22,2018-05-03,2018-08-02,2018-10-30,2019-02-21,2019-05-06,2019-08-02,2019-10-30,2020-02-20,2020-05-07,2020-08-03,2020-10-30,2021-02-18,2021-04-30,2021-07-30,2021-10-29,2022-02-17,2022-04-29,2022-07-29,2022-10-28,2023-02-16,2023-04-28,2023-08-02,2023-11-02,2024-02-15,2024-05-02,2024-08-01,2024-11-04,2025-02-13,2025-04-30,2025-08-06,2025-10-30
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-35799000.0,-35799000.0,-35799000.0,4681000.0,4681000.0,-35799000.0,4681000.0,4681000.0,-57818000.0,4681000.0,-57818000.0,-57818000.0,4681000.0,-57818000.0,-196718000.0,-57818000.0,-196718000.0,-196718000.0,-196718000.0,-193148000.0,-196718000.0,-193148000.0,-193148000.0,-193148000.0,-155162000.0,-155162000.0,-155162000.0,-155162000.0,-172152000.0,-172152000.0,-172152000.0,-172152000.0,-152016000.0,-152016000.0,-152016000.0,-152016000.0,-113909000.0,-113909000.0,-113909000.0,-113909000.0,-88612000.0,-88612000.0,-88612000.0,-88612000.0,-64986000.0,-64986000.0,-64986000.0,-64986000.0,-77563000.0,-77563000.0,-77563000.0,-77563000.0,-43666000.0,-43666000.0,-43666000.0,-43666000.0,-34272000.0,-34272000.0,-34272000.0,-34272000.0,-2547000.0,-2547000.0,-2547000.0,-2547000.0,5704000.0,5704000.0,5704000.0,5704000.0,4214000.0,4214000.0,4214000.0
AdditionalPaidInCapital / USD,4273489000.0,4273489000.0,4273489000.0,4477426000.0,4477426000.0,4273489000.0,4477426000.0,4477426000.0,4741521000.0,4477426000.0,4741521000.0,4741521000.0,4477426000.0,4741521000.0,5047186000.0,4741521000.0,5047186000.0,5047186000.0,5047186000.0,6542355000.0,5047186000.0,6542355000.0,6542355000.0,6542355000.0,8561500000.0,8561500000.0,8561500000.0,8561500000.0,8536340000.0,8536340000.0,8536340000.0,8536340000.0,8572365000.0,8572365000.0,8572365000.0,8572365000.0,8758422000.0,8758422000.0,8758422000.0,8758422000.0,8886586000.0,8886586000.0,8886586000.0,8886586000.0,8935453000.0,8935453000.0,8935453000.0,8935453000.0,8965577000.0,8965577000.0,8965577000.0,8965577000.0,9128599000.0,9128599000.0,9128599000.0,9128599000.0,9121122000.0,9121122000.0,9121122000.0,9121122000.0,9476085000.0,9476085000.0,9476085000.0,9476085000.0,9601866000.0,9601866000.0,9601866000.0,9601866000.0,9611826000.0,9611826000.0,9611826000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,22311000.0,,22311000.0,,,22311000.0,17843000.0,,17843000.0,,,18875000.0,,18875000.0,,,21177000.0,,,,24832000.0,,,,35474000.0,,,,27543000.0,,,,34607000.0,,,,30530000.0,,,,24997000.0,,,,27132000.0,,,,24449000.0,,,,23174000.0,,,,27810000.0,,,,29513000.0,,,
AmortizationOfDebtDiscountPremium / USD,2697000.0,4060000.0,5082000.0,1706000.0,2541000.0,5082000.0,3346000.0,9730000.0,565000.0,9730000.0,1123000.0,1454000.0,9730000.0,5857000.0,373000.0,5857000.0,851000.0,144000.0,-471000.0,-1567000.0,-471000.0,-3538000.0,-5795000.0,-1478000.0,-7071000.0,-23031000.0,-37612000.0,-8181000.0,-2938000.0,-5876000.0,-8750000.0,-156439000.0,-3751000.0,-5611000.0,-7718000.0,-13520000.0,-19563000.0,-19010000.0,-18328000.0,-10569000.0,1130000.0,1391000.0,2018000.0,-17986000.0,1532000.0,3263000.0,21360000.0,3536000.0,1418000.0,17795000.0,10137000.0,22781000.0,1276000.0,2553000.0,3834000.0,11780000.0,1294000.0,2593000.0,3934000.0,5231000.0,1358000.0,2891000.0,4123000.0,5302000.0,868000.0,1740000.0,2815000.0,5004000.0,1267000.0,2536000.0,3823000.0
AmortizationOfDeferredHedgeGains / USD,527000.0,893000.0,575000.0,1148000.0,1604000.0,575000.0,2003000.0,1317000.0,593000.0,1317000.0,1198000.0,1978000.0,1317000.0,2228000.0,822000.0,2228000.0,1624000.0,2441000.0,2804000.0,3429000.0,2804000.0,6935000.0,10506000.0,3808000.0,8139000.0,11830000.0,15683000.0,14144000.0,3996000.0,8068000.0,12205000.0,19607000.0,4205000.0,8751000.0,13483000.0,16334000.0,28585000.0,32850000.0,37187000.0,18075000.0,4580000.0,9246000.0,14010000.0,41680000.0,4788000.0,9302000.0,13893000.0,18847000.0,4390000.0,8896000.0,14650000.0,18440000.0,5631000.0,11392000.0,17266000.0,21176000.0,2301000.0,4631000.0,6991000.0,35075000.0,2422000.0,4875000.0,9978000.0,9382000.0,1092000.0,2195000.0,3123000.0,11059000.0,608000.0,1204000.0,1811000.0
AmortizationOfFinancingCosts / USD,4338000.0,6748000.0,10077000.0,2962000.0,6214000.0,10073000.0,9311000.0,9647000.0,2996000.0,9626000.0,5295000.0,7729000.0,9582000.0,12327000.0,3005000.0,12327000.0,7401000.0,11900000.0,9576000.0,2934000.0,9453000.0,6945000.0,10265000.0,16616000.0,6948000.0,11301000.0,15636000.0,-21295000.0,2792000.0,5926000.0,8554000.0,22197000.0,2589000.0,5127000.0,7734000.0,11088000.0,5394000.0,7739000.0,10000000.0,10801000.0,2296000.0,4383000.0,6447000.0,12633000.0,3679000.0,5778000.0,9054000.0,8526000.0,2136000.0,5783000.0,8664000.0,11310000.0,2041000.0,4152000.0,6253000.0,11670000.0,2185000.0,4124000.0,6172000.0,8939000.0,2077000.0,4201000.0,6421000.0,8737000.0,1979000.0,3996000.0,7023000.0,8729000.0,1918000.0,3836000.0,5784000.0
Assets / USD,16535110000.0,16535110000.0,16535110000.0,15417515000.0,15417515000.0,16535110000.0,15417515000.0,15417515000.0,16184194000.0,15417515000.0,16184194000.0,16184194000.0,15417515000.0,16184194000.0,16659303000.0,16184194000.0,16659303000.0,16659303000.0,16659303000.0,17201000000.0,16659303000.0,17201000000.0,17201000000.0,17201000000.0,22834545000.0,22834545000.0,22834545000.0,22834545000.0,22950614000.0,22950614000.0,22950614000.0,22950614000.0,23110196000.0,23110196000.0,23110196000.0,23110196000.0,20704148000.0,20704148000.0,20704148000.0,20704148000.0,20570599000.0,20570599000.0,20570599000.0,20570599000.0,20394209000.0,20394209000.0,20394209000.0,20394209000.0,21172769000.0,21172769000.0,21172769000.0,21172769000.0,20286891000.0,20286891000.0,20286891000.0,20286891000.0,21169241000.0,21169241000.0,21169241000.0,21169241000.0,20218262000.0,20218262000.0,20218262000.0,20218262000.0,20034564000.0,20034564000.0,20034564000.0,20034564000.0,20834176000.0,20834176000.0,20834176000.0
CashAndCashEquivalentsAtCarryingValue / USD,50831000.0,50831000.0,260277000.0,890794000.0,890794000.0,260277000.0,890794000.0,50831000.0,193288000.0,50831000.0,193288000.0,193288000.0,50831000.0,890794000.0,431408000.0,890794000.0,431408000.0,431408000.0,193288000.0,383921000.0,193288000.0,383921000.0,383921000.0,431408000.0,612590000.0,612590000.0,612590000.0,383921000.0,53534000.0,53534000.0,53534000.0,612590000.0,40080000.0,40080000.0,40080000.0,53534000.0,42276000.0,42276000.0,42276000.0,42276000.0,42139000.0,37719000.0,46565000.0,77207000.0,44453000.0,34507000.0,32995000.0,50647000.0,29391000.0,251273000.0,28777000.0,47442000.0,82335000.0,187416000.0,178333000.0,45753000.0,35453000.0,39492000.0,39707000.0,42591000.0,41140000.0,45010000.0,44788000.0,123832000.0,133460000.0,35701000.0,39250000.0,53869000.0,44535000.0,38298000.0,28610000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155115000.0,100762000.0,100762000.0,100762000.0,219088000.0,116313000.0,116313000.0,116313000.0,100762000.0,116999000.0,116999000.0,116999000.0,116313000.0,99728000.0,99728000.0,99728000.0,116999000.0,360236000.0,360236000.0,360236000.0,99728000.0,137172000.0,137172000.0,137172000.0,360236000.0,139995000.0,139995000.0,139995000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5353000.0,-32865000.0,94025000.0,-124912000.0,63973000.0,-6051000.0,-11885000.0,-12012000.0,-118326000.0,-22807000.0,193155000.0,-31717000.0,15551000.0,23771000.0,128534000.0,118215000.0,686000.0,-1892000.0,292773000.0,127021000.0,-17271000.0,-248536000.0,-241585000.0,-238769000.0,260508000.0,81913000.0,-12530000.0,-10445000.0,-223064000.0,56565000.0,-1574000.0,-13436000.0
