fact_unit,2010-07-23,2010-10-22,2011-02-16,2011-04-22,2011-07-22,2011-10-21,2012-02-15,2012-04-20,2012-07-20,2012-10-19,2013-02-13,2013-04-19,2013-07-19,2013-10-18,2014-02-18,2014-04-22,2014-07-22,2014-10-24,2015-02-19,2015-04-24,2015-07-24,2015-10-23,2016-02-18,2016-04-27,2016-07-27,2016-10-26,2017-02-16,2017-04-26,2017-07-26,2017-10-25,2018-02-15,2018-04-25,2018-07-25,2018-10-24,2019-02-15,2019-05-01,2019-07-31,2019-10-30,2020-02-14,2020-05-01,2020-07-31,2020-10-28,2021-02-11,2021-04-28,2021-07-28,2021-10-27,2022-02-11,2022-04-27,2022-07-27,2022-10-26,2023-02-09,2023-04-28,2023-07-26,2023-11-01,2024-02-08,2024-05-01,2024-07-31,2024-10-30,2025-02-13,2025-05-02,2025-07-30,2025-10-29
AccountsPayableCurrent / USD,130800000.0,130800000.0,130800000.0,160800000.0,160800000.0,160800000.0,160800000.0,215700000.0,215700000.0,215700000.0,215700000.0,213100000.0,213100000.0,213100000.0,213100000.0,225900000.0,225900000.0,225900000.0,225900000.0,244000000.0,244000000.0,244000000.0,244000000.0,289500000.0,289500000.0,289500000.0,289500000.0,291600000.0,291600000.0,291600000.0,291600000.0,326500000.0,326500000.0,326500000.0,326500000.0,393700000.0,393700000.0,393700000.0,393700000.0,347700000.0,347700000.0,347700000.0,347700000.0,378000000.0,378000000.0,378000000.0,339200000.0,532800000.0,532800000.0,532800000.0,532800000.0,529900000.0,529900000.0,529900000.0,529900000.0,563500000.0,563500000.0,563500000.0,563500000.0,541700000.0,541700000.0,541700000.0
AccountsReceivableGrossCurrent / USD,,,,,,,351700000.0,,,,407700000.0,,,,421200000.0,,,,461100000.0,,,,494000000.0,,,,491500000.0,,,,565500000.0,,,,576300000.0,,,,739100000.0,,,,696800000.0,,,,574100000.0,,,,695700000.0,,,,778000000.0,,,,805500000.0,,,
AccrualForEnvironmentalLossContingencies / USD,,,,,,,13600000.0,,,,13000000.0,,,,12500000.0,,,,12300000.0,,,,13900000.0,,,,14200000.0,,,,5200000.0,,,,4900000.0,,,,8500000.0,,,,8000000.0,,,,7600000.0,,,,6400000.0,,,,6300000.0,,,,6700000.0,,,
AccruedIncomeTaxesCurrent / USD,,,,,,15200000.0,15200000.0,23300000.0,23300000.0,23300000.0,23300000.0,14100000.0,14100000.0,14100000.0,14100000.0,11800000.0,11800000.0,11800000.0,11800000.0,5800000.0,5800000.0,5800000.0,5800000.0,2100000.0,2100000.0,2100000.0,2100000.0,8400000.0,8400000.0,8400000.0,8400000.0,27500000.0,27500000.0,27500000.0,27500000.0,3400000.0,3400000.0,3400000.0,3400000.0,6000000.0,6000000.0,6000000.0,6000000.0,4600000.0,4600000.0,4600000.0,4500000.0,4800000.0,4800000.0,4800000.0,4800000.0,4500000.0,4500000.0,4500000.0,4500000.0,21100000.0,21100000.0,21100000.0,21100000.0,21400000.0,21400000.0,21400000.0
AccruedInsuranceCurrent / USD,49300000.0,49300000.0,49300000.0,48500000.0,48500000.0,48500000.0,48500000.0,46200000.0,46200000.0,46200000.0,46200000.0,39600000.0,39600000.0,39600000.0,39600000.0,41800000.0,41800000.0,41800000.0,41800000.0,47800000.0,47800000.0,47800000.0,47800000.0,50400000.0,50400000.0,50400000.0,50400000.0,55800000.0,55800000.0,55800000.0,55800000.0,60000000.0,60000000.0,60000000.0,60000000.0,61300000.0,61300000.0,61300000.0,61300000.0,68100000.0,68100000.0,68100000.0,68100000.0,71600000.0,71600000.0,71600000.0,67200000.0,73300000.0,73300000.0,73300000.0,73300000.0,75600000.0,75600000.0,75600000.0,75600000.0,79100000.0,79100000.0,79100000.0,79100000.0,89000000.0,89000000.0,89000000.0
AccruedLiabilitiesCurrent / USD,154700000.0,154700000.0,154700000.0,141600000.0,141600000.0,141600000.0,141600000.0,133700000.0,133700000.0,133700000.0,133700000.0,119300000.0,119300000.0,119300000.0,119300000.0,124300000.0,124300000.0,124300000.0,124300000.0,130000000.0,130000000.0,130000000.0,130000000.0,139700000.0,139700000.0,139700000.0,139700000.0,156200000.0,156200000.0,156200000.0,156200000.0,174900000.0,174900000.0,174900000.0,174900000.0,226600000.0,226600000.0,226600000.0,226600000.0,262200000.0,262200000.0,262200000.0,262200000.0,254000000.0,254000000.0,254000000.0,224600000.0,263400000.0,263400000.0,263400000.0,263400000.0,334100000.0,334100000.0,334100000.0,334100000.0,365200000.0,365200000.0,365200000.0,365200000.0,372400000.0,372400000.0,372400000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,-548400000.0,,,,577900000.0,,,,607700000.0,,,,627800000.0,,,,656200000.0,,,,681400000.0,,,,693600000.0,,,,703500000.0,,,,727100000.0,,,,749100000.0,,,,668700000.0,,,,694400000.0,,,,718600000.0,,,,756100000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,,-68800000.0,,-81300000.0,-81300000.0,-81300000.0,-150400000.0,-150400000.0,-150400000.0,-81300000.0,-119100000.0,-119100000.0,-119100000.0,-119100000.0,-71000000.0,-71000000.0,-71000000.0,-150400000.0,-164300000.0,-164300000.0,-164300000.0,-119100000.0,-224200000.0,-224200000.0,-224200000.0,-224200000.0,-302500000.0,-302500000.0,-302500000.0,-302500000.0,-269800000.0,-269800000.0,-269800000.0,-269800000.0,,,,-285700000.0,,,,-332900000.0,,,,-329200000.0,,,,-330800000.0,,,,-345200000.0,,,,-312400000.0,,,
AdditionalPaidInCapitalCommonStock / USD,,,158400000.0,,201300000.0,201300000.0,201300000.0,101800000.0,101800000.0,101800000.0,101800000.0,64000000.0,64000000.0,64000000.0,64000000.0,44200000.0,44200000.0,44200000.0,236600000.0,146700000.0,146700000.0,146700000.0,146700000.0,78100000.0,78100000.0,78100000.0,78100000.0,15400000.0,15400000.0,15400000.0,15400000.0,11000000.0,11000000.0,11000000.0,11000000.0,,,,1300000.0,,,,0.0,,,,4900000.0,,,,0.0,,,,0.0,,,,6100000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,,,,-3600000.0,,,,3000000.0,,,,3200000.0,,,,2100000.0,,,,3400000.0,,,,4700000.0,,,,4700000.0,,,,4600000.0,,,,4800000.0,7700000.0,7700000.0,7700000.0,7700000.0,12500000.0,12500000.0,12500000.0,10600000.0,10600000.0,10600000.0,10600000.0,10600000.0,14300000.0,14300000.0,14300000.0,14300000.0,11600000.0,11600000.0,11600000.0,11600000.0,11300000.0,11300000.0,11300000.0
