fact_unit,2009-08-06,2009-10-26,2010-02-19,2010-04-23,2010-07-26,2010-10-22,2011-02-24,2011-04-29,2011-07-21,2011-10-20,2012-02-17,2012-04-17,2012-07-20,2012-10-18,2013-02-19,2013-04-22,2013-07-18,2013-10-17,2014-02-12,2014-04-22,2014-07-22,2014-10-21,2015-02-10,2015-04-21,2015-07-21,2015-10-20,2016-02-09,2016-05-10,2016-07-19,2016-10-19,2017-02-09,2017-05-10,2017-07-20,2017-10-17,2018-02-15,2018-04-17,2018-07-17,2018-10-16,2019-02-12,2019-04-16,2019-07-17,2019-10-15,2020-02-11,2020-04-28,2020-07-28,2020-10-27,2021-02-18,2021-04-20,2021-07-20,2021-10-20,2022-02-09,2022-04-20,2022-07-20,2022-10-19,2023-02-08,2023-04-19,2023-07-19,2023-10-18,2024-02-07,2024-04-17,2024-07-17,2024-10-16,2025-02-05,2025-04-16,2025-07-16,2025-10-22
AccountsPayableCurrent / USD,6881200000.0,6881200000.0,6881200000.0,7143900000.0,7143900000.0,7143900000.0,7143900000.0,7726900000.0,7726900000.0,7726900000.0,7726900000.0,8060000000.0,8060000000.0,8060000000.0,8060000000.0,8296700000.0,8296700000.0,8296700000.0,8296700000.0,8358900000.0,8358900000.0,8358900000.0,8358900000.0,8797500000.0,8797500000.0,8797500000.0,8797500000.0,9812000000.0,9812000000.0,9812000000.0,9812000000.0,10476700000.0,10476700000.0,10476700000.0,10476700000.0,11574600000.0,11574600000.0,11574600000.0,11574600000.0,11464300000.0,11464300000.0,11464300000.0,11464300000.0,11768400000.0,11768400000.0,11768400000.0,11768400000.0,11513000000.0,11513000000.0,11513000000.0,11513000000.0,11897200000.0,11897200000.0,11897200000.0,11897200000.0,11000200000.0,11000200000.0,11000200000.0,11000200000.0,11634000000.0,11634000000.0,11634000000.0,11634000000.0,12484400000.0,12484400000.0,12484400000.0
AccountsReceivableNetCurrent / USD,5775500000.0,5775500000.0,5775500000.0,5574100000.0,5574100000.0,5574100000.0,5574100000.0,5977200000.0,5977200000.0,5977200000.0,5977200000.0,6632000000.0,6632000000.0,6632000000.0,6632000000.0,6958200000.0,6958200000.0,6958200000.0,6958200000.0,6632600000.0,6632600000.0,6632600000.0,6632600000.0,6524700000.0,6524700000.0,6524700000.0,6524700000.0,7220900000.0,7220900000.0,7220900000.0,7220900000.0,7510800000.0,7510800000.0,7510800000.0,7510800000.0,8083800000.0,8083800000.0,8083800000.0,8083800000.0,7666100000.0,7666100000.0,7666100000.0,7666100000.0,7829000000.0,7829000000.0,7829000000.0,7829000000.0,7813400000.0,7813400000.0,7813400000.0,7813400000.0,8472500000.0,8472500000.0,8472500000.0,8472500000.0,8097100000.0,8097100000.0,8097100000.0,8097100000.0,8659800000.0,8659800000.0,8659800000.0,8659800000.0,9242000000.0,9242000000.0,9242000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-247300000.0,-247300000.0,-247300000.0,-8000000.0,-8000000.0,-8000000.0,-8000000.0,-106400000.0,-106400000.0,-106400000.0,-106400000.0,-191700000.0,-191700000.0,-191700000.0,-191700000.0,-129500000.0,-129500000.0,-129500000.0,-129500000.0,-129500000.0,-129500000.0,-129500000.0,-129500000.0,-191600000.0,-191600000.0,-191600000.0,-191600000.0,-618200000.0,-618200000.0,-618200000.0,-618200000.0,-1015400000.0,-1015400000.0,-1015400000.0,-1015400000.0,-1356000000.0,-1356000000.0,-1356000000.0,-1356000000.0,-963000000.0,-963000000.0,-963000000.0,-963000000.0,-1228500000.0,-1228500000.0,-1228500000.0,-1228500000.0,-1197600000.0,-1197600000.0,-1197600000.0,-1197600000.0,-1213800000.0,-1213800000.0,-1213800000.0,-1213800000.0,-1252300000.0,-1252300000.0,-1252300000.0,-1252300000.0,-1437900000.0,-1437900000.0,-1437900000.0,-1437900000.0,-1475900000.0,-1475900000.0,-1475900000.0
AdditionalPaidInCapitalCommonStock / USD,1629000000.0,1629000000.0,1629000000.0,1408200000.0,1408200000.0,1408200000.0,1408200000.0,1271900000.0,1271900000.0,1271900000.0,1271900000.0,1043500000.0,1043500000.0,1043500000.0,1043500000.0,836600000.0,836600000.0,836600000.0,836600000.0,817100000.0,817100000.0,817100000.0,817100000.0,818600000.0,818600000.0,818600000.0,818600000.0,859900000.0,859900000.0,859900000.0,859900000.0,798300000.0,798300000.0,798300000.0,798300000.0,828300000.0,828300000.0,828300000.0,828300000.0,728800000.0,728800000.0,728800000.0,728800000.0,760900000.0,760900000.0,760900000.0,760900000.0,747800000.0,747800000.0,747800000.0,747800000.0,622000000.0,622000000.0,622000000.0,622000000.0,571100000.0,571100000.0,571100000.0,571100000.0,492000000.0,492000000.0,492000000.0,492000000.0,472100000.0,472100000.0,472100000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,59300000.0,,,,78600000.0,,,,69300000.0,,,,74500000.0,,,,80800000.0,,,,86300000.0,,,,93500000.0,,,,99400000.0,,,,93400000.0,,,,80200000.0,,,,70500000.0,,,,72500000.0,,,,70800000.0,,,,84700000.0,,,,81700000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,59900000.0,59900000.0,59900000.0,59500000.0,59500000.0,59500000.0,59500000.0,46700000.0,46700000.0,46700000.0,46700000.0,40600000.0,40600000.0,40600000.0,40600000.0,35900000.0,35900000.0,35900000.0,35900000.0,32600000.0,32600000.0,32600000.0,32600000.0,24900000.0,24900000.0,24900000.0,24900000.0,22500000.0,22500000.0,22500000.0,22500000.0,24900000.0,24900000.0,24900000.0,24900000.0,32100000.0,32100000.0,32100000.0,32100000.0,26800000.0,26800000.0,26800000.0,26800000.0,21500000.0,21500000.0,21500000.0,21500000.0,30400000.0,30400000.0,30400000.0,30400000.0,21700000.0,21700000.0,21700000.0,21700000.0,24700000.0,24700000.0,24700000.0,24700000.0,17200000.0,17200000.0,17200000.0,17200000.0,15000000.0,15000000.0,15000000.0
AmortizationOfIntangibleAssets / USD,24800000.0,38500000.0,44400000.0,13000000.0,26500000.0,41200000.0,53100000.0,16300000.0,32700000.0,50700000.0,56300000.0,20700000.0,43900000.0,67700000.0,70800000.0,24000000.0,47900000.0,75200000.0,91400000.0,25400000.0,50600000.0,76300000.0,101100000.0,24400000.0,50200000.0,77100000.0,100800000.0,27300000.0,54500000.0,80800000.0,107100000.0,28300000.0,56800000.0,85700000.0,109300000.0,30400000.0,58900000.0,86800000.0,115200000.0,27500000.0,54500000.0,79700000.0,113800000.0,21600000.0,42800000.0,64000000.0,102500000.0,20800000.0,42200000.0,62400000.0,83800000.0,19900000.0,41100000.0,59800000.0,83100000.0,19400000.0,40200000.0,60300000.0,80000000.0,19300000.0,38600000.0,58900000.0,80300000.0,25800000.0,52100000.0,78600000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,25300000.0,21900000.0,6900000.0,12500000.0,11500000.0,9000000.0,10900000.0,300000.0,300000.0,1600000.0,3000000.0,200000.0,300000.0,200000.0,1700000.0,100000.0,100000.0,100000.0,300000.0,100000.0,100000.0,0.0,700000.0,100000.0,100000.0,100000.0,600000.0,100000.0,0.0,0.0,100000.0,1000000.0,1000000.0,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,900000.0,900000.0,900000.0,1000000.0,900000.0,800000.0,800000.0,900000.0,700000.0,700000.0,700000.0,800000.0,500000.0,4400000.0,4300000.0,4700000.0,,,,4300000.0,0.0,0.0,0.0
Assets / USD,17318400000.0,17318400000.0,17318400000.0,17920700000.0,17920700000.0,17920700000.0,17920700000.0,19566100000.0,19566100000.0,19566100000.0,19566100000.0,20505400000.0,20505400000.0,20505400000.0,20505400000.0,22151900000.0,22151900000.0,22151900000.0,22151900000.0,22098700000.0,22098700000.0,22098700000.0,22098700000.0,21559700000.0,21559700000.0,21559700000.0,21428400000.0,22110700000.0,22110700000.0,22110700000.0,22110700000.0,23165400000.0,23165400000.0,23165400000.0,23165400000.0,24931200000.0,24931200000.0,24931200000.0,24931200000.0,24617000000.0,24617000000.0,24617000000.0,24617000000.0,26783400000.0,26783400000.0,26783400000.0,26783400000.0,27647200000.0,27647200000.0,27647200000.0,27647200000.0,28421800000.0,28421800000.0,28421800000.0,28421800000.0,27002500000.0,27002500000.0,27002500000.0,27002500000.0,28044600000.0,28044600000.0,28044600000.0,28044600000.0,29620700000.0,29620700000.0,29620700000.0
AssetsCurrent / USD,8564900000.0,8564900000.0,8564900000.0,8788500000.0,8788500000.0,8788500000.0,8788500000.0,10194100000.0,10194100000.0,10194100000.0,10194100000.0,10421500000.0,10421500000.0,10421500000.0,10421500000.0,11661400000.0,11661400000.0,11661400000.0,11661400000.0,11652300000.0,11652300000.0,11652300000.0,11652300000.0,11190500000.0,11190500000.0,11190500000.0,11079700000.0,11980500000.0,11980500000.0,11980500000.0,11980500000.0,12722000000.0,12722000000.0,12722000000.0,12722000000.0,14116000000.0,14116000000.0,14116000000.0,14116000000.0,13726900000.0,13726900000.0,13726900000.0,13726900000.0,14584700000.0,14584700000.0,14584700000.0,14584700000.0,15590100000.0,15590100000.0,15590100000.0,15590100000.0,15909500000.0,15909500000.0,15909500000.0,15909500000.0,14613000000.0,14613000000.0,14613000000.0,14613000000.0,15384200000.0,15384200000.0,15384200000.0,15384200000.0,16223000000.0,16223000000.0,16223000000.0
