fact_unit,2015-12-17,2016-03-10,2016-06-08,2016-09-08,2016-12-15,2017-03-09,2017-06-08,2017-09-07,2017-12-15,2018-03-09,2018-06-07,2018-09-04,2018-12-12,2019-03-05,2019-05-31,2019-08-30,2019-12-13,2020-03-09,2020-06-02,2020-09-03,2020-12-10,2021-03-04,2021-06-03,2021-09-03,2021-12-10,2022-03-03,2022-06-03,2022-09-01,2022-12-08,2023-03-07,2023-06-02,2023-09-01,2023-12-22,2024-03-05,2024-06-05,2024-09-05,2024-12-19,2025-03-07,2025-06-04,2025-09-04
AccountsPayableCurrent / USD,4889000000.0,5828000000.0,5828000000.0,5828000000.0,5828000000.0,5943000000.0,5010000000.0,5010000000.0,4945000000.0,6072000000.0,6072000000.0,6072000000.0,6072000000.0,6092000000.0,6092000000.0,6092000000.0,6092000000.0,5595000000.0,5595000000.0,5595000000.0,5595000000.0,5383000000.0,5383000000.0,5383000000.0,5383000000.0,7004000000.0,7004000000.0,7004000000.0,7004000000.0,8717000000.0,8717000000.0,8717000000.0,8717000000.0,7136000000.0,7136000000.0,7136000000.0,7136000000.0,11064000000.0,11064000000.0,11064000000.0
AccountsReceivableGrossCurrent / USD,8549000000.0,8647000000.0,8647000000.0,8647000000.0,7251000000.0,6993000000.0,3872000000.0,3872000000.0,3050000000.0,,,,2892000000.0,3117000000.0,3117000000.0,3117000000.0,3117000000.0,2782000000.0,2782000000.0,2782000000.0,2782000000.0,3227000000.0,3227000000.0,3227000000.0,3227000000.0,3796000000.0,3796000000.0,3796000000.0,3796000000.0,3881000000.0,3881000000.0,3881000000.0,3881000000.0,3254000000.0,3254000000.0,3254000000.0,3254000000.0,3236000000.0,3236000000.0,3236000000.0
AccountsReceivableNetCurrent / USD,8423000000.0,8538000000.0,8538000000.0,8538000000.0,8538000000.0,6909000000.0,3816000000.0,3816000000.0,3151000000.0,3073000000.0,3073000000.0,3073000000.0,3073000000.0,3263000000.0,3263000000.0,3263000000.0,3263000000.0,2957000000.0,2957000000.0,2957000000.0,2957000000.0,3386000000.0,3386000000.0,3386000000.0,3386000000.0,3979000000.0,3979000000.0,3979000000.0,3979000000.0,4101000000.0,4101000000.0,4101000000.0,4101000000.0,3481000000.0,3481000000.0,3481000000.0,3481000000.0,3550000000.0,3550000000.0,3550000000.0
AccruedIncomeTaxesNoncurrent / USD,,,,778000000.0,,4057000000.0,3950000000.0,3950000000.0,,,,,,,,,,,,,538000000.0,,,,447000000.0,,,,365000000.0,,,,271000000.0,,,,233000000.0,,,
AccruedMarketingCostsCurrent / USD,862000000.0,,,,908000000.0,858000000.0,853000000.0,853000000.0,837000000.0,,,,780000000.0,,,,910000000.0,,,,1065000000.0,,,,1022000000.0,,,,977000000.0,,,,1052000000.0,,,,1070000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,8440000000.0,11538000000.0,11538000000.0,11538000000.0,11538000000.0,12109000000.0,6620000000.0,6620000000.0,6522000000.0,5608000000.0,5608000000.0,5608000000.0,5608000000.0,5678000000.0,5678000000.0,5678000000.0,5678000000.0,5847000000.0,,,5847000000.0,,,,5974000000.0,,,,5949000000.0,,,,5522000000.0,,,,5980000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-2248000000.0,-5015000000.0,-5015000000.0,-5015000000.0,-5015000000.0,-6599000000.0,-6599000000.0,-6599000000.0,-6599000000.0,-2895000000.0,-2895000000.0,-2895000000.0,-2895000000.0,-3218000000.0,-3218000000.0,-3218000000.0,-3218000000.0,-3727000000.0,-3727000000.0,-3727000000.0,-3727000000.0,-3939000000.0,-3939000000.0,-3939000000.0,-3939000000.0,-2915000000.0,-2915000000.0,-2915000000.0,-2915000000.0,-3098000000.0,-3098000000.0,-3098000000.0,-3098000000.0,-3084000000.0,-3084000000.0,-3084000000.0,-3084000000.0,-2977000000.0,-2977000000.0,-2977000000.0
AdditionalPaidInCapitalCommonStock / USD,,36238000000.0,36483000000.0,0.0,0.0,35248000000.0,35248000000.0,35248000000.0,35248000000.0,33583000000.0,33583000000.0,33583000000.0,33583000000.0,30342000000.0,30342000000.0,30342000000.0,30342000000.0,28444000000.0,28444000000.0,28444000000.0,28444000000.0,28350000000.0,28350000000.0,28350000000.0,28350000000.0,28470000000.0,28470000000.0,28470000000.0,28470000000.0,28299000000.0,28299000000.0,28299000000.0,28299000000.0,28199000000.0,28199000000.0,28199000000.0,28199000000.0,29848000000.0,29848000000.0,29848000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,175000000.0,,,,61000000.0,,,,89000000.0,,,,86000000.0,,,,111000000.0,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,378000000.0,506000000.0,,,,,,,,,620000000.0,,,,309000000.0,,,,270000000.0,,,,278000000.0,,,,382000000.0,,,,391000000.0,,,
