fact_unit,2015-03-05,2015-06-04,2015-09-03,2015-12-21,2016-03-04,2016-06-03,2016-09-02,2016-12-19,2017-02-28,2017-06-07,2017-09-06,2017-12-20,2018-03-08,2018-06-05,2018-08-31,2018-12-18,2019-03-05,2019-05-30,2019-06-25,2019-08-30,2019-12-18,2020-03-05,2020-06-02,2020-09-01,2020-12-17,2021-03-03,2021-05-28,2021-08-31,2021-12-17,2022-03-01,2022-06-01,2022-08-30,2022-12-15,2023-03-03,2023-05-31,2023-08-30,2023-12-15,2024-03-05,2024-05-31,2024-08-29,2024-12-17,2025-03-06,2025-06-03,2025-08-29
AccountsPayableCurrent / USD,173000000.0,173000000.0,173000000.0,173000000.0,209000000.0,209000000.0,209000000.0,209000000.0,189000000.0,189000000.0,189000000.0,189000000.0,211000000.0,211000000.0,211000000.0,211000000.0,242000000.0,242000000.0,211000000.0,242000000.0,242000000.0,253000000.0,253000000.0,253000000.0,253000000.0,224000000.0,224000000.0,224000000.0,224000000.0,287000000.0,287000000.0,287000000.0,287000000.0,348000000.0,348000000.0,348000000.0,348000000.0,286000000.0,286000000.0,286000000.0,286000000.0,313000000.0,313000000.0,313000000.0
AccountsReceivableNetCurrent / USD,357000000.0,357000000.0,357000000.0,357000000.0,398000000.0,398000000.0,398000000.0,398000000.0,437000000.0,437000000.0,437000000.0,437000000.0,547000000.0,547000000.0,547000000.0,547000000.0,624000000.0,624000000.0,547000000.0,624000000.0,624000000.0,668000000.0,668000000.0,668000000.0,668000000.0,606000000.0,606000000.0,606000000.0,606000000.0,735000000.0,735000000.0,735000000.0,735000000.0,905000000.0,905000000.0,905000000.0,905000000.0,900000000.0,900000000.0,900000000.0,900000000.0,857000000.0,857000000.0,857000000.0
AccruedIncomeTaxesCurrent / USD,,,,60000000.0,,,,30000000.0,,,,19000000.0,,,,7000000.0,,,7000000.0,,18000000.0,,,,35000000.0,,,,40000000.0,,,,44000000.0,,,,58000000.0,,,,49000000.0,,,
AccruedIncomeTaxesNoncurrent / USD,,,,82000000.0,,,,21000000.0,,,,21000000.0,,,,39000000.0,,,39000000.0,,205000000.0,,,,198000000.0,,,,212000000.0,,,,219000000.0,,,,190000000.0,,,,210000000.0,,,
AccruedVacationCurrentAndNoncurrent / USD,,,,70000000.0,,,,63000000.0,,,,66000000.0,,,,72000000.0,,,72000000.0,,80000000.0,,,,92000000.0,,,,107000000.0,,,,114000000.0,,,,109000000.0,,,,113000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,1085000000.0,,,,1111000000.0,,,,1164000000.0,,,,1219000000.0,,,1219000000.0,,1277000000.0,,,,1347000000.0,,,,1439000000.0,1524000000.0,1524000000.0,1524000000.0,1524000000.0,,,,1541000000.0,,,,1623000000.0,,,
AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax / USD,,,,-270000000.0,,,,-270000000.0,,,,596000000.0,,,,433000000.0,,,433000000.0,,426000000.0,,,,532000000.0,,,,605000000.0,,,,462000000.0,,,,379000000.0,,,,388000000.0,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / USD,6000000.0,26000000.0,26000000.0,6000000.0,6000000.0,,,-48000000.0,,,,-29000000.0,,,,-39000000.0,,,-39000000.0,,-60000000.0,,,,-43000000.0,,,,-10000000.0,,,,-20000000.0,,,,-185000000.0,,,,-167000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-336000000.0,31000000.0,31000000.0,-336000000.0,-336000000.0,-336000000.0,-336000000.0,-479000000.0,-479000000.0,-479000000.0,-479000000.0,-618000000.0,-618000000.0,-618000000.0,-618000000.0,-457000000.0,-457000000.0,-457000000.0,-457000000.0,-457000000.0,-488000000.0,-488000000.0,-488000000.0,-488000000.0,-578000000.0,-578000000.0,-578000000.0,-578000000.0,-599000000.0,-599000000.0,-599000000.0,-599000000.0,-442000000.0,-442000000.0,-442000000.0,-442000000.0,-454000000.0,-454000000.0,-454000000.0,-454000000.0,-466000000.0,-466000000.0,-364000000.0,-364000000.0
AdditionalPaidInCapital / USD,1002000000.0,1002000000.0,1002000000.0,1002000000.0,1165000000.0,1165000000.0,1165000000.0,1165000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1786000000.0,1786000000.0,1786000000.0,1786000000.0,1889000000.0,1889000000.0,1786000000.0,1889000000.0,1889000000.0,2013000000.0,2013000000.0,2013000000.0,2013000000.0,2110000000.0,2110000000.0,2110000000.0,2110000000.0,2219000000.0,2219000000.0,2219000000.0,2219000000.0,2333000000.0,2333000000.0,2333000000.0,2333000000.0,2487000000.0,2487000000.0,2487000000.0,2487000000.0,2664000000.0,2664000000.0,2664000000.0
