fact_unit,2010-02-26,2011-03-09,2012-02-14,2013-02-13,2014-02-12,2015-02-11,2016-02-05,2017-02-08,2018-02-07,2019-02-06,2020-02-12,2021-02-10,2022-02-09,2023-02-15,2024-02-14,2025-03-05
AccountsPayableCurrent / EUR,193690000.0,206226000.0,555397000.0,444269000.0,188961000.0,625870000.0,496236000.0,527894000.0,593200000.0,837300000.0,964000000.0,1062200000.0,1377900000.0,2116300000.0,2565200000.0,2347300000.0
AccountsReceivableGrossCurrent / EUR,,380678000.0,1125479000.0,883209000.0,607359000.0,880169000.0,1054574000.0,809299000.0,702400000.0,1744900000.0,1504900000.0,1791900000.0,1313100000.0,3032500000.0,5327900000.0,4334100000.0
AccountsReceivableNetCurrent / EUR,463273000.0,377439000.0,1123534000.0,880627000.0,605288000.0,878321000.0,1052504000.0,803696000.0,700200000.0,1740300000.0,1498200000.0,1786800000.0,1310300000.0,3028000000.0,5323800000.0,4334100000.0
AccountsReceivableNetNoncurrent / EUR,,,,,,,,,,105500000.0,150700000.0,67800000.0,22600000.0,8000000.0,,
AccruedIncomeTaxesCurrent / EUR,20039000.0,15032000.0,61197000.0,14999000.0,10791000.0,15803000.0,36293000.0,3654000.0,201900000.0,152000000.0,187900000.0,65600000.0,110000000.0,301900000.0,315300000.0,308900000.0
AccruedLiabilitiesAndOtherLiabilities / EUR,,,,,2285511000.0,2500024000.0,2759454000.0,2980962000.0,2851700000.0,904800000.0,1113100000.0,1280900000.0,1403500000.0,1686600000.0,2330800000.0,2578600000.0
AccruedLiabilitiesCurrentAndNoncurrent / EUR,,208684000.0,270836000.0,260651000.0,278066000.0,440010000.0,411725000.0,224597000.0,197500000.0,208700000.0,154800000.0,252100000.0,233900000.0,352000000.0,511600000.0,632700000.0
AccumulatedDepreciationDepletionAndAmortizationSaleOfPropertyPlantAndEquipment1 / EUR,,,,,,,291898000.0,48645000.0,84900000.0,60700000.0,23300000.0,119500000.0,65400000.0,255200000.0,35100000.0,41000000.0
AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax / EUR,,,,-44400000.0,3000000.0,-4500000.0,-12200000.0,11900000.0,-300000.0,8100000.0,-11600000.0,8500000.0,,,,
AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax / EUR,,,,93000000.0,75500000.0,83500000.0,-30200000.0,200100000.0,472700000.0,593100000.0,264100000.0,282300000.0,302400000.0,228600000.0,321900000.0,387900000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / EUR,29624000.0,27526000.0,48591000.0,78471000.0,78987000.0,-42438000.0,212016000.0,472320000.0,601200000.0,251500000.0,285000000.0,277800000.0,179400000.0,333500000.0,428300000.0,345000000.0
AdditionalPaidInCapitalCommonStock / EUR,,,471253000.0,473043000.0,483651000.0,2912862000.0,3002050000.0,3070332000.0,3693500000.0,3732500000.0,3741300000.0,3772000000.0,3780100000.0,3876100000.0,3940800000.0,3998100000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / EUR,,,,,,,,,,,53100000.0,46300000.0,74600000.0,53900000.0,117500000.0,68900000.0
AllowanceForDoubtfulAccountsReceivableCurrent / EUR,,1430000.0,3239000.0,1945000.0,2582000.0,2071000.0,1848000.0,2070000.0,5600000.0,4600000.0,6700000.0,5100000.0,2800000.0,4500000.0,4100000.0,0.0
AmortizationOfIntangibleAssets / EUR,,,,5500000.0,5300000.0,6100000.0,27600000.0,43881000.0,51200000.0,63500000.0,105500000.0,103700000.0,115400000.0,123500000.0,133000000.0,135100000.0
AociLossCashFlowHedgeCumulativeGainLossAfterTax / EUR,,,,,,,,,,,,,1000000.0,-22300000.0,16500000.0,7600000.0
AssetImpairmentCharges / EUR,9022000.0,25109000.0,15896000.0,8563000.0,12272000.0,3234000.0,13057000.0,10528000.0,2300000.0,3500000.0,9000000.0,19000000.0,7800000.0,5500000.0,,
Assets / EUR,3939394000.0,3764151000.0,6180358000.0,7260815000.0,7410478000.0,11513730000.0,12203945000.0,13295031000.0,17205900000.0,18188900000.0,20136900000.0,22629600000.0,27267400000.0,30231000000.0,36300400000.0,39957500000.0
AssetsCurrent / EUR,2973249000.0,2748884000.0,4944465000.0,5706809000.0,5831842000.0,7025578000.0,7146206000.0,7707701000.0,8557400000.0,8885800000.0,10531400000.0,12131100000.0,15930000000.0,18190200000.0,23064900000.0,24393900000.0
AssetsNoncurrent / EUR,966145000.0,1015267000.0,1235893000.0,1554006000.0,1578636000.0,4488152000.0,5057739000.0,5587330000.0,8648500000.0,9303100000.0,9605500000.0,10498500000.0,11337400000.0,12040800000.0,13235500000.0,15563600000.0
AvailableForSaleSecuritiesCurrent / EUR,,,,930005000.0,930005000.0,679884000.0,334864000.0,950000000.0,1150000000.0,1029300000.0,913300000.0,1185800000.0,,,,
AvailableForSaleSecuritiesDebtSecuritiesCurrent / EUR,,,,,,,,,,,913300000.0,1185800000.0,1302200000.0,638500000.0,107700000.0,5400000.0
BusinessAcquisitionsProFormaNetIncomeLoss / EUR,,,,,965000000.0,,,1351000000.0,,,,2572900000.0,,,,
