fact_unit,2011-08-08,2011-11-09,2012-03-13,2012-05-10,2012-08-09,2012-11-09,2013-03-08,2013-05-07,2013-08-07,2013-11-05,2014-03-10,2014-05-06,2014-08-05,2014-11-05,2015-03-12,2015-05-08,2015-08-06,2015-11-06,2016-03-07,2016-05-10,2016-08-10,2016-11-09,2017-03-06,2017-05-10,2017-08-09,2017-11-09,2018-03-01,2018-05-10,2018-08-09,2018-11-07,2019-02-27,2019-05-10,2019-08-09,2019-11-08,2020-02-28,2020-05-08,2020-08-07,2020-11-06,2021-02-26,2021-05-07,2021-08-06,2021-11-15,2022-02-25,2022-05-10,2022-08-09,2022-11-09,2023-02-28,2023-05-09,2023-08-08,2023-11-07,2024-02-27,2024-05-07,2024-08-07,2024-11-08,2025-02-28,2025-05-07,2025-08-05,2025-11-05
AccountsNotesAndLoansReceivableNetCurrent / USD,,,,,,,,,,18101240.0,18101000.0,22488000.0,22488000.0,22488000.0,22488000.0,30735000.0,30735000.0,30735000.0,30735000.0,27701000.0,27701000.0,27701000.0,27701000.0,39466000.0,39466000.0,39466000.0,39466000.0,56064000.0,56064000.0,56064000.0,56064000.0,130579000.0,130579000.0,130579000.0,130579000.0,146878000.0,146878000.0,146878000.0,146878000.0,229201000.0,229201000.0,229201000.0,229201000.0,320819000.0,320819000.0,320819000.0,320819000.0,358190000.0,358190000.0,358190000.0,358190000.0,417690000.0,417690000.0,412961000.0,412961000.0,412961000.0,547572000.0,547572000.0
AccountsPayableCurrent / USD,4550789.0,4550789.0,4550789.0,4513938.0,4513938.0,4513938.0,4513938.0,6222904.0,6222904.0,6222904.0,6223000.0,6221000.0,6221000.0,6221000.0,6221000.0,7682000.0,7682000.0,7682000.0,7682000.0,7333000.0,7333000.0,7333000.0,7333000.0,10736000.0,10736000.0,10736000.0,10736000.0,8592000.0,8592000.0,8592000.0,8592000.0,15164000.0,15164000.0,15164000.0,15164000.0,25874000.0,25874000.0,25874000.0,25874000.0,24142000.0,24142000.0,24142000.0,24142000.0,32220000.0,32220000.0,32220000.0,32220000.0,59918000.0,59918000.0,59918000.0,59918000.0,88326000.0,88326000.0,65852000.0,65852000.0,65852000.0,71955000.0,71955000.0
AccruedBonusesCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56188000.0,56188000.0,59780000.0,59780000.0
AccruedIncomeTaxes / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17091000.0,27863000.0,27863000.0
AccruedLiabilitiesCurrent / USD,3759800.0,3759800.0,3759800.0,7643004.0,,,7643004.0,7065085.0,7065085.0,7065085.0,7065000.0,8840000.0,8840000.0,8840000.0,8840000.0,9245000.0,9245000.0,9245000.0,9245000.0,8643000.0,8643000.0,8643000.0,8643000.0,18248000.0,18248000.0,18248000.0,18248000.0,23502000.0,23502000.0,23502000.0,23502000.0,41092000.0,41092000.0,41092000.0,41092000.0,45001000.0,45001000.0,45001000.0,45001000.0,59843000.0,59843000.0,59843000.0,59843000.0,103707000.0,103707000.0,103707000.0,103707000.0,155934000.0,155934000.0,155934000.0,155934000.0,188230000.0,188230000.0,193550000.0,193550000.0,193550000.0,279193000.0,279193000.0
AccruedProfessionalFeesCurrent / USD,,,,,,,,,,,,,,286000.0,286000.0,257000.0,257000.0,257000.0,257000.0,718000.0,718000.0,1098000.0,1098000.0,3673000.0,3673000.0,3673000.0,3673000.0,3870000.0,3870000.0,3870000.0,3870000.0,4894000.0,4894000.0,4894000.0,4894000.0,3235000.0,3235000.0,3235000.0,3235000.0,3055000.0,3055000.0,3055000.0,3055000.0,7152000.0,7152000.0,7152000.0,7152000.0,3861000.0,3861000.0,3861000.0,3861000.0,7377000.0,7377000.0,7377000.0,5421000.0,5421000.0,7846000.0,7846000.0
AccruedSalesCommissionCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58641000.0,58641000.0,88237000.0,88237000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,24469011.0,,,,28893000.0,,,,31378000.0,,,,33906000.0,,,,36020000.0,,,,37799000.0,,,,36477000.0,,,,39885000.0,,,41832000.0,41832000.0,,,47185000.0,47185000.0,58784000.0,58784000.0,58784000.0,58784000.0,,,,77895000.0,,,,105224000.0,105224000.0,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-35445.0,-35445.0,-35445.0,-80956.0,-80956.0,-80956.0,-80956.0,-57032.0,-57032.0,-57032.0,-57000.0,-2000.0,-2000.0,-2000.0,-2000.0,64000.0,64000.0,64000.0,64000.0,83000.0,83000.0,83000.0,83000.0,903000.0,903000.0,903000.0,903000.0,-1467000.0,-1467000.0,-1467000.0,-1467000.0,-1513000.0,-1513000.0,-1513000.0,-1513000.0,-1096000.0,-1096000.0,-1096000.0,-1096000.0,141000.0,141000.0,141000.0,141000.0,-1317000.0,-1317000.0,-1317000.0,-1317000.0,-7179000.0,-7179000.0,-7179000.0,-7179000.0,-10679000.0,-10679000.0,-10679000.0,-10679000.0,-10679000.0,-18184000.0,-18184000.0
AdditionalPaidInCapitalCommonStock / USD,97122085.0,97122085.0,97122085.0,101597626.0,101597626.0,101597626.0,101597626.0,111661393.0,111661393.0,111661393.0,111661000.0,139424000.0,139424000.0,139424000.0,139424000.0,162641000.0,162641000.0,162641000.0,162641000.0,178143000.0,178143000.0,178143000.0,178143000.0,187656000.0,187656000.0,187656000.0,187656000.0,201672000.0,201672000.0,201672000.0,201672000.0,453400000.0,453400000.0,453400000.0,453400000.0,528272000.0,528272000.0,528272000.0,528272000.0,962159000.0,962159000.0,962159000.0,962159000.0,1095229000.0,1095229000.0,1095229000.0,1095229000.0,1174594000.0,1174594000.0,1174594000.0,1174594000.0,1347410000.0,1347410000.0,1347410000.0,1347410000.0,1347410000.0,1689781000.0,1689781000.0
