fact_unit,2015-08-06,2015-11-05,2016-03-03,2016-05-06,2016-08-04,2016-11-03,2017-02-28,2017-05-08,2017-08-09,2017-11-08,2018-02-27,2018-05-09,2018-08-03,2018-11-07,2019-02-22,2019-05-03,2019-08-02,2019-11-07,2020-02-21,2020-05-07,2020-08-06,2020-11-05,2021-02-19,2021-05-06,2021-08-05,2021-11-04,2022-02-17,2022-05-05,2022-08-04,2022-11-04,2023-02-16,2023-05-05,2023-08-04,2023-11-03,2024-02-29,2024-05-03,2024-08-02,2024-10-31,2025-02-20,2025-05-02,2025-08-08,2025-10-31
AccountsPayableCurrent / USD,31900000.0,31900000.0,31900000.0,39400000.0,39400000.0,39400000.0,39400000.0,61700000.0,61700000.0,61700000.0,61700000.0,59600000.0,59600000.0,59600000.0,59600000.0,61600000.0,61600000.0,61600000.0,61600000.0,72300000.0,72300000.0,72300000.0,72300000.0,51000000.0,51000000.0,51000000.0,51000000.0,85200000.0,85200000.0,85200000.0,85200000.0,130900000.0,130900000.0,130900000.0,130900000.0,148100000.0,148100000.0,148100000.0,148100000.0,81600000.0,81600000.0,81600000.0
AccountsReceivableNetCurrent / USD,3500000.0,3500000.0,3500000.0,4800000.0,4800000.0,4800000.0,4800000.0,8000000.0,8000000.0,8000000.0,8000000.0,18400000.0,18400000.0,18400000.0,18400000.0,26400000.0,26400000.0,26400000.0,26400000.0,30200000.0,30200000.0,30200000.0,30200000.0,41800000.0,41800000.0,41800000.0,41800000.0,63600000.0,63600000.0,63600000.0,63600000.0,60100000.0,60100000.0,60100000.0,60100000.0,76600000.0,76600000.0,76600000.0,76600000.0,91100000.0,91100000.0,91100000.0
AccrualForTaxesOtherThanIncomeTaxesCurrent / USD,,,3400000.0,,,,4300000.0,,15800000.0,15800000.0,15800000.0,55500000.0,54700000.0,54700000.0,54700000.0,38400000.0,38400000.0,38400000.0,38400000.0,30800000.0,30800000.0,30800000.0,30700000.0,38400000.0,38400000.0,38400000.0,38600000.0,35600000.0,35600000.0,35600000.0,35600000.0,42800000.0,42800000.0,42800000.0,42800000.0,56200000.0,56200000.0,56200000.0,56200000.0,66900000.0,66900000.0,66900000.0
AccruedLiabilitiesCurrent / USD,114500000.0,114500000.0,114500000.0,127000000.0,127000000.0,127000000.0,127000000.0,143000000.0,143000000.0,143000000.0,143000000.0,469600000.0,469600000.0,469600000.0,469600000.0,414300000.0,414300000.0,414300000.0,414300000.0,366000000.0,366000000.0,366000000.0,366000000.0,527600000.0,527600000.0,527600000.0,527600000.0,437300000.0,437300000.0,437300000.0,437300000.0,356700000.0,356700000.0,356700000.0,356700000.0,442200000.0,442200000.0,442200000.0,442200000.0,378600000.0,378600000.0,378600000.0
AccruedProfessionalFeesCurrent / USD,,,,,,,,,,,,,,,,,10900000.0,10900000.0,10900000.0,28700000.0,28700000.0,28700000.0,28700000.0,24400000.0,24400000.0,24400000.0,24400000.0,23200000.0,23200000.0,23200000.0,23200000.0,34300000.0,34300000.0,34300000.0,34300000.0,34200000.0,34200000.0,39700000.0,39700000.0,35300000.0,35300000.0,35300000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,178400000.0,,,,236000000.0,,,,278000000.0,,,,348100000.0,,,,440900000.0,,,,511700000.0,,,,552400000.0,,,,586300000.0,,,,577100000.0,,,,564900000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,0.0,0.0,3200000.0,3200000.0,3200000.0,3200000.0,2700000.0,2700000.0,2700000.0,2700000.0,-85700000.0,-85700000.0,-85700000.0,-85700000.0,-72100000.0,-72100000.0,-72100000.0,-72100000.0,-78200000.0,-78200000.0,-78200000.0,-78200000.0,-131000000.0,-131000000.0,-131000000.0,-131000000.0,-38600000.0,-38600000.0,-38600000.0,-38600000.0,178000000.0,178000000.0,178000000.0,178000000.0,111200000.0,111200000.0,111200000.0,111200000.0,132500000.0,132500000.0,132500000.0
AdditionalPaidInCapital / USD,0.0,0.0,0.0,454600000.0,454600000.0,454600000.0,454600000.0,608300000.0,608300000.0,608300000.0,608300000.0,484400000.0,484400000.0,484400000.0,484400000.0,699800000.0,699800000.0,699800000.0,699800000.0,1003500000.0,1003500000.0,1003500000.0,1003500000.0,1308800000.0,1308800000.0,1308800000.0,1308800000.0,1594700000.0,1594700000.0,1594700000.0,1594700000.0,1912600000.0,1912600000.0,1912600000.0,1912600000.0,2271600000.0,2271600000.0,2271600000.0,2271600000.0,2611800000.0,2611800000.0,2611800000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,40300000.0,,16400000.0,35400000.0,55200000.0,,31500000.0,59700000.0,90300000.0,56800000.0,31500000.0,31500000.0,31500000.0,76400000.0,46900000.0,46900000.0,46900000.0,125500000.0,46000000.0,46000000.0,46000000.0,149200000.0,53200000.0,53200000.0,53200000.0,193900000.0,62200000.0,62200000.0,62200000.0,211900000.0,74500000.0,74500000.0,74500000.0,267800000.0,72300000.0,72300000.0,72300000.0
AdvertisingExpense / USD,,,121100000.0,,,,139400000.0,,,,177600000.0,,,,194000000.0,,,,205800000.0,,,,231100000.0,,,,260000000.0,,,,329600000.0,,,,378300000.0,,,,284900000.0,,,
