fact_unit,2018-08-30,2019-08-23,2020-08-14,2021-08-13,2022-08-19,2022-11-04,2023-02-03,2023-05-05,2023-08-18,2023-11-03,2024-02-02,2024-04-26,2024-08-16,2024-11-01,2025-01-31,2025-05-02,2025-08-15,2025-10-31
AssetsCurrent / USD,,,,,,1896953000.0,1896953000.0,1896953000.0,1896953000.0,2736364000.0,2736364000.0,2736364000.0,2736364000.0,3076264000.0,3076264000.0,3076264000.0,3076264000.0,3891237000.0
CapitalExpendituresIncurredButNotYetPaid / USD,,,,,,2000.0,5062000.0,6899000.0,2440000.0,1503000.0,1385000.0,760000.0,10740000.0,2482000.0,2597000.0,1510000.0,844000.0,2655000.0
CapitalizedContractCostAmortization / USD,,,,,,1015000.0,2445000.0,4115000.0,6172000.0,2541000.0,5568000.0,9174000.0,13597000.0,5188000.0,10980000.0,17855000.0,25219000.0,8497000.0
CapitalizedContractCostImpairmentLoss / USD,,,,,,,,,,,,,0.0,,,,0.0,
CapitalizedContractCostNet / USD,,,,,,9011000.0,9011000.0,9011000.0,9011000.0,27141000.0,27141000.0,27141000.0,27141000.0,53604000.0,53604000.0,53604000.0,53604000.0,79711000.0
CapitalizedContractCostNetCurrent / USD,,,,,,3880000.0,4756000.0,6696000.0,8806000.0,9932000.0,12466000.0,14219000.0,18027000.0,19163000.0,24047000.0,25861000.0,29170000.0,31786000.0
CapitalizedContractCostNetNoncurrent / USD,,,,,,6842000.0,8447000.0,12946000.0,18335000.0,19797000.0,25522000.0,27214000.0,35577000.0,35367000.0,45056000.0,45980000.0,50541000.0,51658000.0
CashAndCashEquivalentsAtCarryingValue / USD,,,,,,1507418000.0,899394000.0,1194803000.0,919227000.0,1468571000.0,1636615000.0,1972217000.0,1385265000.0,2143530000.0,1460497000.0,1948978000.0,2102550000.0,2055597000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,931023000.0,931023000.0,931023000.0,1489143000.0,1386686000.0,1386686000.0,1386686000.0,931023000.0,2103915000.0,2103915000.0,2103915000.0,1386686000.0,2178122000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,587688000.0,-35638000.0,259482000.0,-548803000.0,82661000.0,250681000.0,586292000.0,449047000.0,40894000.0,-642152000.0,-153722000.0,716627000.0,-121387000.0
