fact_unit,2009-11-03,2010-02-04,2010-05-05,2010-08-26,2010-11-08,2011-02-08,2011-05-10,2011-08-26,2011-11-09,2012-02-08,2012-05-09,2012-08-24,2012-11-02,2013-02-06,2013-05-07,2013-08-29,2013-11-04,2014-02-07,2014-05-06,2014-08-22,2014-10-31,2015-02-06,2015-05-08,2015-08-26,2015-11-03,2016-02-03,2016-05-05,2016-08-26,2016-11-01,2017-02-07,2017-05-09,2017-08-25,2017-11-08,2018-02-08,2018-05-02,2018-08-24,2018-11-07,2019-02-07,2019-05-09,2019-08-23,2019-11-06,2020-02-05,2020-05-06,2020-08-26,2020-11-06,2021-02-05,2021-05-06,2021-08-25,2021-11-05,2022-02-04,2022-05-06,2022-08-24,2022-11-04,2023-02-07,2023-05-05,2023-08-24,2023-11-07,2024-02-06,2024-05-03,2024-08-22,2024-11-05,2025-01-31,2025-05-06,2025-08-22,2025-11-07
AccountsPayableCurrent / USD,649718000.0,649718000.0,649718000.0,649718000.0,888743000.0,888743000.0,888743000.0,888743000.0,1173851000.0,1173851000.0,1173851000.0,1173851000.0,1194684000.0,1194684000.0,1194684000.0,1194684000.0,1156002000.0,1156002000.0,1156002000.0,1156002000.0,1252040000.0,1252040000.0,1252040000.0,1252040000.0,1092138000.0,1092138000.0,1092138000.0,1092138000.0,1034589000.0,1034589000.0,1034589000.0,1034589000.0,1300496000.0,1300496000.0,1300496000.0,1300496000.0,1430306000.0,1430306000.0,1430306000.0,1430306000.0,1413155000.0,1413155000.0,1413155000.0,1413155000.0,1111759000.0,1111759000.0,1111759000.0,1111759000.0,1667878000.0,1667878000.0,1667878000.0,1667878000.0,1731925000.0,1731925000.0,1731925000.0,1731925000.0,2050934000.0,2050934000.0,2050934000.0,2050934000.0,1991639000.0,1991639000.0,1991639000.0,1992000000.0,2126000000.0
AccountsReceivableNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1930751000.0,1930751000.0,,2145517000.0,2145517000.0,2145517000.0,2145506000.0,2131054000.0,2131054000.0,2131054000.0,,,,,,,,,,,,,,,,,,2865546000.0,2865546000.0,2865546000.0,2866000000.0,2910000000.0
AccrualForEnvironmentalLossContingencies / USD,,,,15825000.0,,,,15257000.0,,,,11889000.0,,,,12475000.0,,,,13625000.0,,,,16957000.0,,,,15152000.0,,,,20810000.0,,,,18024000.0,,,,16070000.0,,,,19351000.0,,,,17059000.0,,,,16400000.0,,,,149400000.0,,,,85900000.0,,,,88000000.0,
AccruedIncomeTaxesCurrent / USD,113107000.0,113107000.0,113107000.0,113107000.0,176349000.0,176349000.0,176349000.0,176349000.0,232774000.0,232774000.0,232774000.0,232774000.0,153809000.0,153809000.0,153809000.0,153809000.0,136079000.0,136079000.0,136079000.0,136079000.0,223611000.0,223611000.0,223611000.0,223611000.0,140295000.0,140295000.0,140295000.0,139285000.0,127597000.0,127597000.0,127597000.0,127597000.0,153137000.0,153137000.0,153137000.0,153137000.0,198878000.0,198878000.0,198878000.0,198878000.0,167312000.0,167312000.0,167312000.0,167312000.0,195314000.0,195314000.0,195314000.0,195314000.0,236384000.0,236384000.0,236384000.0,236384000.0,250292000.0,250292000.0,250292000.0,250292000.0,374571000.0,374571000.0,374571000.0,374571000.0,354659000.0,354659000.0,354659000.0,355000000.0,382000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,2824506000.0,2824506000.0,2824506000.0,2824506000.0,2856116000.0,2856116000.0,2856116000.0,2856116000.0,3147556000.0,3147556000.0,3147556000.0,3147556000.0,3129261000.0,3129261000.0,3129261000.0,3129261000.0,3191061000.0,3191061000.0,3191061000.0,3191061000.0,3328297000.0,3328297000.0,3328297000.0,3328297000.0,3198589000.0,3198589000.0,3198589000.0,3198589000.0,3169041000.0,3169041000.0,3169041000.0,3169041000.0,3249456000.0,3249456000.0,3249456000.0,3249456000.0,3359016000.0,3359016000.0,3359016000.0,3359016000.0,3418443000.0,3418443000.0,3418443000.0,3418443000.0,3517946000.0,3517946000.0,3517946000.0,3517946000.0,3773744000.0,3773744000.0,3773744000.0,3773744000.0,3775197000.0,3775197000.0,3775197000.0,,4000515000.0,4000515000.0,4000515000.0,,4198906000.0,4198906000.0,4198906000.0,4199000000.0,4480000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-843019000.0,-843019000.0,-843019000.0,-843019000.0,-1208561000.0,-1208561000.0,-1208561000.0,-1208561000.0,-450990000.0,-450990000.0,-450990000.0,-450990000.0,-1415900000.0,-1415900000.0,-1415900000.0,-1415900000.0,-1107833000.0,-1107833000.0,-1107833000.0,-1107833000.0,-823498000.0,-823498000.0,-823498000.0,-1107833000.0,-1738618000.0,-1738618000.0,-1738618000.0,-823498000.0,-2227765000.0,-2227765000.0,-2227765000.0,-2227765000.0,-1924204000.0,-1924204000.0,-1924204000.0,-1924204000.0,-1763086000.0,-1763086000.0,-1763086000.0,-1763086000.0,-2059048000.0,-2059048000.0,-2059048000.0,-2059048000.0,-2558875000.0,-2558875000.0,-2558875000.0,-2558875000.0,-1566727000.0,-1566727000.0,-1566727000.0,-1566727000.0,-1543198000.0,-1543198000.0,-1543198000.0,-1543198000.0,-1292872000.0,-1292872000.0,-1292872000.0,-1292872000.0,-1438012000.0,-1438012000.0,-1438012000.0,-1438000000.0,-883000000.0
AdditionalPaidInCapitalCommonStock / USD,588201000.0,588201000.0,588201000.0,588201000.0,637442000.0,637442000.0,637442000.0,637442000.0,668332000.0,668332000.0,668332000.0,668332000.0,640249000.0,640249000.0,640249000.0,640249000.0,608752000.0,608752000.0,608752000.0,608752000.0,595498000.0,595498000.0,595498000.0,595498000.0,622729000.0,622729000.0,622729000.0,622729000.0,628451000.0,628451000.0,628451000.0,628451000.0,543879000.0,543879000.0,543879000.0,543879000.0,496592000.0,496592000.0,496592000.0,496592000.0,462086000.0,462086000.0,462086000.0,462086000.0,416585000.0,416585000.0,416585000.0,416585000.0,329619000.0,329619000.0,329619000.0,329619000.0,327307000.0,327307000.0,327307000.0,327307000.0,305522000.0,305522000.0,305522000.0,305522000.0,264508000.0,264508000.0,264508000.0,264000000.0,194000000.0
AdjustmentForAmortization / USD,22109000.0,48712000.0,75574000.0,69154000.0,28798000.0,61018000.0,90025000.0,105138000.0,27248000.0,53322000.0,81656000.0,117214000.0,29738000.0,55711000.0,84898000.0,110562000.0,28164000.0,57546000.0,90771000.0,111421000.0,31245000.0,61555000.0,91401000.0,121902000.0,28995000.0,56954000.0,84348000.0,121737000.0,29688000.0,59418000.0,88114000.0,114715000.0,28336000.0,56451000.0,93584000.0,116535000.0,56147000.0,113881000.0,171904000.0,152361000.0,54698000.0,107543000.0,160170000.0,228279000.0,54215000.0,133559000.0,203895000.0,210514000.0,81703000.0,162940000.0,244193000.0,284632000.0,79771000.0,158512000.0,237377000.0,325447000.0,87014000.0,229270000.0,374417000.0,314450000.0,155520000.0,297547000.0,438763000.0,501000000.0,140000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143000000.0,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,19815000.0,,14701000.0,14701000.0,14701000.0,10472000.0,10472000.0,10472000.0,10472000.0,10518000.0,10518000.0,10518000.0,10518000.0,14824000.0,14824000.0,14824000.0,14824000.0,16040000.0,16040000.0,16040000.0,16040000.0,9284000.0,9284000.0,9284000.0,9284000.0,8010000.0,8010000.0,8010000.0,8010000.0,14336000.0,14336000.0,14336000.0,14336000.0,9672000.0,9672000.0,9672000.0,9672000.0,8874000.0,8874000.0,8874000.0,8874000.0,11644000.0,11644000.0,11644000.0,11644000.0,12000000.0,12000000.0,12000000.0,12000000.0,10000000.0,10000000.0,10000000.0,10000000.0,32000000.0,32000000.0,32000000.0,32000000.0,21000000.0,21000000.0,21000000.0,21000000.0,10000000.0
