fact_unit,2010-10-01,2011-01-27,2011-04-01,2011-07-01,2011-10-07,2012-01-27,2012-04-02,2012-07-02,2012-09-28,2013-01-25,2013-04-02,2013-06-28,2013-09-27,2014-01-29,2014-03-26,2014-06-27,2014-10-02,2015-01-29,2015-03-31,2015-07-01,2015-10-05,2016-01-28,2016-03-29,2016-07-01,2016-10-04,2017-01-25,2017-03-28,2017-06-30,2017-09-28,2018-01-25,2018-03-27,2018-06-28,2018-09-27,2019-01-25,2019-03-26,2019-06-28,2019-10-01,2020-01-28,2020-03-31,2020-06-25,2020-09-29,2021-01-28,2021-03-30,2021-07-01,2021-09-30,2022-01-27,2022-03-29,2022-06-29,2022-10-06,2023-01-26,2023-03-28,2023-06-29,2023-10-03,2024-01-25,2024-03-26,2024-06-27,2024-10-01,2025-01-23,2025-03-25,2025-06-26,2025-10-07
AdvertisingExpense / USD,,,,,,63800000.0,,,,71700000.0,,,,77200000.0,,,,86200000.0,,,,85000000.0,,,,100400000.0,,,,106800000.0,,,,102900000.0,,,,117800000.0,,,,147200000.0,,,,150800000.0,,,,174800000.0,,,,182600000.0,,,,187200000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,4500000.0,,,,2900000.0,,,,4500000.0,,,,4000000.0,,,,4100000.0,,,,4000000.0,,,,8000000.0,,,,4200000.0,,,,6600000.0,,,,6400000.0,,,,5600000.0,,,,5200000.0,,,,5200000.0,,,,7300000.0,,,,5900000.0,,,
AmortizationOfIntangibleAssets / USD,,,,,,1300000.0,,,,3500000.0,,,,3300000.0,,,,4300000.0,,,,5200000.0,,,,5600000.0,,,8600000.0,7300000.0,,,,11300000.0,,,,16300000.0,,,,20600000.0,,,,20300000.0,,,,20200000.0,,,,35600000.0,,,,35100000.0,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,3200000.0,4400000.0,0.1,0.4,400000.0,600000.0,400000.0,600000.0,500000.0,500000.0,0.0,300000.0,500000.0,300000.0,900000.0,1300000.0,1500000.0,600000.0,400000.0,600000.0,500000.0,1600000.0,200000.0,300000.0,400000.0,400000.0,800000.0,900000.0,1100000.0,500000.0,400000.0,400000.0,400000.0,1100000.0,100000.0,100000.0,100000.0,400000.0,200000.0,300000.0,200000.0,200000.0,0.0,100000.0,600000.0,100000.0,200000.0,500000.0,700000.0,600000.0,1600000.0,2000000.0,1800000.0,900000.0,3500000.0,3200000.0,3400000.0
AssetImpairmentCharges / USD,,,,,,5500000.0,,,,,,,,,,,,,,,0.0,6400000.0,,,9600000.0,0.0,,,,9600000.0,,,,,,,,,,,,,,6500000.0,6500000.0,0.0,,6500000.0,6500000.0,0.0,,10000000.0,10000000.0,17200000.0,,,,10000000.0,,,
Assets / USD,3306400000.0,3387800000.0,3245400000.0,3192400000.0,3264700000.0,3387800000.0,3477600000.0,3589400000.0,3714600000.0,3419700000.0,4079700000.0,3965700000.0,4057000000.0,4087800000.0,4086100000.0,4208800000.0,4353000000.0,4165400000.0,4429700000.0,4409300000.0,4472100000.0,4449700000.0,4197500000.0,4378400000.0,4490700000.0,4382300000.0,4365000000.0,4607600000.0,4678300000.0,4472600000.0,4751100000.0,4872100000.0,10381700000.0,4635900000.0,10363000000.0,10383800000.0,10278000000.0,10385800000.0,10227900000.0,10236700000.0,10366000000.0,10256400000.0,12089700000.0,12089700000.0,12089700000.0,10362100000.0,12905800000.0,12905800000.0,12905800000.0,12089700000.0,13124900000.0,13124900000.0,13124900000.0,12905800000.0,12862300000.0,12862300000.0,12862300000.0,13124900000.0,13070300000.0,13070300000.0,13070300000.0
AssetsCurrent / USD,920400000.0,970500000.0,901800000.0,907800000.0,955600000.0,1015900000.0,1015600000.0,1079600000.0,1163300000.0,1222900000.0,1192800000.0,1167200000.0,1219400000.0,1285400000.0,1211500000.0,1217500000.0,1370900000.0,1370200000.0,1340100000.0,1324700000.0,1408800000.0,1416200000.0,1304700000.0,1358900000.0,1374500000.0,1357400000.0,1258100000.0,1352100000.0,1420200000.0,1421800000.0,1385100000.0,1425900000.0,1642600000.0,1617000000.0,1606000000.0,1564200000.0,1474200000.0,1479900000.0,1428000000.0,1473100000.0,1589400000.0,1550200000.0,2083600000.0,2083600000.0,2083600000.0,2083600000.0,2195800000.0,2195800000.0,2195800000.0,2195800000.0,2386700000.0,2386700000.0,2386700000.0,2386700000.0,2001600000.0,2001600000.0,2001600000.0,2001600000.0,2139000000.0,2139000000.0,2139000000.0
BuildingsAndImprovementsGross / USD,,,,,,282600000.0,,,,306900000.0,,,,324900000.0,,,,335400000.0,,,,346400000.0,,,,360100000.0,,,,402900000.0,,,,488300000.0,,,,626200000.0,,,,658500000.0,,,,698200000.0,,,,694700000.0,,,,738800000.0,,,,820900000.0,,,
BusinessCombinationAcquisitionRelatedCosts / USD,,,,,4000000.0,100000.0,,,,,,,,10900000.0,,,,,,2000000.0,2800000.0,,,,,,,,0.0,0.0,0.0,0.0,24500000.0,0.0,8700000.0,16500000.0,22100000.0,40800000.0,,,,22500000.0,0.0,0.0,0.0,0.0,18800000.0,25700000.0,27000000.0,12400000.0,700000.0,2200000.0,2200000.0,29000000.0,,,,2200000.0,,,
CapitalizedComputerSoftwareAccumulatedAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281500000.0,,,,281500000.0,,,,281500000.0,,,,248500000.0,,,,248500000.0,,,,270100000.0,,,
CapitalizedComputerSoftwareAmortization1 / USD,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,,,,18100000.0,,,,17100000.0,,,,14500000.0,,,,14000000.0,,,,13700000.0,,,,12400000.0,,,,12600000.0,,,,18900000.0,,,
CapitalizedComputerSoftwareNet / USD,,,,,,20100000.0,,,,13300000.0,,,,17300000.0,,,,20500000.0,,,,16700000.0,,,,11700000.0,,,,9400000.0,,,,21800000.0,,,,43600000.0,,,,76400000.0,,,,116000000.0,,,,141100000.0,,,,160600000.0,,,,159900000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,38900000.0,45900000.0,39500000.0,39500000.0,39500000.0,38900000.0,50800000.0,50800000.0,50800000.0,39500000.0,53900000.0,53900000.0,53900000.0,50800000.0,79000000.0,79000000.0,79000000.0,53900000.0,63000000.0,63000000.0,63000000.0,79000000.0,77300000.0,77300000.0,77300000.0,63000000.0,112600000.0,112600000.0,112600000.0,77300000.0,118400000.0,118400000.0,118400000.0,112600000.0,186800000.0,186800000.0,186800000.0,118400000.0,102300000.0,139400000.0,162900000.0,186800000.0,423600000.0,423600000.0,423600000.0,96600000.0,351700000.0,351700000.0,351700000.0,351700000.0,334000000.0,334000000.0,334000000.0,334000000.0,166600000.0,166600000.0,166600000.0,166600000.0,186100000.0,186100000.0,186100000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96600000.0,96600000.0,96600000.0,,155400000.0,155400000.0,155400000.0,,423600000.0,423600000.0,423600000.0,155400000.0,351700000.0,351700000.0,351700000.0,423600000.0,334000000.0,334000000.0,334000000.0,351700000.0,166600000.0,166600000.0,166600000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700000.0,42800000.0,66300000.0,-90200000.0,15400000.0,29600000.0,65600000.0,58800000.0,-167500000.0,-131800000.0,-111000000.0,268200000.0,-13300000.0,-25900000.0,-7800000.0,-71900000.0,22800000.0,-206600000.0,-179300000.0,-17700000.0,11400000.0,-300000.0,34200000.0
CommercialPaper / USD,,,,,,216000000.0,,,,216000000.0,,,,138400000.0,,,,200300000.0,,,,239400000.0,,,,107500000.0,,,528100000.0,356900000.0,,,,219400000.0,,,,509900000.0,,,,575300000.0,,,,845800000.0,,,,530800000.0,,,,1224600000.0,,,,269400000.0,,,
CommonStockCapitalSharesReservedForFutureIssuance / shares,,,,,,,,,,,,,,,,,,5800000.0,,,,5500000.0,,,,4700000.0,,,,4000000.0,,,,3200000.0,,,,5100000.0,,,,6600000.0,,,,5500000.0,,,,5900000.0,,,,4600000.0,,,,3000000.0,,,
CommonStockDividendsPerShareCashPaid / USD/shares,0.72,,0.26,0.52,0.78,0.96,0.28,0.56,0.84,1.04,0.31,0.62,0.93,1.12,0.34,0.68,1.02,1.24,0.37,0.74,1.11,1.36,0.4,0.8,1.2,1.48,0.43,0.86,1.29,1.6,0.47,0.94,1.41,1.72,,,,1.88,,,,1.04,,,,1.14,,,,1.24,,,,1.36,,,1.17,1.48,0.42,0.84,1.26
CommonStockDividendsPerShareDeclared / USD/shares,,,,,,,,,,,,,,,,,,,,,0.74,1.39,,0.4,0.8,1.51,,0.43,0.86,1.63,,0.47,0.94,1.76,,0.52,1.04,1.93,,,,1.07,,,,1.17,,,,1.27,,,,1.39,,,0.78,1.5,,0.42,0.84
CommonStockParOrStatedValuePerShare / USD/shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,,,,0.01,,,,0.01,,,,0.01,,,
