fact_unit,2012-05-09,2012-08-09,2012-11-13,2013-03-11,2013-05-10,2013-08-14,2013-11-08,2014-03-11,2014-05-07,2014-08-11,2014-11-10,2015-03-02,2015-05-07,2015-08-07,2015-11-06,2016-02-23,2016-05-09,2016-08-08,2016-11-09,2017-03-01,2017-05-08,2017-08-08,2017-11-07,2018-02-27,2018-05-10,2018-08-06,2018-11-05,2019-02-26,2019-05-09,2019-08-08,2019-11-07,2020-03-02,2020-05-07,2020-08-06,2020-11-05,2021-02-25,2021-05-06,2021-08-06,2021-11-05,2022-02-25,2022-05-10,2022-08-05,2022-11-04,2023-02-24,2023-05-05,2023-08-03,2023-11-03,2024-02-22,2024-05-09,2024-08-08,2024-11-07,2025-02-28,2025-05-08,2025-08-07,2025-11-06
AccountsPayableCurrent / USD,2714000.0,2714000.0,2714000.0,2714000.0,6095000.0,6095000.0,6095000.0,6095000.0,2835000.0,2835000.0,2835000.0,2835000.0,4641000.0,4641000.0,4641000.0,4641000.0,2576000.0,2576000.0,2576000.0,2576000.0,3213000.0,3213000.0,3213000.0,3213000.0,5574000.0,5574000.0,5574000.0,5574000.0,7444000.0,7444000.0,7444000.0,7444000.0,7831000.0,7831000.0,7831000.0,7831000.0,10189000.0,10189000.0,10189000.0,10189000.0,24847000.0,24847000.0,24847000.0,24847000.0,30852000.0,30852000.0,30852000.0,30852000.0,31992000.0,31992000.0,31992000.0,31992000.0,44702000.0,44702000.0,44702000.0
AccruedIncomeTaxesCurrent / USD,,,,1918000.0,,,,,,,,3717000.0,,,,7982000.0,,,,15057000.0,,,,4000000.0,,,,9488000.0,,,,27538000.0,9064000.0,9064000.0,9064000.0,9064000.0,20603000.0,20603000.0,20603000.0,20603000.0,27440000.0,27440000.0,27440000.0,27440000.0,46069000.0,46069000.0,46069000.0,46069000.0,38812000.0,38812000.0,38812000.0,38812000.0,50395000.0,50395000.0,50395000.0
AccruedLiabilitiesAndOtherLiabilities / USD,,,,,,,,,,,,,,,,,,,,63796000.0,,,,49895000.0,,,,89812000.0,,,,50253000.0,82476000.0,82476000.0,82476000.0,82476000.0,79690000.0,79690000.0,79690000.0,79690000.0,142014000.0,142014000.0,142014000.0,142014000.0,154339000.0,154339000.0,154339000.0,154339000.0,124823000.0,124823000.0,124823000.0,124823000.0,201356000.0,201356000.0,201356000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,15937000.0,,,,21854000.0,,,,30164000.0,,,,34532000.0,,,,39776000.0,,,,46601000.0,,,,61706000.0,,,,78359000.0,,,,94307000.0,,,,127781000.0,,,,166648000.0,,,,167095000.0,,,,197526000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-3514000.0,-3514000.0,-3514000.0,-3514000.0,-1021000.0,-1021000.0,-1021000.0,-1021000.0,-1832000.0,-1832000.0,-1832000.0,-1832000.0,-22054000.0,-22054000.0,-22054000.0,-22054000.0,-35150000.0,-35150000.0,-35150000.0,-35150000.0,-37688000.0,-37688000.0,-37688000.0,-37688000.0,-17623000.0,-17623000.0,-17623000.0,-17623000.0,-41514000.0,-41514000.0,-41514000.0,-41514000.0,-31374000.0,-31374000.0,-31374000.0,-31374000.0,-25512000.0,-25512000.0,-25512000.0,-25512000.0,-54207000.0,-54207000.0,-54207000.0,-54207000.0,-95321000.0,-95321000.0,-95321000.0,-95321000.0,-39040000.0,-39040000.0,-39040000.0,-39040000.0,-116864000.0,-116864000.0,-116864000.0
AdditionalPaidInCapital / USD,40020000.0,40020000.0,40020000.0,40020000.0,166962000.0,166962000.0,166962000.0,166962000.0,195585000.0,195585000.0,195585000.0,195585000.0,229501000.0,229501000.0,229501000.0,229501000.0,303363000.0,303363000.0,303363000.0,303363000.0,374907000.0,374907000.0,374907000.0,374907000.0,473874000.0,473874000.0,473874000.0,473874000.0,544700000.0,544700000.0,544700000.0,544700000.0,607051000.0,607051000.0,607051000.0,607051000.0,660771000.0,660771000.0,660771000.0,660771000.0,711912000.0,711912000.0,711912000.0,711912000.0,847965000.0,847965000.0,847965000.0,847965000.0,1008766000.0,1008766000.0,1008766000.0,1008766000.0,1190222000.0,1190222000.0,1190222000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,3300000.0,,,,3300000.0,6986000.0,6986000.0,6986000.0,3300000.0,,,,8131000.0,,,,15951000.0,,,31935000.0,20190000.0,18376000.0,18376000.0,18376000.0,45070000.0,20501000.0,20501000.0,20501000.0,23650000.0,26012000.0,26012000.0,26012000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,2939000.0,,,,2866000.0,,,,6826000.0,,,,13150000.0,,,,21397000.0,,,,43120000.0,,,,46100000.0,11485000.0,11485000.0,11485000.0,48173000.0,10425000.0,10425000.0,10425000.0,44279000.0,12210000.0,12210000.0,12210000.0,41256000.0,14624000.0,14624000.0,14624000.0,47462000.0,22702000.0,22702000.0,22702000.0,69899000.0,34265000.0,34265000.0,34265000.0,107513000.0,41642000.0,41642000.0,41642000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,,,,,9134000.0,21387000.0,33350000.0,24620000.0,10964000.0,23694000.0,37520000.0,45833000.0,15776000.0,28703000.0,39920000.0,49244000.0,16596000.0,31406000.0,46736000.0,52407000.0,21856000.0,37553000.0,53024000.0,59188000.0,11881000.0,31320000.0,54794000.0,72036000.0,24553000.0,48451000.0,77638000.0,75238000.0,7112000.0,35005000.0,68292000.0,111655000.0,38579000.0,71689000.0,109536000.0,99909000.0,44791000.0,80475000.0,122599000.0
AmortizationOfIntangibleAssets / USD,,,,999000.0,,,,779000.0,,,,1024000.0,,,,2785000.0,,,,5349000.0,,,,5416000.0,,,,8170000.0,,,,7562000.0,,,,8511000.0,,,,9914000.0,,7101000.0,,12340000.0,,,,17646000.0,,,,22223000.0,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,1396000.0,600000.0,1803000.0,1400000.0,1396.0,,572.0,1373000.0,1162.0,1399000.0,1534000.0,1271000.0,1882000.0,2152000.0,1080000.0,121000.0,1113000.0,1456000.0,2260000.0,2218000.0,2307000.0,2324000.0,1637048.0,2271877.0,1463156.0,1177453.0,2325000.0,53230.0,104186.0,121896.0,883350.0,26203.0,97327.0,112757.0,139000.0,9000.0,78000.0,40000.0,120000.0,16000.0,49000.0,35000.0,40000.0,137000.0,299000.0,252000.0,32000.0,260000.0,389000.0,410000.0,264000.0,363000.0,871000.0,1056000.0
AssetImpairmentCharges / USD,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,741000.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,20401000.0,21002000.0,21212000.0,144000.0,88000.0,659000.0,688000.0,23619000.0,,,
Assets / USD,235613000.0,235613000.0,235613000.0,235613000.0,350814000.0,350814000.0,350814000.0,350814000.0,432877000.0,432877000.0,432877000.0,432877000.0,594026000.0,594026000.0,594026000.0,594026000.0,778536000.0,778536000.0,778536000.0,778536000.0,925811000.0,925811000.0,925811000.0,925811000.0,1250256000.0,1250256000.0,1250256000.0,1250256000.0,1611802000.0,1611802000.0,1611802000.0,1611802000.0,2244208000.0,2244208000.0,2244208000.0,2244208000.0,2721332000.0,2721332000.0,2721332000.0,2721332000.0,3523227000.0,3523227000.0,3523227000.0,3523227000.0,4009151000.0,4009151000.0,4009151000.0,4009151000.0,4352365000.0,4352365000.0,4352365000.0,4352365000.0,4750473000.0,4750473000.0,4750473000.0
AssetsCurrent / USD,183563000.0,183563000.0,183563000.0,183563000.0,250955000.0,250955000.0,250955000.0,250955000.0,330968000.0,330968000.0,330968000.0,330968000.0,415087000.0,415087000.0,415087000.0,415087000.0,528935000.0,528935000.0,528935000.0,528935000.0,646551000.0,646551000.0,646551000.0,646551000.0,960033000.0,960033000.0,960033000.0,960033000.0,1199068000.0,1199068000.0,1199068000.0,1199068000.0,1474211000.0,1474211000.0,1474211000.0,1474211000.0,1912782000.0,1912782000.0,1912782000.0,1912782000.0,2269480000.0,2269480000.0,2269480000.0,2269480000.0,2759625000.0,2759625000.0,2759625000.0,2759625000.0,3091361000.0,3091361000.0,3091361000.0,3091361000.0,2426248000.0,2426248000.0,2426248000.0
BusinessAcquisitionsProFormaNetIncomeLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399973000.0,,,
BusinessAcquisitionsProFormaRevenue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5013488000.0,,,
BusinessCombinationContingentConsiderationLiability / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,8390000.0,,,,3876000.0,,,,7119000.0,,,,57249000.0,,,,2645000.0,,,
BusinessCombinationContingentConsiderationLiabilityCurrent / USD,,,,,,,,,,,,0.0,35524000.0,35524000.0,35524000.0,35524000.0,,,0.0,,,,,,,,,,,,,1501000.0,,,,10057000.0,,,,1125000.0,,,,9405000.0,,,,18008000.0,,,,9650000.0,,,
CapitalExpendituresIncurredButNotYetPaid / USD,,,,,,,,,,,,96000.0,,,,,,,,,,,,,,,,,,,,1042000.0,,,,2140000.0,,,,16921000.0,,,,1582000.0,,,,7738000.0,,,,57114000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,54004000.0,54004000.0,54004000.0,52927000.0,88796000.0,88796000.0,88796000.0,54004000.0,118112000.0,118112000.0,118112000.0,88796000.0,169207000.0,169207000.0,169207000.0,118112000.0,220534000.0,220534000.0,220534000.0,169207000.0,199449000.0,199449000.0,199449000.0,220534000.0,582585000.0,582585000.0,582585000.0,362025000.0,770560000.0,770560000.0,770560000.0,582585000.0,936552000.0,936552000.0,936552000.0,770560000.0,1322143000.0,1322143000.0,1322143000.0,936552000.0,1446625000.0,1446625000.0,1446625000.0,1322143000.0,1681344000.0,1681344000.0,1681344000.0,1446625000.0,2036235000.0,2036235000.0,2036235000.0,1681344000.0,1286267000.0,1286267000.0,1286267000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,364664000.0,364664000.0,364664000.0,199687000.0,582855000.0,582855000.0,582855000.0,364664000.0,771711000.0,771711000.0,771711000.0,582855000.0,937688000.0,937688000.0,937688000.0,771711000.0,1323533000.0,1323533000.0,1323533000.0,937688000.0,1449347000.0,1449347000.0,1449347000.0,1323533000.0,1683636000.0,1683636000.0,1683636000.0,1449347000.0,2043108000.0,2043108000.0,2043108000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,34269000.0,81752000.0,148107000.0,164977000.0,-45778000.0,2421000.0,103446000.0,218191000.0,-8033000.0,6838000.0,82678000.0,188856000.0,-20285000.0,57193000.0,224535000.0,165977000.0,50761000.0,-38484000.0,102032000.0,385845000.0,-141422000.0,-153716000.0,40305000.0,125814000.0,68369000.0,95141000.0,196145000.0,234289000.0,-52711000.0,-251497000.0,-2401000.0
CashDivestedFromDeconsolidation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2169000.0,,,,
CommonStockParOrStatedValuePerShare / USD/shares,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
CommonStockSharesAuthorized / shares,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0,160000000.0
CommonStockSharesIssued / shares,18914616.0,18914616.0,18914616.0,18914616.0,45398523.0,45398523.0,45398523.0,2900000.0,47569463.0,47569463.0,47569463.0,2900000.0,48748298.0,48748298.0,48748298.0,48748298.0,50177044.0,50177044.0,50177044.0,50177044.0,51117422.0,51117422.0,51117422.0,51117422.0,53003420.0,53003420.0,53003420.0,53003420.0,54099927.0,54099927.0,54099927.0,54099927.0,55207446.0,55207446.0,55207446.0,55208000.0,56128000.0,56128000.0,56128000.0,56128000.0,56868000.0,56868000.0,56868000.0,56868000.0,57668000.0,57668000.0,57668000.0,57668000.0,57787000.0,57787000.0,57787000.0,57787000.0,56869000.0,56869000.0,56869000.0
CommonStockSharesOutstanding / shares,17158904.0,17158904.0,17158904.0,17158904.0,44442494.0,44442494.0,44442494.0,44442494.0,46614916.0,46614916.0,46614916.0,46614916.0,48303811.0,48303811.0,48303811.0,48303811.0,50166537.0,50166537.0,50166537.0,50166537.0,51097687.0,51097687.0,51097687.0,51097687.0,52983685.0,52983685.0,52983685.0,52983685.0,54080192.0,54080192.0,54080192.0,54080192.0,55187711.0,55187711.0,55187711.0,55188000.0,56108000.0,56108000.0,56108000.0,56108000.0,56849000.0,56849000.0,56849000.0,56849000.0,57655000.0,57655000.0,57655000.0,57655000.0,57787000.0,57787000.0,57787000.0,57787000.0,56869000.0,56869000.0,56869000.0
CommonStockValue / USD,17000.0,17000.0,17000.0,17000.0,44000.0,44000.0,44000.0,44000.0,46000.0,46000.0,46000.0,46000.0,48000.0,48000.0,48000.0,48000.0,49000.0,49000.0,49000.0,49000.0,50000.0,50000.0,50000.0,50000.0,53000.0,53000.0,53000.0,53000.0,54000.0,54000.0,54000.0,54000.0,55000.0,55000.0,55000.0,55000.0,56000.0,56000.0,56000.0,56000.0,57000.0,57000.0,57000.0,57000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,58000.0,57000.0,57000.0,57000.0
ComprehensiveIncomeNetOfTax / USD,10993000.0,19438000.0,31568000.0,27911000.0,13711000.0,24568000.0,41337000.0,43103000.0,10337000.0,23410000.0,42822000.0,56977000.0,13787000.0,31495000.0,42275000.0,61183000.0,11984000.0,34889000.0,49421000.0,49390000.0,28598000.0,50642000.0,77174000.0,71360000.0,30027000.0,71937000.0,120274000.0,96728000.0,67796000.0,100141000.0,163567000.0,92825000.0,66797000.0,129731000.0,184456000.0,216365000.0,47678000.0,133190000.0,222323000.0,271197000.0,93808000.0,220156000.0,322984000.0,333022000.0,57776000.0,86173000.0,179952000.0,452957000.0,119653000.0,245561000.0,323220000.0,378302000.0,93931000.0,184505000.0,349757000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,,,,,,,,,,,,,,,,,,,-1624000.0,3432000.0,3690000.0,,3051000.0,3661000.0,3801000.0,,6537000.0,3661000.0,3801000.0,,6500000.0,7900000.0,8300000.0,8600000.0,11000000.0,14300000.0,15300000.0,16200000.0,26300000.0,32000000.0,34000000.0,35400000.0,19200000.0,24200000.0,27400000.0,30600000.0,12100000.0,17400000.0,20300000.0
ContractWithCustomerPerformanceObligationSatisfiedInPreviousPeriod / USD,,,,,,,,,,,,,,,,,,,,,,,,,5404000.0,6618000.0,6627000.0,5736000.0,5404000.0,6618000.0,6627000.0,5736000.0,1704000.0,4119000.0,7039000.0,5700000.0,5800000.0,16500000.0,18000000.0,7800000.0,6000000.0,6600000.0,7200000.0,5000000.0,7200000.0,5600000.0,7100000.0,18700000.0,7200000.0,5600000.0,7100000.0,7500000.0,13100000.0,15400000.0,15000000.0
