fact_unit,2023-06-02,2023-08-02,2023-11-03,2024-03-01,2024-05-09,2024-08-06,2024-11-07,2025-02-24,2025-05-08,2025-08-07,2025-11-03
AccountsPayableCurrent / USD,1829000000.0,1829000000.0,1829000000.0,1829000000.0,2489000000.0,2489000000.0,2489000000.0,2489000000.0,2254000000.0,2254000000.0,2254000000.0
AccountsReceivableNetCurrent / USD,2122000000.0,2122000000.0,2122000000.0,2122000000.0,2073000000.0,2073000000.0,2073000000.0,2073000000.0,2165000000.0,2165000000.0,2165000000.0
AccruedIncomeTaxesCurrent / USD,,,,,,,142000000.0,142000000.0,74000000.0,74000000.0,74000000.0
AccruedIncomeTaxesNoncurrent / USD,584000000.0,584000000.0,584000000.0,584000000.0,188000000.0,188000000.0,188000000.0,188000000.0,185000000.0,185000000.0,185000000.0
AccruedLiabilitiesCurrent / USD,906000000.0,906000000.0,906000000.0,906000000.0,1456000000.0,1456000000.0,1456000000.0,1456000000.0,1132000000.0,1132000000.0,1132000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,3880000000.0,,,,4201000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-5453000000.0,-5453000000.0,-5455000000.0,-5455000000.0,-5377000000.0,-5377000000.0,-5377000000.0,-5377000000.0,-6146000000.0,-6146000000.0,-6146000000.0
AdditionalPaidInCapital / USD,,0.0,0.0,0.0,16147000000.0,16147000000.0,16147000000.0,16147000000.0,16130000000.0,16130000000.0,16130000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,73000000.0,75000000.0,188000000.0,35000000.0,73000000.0,75000000.0,137000000.0,81000000.0,142000000.0,200000000.0
AdvertisingExpense / USD,,,,1461000000.0,,,,1356000000.0,,,
AllocatedShareBasedCompensationExpense / USD,35000000.0,76000000.0,106000000.0,141000000.0,35000000.0,73000000.0,75000000.0,137000000.0,81000000.0,142000000.0,200000000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,37000000.0,35000000.0,35000000.0,35000000.0,,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,35000000.0,35000000.0,35000000.0,35000000.0,25000000.0,25000000.0,25000000.0,32000000.0,26000000.0,26000000.0,26000000.0
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,,8000000.0,,11000000.0,15000000.0,5000000.0,,,
AmortizationOfIntangibleAssets / USD,,182000000.0,265000000.0,414000000.0,81000000.0,160000000.0,242000000.0,348000000.0,74000000.0,146000000.0,212000000.0
AmountRecognizedInNetPeriodicBenefitCostAndOtherComprehensiveIncomeLossBeforeTax / USD,,,,,,,,-77000000.0,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,38386962.0,44745842.0,57601000.0,59645294.0,38386962.0,44745842.0,57600000.0,59645294.0,60000000.0
