fact_unit,2009-05-11,2009-08-07,2009-11-06,2010-02-26,2010-05-07,2010-08-06,2010-11-05,2011-02-25,2011-05-06,2011-08-05,2011-11-04,2012-02-27,2012-05-07,2012-08-03,2012-11-02,2013-02-22,2013-05-06,2013-08-09,2013-11-06,2014-02-27,2014-05-09,2014-08-11,2014-11-07,2015-02-27,2015-05-08,2015-08-10,2015-11-06,2016-02-26,2016-05-10,2016-08-05,2016-11-09,2017-02-24,2017-05-05,2017-08-04,2017-11-07,2018-02-20,2018-05-04,2018-08-08,2018-11-09,2019-02-15,2019-05-07,2019-08-06,2019-11-06,2020-02-14,2020-05-07,2020-08-07,2020-11-06,2021-02-16,2021-05-05,2021-08-05,2021-11-05,2022-02-15,2022-02-18,2022-05-05,2022-08-05,2022-11-04,2023-02-15,2023-05-04,2023-08-03,2023-11-03,2024-02-16,2024-05-08,2024-08-07,2024-11-08,2025-02-14,2025-05-08,2025-08-08,2025-11-06
AccountsPayableAndAccruedLiabilitiesCurrent / USD,,2766000000.0,2766000000.0,2722000000.0,2038000000.0,2038000000.0,2038000000.0,2038000000.0,2441000000.0,,,2441000000.0,,,,2194000000.0,,,,2324000000.0,,,,3708000000.0,,,,3653000000.0,,,3554000000.0,3232000000.0,2393000000.0,2393000000.0,2393000000.0,2393000000.0,2321000000.0,2321000000.0,2321000000.0,2497000000.0,2625000000.0,2625000000.0,2625000000.0,2625000000.0,2576000000.0,2576000000.0,2576000000.0,2576000000.0,2708000000.0,2708000000.0,2708000000.0,2708000000.0,,3495000000.0,3495000000.0,3495000000.0,3495000000.0,4027000000.0,4027000000.0,4027000000.0,4027000000.0,3729000000.0,3729000000.0,3729000000.0,3729000000.0,4057000000.0,4057000000.0,4057000000.0
AccountsPayableAndOtherAccruedLiabilitiesCurrent / USD,,,,,,,,,,2441000000.0,2441000000.0,,2297000000.0,2297000000.0,2297000000.0,,3007000000.0,2708000000.0,2708000000.0,,3708000000.0,3708000000.0,3708000000.0,,3653000000.0,3653000000.0,3653000000.0,,3363000000.0,3255000000.0,3255000000.0,,,,,,,,,140000000.0,,,,143000000.0,,,,88000000.0,,,,128000000.0,,,,,120000000.0,,,,68000000.0,,,,81000000.0,,,
AccountsPayableCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2251000000.0,,,,1540000000.0,,,,1546000000.0,,,,1661000000.0,,,,1654000000.0,,,,1473000000.0,,,,,2035000000.0,,,,2701000000.0,,,,2466000000.0,,,
AccountsReceivableNetCurrent / USD,374000000.0,374000000.0,374000000.0,374000000.0,1517000000.0,1517000000.0,1517000000.0,1517000000.0,2132000000.0,2132000000.0,2132000000.0,2132000000.0,892000000.0,892000000.0,892000000.0,892000000.0,927000000.0,927000000.0,927000000.0,927000000.0,1728000000.0,1728000000.0,1728000000.0,1728000000.0,953000000.0,953000000.0,953000000.0,953000000.0,689000000.0,660000000.0,940000000.0,645000000.0,1126000000.0,1126000000.0,1126000000.0,1126000000.0,1246000000.0,1246000000.0,1246000000.0,1322000000.0,829000000.0,829000000.0,829000000.0,829000000.0,741000000.0,741000000.0,741000000.0,741000000.0,892000000.0,892000000.0,892000000.0,892000000.0,,1168000000.0,1168000000.0,1168000000.0,1168000000.0,1336000000.0,1336000000.0,1336000000.0,1336000000.0,1209000000.0,1209000000.0,1209000000.0,1209000000.0,578000000.0,578000000.0,578000000.0
AccrualForEnvironmentalLossContingencies / USD,,,,,,,,1268000000.0,,,,1401000000.0,,,,1464000000.0,,,,1422000000.0,,,,1453000000.0,,,,1222000000.0,,,1222000000.0,1167000000.0,,,,1174000000.0,,,,1215000000.0,,,,1221000000.0,,,,1439000000.0,,,,1511000000.0,,,,,1561000000.0,,,,1584000000.0,,,,1664000000.0,,,
AccrualForEnvironmentalLossContingenciesChargesToExpenseForNewLosses / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000000.0,,,,33000000.0,,,,26000000.0,,,,241000000.0,,,,56000000.0,,,,23000000.0,,,,,38000000.0,,,,40000000.0,,,,43000000.0,,,
AccrualForEnvironmentalLossContingenciesGross / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300000000.0,,,,3300000000.0,,,,3300000000.0,,,,3200000000.0,,,,3700000000.0,,,,3700000000.0,,,,,3700000000.0,,,,4500000000.0,,,,4400000000.0,,,
AccrualForEnvironmentalLossContingenciesIncreaseDecreaseForAcquisitionsAndDivestitures / USD,,,,,,,,117000000.0,,,,,,,,,,,,,,,,,,,,,,,,1100000000.0,,,,1300000000.0,,,,1400000000.0,,,,1400000000.0,,,,1500000000.0,,,,1500000000.0,,,,,1600000000.0,,,,1800000000.0,,,,1900000000.0,,,
AccrualForEnvironmentalLossContingenciesPayments1 / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000000.0,,,,67000000.0,,,,58000000.0,,,,64000000.0,,,,84000000.0,,,,74000000.0,,,,,59000000.0,,,,64000000.0,,,,77000000.0,,,
AccrualForEnvironmentalLossContingenciesPeriodIncreaseDecrease / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199000000.0,,56000000.0,79000000.0,82000000.0,,,,
