fact_unit,2022-02-25,2022-05-12,2022-08-04,2022-11-08,2023-02-16,2023-05-04,2023-08-03,2023-11-06,2024-02-27,2024-05-09,2024-08-06,2024-11-04,2025-02-18,2025-05-06,2025-08-07,2025-11-07
AccountsPayableAndAccruedLiabilitiesCurrent / USD,,,,,,,,3734000000.0,3734000000.0,2612000000.0,2612000000.0,2612000000.0,2612000000.0,3943000000.0,3943000000.0,3943000000.0
AccountsPayableAndAccruedLiabilitiesNoncurrent / USD,,,,,,,2897000000.0,2897000000.0,,3688000000.0,3688000000.0,3688000000.0,,4518000000.0,4518000000.0,4518000000.0
AccountsPayableCurrent / USD,,1757000000.0,1757000000.0,1757000000.0,1757000000.0,2828000000.0,2828000000.0,2828000000.0,2828000000.0,1302000000.0,1302000000.0,1302000000.0,1302000000.0,2369000000.0,2369000000.0,2369000000.0
AccountsPayableOtherCurrent / USD,23000000.0,,,,35000000.0,,,,12000000.0,,,,23000000.0,,,
AccountsReceivableNetCurrent / USD,,1669000000.0,1669000000.0,1669000000.0,1669000000.0,2585000000.0,2585000000.0,2585000000.0,2585000000.0,1934000000.0,1934000000.0,1934000000.0,1934000000.0,3116000000.0,3116000000.0,3116000000.0
AccountsReceivableSale / USD,,81000000.0,107000000.0,117000000.0,824000000.0,69000000.0,96000000.0,312000000.0,147000000.0,184000000.0,249000000.0,274000000.0,423000000.0,158000000.0,210000000.0,228000000.0
AccruedIncomeTaxesCurrent / USD,,272000000.0,272000000.0,272000000.0,272000000.0,257000000.0,257000000.0,,257000000.0,399000000.0,399000000.0,399000000.0,399000000.0,232000000.0,232000000.0,232000000.0
AccumulatedDeferredInvestmentTaxCredit / USD,,,,,369000000.0,,,,354000000.0,,,,339000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,15873000000.0,15873000000.0,15873000000.0,15873000000.0,16726000000.0,16726000000.0,16726000000.0,16726000000.0,17423000000.0,17423000000.0,17423000000.0,17423000000.0,18088000000.0,18088000000.0,18088000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,-31000000.0,-31000000.0,-31000000.0,-31000000.0,-1760000000.0,-1760000000.0,-1760000000.0,-1760000000.0,-2191000000.0,-2191000000.0,-2191000000.0,-2191000000.0,-2302000000.0,-2302000000.0,-2302000000.0
AllocatedShareBasedCompensationExpense / USD,,12000000.0,22000000.0,30000000.0,27000000.0,,,,47000000.0,,,,116000000.0,,,
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,9000000.0,16000000.0,22000000.0,20000000.0,,,,35000000.0,,,,87000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,55000000.0,55000000.0,55000000.0,55000000.0,46000000.0,46000000.0,46000000.0,46000000.0,56000000.0,56000000.0,56000000.0,56000000.0,190000000.0,190000000.0,190000000.0
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,,,,,,,,,,,21000000.0,12000000.0,16000000.0,35000000.0
AllowanceForDoubtfulOtherReceivablesCurrent / USD,,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,6000000.0,6000000.0,6000000.0
AmortizationOfIntangibleAssets / USD,,12000000.0,25000000.0,37000000.0,81000000.0,10000000.0,15000000.0,20000000.0,80000000.0,5000000.0,11000000.0,17000000.0,61000000.0,6000000.0,12000000.0,18000000.0
AmortizationOfNuclearFuelLease / USD,,276000000.0,549000000.0,810000000.0,983000000.0,181000000.0,367000000.0,561000000.0,992000000.0,186000000.0,373000000.0,573000000.0,758000000.0,216000000.0,433000000.0,656000000.0
AssetImpairmentCharges / USD,,,,,,,,0.0,545000000.0,,,71000000.0,,,,
AssetRetirementObligationAccretionExpense / USD,,127000000.0,255000000.0,383000000.0,500000000.0,132000000.0,266000000.0,403000000.0,514000000.0,143000000.0,287000000.0,433000000.0,543000000.0,167000000.0,336000000.0,498000000.0
