fact_unit,2012-05-16,2012-08-03,2012-11-01,2013-02-22,2013-05-02,2013-08-01,2013-10-31,2014-02-21,2014-05-01,2014-07-31,2014-10-30,2015-02-20,2015-05-01,2015-07-31,2015-10-30,2016-02-19,2016-04-29,2016-07-29,2016-10-28,2017-02-17,2017-05-05,2017-08-01,2017-10-27,2018-02-23,2018-04-27,2018-07-27,2018-10-26,2019-02-22,2019-04-30,2019-07-26,2019-10-25,2020-02-21,2020-05-01,2020-07-31,2020-10-30,2021-02-24,2021-04-30,2021-08-03,2021-10-29,2022-02-18,2022-04-29,2022-07-29,2022-11-09,2023-02-22,2023-05-04,2023-08-04,2023-11-03,2024-02-21,2024-04-29,2024-07-31,2024-10-29,2025-02-21,2025-04-25,2025-07-28,2025-10-29
AccountsReceivableGross / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6902000000.0,,,,3911000000.0,6140000000.0,6140000000.0,6140000000.0,6140000000.0,8749000000.0,8749000000.0,8749000000.0,8749000000.0,9638000000.0,9638000000.0,9638000000.0,9638000000.0,8615000000.0,8615000000.0,8615000000.0
AccountsReceivableNetCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8510000000.0,8510000000.0,8510000000.0,8510000000.0,6522000000.0,6522000000.0,6522000000.0,6522000000.0,7470000000.0,7470000000.0,7470000000.0,7470000000.0,10985000000.0,10985000000.0,10985000000.0,10985000000.0,11730000000.0,11730000000.0,11730000000.0,11730000000.0,11033000000.0,11033000000.0,11033000000.0
AccretionExpenseIncludingAssetRetirementObligations / USD,,11000000.0,16000000.0,22000000.0,5000000.0,11000000.0,18000000.0,21000000.0,6000000.0,12000000.0,18000000.0,25000000.0,6000000.0,12000000.0,18000000.0,24000000.0,5000000.0,11000000.0,16000000.0,24000000.0,5000000.0,10000000.0,15000000.0,21000000.0,5000000.0,11000000.0,16000000.0,21000000.0,6000000.0,12000000.0,17000000.0,22000000.0,6000000.0,11000000.0,17000000.0,23000000.0,6000000.0,11000000.0,17000000.0,23000000.0,6000000.0,12000000.0,18000000.0,22000000.0,6000000.0,12000000.0,17000000.0,24000000.0,6000000.0,13000000.0,19000000.0,23000000.0,9000000.0,19000000.0,27000000.0
AccrualForEnvironmentalLossContingencies / USD,542000000.0,542000000.0,542000000.0,542000000.0,530000000.0,530000000.0,530000000.0,530000000.0,492000000.0,492000000.0,492000000.0,492000000.0,496000000.0,496000000.0,496000000.0,496000000.0,485000000.0,485000000.0,485000000.0,485000000.0,496000000.0,496000000.0,496000000.0,496000000.0,458000000.0,458000000.0,458000000.0,458000000.0,447000000.0,447000000.0,447000000.0,447000000.0,441000000.0,441000000.0,441000000.0,441000000.0,427000000.0,427000000.0,427000000.0,427000000.0,436000000.0,436000000.0,436000000.0,436000000.0,434000000.0,434000000.0,434000000.0,434000000.0,446000000.0,446000000.0,446000000.0,446000000.0,439000000.0,439000000.0,439000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,122000000.0,122000000.0,122000000.0,329000000.0,-314000000.0,-314000000.0,-314000000.0,214000000.0,-314000000.0,-314000000.0,-314000000.0,122000000.0,37000000.0,37000000.0,37000000.0,-314000000.0,-531000000.0,-531000000.0,-531000000.0,37000000.0,-653000000.0,-653000000.0,-653000000.0,-995000000.0,-617000000.0,-617000000.0,-617000000.0,-617000000.0,-692000000.0,-692000000.0,-692000000.0,-692000000.0,-788000000.0,-788000000.0,-788000000.0,-788000000.0,-789000000.0,-789000000.0,-789000000.0,-789000000.0,-445000000.0,-445000000.0,-445000000.0,-445000000.0,-460000000.0,-460000000.0,-460000000.0,-460000000.0,-282000000.0,-282000000.0,-282000000.0,-282000000.0,-407000000.0,-407000000.0,-407000000.0
AdditionalPaidInCapitalCommonStock / USD,,18608000000.0,18643000000.0,0.0,18726000000.0,18726000000.0,18726000000.0,18726000000.0,18887000000.0,18887000000.0,18887000000.0,18887000000.0,19040000000.0,19040000000.0,19040000000.0,19040000000.0,19145000000.0,19145000000.0,19145000000.0,19145000000.0,19559000000.0,19559000000.0,19559000000.0,19559000000.0,19768000000.0,19768000000.0,19768000000.0,19768000000.0,19873000000.0,19873000000.0,19873000000.0,19873000000.0,20301000000.0,20301000000.0,20301000000.0,20301000000.0,20383000000.0,20383000000.0,20383000000.0,20383000000.0,20504000000.0,20504000000.0,20504000000.0,20504000000.0,19791000000.0,19791000000.0,19791000000.0,19791000000.0,19650000000.0,19650000000.0,19650000000.0,19650000000.0,19788000000.0,19788000000.0,19788000000.0
AdvertisingExpense / USD,,,,59000000.0,,,,63000000.0,,,,57000000.0,,,,68000000.0,,,,70000000.0,,,,73000000.0,,,,80000000.0,,,,76000000.0,,,,68000000.0,,,,63000000.0,,,,51000000.0,,,,52000000.0,,,,56000000.0,,,
AllocatedShareBasedCompensationExpense / USD,,9000000.0,,44000000.0,,,,46000000.0,,,,94000000.0,,,,132000000.0,,,,134000000.0,,,,144000000.0,,,,156000000.0,,,,142000000.0,,,,100000000.0,,,,169000000.0,,,,127000000.0,,,,144000000.0,,,,210000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,13000000.0,13000000.0,13000000.0,13000000.0,50000000.0,50000000.0,50000000.0,50000000.0,47000000.0,47000000.0,47000000.0,47000000.0,71000000.0,71000000.0,71000000.0,71000000.0,55000000.0,55000000.0,55000000.0,55000000.0,34000000.0,34000000.0,34000000.0,34000000.0,29000000.0,29000000.0,29000000.0,29000000.0,22000000.0,22000000.0,,22000000.0,41000000.0,41000000.0,41000000.0,41000000.0,37000000.0,37000000.0,37000000.0,37000000.0,44000000.0,44000000.0,44000000.0,44000000.0,67000000.0,67000000.0,67000000.0,67000000.0,71000000.0,71000000.0,71000000.0,71000000.0,70000000.0,70000000.0,70000000.0
AmortizationOfIntangibleAssets / USD,,,,,,,,,,,,,,,,,,,,,,,,13000000.0,,,,18000000.0,,,,21000000.0,,,,14000000.0,,,,17000000.0,,,,27000000.0,,,,26000000.0,,,,27000000.0,,,
