fact_unit,2009-08-03,2009-11-03,2010-02-19,2010-04-27,2010-08-02,2010-11-01,2011-02-18,2011-05-03,2011-08-01,2011-10-20,2011-10-31,2012-02-24,2012-04-30,2012-08-01,2012-11-05,2013-02-22,2013-05-01,2013-07-31,2013-11-06,2014-02-19,2014-05-07,2014-07-30,2014-09-16,2014-11-07,2015-02-18,2015-04-29,2015-07-29,2015-08-10,2015-11-06,2016-02-18,2016-05-04,2016-08-03,2016-11-04,2017-02-17,2017-05-03,2017-08-02,2017-11-08,2017-12-14,2018-02-16,2018-05-02,2018-08-01,2018-11-07,2019-02-21,2019-05-01,2019-07-31,2019-11-06,2020-02-20,2020-04-29,2020-08-05,2020-11-03,2021-02-18,2021-04-28,2021-07-28,2021-11-03,2022-02-17,2022-04-27,2022-07-27,2022-11-02,2023-02-16,2023-04-26,2023-08-02,2023-11-01,2024-02-15,2024-04-24,2024-07-31,2024-10-30,2025-02-20,2025-04-30,2025-07-30,2025-11-05
AccountsPayableAndAccruedLiabilitiesCurrent / USD,,1077027000.0,1077027000.0,1307710000.0,1307710000.0,1307710000.0,1307710000.0,1624832000.0,1624832000.0,1307710000.0,1624832000.0,1681000000.0,1783000000.0,1783000000.0,1783000000.0,1783000000.0,2042000000.0,2042000000.0,2042000000.0,2042000000.0,1821000000.0,1821000000.0,2042000000.0,1821000000.0,1821000000.0,2095000000.0,2095000000.0,1821000000.0,2095000000.0,2095000000.0,2212000000.0,2212000000.0,2212000000.0,2212000000.0,2467000000.0,2467000000.0,2467000000.0,2212000000.0,2467000000.0,4069000000.0,4069000000.0,4069000000.0,4069000000.0,3067000000.0,3067000000.0,3067000000.0,3067000000.0,3754000000.0,3754000000.0,3754000000.0,3754000000.0,4013000000.0,4013000000.0,4013000000.0,4013000000.0,4509000000.0,4509000000.0,4509000000.0,4509000000.0,5238000000.0,5238000000.0,5238000000.0,5238000000.0,6569000000.0,6569000000.0,6569000000.0,6569000000.0,5259000000.0,5259000000.0,5259000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,1255194000.0,,,1255194000.0,,1244000000.0,,,,1170000000.0,,,,1415000000.0,,,1415000000.0,,1530000000.0,,,1530000000.0,,1679000000.0,,,,1338000000.0,,,,1338000000.0,1690000000.0,,,,1976000000.0,,,,2313000000.0,,,,2660000000.0,,,,3123000000.0,,,,2874000000.0,,,,3136000000.0,,,,2854000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-175243000.0,-175243000.0,-175243000.0,42135000.0,42135000.0,42135000.0,42135000.0,120584000.0,120584000.0,42135000.0,120584000.0,120000000.0,303000000.0,303000000.0,303000000.0,303000000.0,386000000.0,386000000.0,386000000.0,386000000.0,158000000.0,158000000.0,386000000.0,158000000.0,158000000.0,223000000.0,223000000.0,158000000.0,223000000.0,223000000.0,58000000.0,58000000.0,58000000.0,58000000.0,-66000000.0,-66000000.0,-66000000.0,58000000.0,-66000000.0,19000000.0,19000000.0,19000000.0,19000000.0,-159000000.0,-159000000.0,-159000000.0,-159000000.0,156000000.0,156000000.0,156000000.0,156000000.0,391000000.0,391000000.0,391000000.0,391000000.0,42000000.0,42000000.0,42000000.0,42000000.0,-1304000000.0,-1304000000.0,-1304000000.0,-1304000000.0,-999000000.0,-999000000.0,-999000000.0,-999000000.0,-1067000000.0,-1067000000.0,-1067000000.0
AdditionalPaidInCapitalCommonStock / USD,1574245000.0,1574245000.0,1574245000.0,1658521000.0,1658521000.0,1658521000.0,1658521000.0,1737207000.0,1737207000.0,1658521000.0,1737207000.0,1737000000.0,1938000000.0,1938000000.0,1938000000.0,1938000000.0,2101000000.0,2101000000.0,2101000000.0,2101000000.0,2267000000.0,2267000000.0,2101000000.0,2267000000.0,2267000000.0,2330000000.0,2330000000.0,2267000000.0,2330000000.0,2330000000.0,2530000000.0,2530000000.0,2530000000.0,2530000000.0,2562000000.0,2562000000.0,2562000000.0,2530000000.0,2562000000.0,2445000000.0,2445000000.0,2445000000.0,2445000000.0,2535000000.0,2535000000.0,2535000000.0,2535000000.0,2820000000.0,2820000000.0,2820000000.0,2820000000.0,2705000000.0,2705000000.0,2705000000.0,2705000000.0,3082000000.0,3082000000.0,3082000000.0,3082000000.0,3246000000.0,3246000000.0,3246000000.0,3246000000.0,3346000000.0,3346000000.0,3346000000.0,3346000000.0,3463000000.0,3463000000.0,3463000000.0
AdjustmentForAmortization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117000000.0,,,,121000000.0,,,,121000000.0,93000000.0,,,,77000000.0,,,,,,,,,,,66000000.0,70000000.0,15000000.0,30000000.0,51000000.0,88000000.0,24000000.0,45000000.0,73000000.0,73000000.0,18000000.0,34000000.0,51000000.0,96000000.0,16000000.0,31000000.0,46000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,42132000.0,,,,,,,55369000.0,,,,,,63000000.0,,,,67000000.0,,,67000000.0,,82000000.0,,,82000000.0,,92000000.0,,,,98000000.0,,,,98000000.0,109000000.0,,,116000000.0,115000000.0,35000000.0,69000000.0,105000000.0,157000000.0,33000000.0,76000000.0,119000000.0,137000000.0,36000000.0,82000000.0,129000000.0,163000000.0,39000000.0,84000000.0,132000000.0,181000000.0,43000000.0,93000000.0,173000000.0,180000000.0,38000000.0,89000000.0,142000000.0,216000000.0,45000000.0,100000000.0,153000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137000000.0,,,,163000000.0,,,,181000000.0,,,,180000000.0,,,,216000000.0,,,
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000000.0,,,,116000000.0,,,,128000000.0,,,,152000000.0,,,,165000000.0,,,,188000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,49160000.0,49160000.0,49160000.0,50832000.0,50832000.0,50832000.0,50832000.0,51470000.0,51470000.0,50832000.0,51470000.0,52000000.0,85000000.0,85000000.0,85000000.0,85000000.0,94000000.0,94000000.0,94000000.0,94000000.0,118000000.0,118000000.0,94000000.0,118000000.0,118000000.0,97000000.0,98000000.0,118000000.0,98000000.0,98000000.0,101000000.0,101000000.0,101000000.0,101000000.0,118000000.0,118000000.0,118000000.0,101000000.0,118000000.0,96000000.0,96000000.0,96000000.0,96000000.0,79000000.0,79000000.0,79000000.0,79000000.0,69000000.0,69000000.0,69000000.0,69000000.0,72000000.0,72000000.0,72000000.0,72000000.0,83000000.0,83000000.0,83000000.0,83000000.0,70000000.0,70000000.0,70000000.0,70000000.0,88000000.0,88000000.0,88000000.0,88000000.0,98000000.0,98000000.0,98000000.0
AmortizationOfIntangibleAssets / USD,,,,,19100000.0,28300000.0,37100000.0,9600000.0,18100000.0,37100000.0,28600000.0,37000000.0,13000000.0,26000000.0,40000000.0,38000000.0,17000000.0,34000000.0,53000000.0,54000000.0,28000000.0,56000000.0,54000000.0,84000000.0,75000000.0,28000000.0,56000000.0,75000000.0,85000000.0,117000000.0,26000000.0,50000000.0,72000000.0,121000000.0,21000000.0,41000000.0,59000000.0,121000000.0,93000000.0,18000000.0,36000000.0,54000000.0,77000000.0,30000000.0,51000000.0,70000000.0,75000000.0,18000000.0,36000000.0,53000000.0,90000000.0,21000000.0,43000000.0,66000000.0,70000000.0,15000000.0,30000000.0,47000000.0,88000000.0,18000000.0,36000000.0,61000000.0,65000000.0,18000000.0,34000000.0,51000000.0,81000000.0,16000000.0,31000000.0,46000000.0
