fact_unit,2017-05-18,2017-08-04,2017-11-03,2018-02-26,2018-05-04,2018-06-15,2018-08-06,2018-11-02,2019-02-28,2019-05-03,2019-08-02,2019-11-05,2020-02-28,2020-05-05,2020-08-05,2020-11-04,2021-02-26,2021-05-04,2021-08-05,2021-11-05,2022-02-25,2022-05-06,2022-08-05,2022-11-04,2023-03-01,2023-05-09,2023-08-09,2023-11-07,2024-02-29,2024-05-10,2024-08-09,2024-11-08,2025-02-28,2025-05-08,2025-08-08,2025-11-07
AccountsPayableCurrent / USD,479000000.0,479000000.0,479000000.0,479000000.0,473000000.0,479000000.0,473000000.0,473000000.0,473000000.0,945000000.0,945000000.0,945000000.0,945000000.0,947000000.0,947000000.0,947000000.0,947000000.0,880000000.0,880000000.0,880000000.0,880000000.0,1515000000.0,1515000000.0,1515000000.0,1515000000.0,1556000000.0,1556000000.0,1556000000.0,1556000000.0,1147000000.0,1147000000.0,1147000000.0,1147000000.0,1510000000.0,1510000000.0,1510000000.0
AccountsReceivableGrossCurrent / USD,622000000.0,622000000.0,622000000.0,622000000.0,596000000.0,622000000.0,596000000.0,596000000.0,596000000.0,1106000000.0,1106000000.0,1106000000.0,1106000000.0,1401000000.0,1401000000.0,1401000000.0,1401000000.0,1324000000.0,1324000000.0,1324000000.0,1324000000.0,1442000000.0,1442000000.0,1442000000.0,1442000000.0,2124000000.0,2124000000.0,2124000000.0,2124000000.0,1735000000.0,1735000000.0,1735000000.0,1735000000.0,2061000000.0,2061000000.0,2061000000.0
AccountsReceivableNetCurrent / USD,612000000.0,612000000.0,612000000.0,612000000.0,582000000.0,612000000.0,582000000.0,582000000.0,582000000.0,1087000000.0,1087000000.0,1087000000.0,1087000000.0,1365000000.0,1365000000.0,1365000000.0,1365000000.0,1279000000.0,1279000000.0,1279000000.0,1279000000.0,1397000000.0,1397000000.0,1397000000.0,1397000000.0,2059000000.0,2059000000.0,2059000000.0,2059000000.0,1674000000.0,1674000000.0,1674000000.0,1674000000.0,1982000000.0,1982000000.0,1982000000.0
AccretionExpense / USD,,,,,21000000.0,,42000000.0,43000000.0,,19000000.0,44000000.0,37000000.0,60000000.0,14000000.0,27000000.0,40000000.0,50000000.0,12000000.0,23000000.0,33000000.0,53000000.0,11000000.0,19000000.0,27000000.0,43000000.0,9000000.0,17000000.0,26000000.0,38000000.0,9000000.0,17000000.0,26000000.0,34000000.0,19000000.0,52000000.0,84000000.0
AccrualForTaxesOtherThanIncomeTaxesCurrent / USD,128000000.0,128000000.0,128000000.0,128000000.0,136000000.0,128000000.0,136000000.0,136000000.0,136000000.0,182000000.0,182000000.0,182000000.0,182000000.0,200000000.0,200000000.0,200000000.0,200000000.0,210000000.0,210000000.0,210000000.0,210000000.0,207000000.0,207000000.0,207000000.0,207000000.0,199000000.0,199000000.0,199000000.0,199000000.0,203000000.0,203000000.0,203000000.0,203000000.0,209000000.0,209000000.0,209000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,85000000.0,85000000.0,85000000.0,54000000.0,393000000.0,54000000.0,393000000.0,393000000.0,282000000.0,1284000000.0,1284000000.0,1284000000.0,1284000000.0,2553000000.0,2553000000.0,2553000000.0,2553000000.0,3614000000.0,3614000000.0,3614000000.0,3614000000.0,4801000000.0,4801000000.0,4801000000.0,4801000000.0,5753000000.0,5753000000.0,5753000000.0,5753000000.0,6657000000.0,6657000000.0,6657000000.0,6657000000.0,8020000000.0,8020000000.0,8020000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipmentPeriodIncreaseDecrease / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416000000.0,904000000.0,1448000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,6000000.0,6000000.0,6000000.0,6000000.0,-17000000.0,6000000.0,-17000000.0,-17000000.0,-17000000.0,-22000000.0,-22000000.0,-22000000.0,-22000000.0,-30000000.0,-30000000.0,-30000000.0,-30000000.0,-48000000.0,-48000000.0,-48000000.0,-48000000.0,-16000000.0,-16000000.0,-16000000.0,-16000000.0,7000000.0,7000000.0,7000000.0,7000000.0,6000000.0,6000000.0,6000000.0,6000000.0,20000000.0,20000000.0,20000000.0
AdditionalPaidInCapitalCommonStock / USD,7742000000.0,7742000000.0,7742000000.0,7742000000.0,7765000000.0,7742000000.0,7765000000.0,7765000000.0,7765000000.0,9329000000.0,9329000000.0,10107000000.0,10107000000.0,9721000000.0,9721000000.0,9721000000.0,9721000000.0,9786000000.0,9786000000.0,9786000000.0,9786000000.0,9824000000.0,9824000000.0,9824000000.0,9824000000.0,9928000000.0,9928000000.0,9928000000.0,9928000000.0,10095000000.0,10095000000.0,10095000000.0,10095000000.0,9435000000.0,9435000000.0,9435000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000000.0,12000000.0,12000000.0
