fact_unit,2011-07-28,2011-10-27,2012-02-23,2012-04-26,2012-07-26,2012-10-25,2013-02-20,2013-04-25,2013-07-25,2013-10-24,2014-02-19,2014-04-23,2014-07-23,2014-10-22,2015-02-18,2015-04-22,2015-07-22,2015-10-21,2016-02-24,2016-04-27,2016-07-28,2016-10-26,2017-02-22,2017-04-26,2017-07-26,2017-10-25,2018-02-21,2018-05-10,2018-08-01,2018-10-31,2019-02-20,2019-05-08,2019-08-02,2019-10-30,2020-02-19,2020-04-29,2020-07-29,2020-11-04,2021-02-19,2021-05-06,2021-08-03,2021-11-01,2022-02-23,2022-04-27,2022-07-29,2022-10-27,2023-02-22,2023-04-26,2023-07-26,2023-11-01,2024-02-21,2024-02-27,2024-04-24,2024-07-31,2024-10-23,2025-02-19,2025-04-25,2025-07-30,2025-10-29
AccountsPayableCurrent / USD,2626000.0,2626000.0,2626000.0,3211000.0,3211000.0,3211000.0,3211000.0,3167000.0,3167000.0,3167000.0,3167000.0,2533000.0,2533000.0,2533000.0,2533000.0,4119000.0,4119000.0,4119000.0,4119000.0,6789000.0,6789000.0,6789000.0,6789000.0,7295000.0,7295000.0,7295000.0,7295000.0,8174000.0,8174000.0,8174000.0,8174000.0,6910000.0,6910000.0,6910000.0,6910000.0,14977000.0,14977000.0,14977000.0,14977000.0,14011000.0,14011000.0,14011000.0,14011000.0,119988000.0,119988000.0,119988000.0,119988000.0,104813000.0,104813000.0,104813000.0,104813000.0,,146339000.0,146339000.0,146339000.0,146339000.0,156817000.0,156817000.0,156817000.0
AccountsReceivableNet / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,226800000.0,226800000.0,226800000.0,226800000.0,314900000.0,314900000.0,314900000.0,314900000.0,396500000.0,396500000.0,396500000.0,396500000.0,403700000.0,403700000.0,403700000.0,403700000.0,535000000.0,535000000.0,535000000.0,535000000.0,585500000.0,585500000.0,585500000.0,585500000.0,,628700000.0,628700000.0,628700000.0,628692000.0,594787000.0,594787000.0,594787000.0
AccountsReceivableNetCurrent / USD,81860000.0,81860000.0,81860000.0,90012000.0,90012000.0,90012000.0,90012000.0,99212000.0,99212000.0,99212000.0,99212000.0,106570000.0,106570000.0,106570000.0,106570000.0,112660000.0,112660000.0,112660000.0,112660000.0,176360000.0,176360000.0,176360000.0,176360000.0,200334000.0,200334000.0,200334000.0,200334000.0,246188000.0,246188000.0,246188000.0,246188000.0,298912000.0,298912000.0,298912000.0,298912000.0,374089000.0,374089000.0,374089000.0,374089000.0,382319000.0,382319000.0,382319000.0,382319000.0,521059000.0,521059000.0,521059000.0,521059000.0,577257000.0,577257000.0,577257000.0,577257000.0,,619704000.0,619704000.0,619704000.0,619704000.0,587634000.0,587634000.0,587634000.0
AccountsReceivableNetNoncurrent / USD,1231000.0,1231000.0,1231000.0,2095000.0,2095000.0,2095000.0,2095000.0,1187000.0,1187000.0,1187000.0,1187000.0,588000.0,588000.0,588000.0,588000.0,1761000.0,1761000.0,1761000.0,1761000.0,2777000.0,2777000.0,2777000.0,2777000.0,2480000.0,2480000.0,2480000.0,2480000.0,12107000.0,12107000.0,12107000.0,12107000.0,16020000.0,16020000.0,16020000.0,16020000.0,22432000.0,22432000.0,22432000.0,22432000.0,21417000.0,21417000.0,21417000.0,21417000.0,13937000.0,13937000.0,13937000.0,13937000.0,8271000.0,8271000.0,8271000.0,8271000.0,,8988000.0,8988000.0,8988000.0,8988000.0,7153000.0,7153000.0,7153000.0
AccruedLiabilitiesCurrent / USD,19433000.0,19433000.0,19433000.0,24151000.0,24751000.0,24751000.0,24751000.0,26018000.0,26018000.0,26018000.0,26018000.0,32839000.0,32839000.0,32839000.0,32839000.0,39508000.0,39508000.0,39508000.0,39508000.0,49156000.0,49156000.0,49156000.0,49156000.0,55989000.0,55989000.0,55989000.0,55989000.0,64675000.0,64675000.0,64675000.0,64675000.0,66480000.0,66480000.0,66480000.0,66480000.0,75234000.0,75234000.0,75234000.0,75234000.0,83084000.0,83084000.0,83084000.0,83084000.0,158424000.0,158424000.0,158424000.0,158424000.0,131941000.0,131941000.0,131941000.0,131941000.0,,158558000.0,158558000.0,158558000.0,158558000.0,197709000.0,197709000.0,197709000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,26818000.0,,,,25140000.0,,,,28136000.0,,,,31625000.0,,,,39243000.0,,,,43212000.0,,,,56585000.0,,,,71698000.0,,,,89347000.0,,,,112583000.0,,,,137910000.0,,,,141382000.0,,,,170722000.0,,,,,178563000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-275000.0,-275000.0,-275000.0,-355000.0,-355000.0,-355000.0,-355000.0,-268000.0,-268000.0,-268000.0,-268000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-46000.0,-844000.0,-844000.0,-844000.0,-844000.0,,-326000.0,-326000.0,-326000.0,-326000.0,-157000.0,-157000.0,-157000.0
AdditionalPaidInCapitalCommonStock / USD,153576000.0,153576000.0,153576000.0,152859000.0,152859000.0,152859000.0,152859000.0,154018000.0,154018000.0,154018000.0,154018000.0,182176000.0,182176000.0,182176000.0,182176000.0,201389000.0,201389000.0,201389000.0,201389000.0,607755000.0,607755000.0,607755000.0,607755000.0,556663000.0,556663000.0,556663000.0,556663000.0,626867000.0,626867000.0,626867000.0,626867000.0,731435000.0,731435000.0,731435000.0,731435000.0,739478000.0,739478000.0,739478000.0,739478000.0,905332000.0,905332000.0,905332000.0,905332000.0,1075650000.0,1075650000.0,1075650000.0,1075650000.0,1209725000.0,1209725000.0,1209725000.0,1209725000.0,,1354787000.0,1354787000.0,1354787000.0,1354787000.0,1539301000.0,1539301000.0,1539301000.0
AdjustmentForAmortization / USD,,,5100000.0,,,,5500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52192000.0,,,
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337000.0,3381000.0,3572000.0,5361000.0,1337000.0,3381000.0,3572000.0,5361000.0,2301000.0,6892000.0,7208000.0,5361000.0,8958000.0,16010000.0,17461000.0,12923000.0,12587000.0,20330000.0,20915000.0,27030000.0,,8292000.0,18744000.0,19026000.0,27219000.0,11207000.0,23456000.0,23763000.0
