fact_unit,2024-04-30,2024-07-24,2024-10-23,2025-02-06,2025-04-23,2025-07-23,2025-10-22
AccountsPayableAndOtherAccruedLiabilitiesCurrent / USD,,,,,8602000000.0,8602000000.0,8602000000.0
AccountsPayableTradeCurrent / USD,,,,,4966000000.0,4966000000.0,4966000000.0
AccountsReceivableGrossCurrent / USD,,,,,6312000000.0,6312000000.0,6312000000.0
AccountsReceivableGrossNoncurrent / USD,316000000.0,316000000.0,316000000.0,316000000.0,282000000.0,282000000.0,282000000.0
AccrualForEnvironmentalLossContingenciesUndiscountedDueInSecondYear / USD,,,,11000000.0,,,
AccrualForEnvironmentalLossContingenciesUndiscountedDueWithinOneYear / USD,,,,13000000.0,,,
AccrualForTaxesOtherThanIncomeTaxesCurrent / USD,,,,,375000000.0,375000000.0,375000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,7347000000.0,7347000000.0,7347000000.0,,7729000000.0,7729000000.0,7729000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-635000000.0,-635000000.0,-635000000.0,-635000000.0,-1759000000.0,-1759000000.0,-1759000000.0
AdditionalPaidInCapital / USD,,0.0,0.0,0.0,9733000000.0,9733000000.0,9733000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,40000000.0,40000000.0,,,40000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,54000000.0,104000000.0,155000000.0,56000000.0,54000000.0,104000000.0
AllocatedShareBasedCompensationExpense / USD,,54000000.0,104000000.0,155000000.0,,,
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,40000000.0,,96000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,674000000.0,674000000.0,674000000.0,771000000.0,515000000.0,515000000.0,515000000.0
AllowanceForDoubtfulAccountsReceivableNoncurrent / USD,184000000.0,184000000.0,184000000.0,184000000.0,142000000.0,142000000.0,142000000.0
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,24000000.0,54000000.0,55000000.0,11000000.0,0.0,9000000.0,15000000.0
AmortizationOfIntangibleAssets / USD,55000000.0,123000000.0,181000000.0,1018000000.0,63000000.0,126000000.0,188000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,0.0,0.0,0.0,0.0,2000000.0,1000000.0
AssetRetirementObligation / USD,,,,581000000.0,622000000.0,622000000.0,622000000.0
AssetRetirementObligationsNoncurrent / USD,581000000.0,581000000.0,581000000.0,581000000.0,,,
Assets / USD,46121000000.0,46121000000.0,46121000000.0,46121000000.0,51485000000.0,51485000000.0,51485000000.0
AssetsCurrent / USD,27428000000.0,27428000000.0,27428000000.0,27428000000.0,34153000000.0,34153000000.0,34153000000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,1444000000.0,1444000000.0,1444000000.0,1444000000.0,,,0.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,2067000000.0,2067000000.0,2067000000.0,1800000000.0,1551000000.0,1551000000.0,1551000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,-14000000.0,-468000000.0,-587000000.0,288000000.0,1173000000.0,3625000000.0,5241000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffectContinuingOperations / USD,6000000.0,-447000000.0,-581000000.0,267000000.0,1704000000.0,4228000000.0,5844000000.0
