fact_unit,2021-05-14,2021-08-11,2021-11-10,2022-02-25,2022-05-10,2022-08-09,2022-11-03,2023-02-21,2023-05-04,2023-08-03,2023-11-02,2024-02-15,2024-05-02,2024-08-01,2024-10-30,2025-02-13,2025-05-08,2025-07-31,2025-10-30
AccountsPayableCurrent / USD,12031000.0,12031000.0,12031000.0,12031000.0,39833000.0,39833000.0,39833000.0,39833000.0,56043000.0,56043000.0,56043000.0,56043000.0,39294000.0,39294000.0,39294000.0,39294000.0,63316000.0,63316000.0,63316000.0
AccountsPayableOtherCurrent / USD,9885000.0,9885000.0,9885000.0,25588000.0,72823000.0,72823000.0,72823000.0,72823000.0,112520000.0,112520000.0,112520000.0,112520000.0,115130000.0,126032000.0,126032000.0,126032000.0,204390000.0,204390000.0,204390000.0
AccountsReceivableGrossCurrent / USD,,,,,,,,,,,,231847000.0,,190849000.0,190849000.0,190849000.0,294680000.0,294680000.0,294680000.0
AccountsReceivableNetCurrent / USD,,,,,,,,,,,,220347000.0,168290000.0,168290000.0,168290000.0,168290000.0,265251000.0,265251000.0,265251000.0
AccruedIncomeTaxesCurrent / USD,,,,,,,,,,,,,,17366000.0,17366000.0,17366000.0,90910000.0,90910000.0,90910000.0
AccruedLiabilitiesCurrent / USD,33987000.0,33987000.0,33987000.0,88783000.0,439559000.0,439559000.0,439559000.0,439559000.0,331236000.0,331236000.0,331236000.0,331236000.0,496183000.0,496183000.0,496183000.0,456889000.0,690136000.0,690136000.0,690136000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,24488000.0,,,,42246000.0,,,,85015000.0,,,,120727000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,6256000.0,6256000.0,6256000.0,6256000.0,-3395000.0,-3395000.0,-3395000.0,-3395000.0,-38606000.0,-38606000.0,-38606000.0,-38606000.0,-30270000.0,-30270000.0,-30270000.0,-30270000.0,-50051000.0,-50051000.0,-50051000.0
AdditionalPaidInCapitalCommonStock / USD,231024000.0,231024000.0,231024000.0,231024000.0,2034658000.0,2034658000.0,2034658000.0,2034658000.0,3767686000.0,3767686000.0,3767686000.0,3767686000.0,4491571000.0,4491571000.0,4491571000.0,4491571000.0,5365990000.0,5365990000.0,5365990000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,117225000.0,117225000.0
AdjustmentsToAdditionalPaidInCapitalOther / USD,,,,,,3679000.0,7124000.0,3679000.0,,3679000.0,7124000.0,3679000.0,,,2291000.0,3679000.0,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationOtherLongtermIncentivePlansRequisiteServicePeriodRecognition / USD,,,,,,,,,84042000.0,84042000.0,84042000.0,84042000.0,84042000.0,84042000.0,84042000.0,84042000.0,,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,9180000.0,22386000.0,38566000.0,32535000.0,105376000.0,294711000.0,559652000.0,72643000.0,353538000.0,815094000.0,1232815000.0,824153000.0,212982000.0,427606000.0,661510000.0,1683840000.0,235569000.0,465938000.0,725630000.0
AllocatedShareBasedCompensationExpense / USD,9180000.0,25063000.0,41243000.0,51883000.0,104628000.0,293963000.0,558157000.0,72625000.0,352141000.0,743637000.0,1135078000.0,820685000.0,282902000.0,482674000.0,700827000.0,1565823000.0,224504000.0,442438000.0,690854000.0
AmortizationOfIntangibleAssets / USD,3900000.0,7900000.0,12200000.0,9700000.0,6900000.0,15200000.0,27500000.0,16700000.0,25900000.0,52300000.0,80000000.0,45300000.0,,,,106100000.0,,,21786000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,42507000.0,15563000.0,27741000.0,153816000.0,2523000.0,8204000.0,6590000.0,16597000.0,52333000.0,50211000.0,46915000.0,6585000.0,47648000.0,45327000.0,41769000.0,44551000.0,8260000.0,7807000.0,7416000.0
Assets / USD,5855414000.0,5855414000.0,5855414000.0,5855414000.0,21274425000.0,21274425000.0,21274425000.0,21274425000.0,89724873000.0,89724873000.0,89724873000.0,89724873000.0,206982953000.0,206982953000.0,206982953000.0,14753901000.0,22541951000.0,22541951000.0,22541951000.0
AssetsCurrent / USD,5133948000.0,5133948000.0,5133948000.0,5133948000.0,18373863000.0,18373863000.0,18373863000.0,18373863000.0,86448215000.0,86448215000.0,86448215000.0,86448215000.0,203585846000.0,203585846000.0,203585846000.0,11356794000.0,18112653000.0,18112653000.0,18112653000.0
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1 / USD,,,0.0,0.0,,0.0,680000.0,0.0,,6184000.0,5395000.0,695000.0,,196000.0,,6230000.0,,,
CapitalizedComputerSoftwareAdditions / USD,,,,9500000.0,,,,12100000.0,,,,22200000.0,,,,178600000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,636324000.0,687410000.0,766262000.0,548945000.0,1983318000.0,4365982000.0,6352775000.0,1061850000.0,6116388000.0,5682068000.0,5006584000.0,7123478000.0,5018409000.0,5166733000.0,5100799000.0,4425021000.0,6711400000.0,7225535000.0,7723806000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,1784417000.0,1784417000.0,1784417000.0,1987139000.0,4856029000.0,4856029000.0,4856029000.0,1784417000.0,17680662000.0,17680662000.0,17680662000.0,4856029000.0,9429646000.0,9429646000.0,9429646000.0,17680662000.0,9555448000.0,9555429000.0,9555429000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect / USD,465191000.0,636957000.0,877661000.0,-202552000.0,3433675000.0,8491592000.0,10485707000.0,3073693000.0,-1508271000.0,-4668552000.0,-5683599000.0,12889516000.0,897127000.0,-540815000.0,-891108000.0,-8087759000.0,2213525000.0,1745378000.0,2041920000.0
ChangeInUnrealizedGainLossOnFairValueHedgingInstruments1 / USD,,,,,,,,,,,,,,,-66053000.0,-223891000.0,-201106000.0,-68799000.0,-29136000.0
ChangeInUnrealizedGainLossOnHedgedItemInFairValueHedge1 / USD,,,,,,,,,,,,,,,91846000.0,262168000.0,,,
ComprehensiveIncomeNetOfTax / USD,31162000.0,64709000.0,148852000.0,-30430000.0,767325000.0,2374330000.0,2777224000.0,329294000.0,-430154000.0,-1538101000.0,-2101046000.0,3614469000.0,-68699000.0,-171487000.0,-184073000.0,-2660160000.0,1169019000.0,1202394000.0,1289317000.0
CryptoAssetAddition / USD,,,,,,,,,,,,,,15109000.0,85149000.0,107580000.0,,,
CryptoAssetCost / USD,,,,,,,,,,,,,,330610000.0,330610000.0,330610000.0,1552995000.0,,
CryptoAssetDisposition / USD,,,,,,,,,,,,,,,,243595000.0,,,
CryptoAssetFairValue / USD,,,,,,,,,,,,,,1522328000.0,1234158000.0,1552995000.0,1552995000.0,1552995000.0,1552995000.0
CryptoAssetFairValueNoncurrent / USD,,,,,,,,,,,,,,1234158000.0,1260718000.0,1552995000.0,1268001000.0,1552995000.0,1552995000.0
CryptoAssetFairValueRestricted / USD,,,,,,,,,,,,,,130400000.0,111100000.0,201700000.0,47700000.0,75700000.0,114500000.0
