fact_unit,2011-06-01,2011-08-30,2011-12-05,2012-03-22,2012-06-04,2012-09-05,2012-12-11,2013-03-25,2013-06-04,2013-09-04,2013-12-05,2014-03-20,2014-06-03,2014-08-28,2014-12-04,2015-03-20,2015-06-02,2015-08-27,2015-12-03,2016-03-22,2016-05-26,2016-08-25,2016-12-01,2017-03-24,2017-06-01,2017-08-31,2017-12-07,2018-03-23,2018-05-31,2018-08-30,2018-12-04,2019-03-22,2019-05-30,2019-08-29,2019-12-05,2020-03-19,2020-05-28,2020-08-27,2020-12-03,2021-03-19,2021-05-27,2021-08-26,2021-12-02,2022-03-18,2022-05-26,2022-08-25,2022-12-01,2023-03-24,2023-06-01,2023-08-31,2023-12-07,2024-03-25,2024-05-30,2024-08-29,2024-12-05,2025-03-21,2025-06-03,2025-08-28,2025-12-04
AccountsPayableCurrent / USD,953641000.0,953641000.0,953641000.0,953641000.0,1064087000.0,1064087000.0,1064087000.0,1064087000.0,1261607000.0,1261607000.0,1261607000.0,1261607000.0,1286484000.0,1286484000.0,1286484000.0,1286484000.0,1388154000.0,1388154000.0,1388154000.0,1388154000.0,1494225000.0,1494225000.0,1494225000.0,1494225000.0,1557596000.0,1557596000.0,1557596000.0,1557596000.0,2009771000.0,2009771000.0,2009771000.0,2009771000.0,2385469000.0,2385469000.0,2385469000.0,2385469000.0,2860682000.0,2860682000.0,2860682000.0,2860682000.0,3614089000.0,3614089000.0,3614089000.0,3614089000.0,3738604000.0,3738604000.0,3738604000.0,3738604000.0,3552991000.0,3552991000.0,3552991000.0,3552991000.0,3587374000.0,3587374000.0,3587374000.0,3587374000.0,3833133000.0,3833133000.0,3833133000.0
AccruedIncomeTaxesCurrent / USD,25980000.0,25980000.0,25980000.0,25980000.0,44428000.0,44428000.0,44428000.0,44428000.0,95387000.0,95387000.0,95387000.0,95387000.0,59148000.0,59148000.0,59148000.0,59148000.0,59400000.0,59400000.0,59400000.0,59400000.0,32870000.0,32870000.0,32870000.0,32870000.0,63393000.0,63393000.0,63393000.0,63393000.0,4104000.0,4104000.0,4104000.0,4104000.0,10033000.0,10033000.0,10033000.0,10033000.0,8362000.0,8362000.0,8362000.0,8362000.0,16063000.0,16063000.0,16063000.0,16063000.0,8055000.0,8055000.0,8055000.0,8055000.0,8919000.0,8919000.0,8919000.0,8919000.0,10709000.0,10709000.0,10709000.0,10709000.0,10136000.0,10136000.0,10136000.0
AccruedLiabilitiesCurrent / USD,347741000.0,347741000.0,347741000.0,347741000.0,397075000.0,397075000.0,397075000.0,397075000.0,357438000.0,357438000.0,357438000.0,357438000.0,368578000.0,368578000.0,368578000.0,368578000.0,413760000.0,413760000.0,413760000.0,413760000.0,467122000.0,467122000.0,467122000.0,467122000.0,500866000.0,500866000.0,500866000.0,500866000.0,549658000.0,549658000.0,549658000.0,549658000.0,618405000.0,618405000.0,618405000.0,618405000.0,709156000.0,709156000.0,709156000.0,709156000.0,1006552000.0,1006552000.0,1006552000.0,1006552000.0,1049139000.0,1049139000.0,1049139000.0,1049139000.0,1036919000.0,1036919000.0,1036919000.0,1036919000.0,971890000.0,971890000.0,971890000.0,971890000.0,1045856000.0,1045856000.0,1045856000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,652694000.0,,,,886025000.0,,,,1138233000.0,,,,1372611000.0,,,,1637482000.0,,,,1906424000.0,,,,2160546000.0,,,,2474010000.0,,,,2548171000.0,,,,2819611000.0,,,,3364333000.0,,,,3591647000.0,,,,3909423000.0,,,,4510504000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-20296000.0,-20296000.0,-20296000.0,-20296000.0,-5191000.0,-5191000.0,-5191000.0,-5191000.0,-2938000.0,-2938000.0,-2938000.0,-2938000.0,-9910000.0,-9910000.0,-9910000.0,-9910000.0,-7327000.0,-7327000.0,-7327000.0,-7327000.0,-5807000.0,-5807000.0,-5807000.0,-5807000.0,-4990000.0,-4990000.0,-4990000.0,-4990000.0,-4181000.0,-4181000.0,-4181000.0,-4181000.0,-3207000.0,-3207000.0,-3207000.0,-3207000.0,-3135000.0,-3135000.0,-3135000.0,-3135000.0,-2163000.0,-2163000.0,-2163000.0,-2163000.0,-1192000.0,-1192000.0,-1192000.0,-1192000.0,43000.0,43000.0,43000.0,43000.0,493000.0,493000.0,493000.0,493000.0,2987000.0,2987000.0,2987000.0
AdditionalPaidInCapitalCommonStock / USD,2945024000.0,2945024000.0,2945024000.0,2945024000.0,2960940000.0,2960940000.0,2967027000.0,2967027000.0,2991351000.0,2991351000.0,2991351000.0,2991351000.0,3009226000.0,3009226000.0,3009226000.0,3009226000.0,3048806000.0,3048806000.0,3048806000.0,3048806000.0,3107283000.0,3107283000.0,3107283000.0,3107283000.0,3154606000.0,3154606000.0,3154606000.0,3154606000.0,3196462000.0,3196462000.0,3196462000.0,3196462000.0,3252421000.0,3252421000.0,3252421000.0,3252421000.0,3322531000.0,3322531000.0,3322531000.0,3322531000.0,3446612000.0,3446612000.0,3446612000.0,3446612000.0,3587914000.0,3587914000.0,3587914000.0,3587914000.0,3693871000.0,3693871000.0,3693871000.0,3693871000.0,3757005000.0,3757005000.0,3757005000.0,3757005000.0,3812590000.0,3812590000.0,3812590000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,15009000.0,,,,12805000.0,,,,15250000.0,,,,21664000.0,,,,20961000.0,,,,37338000.0,,,,38547000.0,,,,36967000.0,12406000.0,21779000.0,31191000.0,34323000.0,13631000.0,24505000.0,35605000.0,40879000.0,18968000.0,34477000.0,51366000.0,48589000.0,23533000.0,39903000.0,59518000.0,68609000.0,,42093000.0,57562000.0,78178000.0,25083000.0,33893000.0,40704000.0,72712000.0,21846000.0,34641000.0,48694000.0
AdvertisingExpense / USD,,,,41500000.0,,,,46900000.0,,,,50400000.0,,,,61700000.0,,,,70500000.0,,,,77300000.0,,,,89300000.0,,,,82700000.0,,,,68800000.0,,,,70500000.0,,,,91000000.0,,,,107400000.0,,,,117200000.0,,,,126000000.0,,,
AllocatedShareBasedCompensationExpense / USD,,,,22245000.0,,,,30171000.0,,,,23981000.0,,,,21664000.0,,,,20961000.0,,,,37338000.0,,,,38547000.0,,,,36967000.0,,,,34323000.0,,,,40879000.0,,,,48589000.0,,,,68609000.0,,,,78178000.0,,,,72671000.0,,,
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,,,13587000.0,,,,18393000.0,,,,14604000.0,,,,13200000.0,,,,12765000.0,,,,22780000.0,,,,23513000.0,,,,22550000.0,,,,21373000.0,,,,30618000.0,,,,36393000.0,,,,50702000.0,,,,57774000.0,,,,56334000.0,,,
