fact_unit,2025-03-07,2025-03-17,2025-05-12,2025-08-21,2025-11-07
AccountsReceivableNetCurrent / USD,935000000.0,935000000.0,935000000.0,935000000.0,1068000000.0
AccruedIncomeTaxesCurrent / USD,20000000.0,20000000.0,20000000.0,20000000.0,43000000.0
AccruedIncomeTaxesNoncurrent / USD,56000000.0,56000000.0,56000000.0,56000000.0,131000000.0
AccruedLiabilitiesCurrent / USD,424000000.0,424000000.0,424000000.0,424000000.0,425000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,2203000000.0,2203000000.0,2203000000.0,2203000000.0,1506000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-452000000.0,-452000000.0,-452000000.0,-452000000.0,-249000000.0
AdditionalPaidInCapital / USD,,,0.0,0.0,11248000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,40000000.0,40000000.0,40000000.0,165000000.0,41000000.0
AdvertisingExpense / USD,,,,35000000.0,
AllocatedShareBasedCompensationExpense / USD,77000000.0,77000000.0,115000000.0,165000000.0,41000000.0
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,,100000000.0,143000000.0,36000000.0
AmortizationOfFinancingCostsAndDiscounts / USD,,,0.0,0.0,0.0
AmortizationOfIntangibleAssets / USD,,,,133000000.0,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,0.0,0.0,700000.0
Assets / USD,13506000000.0,13506000000.0,13506000000.0,13506000000.0,12985000000.0
AssetsCurrent / USD,3548000000.0,3548000000.0,3548000000.0,3548000000.0,5086000000.0
CashAndCashEquivalentsAtCarryingValue / USD,328000000.0,328000000.0,328000000.0,328000000.0,1481000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,292000000.0,292000000.0,292000000.0,335000000.0,328000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,133000000.0,133000000.0,85000000.0,-43000000.0,-6000000.0
CommonStockParOrStatedValuePerShare / USD/shares,,,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,,,450000000.0,450000000.0,450000000.0
CommonStockSharesIssued / shares,,,145000000.0,145000000.0,145000000.0
CommonStockSharesOutstanding / shares,,,145000000.0,146000000.0,146000000.0
CommonStockValue / USD,,,0.0,0.0,1000000.0
ComprehensiveIncomeNetOfTax / USD,-791000000.0,-791000000.0,-849000000.0,-2079000000.0,420000000.0
CostOfGoodsAndServicesSold / USD,3225000000.0,3225000000.0,4467000000.0,5656000000.0,1157000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,76000000.0,
CurrentForeignTaxExpenseBenefit / USD,,,,138000000.0,
CurrentIncomeTaxExpenseBenefit / USD,,,,222000000.0,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,8000000.0,
DebtInstrumentCarryingAmount / USD,,,2000000000.0,0.0,1900000000.0
DebtInstrumentFairValue / USD,,,2000000000.0,2000000000.0,1400000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,53000000.0,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,-65000000.0,
DeferredFinanceCostsNet / USD,,,,0.0,51000000.0
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,-15000000.0,
DeferredIncomeTaxAssetsNet / USD,96000000.0,96000000.0,96000000.0,96000000.0,58000000.0
DeferredIncomeTaxExpenseBenefit / USD,1000000.0,1000000.0,3000000.0,-81000000.0,-5000000.0
DeferredIncomeTaxLiabilities / USD,,,,99000000.0,
DeferredIncomeTaxLiabilitiesNet / USD,15000000.0,15000000.0,15000000.0,15000000.0,17000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,-1000000.0,
DeferredTaxAssetsGross / USD,,,,207000000.0,
DeferredTaxAssetsHedgingTransactions / USD,,,,67000000.0,
DeferredTaxAssetsLiabilitiesNet / USD,,,,81000000.0,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,19000000.0,
DeferredTaxAssetsOther / USD,,,,27000000.0,
DeferredTaxAssetsPropertyPlantAndEquipment / USD,,,,15000000.0,
DeferredTaxAssetsTaxCreditCarryforwardsGeneralBusiness / USD,,,,0.0,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits / USD,,,,34000000.0,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,,,,45000000.0,
DeferredTaxAssetsValuationAllowance / USD,,,,27000000.0,
DeferredTaxLiabilitiesOther / USD,,,,10000000.0,
DeferredTaxLiabilitiesPropertyPlantAndEquipment / USD,,,,3000000.0,
DefinedBenefitPlanFundedStatusOfPlan / USD,-6000000.0,-6000000.0,-6000000.0,,
Depreciation / USD,,,,315000000.0,
DepreciationAndAmortization / USD,114000000.0,114000000.0,170000000.0,448000000.0,54000000.0
EarningsPerShareBasic / USD/shares,,,-5.46,-14.78,1.46
EarningsPerShareDiluted / USD/shares,,,-5.46,-14.78,1.46
EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,1000000.0,1000000.0,0.0,-1000000.0,1000000.0
EffectiveIncomeTaxRateContinuingOperations / pure,-0.09,-0.09,-0.13,-0.07,0.21
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate / pure,,,,0.21,
EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance / pure,,,,0.0,
EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate / pure,,,,0.0,
EffectiveIncomeTaxRateReconciliationDeductionsExtraterritorialIncomeExclusion / pure,,,,0.0,
EffectiveIncomeTaxRateReconciliationFdiiPercent / pure,,,,-0.03,
EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential / pure,,,,-0.29,
EffectiveIncomeTaxRateReconciliationNondeductibleExpenseImpairmentLosses / pure,,,,-0.07,
EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent / pure,,,,0.01,
EffectiveIncomeTaxRateReconciliationPriorYearIncomeTaxes / pure,,,,0.0,
