fact_unit,2013-08-07,2013-11-05,2014-02-14,2014-05-08,2014-08-07,2014-11-04,2015-02-05,2015-05-05,2015-08-05,2015-10-28,2016-02-04,2016-05-04,2016-08-03,2016-11-01,2017-02-07,2017-05-03,2017-08-03,2017-11-02,2018-02-07,2018-05-03,2018-08-02,2018-10-31,2019-02-07,2019-05-02,2019-08-01,2019-10-31,2020-02-06,2020-04-30,2020-07-30,2020-10-29,2021-02-04,2021-04-29,2021-07-29,2021-10-28,2022-02-03,2022-05-05,2022-08-04,2022-11-03,2023-02-02,2023-03-15,2023-03-24,2023-05-04,2023-08-03,2023-11-02,2024-02-08,2024-03-27,2024-05-02,2024-08-01,2024-10-31,2025-02-06,2025-03-20,2025-05-01,2025-07-31,2025-10-30
AccountsPayableAndAccruedLiabilitiesCurrent / USD,,,70000000.0,343000000.0,343000000.0,343000000.0,392000000.0,337000000.0,311000000.0,311000000.0,409000000.0,398000000.0,398000000.0,398000000.0,398000000.0,388000000.0,388000000.0,388000000.0,388000000.0,462000000.0,462000000.0,462000000.0,462000000.0,521000000.0,521000000.0,521000000.0,521000000.0,505000000.0,505000000.0,505000000.0,505000000.0,639000000.0,639000000.0,639000000.0,639000000.0,703000000.0,703000000.0,703000000.0,703000000.0,,,866000000.0,866000000.0,866000000.0,866000000.0,,1003000000.0,1003000000.0,1003000000.0,1003000000.0,,1051000000.0,1051000000.0,1051000000.0
AccountsReceivableNetCurrent / USD,,,127000000.0,482000000.0,482000000.0,482000000.0,546000000.0,471000000.0,445000000.0,445000000.0,508000000.0,700000000.0,700000000.0,700000000.0,700000000.0,777000000.0,777000000.0,777000000.0,777000000.0,903000000.0,903000000.0,903000000.0,903000000.0,953000000.0,953000000.0,953000000.0,953000000.0,988000000.0,988000000.0,988000000.0,988000000.0,1230000000.0,1230000000.0,1230000000.0,1230000000.0,1208000000.0,1208000000.0,1208000000.0,1208000000.0,,,1169000000.0,1169000000.0,1169000000.0,1169000000.0,,1366000000.0,1366000000.0,1366000000.0,1366000000.0,,1490000000.0,1490000000.0,1490000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,,-52000000.0,359000000.0,359000000.0,359000000.0,-52000000.0,-46000000.0,-46000000.0,-46000000.0,125000000.0,-188000000.0,-188000000.0,-188000000.0,-46000000.0,-344000000.0,-344000000.0,-344000000.0,-188000000.0,-223000000.0,-223000000.0,-223000000.0,-344000000.0,-315000000.0,-315000000.0,-315000000.0,-315000000.0,-243000000.0,-243000000.0,-243000000.0,-243000000.0,-192000000.0,-192000000.0,-192000000.0,-192000000.0,-196000000.0,-196000000.0,-196000000.0,-196000000.0,,,-331000000.0,-331000000.0,-331000000.0,-331000000.0,,-294000000.0,-294000000.0,-294000000.0,-294000000.0,,-338000000.0,-338000000.0,-338000000.0
AdditionalPaidInCapital / USD,9.0,9.0,1903000000.0,9794000000.0,9794000000.0,9794000000.0,9794000000.0,9938000000.0,9938000000.0,9938000000.0,9938000000.0,12295000000.0,12295000000.0,12295000000.0,12290000000.0,11306000000.0,11306000000.0,11306000000.0,11306000000.0,11392000000.0,11392000000.0,11392000000.0,11392000000.0,11547000000.0,11547000000.0,11547000000.0,11547000000.0,11742000000.0,11742000000.0,11742000000.0,11742000000.0,13845000000.0,13845000000.0,13845000000.0,13845000000.0,14069000000.0,14069000000.0,14069000000.0,14069000000.0,,,14313000000.0,14313000000.0,14313000000.0,14313000000.0,,15953000000.0,15953000000.0,15953000000.0,15953000000.0,,16292000000.0,16292000000.0,16292000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,57000000.0,69000000.0,69000000.0,69000000.0,57000000.0,105000000.0,105000000.0,105000000.0,69000000.0,122000000.0,122000000.0,122000000.0,105000000.0,136000000.0,136000000.0,136000000.0,122000000.0,152000000.0,152000000.0,152000000.0,136000000.0,32000000.0,73000000.0,107000000.0,152000000.0,33000000.0,73000000.0,109000000.0,146000000.0,38000000.0,73000000.0,105000000.0,143000000.0,42000000.0,81000000.0,122000000.0,141000000.0,,,45000000.0,88000000.0,129000000.0,168000000.0,,47000000.0,94000000.0,198000000.0,172000000.0,,63000000.0,125000000.0,186000000.0
AdjustmentsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities / USD,,1329000.0,191000000.0,13000000.0,87000000.0,122000000.0,171000000.0,276000000.0,348000000.0,211000000.0,394000000.0,142000000.0,158000000.0,-32000000.0,458000000.0,220000000.0,363000000.0,418000000.0,16000000.0,100000000.0,161000000.0,95000000.0,692000000.0,99000000.0,300000000.0,334000000.0,-469000000.0,162000000.0,412000000.0,375000000.0,513000000.0,-138000000.0,192000000.0,235000000.0,699000000.0,84000000.0,-296000000.0,-410000000.0,773000000.0,,,89000000.0,492000000.0,1404000000.0,-946000000.0,,-21000000.0,316000000.0,525000000.0,2056000000.0,,226000000.0,783000000.0,1010000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155000000.0,,57000000.0,114000000.0,171000000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,2000000.0,,,,3000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,2000000.0,,,,7000000.0,8000000.0,8000000.0,8000000.0,6000000.0,27000000.0,27000000.0,27000000.0,7000000.0,,,,8000000.0,,,,,,27000000.0,,,,,24000000.0,,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,2000000.0,2000000.0,2000000.0,7000000.0,7000000.0,7000000.0,7000000.0,6000000.0,6000000.0,6000000.0,6000000.0,7000000.0,7000000.0,7000000.0,7000000.0,8000000.0,8000000.0,8000000.0,8000000.0,27000000.0,27000000.0,27000000.0,27000000.0,24000000.0,24000000.0,24000000.0,24000000.0,,,22000000.0,22000000.0,22000000.0,22000000.0,,21000000.0,21000000.0,21000000.0,21000000.0,,21000000.0,21000000.0,21000000.0
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,0.0,,,,-1000000.0,,,,1000000.0,,,,1000000.0,,,,1000000.0,,,,0.0,,,,5000000.0,2000000.0,4000000.0,7000000.0,7000000.0,3000000.0,6000000.0,14000000.0,9000000.0,,,,10000000.0,,,,,,16000000.0,,,,,13000000.0,,,,
