fact_unit,2010-08-06,2010-10-29,2011-02-25,2011-04-28,2011-07-26,2011-10-25,2012-02-22,2012-04-19,2012-07-19,2012-10-19,2013-02-15,2013-04-19,2013-07-19,2013-10-18,2014-02-25,2014-04-24,2014-05-30,2014-07-31,2014-08-08,2014-10-29,2015-03-02,2015-05-11,2015-08-07,2015-11-06,2016-02-29,2016-05-10,2016-08-05,2016-11-08,2017-02-28,2017-05-04,2017-08-08,2017-11-09,2018-02-28,2018-05-10,2018-08-07,2018-11-07,2019-02-27,2019-05-08,2019-08-07,2019-11-06,2020-02-26,2020-04-15,2020-05-11,2020-08-05,2020-11-04,2021-02-19,2021-05-05,2021-08-04,2021-11-04,2022-02-22,2022-03-02,2022-05-04,2022-08-03,2022-11-02,2023-01-26,2023-02-15,2023-04-21,2023-05-03,2023-08-02,2023-11-01,2024-02-15,2024-03-28,2024-05-01,2024-07-31,2024-11-06,2025-02-12,2025-03-31,2025-04-30,2025-08-04,2025-11-05
AccountsReceivableNetCurrent / USD,294192000.0,294192000.0,294192000.0,340888000.0,340888000.0,340888000.0,340888000.0,355372000.0,355372000.0,355372000.0,355372000.0,378973000.0,378973000.0,378973000.0,378973000.0,446864000.0,378973000.0,446864000.0,378973000.0,446864000.0,446864000.0,385212000.0,385212000.0,385212000.0,385212000.0,552828000.0,397912000.0,397912000.0,397912000.0,486035000.0,486035000.0,486035000.0,486035000.0,534326000.0,534326000.0,534326000.0,534326000.0,605712000.0,605712000.0,605712000.0,605712000.0,,612651000.0,612651000.0,612651000.0,612651000.0,530838000.0,530838000.0,530838000.0,530838000.0,,556922000.0,556922000.0,556922000.0,,556922000.0,,1190970000.0,1190970000.0,1190970000.0,1190970000.0,,1213160000.0,1213160000.0,1213160000.0,1213160000.0,,742201000.0,742201000.0,742201000.0
AccrualForEnvironmentalLossContingencies / USD,,,,,13806000.0,13806000.0,18970000.0,12359000.0,12359000.0,12359000.0,15567000.0,20322000.0,20322000.0,20322000.0,13806000.0,16599000.0,13806000.0,16599000.0,13806000.0,16599000.0,12359000.0,9235000.0,9235000.0,9235000.0,20322000.0,35298000.0,31436000.0,31436000.0,16599000.0,34919000.0,34919000.0,34919000.0,9235000.0,39808000.0,39808000.0,39808000.0,31436000.0,49569000.0,49569000.0,49569000.0,34919000.0,,42592000.0,42592000.0,42592000.0,39808000.0,45771000.0,45771000.0,45771000.0,49569000.0,,46617000.0,46617000.0,46617000.0,,42592000.0,,38245000.0,38245000.0,38245000.0,45771000.0,,34149000.0,34149000.0,34149000.0,46617000.0,,20023000.0,20023000.0,20023000.0
AccrualForEnvironmentalLossContingenciesChargesToExpenseForNewLosses / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,397000.0,596000.0,0.0,183000.0,370000.0,563000.0,902000.0,225000.0,449000.0,669000.0,793000.0,223000.0,567000.0,799000.0,896000.0,,216000.0,413000.0,652000.0,1283000.0,242000.0,483000.0,723000.0,1030000.0,,259000.0,521000.0,777000.0,,925000.0,,249000.0,573000.0,865000.0,960000.0,,289000.0,576000.0,865000.0,1031000.0,,213000.0,427000.0,644000.0
AccrualForEnvironmentalLossContingenciesDiscountRate / pure,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,0.035,0.035,0.036,0.036,0.036,0.035,0.036,0.036,0.036,0.036,0.037,0.037,0.037,0.037,,0.037,0.037,0.037,0.037,0.035,0.035,0.035,0.035,,0.035,0.035,0.035,,0.035,,0.034,0.034,0.034,0.034,,0.037,0.037,0.037,0.037,,0.04,0.04,0.04
AccrualForEnvironmentalLossContingenciesForeignCurrencyTranslationGainLoss / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,1900000.0,2572000.0,-896000.0,640000.0,1643000.0,2384000.0,-2359000.0,786000.0,-590000.0,-346000.0,1353000.0,-506000.0,-1269000.0,-2007000.0,2467000.0,,-183000.0,139000.0,805000.0,-1676000.0,-605000.0,-408000.0,-814000.0,-3099000.0,,-860000.0,-1634000.0,-3533000.0,,1729000.0,,381000.0,629000.0,-137000.0,-1425000.0,,-285000.0,54000.0,670000.0,302000.0,,92000.0,350000.0,351000.0
AccrualForEnvironmentalLossContingenciesPayments1 / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,1194000.0,2013000.0,4548000.0,303000.0,894000.0,1320000.0,4039000.0,2612000.0,3219000.0,3564000.0,2667000.0,2080000.0,3133000.0,4626000.0,1818000.0,,918000.0,2364000.0,2560000.0,6885000.0,394000.0,879000.0,1529000.0,6037000.0,,728000.0,1991000.0,2495000.0,,3290000.0,,817000.0,1769000.0,3006000.0,2752000.0,,678000.0,1060000.0,3911000.0,10378000.0,,209000.0,397000.0,579000.0
AccrualForEnvironmentalLossContingenciesPeriodIncreaseDecrease / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055000.0,34000.0,,,,150000.0,16236000.0,16236000.0,16236000.0,4004000.0,1070000.0,1070000.0,1070000.0,3344000.0,,,,3857000.0,17039000.0,,1576000.0,1576000.0,1129000.0,,2811000.0,2811000.0,2811000.0,,3815000.0,,1869000.0,1869000.0,1869000.0,4063000.0,,-1924000.0,-2570000.0,-2570000.0,673000.0,,,,
AccruedEnvironmentalLossContingenciesCurrent / USD,,,,,1149000.0,1013000.0,5775000.0,-1277000.0,1622000.0,3080000.0,1661000.0,9715000.0,8841000.0,7984000.0,1433000.0,7118000.0,1433000.0,7133000.0,1433000.0,6055000.0,3109000.0,5009000.0,5645000.0,3085000.0,7386000.0,1904000.0,1145000.0,3051000.0,4394000.0,2345000.0,2390000.0,2476000.0,1443000.0,5060000.0,4981000.0,5012000.0,2324000.0,9826000.0,9654000.0,9588000.0,2290000.0,,9379000.0,9381000.0,9654000.0,9193000.0,9209000.0,9582000.0,9850000.0,9534000.0,,9925000.0,9728000.0,9496000.0,,9473000.0,,7441000.0,7909000.0,10946000.0,9077000.0,,6788000.0,6694000.0,4253000.0,6973000.0,,4193000.0,4176000.0,4066000.0
AccruedEnvironmentalLossContingenciesNoncurrent / USD,,,,,12528000.0,11939000.0,9792000.0,11105000.0,18466000.0,17401000.0,12145000.0,9470000.0,9452000.0,9041000.0,10926000.0,8216000.0,10926000.0,5912000.0,10926000.0,5564000.0,17213000.0,32335000.0,32119000.0,36256000.0,9213000.0,34779000.0,31644000.0,30595000.0,4841000.0,33094000.0,33648000.0,34070000.0,29993000.0,49383000.0,47703000.0,47791000.0,32595000.0,38450000.0,37150000.0,35217000.0,37518000.0,,32328000.0,31399000.0,35692000.0,40376000.0,35805000.0,36961000.0,35877000.0,33058000.0,,38174000.0,36596000.0,34681000.0,,36298000.0,,32486000.0,31638000.0,26890000.0,37540000.0,,24763000.0,24455000.0,24950000.0,31272000.0,,15783000.0,15783000.0,15783000.0
AccruedIncomeTaxesCurrent / USD,2393000.0,2393000.0,2393000.0,23780000.0,23780000.0,23780000.0,23780000.0,11796000.0,11796000.0,11796000.0,11796000.0,4426000.0,4426000.0,4426000.0,4426000.0,8015000.0,4426000.0,8015000.0,4426000.0,8015000.0,8015000.0,9453000.0,9453000.0,9453000.0,9453000.0,69432000.0,26956000.0,26956000.0,26956000.0,254416000.0,254416000.0,254416000.0,254416000.0,54937000.0,54937000.0,54937000.0,54937000.0,60871000.0,60871000.0,60871000.0,60871000.0,,32461000.0,32461000.0,32461000.0,32461000.0,32251000.0,32251000.0,32251000.0,32251000.0,,27667000.0,27667000.0,27667000.0,,27667000.0,,134876000.0,134876000.0,134876000.0,134876000.0,,255155000.0,255155000.0,255155000.0,255155000.0,,95275000.0,95275000.0,95275000.0
AccruedLiabilitiesCurrent / USD,133268000.0,133268000.0,133268000.0,143684000.0,143684000.0,143684000.0,143684000.0,175257000.0,175257000.0,175257000.0,175257000.0,177546000.0,177546000.0,177546000.0,177546000.0,190533000.0,177546000.0,190533000.0,177546000.0,190533000.0,176416000.0,166174000.0,166174000.0,166174000.0,166174000.0,402379000.0,313259000.0,313259000.0,313259000.0,322165000.0,322165000.0,322165000.0,322165000.0,268336000.0,268336000.0,268336000.0,268336000.0,257323000.0,257323000.0,257323000.0,257323000.0,,553160000.0,553160000.0,576297000.0,576297000.0,440763000.0,440763000.0,440763000.0,440763000.0,,763293000.0,763293000.0,763293000.0,,763293000.0,,505894000.0,505894000.0,505894000.0,505894000.0,,544835000.0,544835000.0,544835000.0,544835000.0,,467997000.0,467997000.0,467997000.0
