fact_unit,2022-05-10,2022-08-09,2022-11-08,2023-03-01,2023-05-09,2023-08-07,2023-11-07,2024-02-27,2024-05-07,2024-08-08,2024-11-06,2025-02-24,2025-05-07,2025-08-07,2025-11-10
AccretionAmortizationOfDiscountsAndPremiumsInvestments / USD,0.0,0.0,0.0,0.0,-73000000.0,-155000000.0,-234000000.0,0.0,-30000000.0,-48000000.0,-70000000.0,-285000000.0,5000000.0,27000000.0,47000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-5000000.0,-5000000.0,-5000000.0,-5000000.0,-7335000000.0,-7335000000.0,-7335000000.0,-7335000000.0,-5575000000.0,-5575000000.0,-5575000000.0,-5575000000.0,-5494000000.0,-5494000000.0,-5494000000.0
AdditionalPaidInCapital / USD,2096000000.0,2096000000.0,2096000000.0,2096000000.0,14982000000.0,14982000000.0,14982000000.0,14982000000.0,15249000000.0,15249000000.0,15249000000.0,15249000000.0,15327000000.0,15327000000.0,15327000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,45000000.0,86000000.0,132000000.0,174000000.0,141000000.0,258000000.0,358000000.0,1152000000.0,122000000.0,245000000.0,364000000.0,462000000.0,163000000.0,299000000.0,425000000.0
AdjustmentsToAdditionalPaidInCapitalWarrantIssued / USD,149000000.0,149000000.0,149000000.0,142000000.0,149000000.0,149000000.0,149000000.0,142000000.0,,,,142000000.0,54000000.0,54000000.0,54000000.0
AllocatedShareBasedCompensationExpense / USD,56000000.0,109400000.0,165700000.0,213000000.0,168000000.0,294000000.0,413000000.0,1200000000.0,140000000.0,280000000.0,422000000.0,540000000.0,189000000.0,342000000.0,478000000.0
Assets / USD,30502000000.0,30502000000.0,30502000000.0,30502000000.0,257217000000.0,257217000000.0,257217000000.0,257217000000.0,313488000000.0,313488000000.0,313488000000.0,313488000000.0,377895000000.0,377895000000.0,377895000000.0
AssetsHeldInTrust / USD,,,,12643000000.0,,,,12600000000.0,,,,21600000000.0,,,
AssetsSoldUnderAgreementsToRepurchaseCarryingAmounts / USD,,,,4743000000.0,4743000000.0,4743000000.0,4743000000.0,4743000000.0,3853000000.0,3853000000.0,3853000000.0,3853000000.0,5716000000.0,5716000000.0,5716000000.0
AssumedPremiumsEarned / USD,,,,377000000.0,,,,377000000.0,,,,377000000.0,,,
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax / USD,91000000.0,83000000.0,74000000.0,309000000.0,309000000.0,309000000.0,309000000.0,309000000.0,1709000000.0,1709000000.0,1709000000.0,1709000000.0,1257000000.0,1257000000.0,1257000000.0
AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax / USD,7030000000.0,15116000000.0,21621000000.0,19047000000.0,19047000000.0,19047000000.0,19047000000.0,19047000000.0,14787000000.0,14787000000.0,14787000000.0,14787000000.0,16276000000.0,16276000000.0,16276000000.0
AvailableForSaleDebtSecuritiesAmortizedCostBasis / USD,112487000000.0,116471000000.0,124631000000.0,131422000000.0,131422000000.0,131422000000.0,131422000000.0,131422000000.0,162016000000.0,162016000000.0,162016000000.0,162016000000.0,199895000000.0,199895000000.0,199895000000.0
AvailableForSaleSecuritiesDebtSecurities / USD,105060000000.0,100809000000.0,102648000000.0,112225000000.0,112225000000.0,112225000000.0,112225000000.0,112225000000.0,148347000000.0,148347000000.0,148347000000.0,148347000000.0,184167000000.0,184167000000.0,184167000000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill / USD,6603000000.0,6603000000.0,6603000000.0,6583000000.0,5428000000.0,5428000000.0,5428000000.0,5428000000.0,,,,5428000000.0,,,
CashAcquiredFromAcquisition / USD,0.0,0.0,0.0,49000000.0,10429000000.0,10420000000.0,10420000000.0,0.0,,,,10420000000.0,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,2467000000.0,2467000000.0,2467000000.0,1621000000.0,2088000000.0,2088000000.0,2088000000.0,2467000000.0,11128000000.0,11128000000.0,11128000000.0,2088000000.0,17691000000.0,17691000000.0,17691000000.0
