fact_unit,2009-10-05,2009-12-21,2010-03-10,2010-06-07,2010-09-07,2010-10-06,2010-12-20,2011-03-09,2011-06-07,2011-09-07,2011-12-16,2012-03-05,2012-06-04,2012-09-05,2012-09-10,2012-12-20,2013-03-06,2013-06-03,2013-09-06,2013-12-19,2014-03-05,2014-06-04,2014-09-02,2014-12-22,2015-03-10,2015-06-05,2015-09-02,2015-12-21,2016-03-08,2016-06-07,2016-09-07,2016-12-20,2017-03-08,2017-06-06,2017-09-06,2017-12-21,2018-03-06,2018-05-31,2018-08-30,2018-12-20,2019-03-05,2019-05-30,2019-08-30,2019-12-19,2020-03-03,2020-06-01,2020-09-01,2020-12-18,2021-03-02,2021-06-01,2021-09-01,2021-12-17,2022-03-03,2022-05-31,2022-09-01,2022-12-21,2023-03-03,2023-05-26,2023-08-31,2023-12-20,2024-03-05,2024-06-03,2024-08-30,2024-09-03,2024-12-20,2025-03-03,2025-06-02,2025-08-29
AccountsPayableCurrent / USD,308000000.0,308000000.0,307000000.0,307000000.0,308000000.0,307000000.0,307000000.0,499000000.0,499000000.0,499000000.0,499000000.0,472000000.0,472000000.0,472000000.0,499000000.0,472000000.0,461000000.0,461000000.0,461000000.0,461000000.0,432000000.0,432000000.0,432000000.0,432000000.0,302000000.0,302000000.0,302000000.0,302000000.0,279000000.0,279000000.0,279000000.0,279000000.0,257000000.0,257000000.0,257000000.0,257000000.0,305000000.0,305000000.0,305000000.0,305000000.0,340000000.0,340000000.0,340000000.0,340000000.0,354000000.0,354000000.0,354000000.0,354000000.0,354000000.0,354000000.0,354000000.0,354000000.0,446000000.0,446000000.0,446000000.0,446000000.0,580000000.0,580000000.0,580000000.0,580000000.0,418000000.0,418000000.0,418000000.0,580000000.0,418000000.0,418000000.0,540000000.0,540000000.0
AccountsReceivableNetCurrent / USD,770000000.0,770000000.0,595000000.0,595000000.0,770000000.0,595000000.0,595000000.0,869000000.0,869000000.0,869000000.0,869000000.0,860000000.0,860000000.0,860000000.0,869000000.0,860000000.0,923000000.0,923000000.0,923000000.0,923000000.0,899000000.0,899000000.0,899000000.0,899000000.0,626000000.0,626000000.0,626000000.0,626000000.0,606000000.0,606000000.0,606000000.0,606000000.0,631000000.0,631000000.0,631000000.0,631000000.0,724000000.0,724000000.0,724000000.0,724000000.0,776000000.0,776000000.0,776000000.0,776000000.0,930000000.0,930000000.0,930000000.0,930000000.0,1038000000.0,1038000000.0,1038000000.0,1038000000.0,1172000000.0,1172000000.0,1172000000.0,1172000000.0,1405000000.0,1405000000.0,1405000000.0,1405000000.0,1291000000.0,1291000000.0,1291000000.0,1405000000.0,1291000000.0,1291000000.0,1324000000.0,1324000000.0
AccruedEmployeeBenefitsCurrentAndNoncurrent / USD,,,,,,,133000000.0,,,,142000000.0,,,,142000000.0,144000000.0,,,,156000000.0,,,,158000000.0,,,,100000000.0,,,,86000000.0,,,,92000000.0,,,,101000000.0,,,,107000000.0,,,,115000000.0,,,,111000000.0,,,,129000000.0,,,,123000000.0,,,,123000000.0,120000000.0,120000000.0,,
AccruedIncomeTaxesCurrent / USD,128000000.0,128000000.0,,,128000000.0,,,,,,,,,,,-62000000.0,,,,-115000000.0,,,,48000000.0,,,,100000000.0,,,,62000000.0,,,,49000000.0,,,,55000000.0,,,,71000000.0,,,,292000000.0,,,,63000000.0,,,,47000000.0,,,,51000000.0,,,,51000000.0,73000000.0,73000000.0,,
AccruedIncomeTaxesNoncurrent / USD,,,,,,,,,,,,,,,,-356000000.0,,,,-320000000.0,,,,341000000.0,,,,285000000.0,,,,227000000.0,,,,190000000.0,,,,131000000.0,,,,607000000.0,,,,328000000.0,,,,323000000.0,,,,241000000.0,,,,216000000.0,,,,216000000.0,162000000.0,162000000.0,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,,,,1606000000.0,,,,1595000000.0,,,,1595000000.0,1606000000.0,,,,1718000000.0,,,,1744000000.0,,,,738000000.0,,,,730000000.0,,,,767000000.0,,,,843000000.0,,,,838000000.0,,,,925000000.0,,,,1029000000.0,,,,1122000000.0,,,,1148000000.0,,,,1148000000.0,1223000000.0,1223000000.0,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-178000000.0,-178000000.0,-185000000.0,-185000000.0,-178000000.0,-185000000.0,-185000000.0,-88000000.0,-88000000.0,-88000000.0,-88000000.0,116000000.0,116000000.0,116000000.0,-88000000.0,116000000.0,-111000000.0,-111000000.0,-111000000.0,-111000000.0,91000000.0,91000000.0,91000000.0,-111000000.0,-334000000.0,-334000000.0,-334000000.0,91000000.0,-391000000.0,-391000000.0,-391000000.0,-334000000.0,-503000000.0,-503000000.0,-503000000.0,-391000000.0,-346000000.0,-346000000.0,-346000000.0,-503000000.0,-408000000.0,-408000000.0,-408000000.0,-346000000.0,-514000000.0,-514000000.0,-514000000.0,-408000000.0,-522000000.0,-522000000.0,-522000000.0,-514000000.0,-282000000.0,-282000000.0,-282000000.0,-522000000.0,-347000000.0,-347000000.0,-347000000.0,-282000000.0,-327000000.0,-327000000.0,-327000000.0,-282000000.0,-347000000.0,-347000000.0,-305000000.0,-305000000.0
AdditionalPaidInCapital / USD,7410000000.0,7410000000.0,7552000000.0,7552000000.0,7410000000.0,7552000000.0,7552000000.0,7904000000.0,7904000000.0,7904000000.0,7904000000.0,8265000000.0,8265000000.0,8265000000.0,7904000000.0,8265000000.0,8489000000.0,8489000000.0,8489000000.0,8489000000.0,8723000000.0,8723000000.0,8723000000.0,8723000000.0,8967000000.0,8967000000.0,8967000000.0,8967000000.0,9045000000.0,9045000000.0,9045000000.0,9045000000.0,9159000000.0,9159000000.0,9159000000.0,9159000000.0,5300000000.0,5300000000.0,5300000000.0,5300000000.0,5308000000.0,5308000000.0,5308000000.0,5308000000.0,5277000000.0,5277000000.0,5277000000.0,5277000000.0,5311000000.0,5311000000.0,5311000000.0,5311000000.0,5320000000.0,5320000000.0,5320000000.0,5320000000.0,5325000000.0,5325000000.0,5325000000.0,5325000000.0,5387000000.0,5387000000.0,5387000000.0,5325000000.0,5387000000.0,5387000000.0,5450000000.0,5450000000.0
AdvertisingExpense / USD,,,,,,,45000000.0,,,,36000000.0,,,,36000000.0,45000000.0,,,,55000000.0,,,,50000000.0,,,,28000000.0,,,,31000000.0,,,,25000000.0,,,,30000000.0,,,,38000000.0,,,,41000000.0,,,,36000000.0,,,,48000000.0,,,,63000000.0,,,,63000000.0,66000000.0,66000000.0,,
AllocatedShareBasedCompensationExpense / USD,,,,,,56000000.0,,25000000.0,38000000.0,51000000.0,71000000.0,28000000.0,44000000.0,60000000.0,71000000.0,66000000.0,27000000.0,45000000.0,60000000.0,73000000.0,31000000.0,50000000.0,68000000.0,76000000.0,37000000.0,59000000.0,79000000.0,88000000.0,22000000.0,34000000.0,44000000.0,98000000.0,23000000.0,37000000.0,48000000.0,55000000.0,21000000.0,36000000.0,48000000.0,60000000.0,31000000.0,43000000.0,56000000.0,61000000.0,24000000.0,40000000.0,58000000.0,71000000.0,27000000.0,45000000.0,64000000.0,72000000.0,40000000.0,67000000.0,90000000.0,84000000.0,45000000.0,72000000.0,100000000.0,111000000.0,44000000.0,69000000.0,98000000.0,111000000.0,126000000.0,126000000.0,76000000.0,104000000.0
