fact_unit,2025-05-14,2025-08-01,2025-11-10
LiabilitiesCurrent / USD,0.0,0.0,9631000000.0
LiabilityForAsbestosAndEnvironmentalClaimsNetIncurredLoss1 / USD,,,54000000.0
LongTermDebtAndCapitalLeaseObligations / USD,,,14501000000.0
LongTermDebtAndCapitalLeaseObligationsCurrent / USD,,,0.0
MinorityInterest / USD,,,462000000.0
NetCashProvidedByUsedInFinancingActivities / USD,0.0,0.0,-298000000.0
NetCashProvidedByUsedInInvestingActivities / USD,0.0,0.0,-317000000.0
NetCashProvidedByUsedInInvestingActivitiesContinuingOperations / USD,,,-365000000.0
NetCashProvidedByUsedInOperatingActivities / USD,0.0,0.0,584000000.0
NetIncomeLoss / USD,0.0,0.0,-5966000000.0
NetIncomeLossAttributableToNoncontrollingInterest / USD,,,39000000.0
NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersBasic / USD,,,-5990000000.0
NetIncomeLossFromContinuingOperationsAvailableToCommonShareholdersDiluted / USD,,,-5980000000.0
NotesPayable / USD,,,14500000000.0
NumberOfOperatingSegments / segment,,,3.0
OperatingIncomeLoss / USD,0.0,0.0,-5398000000.0
OperatingLeaseLeaseIncome / USD,,,25000000.0
OperatingLeaseLiabilityNoncurrent / USD,,,1048000000.0
OperatingLeaseRightOfUseAsset / USD,,,1012000000.0
OtherAssetsNoncurrent / USD,0.0,0.0,2828000000.0
OtherComprehensiveIncomeLossBeforeTaxPortionAttributableToParent / USD,0.0,0.0,
OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax / USD,,,-2000000.0
OtherComprehensiveIncomeLossNetOfTax / USD,,,31000000.0
OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent / USD,0.0,0.0,
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax / USD,,,-33000000.0
OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax / USD,,,11000000.0
OtherComprehensiveIncomeLossTaxPortionAttributableToParent1 / USD,0.0,0.0,
OtherLiabilitiesCurrent / USD,,,1360000000.0
OtherLiabilitiesNoncurrent / USD,0.0,0.0,1380000000.0
OtherNonoperatingIncomeExpense / USD,0.0,0.0,-126000000.0
PaymentsForProceedsFromOtherInvestingActivities / USD,,,3000000.0
PaymentsForRestructuring / USD,,,224000000.0
PaymentsOfDividendsCommonStock / USD,,,102000000.0
PaymentsOfDividendsPreferredStockAndPreferenceStock / USD,,,29000000.0
PaymentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,21000000.0
PaymentsToAcquireInterestInSubsidiariesAndAffiliates / USD,,,248000000.0
PaymentsToAcquirePropertyPlantAndEquipment / USD,,,151000000.0
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent / USD,,,1226000000.0
PreferredStockParOrStatedValuePerShare / USD/shares,,,0.001
PreferredStockSharesAuthorized / shares,,,100000000.0
PrepaidExpenseAndOtherAssetsCurrent / USD,,,1532000000.0
ProceedsFromPaymentsForOtherFinancingActivities / USD,,,-26000000.0
ProfitLoss / USD,,,-5927000000.0
ProgramRightsObligationsCurrent / USD,,,1720000000.0
ProgramRightsObligationsNoncurrent / USD,,,260000000.0
PropertyPlantAndEquipmentNet / USD,,,1566000000.0
ReceivableFromShareholdersOrAffiliatesForIssuanceOfCapitalStock / USD,1.0,1.0,
RepaymentsOfDebt / USD,,,720000000.0
RepaymentsOfLinesOfCredit / USD,,,0.0
RestructuringCharges / USD,,,544000000.0
RestructuringReserve / USD,,,349000000.0
RetainedEarningsAccumulatedDeficit / USD,0.0,0.0,7487000000.0
RevenueFromContractWithCustomerExcludingAssessedTax / USD,0.0,0.0,21229000000.0
RevenueRemainingPerformanceObligation / USD,,,6000000000.0
RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability / USD,,,76000000.0
SellingGeneralAndAdministrativeExpense / USD,,,4772000000.0
ShareBasedCompensation / USD,,,175000000.0
StockholdersEquity / USD,0.0,0.0,16320000000.0
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest / USD,,,23050000000.0
TreasuryStockCommonValue / USD,,,22958000000.0
TreasuryStockRetiredCostMethodAmount / USD,,,0.0
UnamortizedDebtIssuanceExpense / USD,,,74000000.0
WeightedAverageNumberOfDilutedSharesOutstanding / shares,1000.0,1000.0,663000000.0
WeightedAverageNumberOfSharesOutstandingBasic / shares,1000.0,1000.0,663000000.0
