fact_unit,2021-05-14,2021-08-13,2021-11-12,2022-03-11,2022-05-13,2022-08-12,2022-11-10,2023-02-28,2023-05-10,2023-08-09,2023-11-08,2024-02-26,2024-05-08,2024-08-07,2024-11-06,2025-02-27,2025-05-07,2025-08-06,2025-11-05
AccountsPayableCurrent / USD,147275000.0,147275000.0,147275000.0,147275000.0,258220000.0,258220000.0,258220000.0,258220000.0,273196000.0,273196000.0,273196000.0,273196000.0,371702000.0,371702000.0,371702000.0,371702000.0,563427000.0,504302000.0,504302000.0
AccountsReceivableNetCurrent / USD,296964000.0,296964000.0,296964000.0,296964000.0,514520000.0,514520000.0,514520000.0,514520000.0,702814000.0,702814000.0,702814000.0,702814000.0,953810000.0,953810000.0,953810000.0,953810000.0,1414246000.0,1283335000.0,1283335000.0
AccruedLiabilitiesCurrent / USD,95057000.0,95057000.0,95057000.0,95057000.0,133770000.0,133770000.0,133770000.0,133770000.0,147801000.0,147801000.0,147801000.0,147801000.0,278861000.0,278861000.0,278861000.0,265256000.0,424206000.0,379004000.0,379004000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,604000.0,604000.0,604000.0,604000.0,-45454000.0,-45454000.0,-45454000.0,-45454000.0,-83382000.0,-83382000.0,-83382000.0,-83382000.0,-65274000.0,-65274000.0,-65274000.0,-65274000.0,-103096000.0,-103096000.0,-103096000.0
AdditionalPaidInCapital / USD,453655000.0,453655000.0,453655000.0,453655000.0,3160487000.0,3160487000.0,3160487000.0,3160487000.0,3155748000.0,3155748000.0,3155748000.0,3155748000.0,2134581000.0,2134581000.0,2134581000.0,2134581000.0,593699000.0,593699000.0,593699000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,4227000.0,4227000.0,4227000.0,27535000.0,4227000.0,4227000.0,4227000.0,27535000.0,19167000.0,19167000.0,19167000.0,27535000.0,80144000.0,80144000.0,80144000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,3462000.0,3462000.0,3462000.0,10222000.0,29667000.0,29667000.0,29667000.0,61504000.0,44377000.0,44377000.0,44377000.0,131965000.0,82966000.0,82966000.0,82966000.0,193707000.0,95253000.0,95253000.0,95253000.0
AdvertisingExpense / USD,,,,436100000.0,,,,550900000.0,,,,983700000.0,,,,665900000.0,,,
AllocatedShareBasedCompensationExpense / USD,3462000.0,8494000.0,19362000.0,10222000.0,29959000.0,57103000.0,91828000.0,62387000.0,44640000.0,101796000.0,143943000.0,133177000.0,82966000.0,164219000.0,275058000.0,191612000.0,95253000.0,182503000.0,259905000.0
AmortizationOfFinancingCostsAndDiscounts / USD,1421000.0,3414000.0,5753000.0,4979000.0,4303000.0,6380000.0,8980000.0,8152000.0,3246000.0,6820000.0,9685000.0,12825000.0,,,,10031000.0,,,
AmortizationOfIntangibleAssets / USD,30270000.0,77558000.0,146143000.0,82428000.0,85394000.0,186628000.0,289452000.0,239926000.0,121011000.0,263780000.0,391658000.0,396387000.0,115432000.0,228350000.0,338577000.0,514635000.0,104961000.0,46440000.0,69731000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,119955663.0,140543212.0,139321438.0,126226359.0,133788868.0,6166996.0,4591873.0,139124963.0,25469350.0,25293789.0,23492504.0,4091075.0,29058091.0,8661745.0,6766830.0,29288730.0,2104758.0,476339.0,118000.0
Assets / USD,2154593000.0,2154593000.0,2154593000.0,2154593000.0,6163579000.0,6163579000.0,6163579000.0,6163579000.0,5847846000.0,5847846000.0,5847846000.0,5847846000.0,5359187000.0,5359187000.0,5359187000.0,5359187000.0,5869259000.0,5869259000.0,5869259000.0
AssetsCurrent / USD,662994000.0,662994000.0,662994000.0,662994000.0,3235064000.0,3235064000.0,3235064000.0,3235064000.0,1939083000.0,1939083000.0,1939083000.0,1939083000.0,1616163000.0,1616163000.0,1616163000.0,1616163000.0,2312190000.0,2312190000.0,2312190000.0
AssetsFairValueDisclosure / USD,12093000.0,12093000.0,12093000.0,12093000.0,2123511000.0,2123511000.0,2123511000.0,2123511000.0,611718000.0,611718000.0,611718000.0,611718000.0,1352000.0,1352000.0,,1352000.0,,,
