fact_unit,2011-05-05,2011-08-08,2011-11-03,2012-02-24,2012-05-10,2012-08-07,2012-11-05,2013-02-26,2013-05-07,2013-08-06,2013-11-05,2014-02-24,2014-05-06,2014-07-31,2014-10-30,2015-02-26,2015-04-30,2015-08-10,2015-10-29,2016-02-25,2016-05-03,2016-07-28,2016-11-07,2017-02-23,2017-05-04,2017-08-09,2017-11-02,2018-02-27,2018-05-03,2018-07-26,2018-11-01,2019-02-28,2019-05-02,2019-07-25,2019-10-31,2020-02-27,2020-05-07,2020-06-30,2020-08-05,2020-11-05,2021-03-01,2021-05-06,2021-08-03,2021-11-04,2022-02-23,2022-05-05,2022-08-04,2022-11-03,2023-02-23,2023-05-04,2023-07-27,2023-11-02,2024-02-22,2024-05-02,2024-07-30,2024-11-12,2025-02-21,2025-05-01,2025-08-07,2025-11-04
AllocatedShareBasedCompensationExpense / USD,,33282000.0,46177000.0,12497000.0,35307000.0,42957000.0,51155000.0,61607000.0,8979000.0,17919000.0,27595000.0,60645000.0,6305000.0,14119000.0,23224000.0,37063000.0,10018000.0,22568000.0,31531000.0,28415000.0,9497000.0,,,39029000.0,,,,33361000.0,,,,32723000.0,,,,42755000.0,,,24926000.0,36924000.0,45582000.0,11732000.0,50270000.0,106965000.0,48785000.0,,,,116889000.0,,,,209337000.0,,,,110049000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,10898000.0,10898000.0,10898000.0,10898000.0,16986000.0,16986000.0,16986000.0,16986000.0,19794000.0,19794000.0,19794000.0,19794000.0,19850000.0,19850000.0,19850000.0,19850000.0,17489000.0,17489000.0,17489000.0,17489000.0,17168000.0,17168000.0,17168000.0,17168000.0,29634000.0,29634000.0,29634000.0,29634000.0,32755000.0,32755000.0,32755000.0,32755000.0,34225000.0,34225000.0,41932000.0,34225000.0,50516000.0,,50516000.0,50516000.0,50516000.0,72904000.0,72904000.0,72904000.0,72904000.0,50491000.0,50491000.0,50491000.0,50491000.0,63294000.0,63294000.0,63294000.0,63294000.0,82350000.0,82350000.0,82350000.0,82350000.0,72663000.0,72663000.0,72663000.0
AmortizationOfFinancingCostsAndDiscounts / USD,,,,,3176000.0,6413000.0,9707000.0,11437000.0,3403000.0,6881000.0,11415000.0,13059000.0,5170000.0,10421000.0,15409000.0,16696000.0,4737000.0,10101000.0,13375000.0,20187000.0,2644000.0,5301000.0,7974000.0,16038000.0,2591000.0,5199000.0,7823000.0,10885000.0,,,9836000.0,12594000.0,,9298000.0,14765000.0,13174000.0,,,10828000.0,16300000.0,20219000.0,6871000.0,14856000.0,24201000.0,24116000.0,9196000.0,18373000.0,27916000.0,32774000.0,4114000.0,8224000.0,12333000.0,37260000.0,4630000.0,8949000.0,13707000.0,16448000.0,3943000.0,7881000.0,13168000.0
AmortizationOfIntangibleAssets / USD,,-61500000.0,83700000.0,161949000.0,39933000.0,82000000.0,120700000.0,151900000.0,-39900000.0,95600000.0,136400000.0,175200000.0,38200000.0,81500000.0,124500000.0,256900000.0,34300000.0,67900000.0,107600000.0,173200000.0,32600000.0,76100000.0,118400000.0,154700000.0,39700000.0,85200000.0,133000000.0,174000000.0,44600000.0,90000000.0,143400000.0,178100000.0,45700000.0,92200000.0,143500000.0,202600000.0,47200000.0,,96723000.0,166040000.0,190700000.0,64236000.0,122022000.0,180394000.0,223500000.0,51901000.0,100457000.0,146600000.0,239300000.0,49700000.0,102300000.0,150400000.0,193400000.0,57475000.0,112700000.0,176100000.0,216900000.0,62000000.0,123700000.0,185000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,35346000.0,33511.0,16396000.0,31974000.0,31312000.0,27421000.0,33100000.0,34114000.0,33880000.0,34879000.0,34062000.0,33368000.0,28894000.0,15277000.0,36534000.0,28033000.0,35560000.0,13517000.0,26943000.0,27314000.0,25634000.0,11248448000.0,26100000.0,26338000.0,26358000.0,13558430.0,25099367.0,25132310.0,9074871.0,8959862.0,25293199.0,27680566.0,12144062.0,12014980.0,26275527.0,24579274.0,,9937949.0,9531213.0,24595303.0,26709372.0,27211831.0,24317342.0,23377423.0,23264207.0,22668142.0,22798214.0,24294242.0,22375537.0,12079707.0,5043211.0,22635993.0,19835291.0,15744583.0,11355741.0,14086348.0,19466172.0,15751720.0,11392312.0
Assets / USD,5195560000.0,5195560000.0,5195560000.0,5195560000.0,5087771000.0,5087771000.0,5077344000.0,5077344000.0,5290806000.0,5290806000.0,5290806000.0,5290806000.0,5683521000.0,5683521000.0,5683521000.0,5683521000.0,5968361000.0,5968361000.0,5968361000.0,5968361000.0,6156241000.0,6156241000.0,6156241000.0,6156241000.0,6764266000.0,6764266000.0,6764266000.0,6764266000.0,7504263000.0,7504263000.0,7504263000.0,7504263000.0,8496886000.0,8496886000.0,8496886000.0,8496886000.0,10975615000.0,,10975615000.0,10975615000.0,10975615000.0,10589303000.0,10589303000.0,10589303000.0,10589303000.0,14402318000.0,14402318000.0,14402318000.0,14402318000.0,16460841000.0,16460841000.0,16460841000.0,16460841000.0,19074045000.0,19074045000.0,19029640000.0,19029640000.0,19638771000.0,19638771000.0,19638771000.0
AssetsCurrent / USD,1603497000.0,1603497000.0,1603497000.0,1603497000.0,1576790000.0,1576790000.0,1576790000.0,1576790000.0,1812812000.0,1812812000.0,1812812000.0,1812812000.0,2160104000.0,2160104000.0,2160104000.0,2160104000.0,2267691000.0,2267691000.0,2267691000.0,2267691000.0,2288315000.0,2288315000.0,2288315000.0,2288315000.0,2673551000.0,2673551000.0,2673551000.0,2673551000.0,3152742000.0,3152742000.0,3152742000.0,3152742000.0,3848074000.0,3848074000.0,3848074000.0,3848074000.0,4192899000.0,,4192899000.0,4192899000.0,4192899000.0,3649768000.0,3649768000.0,3649768000.0,3649768000.0,6684093000.0,6684093000.0,6684093000.0,6684093000.0,8159522000.0,8159522000.0,8159522000.0,8159522000.0,9577754000.0,9577754000.0,9533349000.0,9533349000.0,9290137000.0,9290137000.0,9290137000.0
BusinessCombinationAcquisitionRelatedCosts / USD,9017000.0,15411000.0,17992000.0,36043000.0,1665000.0,2371000.0,7864000.0,22355000.0,1309000.0,-561000.0,1335000.0,8051000.0,1208000.0,2977000.0,5329000.0,3370000.0,1800000.0,3129000.0,5462000.0,6439000.0,-527000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-5843000.0,14801000.0,-13088000.0,12077000.0,21620000.0,29115000.0,42912000.0,13311000.0,38140000.0,79108000.0,68078000.0,30557000.0,522000.0,95087000.0
CashAndCashEquivalentsAtCarryingValue / USD,236955000.0,236955000.0,236955000.0,199660000.0,892758000.0,892758000.0,892758000.0,236955000.0,844253000.0,844253000.0,844253000.0,892758000.0,1001055000.0,1001055000.0,1001055000.0,844253000.0,1299184000.0,1299184000.0,1299184000.0,1001055000.0,1382029000.0,1382029000.0,1382029000.0,1299184000.0,1303125000.0,1303125000.0,1303125000.0,1382029000.0,1825322000.0,1825322000.0,1825322000.0,1825322000.0,2371540000.0,2371540000.0,2371540000.0,2371540000.0,2470362000.0,,2470362000.0,2470362000.0,2470362000.0,2537787000.0,2537787000.0,2537787000.0,2537787000.0,4884729000.0,4884729000.0,4884729000.0,4884729000.0,5606457000.0,5606457000.0,5606457000.0,5606457000.0,6231866000.0,6231866000.0,6231866000.0,6231866000.0,6095424000.0,6095424000.0,6095424000.0
CashAndCashEquivalentsFairValueDisclosure / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193005000.0,,193005000.0,215674000.0,,282696000.0,282696000.0,282696000.0,,620980000.0,620980000.0,620980000.0,,503964000.0,503964000.0,503964000.0,,580126000.0,580126000.0,580126000.0,,,,
