fact_unit,2020-05-08,2020-07-31,2020-10-28,2021-02-05,2021-04-28,2021-07-28,2021-10-26,2022-02-04,2022-04-27,2022-07-28,2022-10-27,2023-02-03,2023-04-27,2023-07-27,2023-10-26,2024-02-02,2024-04-25,2024-07-25,2024-10-31,2025-02-04,2025-04-24,2025-07-24,2025-10-30
ContractWithCustomerLiabilityCurrent / USD,2270000000.0,2270000000.0,2270000000.0,2270000000.0,2542000000.0,2542000000.0,2542000000.0,2542000000.0,2674000000.0,2674000000.0,2674000000.0,2674000000.0,2662000000.0,2662000000.0,2662000000.0,2662000000.0,2696000000.0,2696000000.0,2696000000.0,2696000000.0,2598000000.0,2598000000.0,2598000000.0
ContractWithCustomerLiabilityNoncurrent / USD,18000000.0,18000000.0,18000000.0,18000000.0,44000000.0,44000000.0,44000000.0,44000000.0,52000000.0,52000000.0,52000000.0,52000000.0,52000000.0,52000000.0,52000000.0,52000000.0,48000000.0,48000000.0,48000000.0,48000000.0,38000000.0,38000000.0,38000000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,900000000.0,1400000000.0,1500000000.0,1700000000.0,900000000.0,1300000000.0,1500000000.0,1600000000.0,1100000000.0,1700000000.0,1900000000.0,1600000000.0,1000000000.0,1600000000.0,1800000000.0,2000000000.0,900000000.0,1500000000.0,1800000000.0,2000000000.0,1000000000.0,1600000000.0,1900000000.0
ContractualObligation / USD,,,,,,,,,,,,,,,,,,,,46000000.0,,,
CostsAndExpenses / USD,2680000000.0,5531000000.0,8352000000.0,11105000000.0,2572000000.0,5188000000.0,7995000000.0,11265000000.0,2906000000.0,6055000000.0,9133000000.0,11053000000.0,2904000000.0,5886000000.0,8713000000.0,12212000000.0,2840000000.0,5992000000.0,8957000000.0,11678000000.0,2907000000.0,5917000000.0,8882000000.0
CurrentFederalTaxExpenseBenefit / USD,,,,59000000.0,,,,103000000.0,,,,42000000.0,,,,77000000.0,,,,68000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,459000000.0,,,,461000000.0,,,,438000000.0,,,,524000000.0,,,,424000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,556000000.0,,,,602000000.0,,,,506000000.0,,,,633000000.0,,,,535000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,38000000.0,,,,38000000.0,,,,26000000.0,,,,32000000.0,,,,43000000.0,,,
DebtCurrent / USD,,,,,,,,,,,,24000000.0,670000000.0,670000000.0,670000000.0,670000000.0,32000000.0,32000000.0,32000000.0,32000000.0,1351000000.0,1351000000.0,1351000000.0
DebtInstrumentCarryingAmount / USD,5000000.0,5000000.0,5000000.0,5000000.0,5305000000.0,5305000000.0,5305000000.0,5305000000.0,7300000000.0,7300000000.0,7300000000.0,7300000000.0,6671000000.0,6671000000.0,6671000000.0,6906000000.0,6910000000.0,6910000000.0,6910000000.0,8316000000.0,8322000000.0,8322000000.0,8322000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,0.0,0.0,0.0,0.0,43000000.0,43000000.0,43000000.0,43000000.0,51000000.0,51000000.0,51000000.0,51000000.0,42000000.0,42000000.0,42000000.0,42000000.0,44000000.0,44000000.0,44000000.0,44000000.0,49000000.0,49000000.0,49000000.0
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible / USD,,,,380000000.0,370000000.0,380000000.0,370000000.0,360000000.0,340000000.0,330000000.0,310000000.0,340000000.0,340000000.0,340000000.0,330000000.0,340000000.0,340000000.0,320000000.0,95000000.0,80000000.0,,,
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,-11000000.0,,,,11000000.0,,,,8000000.0,,,,-13000000.0,,,,-4000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,131000000.0,,,,-19000000.0,,,,-51000000.0,,,,-73000000.0,,,,-11000000.0,,,
DeferredIncomeTaxAssetsNet / USD,373000000.0,373000000.0,373000000.0,373000000.0,334000000.0,334000000.0,334000000.0,334000000.0,335000000.0,335000000.0,335000000.0,335000000.0,285000000.0,285000000.0,285000000.0,285000000.0,323000000.0,323000000.0,323000000.0,323000000.0,302000000.0,302000000.0,302000000.0
DeferredIncomeTaxExpenseBenefit / USD,-2000000.0,-5000000.0,-31000000.0,127000000.0,16000000.0,-21000000.0,-51000000.0,-8000000.0,-28000000.0,-39000000.0,-72000000.0,-51000000.0,17000000.0,6000000.0,6000000.0,-92000000.0,-2000000.0,-16000000.0,-34000000.0,-16000000.0,16000000.0,-25000000.0,-26000000.0
DeferredIncomeTaxLiabilitiesNet / USD,695000000.0,695000000.0,695000000.0,695000000.0,321000000.0,321000000.0,321000000.0,321000000.0,267000000.0,267000000.0,267000000.0,267000000.0,279000000.0,279000000.0,279000000.0,279000000.0,245000000.0,245000000.0,245000000.0,245000000.0,207000000.0,207000000.0,207000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,7000000.0,,,,0.0,,,,-8000000.0,,,,-6000000.0,,,,-1000000.0,,,
DeferredTaxAssetsNet / USD,,,,619000000.0,,,,642000000.0,,,,647000000.0,,,,588000000.0,,,,618000000.0,,,
DeferredTaxAssetsOperatingLossCarryforwards / USD,,,,45000000.0,,,,197000000.0,,,,200000000.0,,,,191000000.0,,,,208000000.0,,,
DeferredTaxAssetsOther / USD,,,,121000000.0,,,,149000000.0,,,,143000000.0,,,,125000000.0,,,,115000000.0,,,
DeferredTaxAssetsTaxCreditCarryforwards / USD,,,,14000000.0,,,,38000000.0,,,,46000000.0,,,,56000000.0,,,,58000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits / USD,,,,159000000.0,,,,201000000.0,,,,185000000.0,,,,104000000.0,,,,118000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,55000000.0,,,,242000000.0,,,,247000000.0,,,,240000000.0,,,,239000000.0,,,
DeferredTaxLiabilities / USD,,,,472000000.0,,,,517000000.0,,,,452000000.0,,,,446000000.0,,,,403000000.0,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssets / USD,,,,174000000.0,,,,182000000.0,,,,168000000.0,,,,152000000.0,,,,145000000.0,,,
