fact_unit,2017-08-04,2017-10-27,2018-02-16,2018-04-27,2018-08-03,2018-10-29,2019-02-27,2019-04-30,2019-08-02,2019-10-30,2020-02-26,2020-05-15,2020-06-05,2020-08-04,2020-11-03,2021-02-26,2021-04-30,2021-07-30,2021-11-05,2022-02-25,2022-05-06,2022-08-05,2022-11-04,2023-02-21,2023-05-05,2023-08-04,2023-11-03,2024-02-23,2024-05-03,2024-08-02,2024-11-01,2025-02-19,2025-05-02,2025-07-31,2025-10-31
AccountsPayableCurrent / USD,214900000.0,214900000.0,214900000.0,269700000.0,269700000.0,269700000.0,269700000.0,340000000.0,340000000.0,340000000.0,340000000.0,322900000.0,340000000.0,322900000.0,322900000.0,322900000.0,646600000.0,536400000.0,536400000.0,536400000.0,670500000.0,670500000.0,670500000.0,670500000.0,778700000.0,778700000.0,778700000.0,778700000.0,801200000.0,801200000.0,801200000.0,801200000.0,843600000.0,843600000.0,843600000.0
AccountsReceivableNetCurrent / USD,441600000.0,441600000.0,441600000.0,536300000.0,536300000.0,536300000.0,536300000.0,525400000.0,525400000.0,525400000.0,525400000.0,459100000.0,525400000.0,459100000.0,459100000.0,459100000.0,934400000.0,861800000.0,861800000.0,861800000.0,948600000.0,948600000.0,948600000.0,948600000.0,1122000000.0,1122000000.0,1122000000.0,1122000000.0,1234200000.0,1234200000.0,1234200000.0,1234200000.0,1335400000.0,1335400000.0,1335400000.0
AccrualForEnvironmentalLossContingenciesGross / USD,7600000.0,7600000.0,7600000.0,7500000.0,7500000.0,7500000.0,7500000.0,6900000.0,6900000.0,6900000.0,6900000.0,6600000.0,6900000.0,6600000.0,6600000.0,6600000.0,13700000.0,13700000.0,13700000.0,13700000.0,12900000.0,12900000.0,12900000.0,12900000.0,13500000.0,13500000.0,13500000.0,13500000.0,16700000.0,16700000.0,16700000.0,16700000.0,13600000.0,13600000.0,13600000.0
AccruedLiabilitiesCurrent / USD,258500000.0,258500000.0,258500000.0,271200000.0,271200000.0,271200000.0,271200000.0,248500000.0,248500000.0,248500000.0,248500000.0,244100000.0,248500000.0,244100000.0,244100000.0,244100000.0,769800000.0,708900000.0,708900000.0,708900000.0,741300000.0,741300000.0,741300000.0,741300000.0,858800000.0,858800000.0,858800000.0,858800000.0,995500000.0,995500000.0,995500000.0,995500000.0,972200000.0,972200000.0,972200000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-342400000.0,-342400000.0,-342400000.0,-199800000.0,-199800000.0,-199800000.0,-199800000.0,-247000000.0,-247000000.0,-247000000.0,-247000000.0,-256000000.0,-247000000.0,-256000000.0,-256000000.0,-256000000.0,14200000.0,14200000.0,14200000.0,14200000.0,-41600000.0,-41600000.0,-41600000.0,-41600000.0,-251700000.0,-251700000.0,-251700000.0,-251700000.0,-227600000.0,-227600000.0,-227600000.0,-227600000.0,-468500000.0,-468500000.0,-468500000.0
AdditionalPaidInCapitalCommonStock / USD,1222400000.0,1222400000.0,1222400000.0,2275400000.0,2275400000.0,2275400000.0,2275400000.0,2282700000.0,2282700000.0,2282700000.0,2282700000.0,2302000000.0,2282700000.0,2302000000.0,2302000000.0,2302000000.0,9310300000.0,9310300000.0,9310300000.0,9310300000.0,9408600000.0,9408600000.0,9408600000.0,9408600000.0,9476800000.0,9476800000.0,9476800000.0,9476800000.0,9550800000.0,9550800000.0,9550800000.0,9550800000.0,9633600000.0,9633600000.0,9633600000.0
AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationStockOptionsRequisiteServicePeriodRecognition / USD,,,,,,,,,,,,,,,,10900000.0,4400000.0,16200000.0,31900000.0,11200000.0,23900000.0,54500000.0,76600000.0,57500000.0,21000000.0,43600000.0,61500000.0,97900000.0,11400000.0,23400000.0,34600000.0,73700000.0,14100000.0,28600000.0,43600000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,16800000.0,,,,19300000.0,,,,18700000.0,,18700000.0,,,18700000.0,,,,16000000.0,,,,16600000.0,42300000.0,42300000.0,42300000.0,50900000.0,47200000.0,47200000.0,47200000.0,42300000.0,53800000.0,53800000.0,53800000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,18700000.0,18700000.0,18700000.0,18700000.0,18700000.0,18700000.0,18700000.0,17400000.0,17400000.0,17400000.0,17400000.0,18400000.0,17400000.0,18400000.0,18400000.0,18400000.0,52700000.0,50900000.0,50900000.0,50900000.0,50900000.0,50900000.0,50900000.0,42300000.0,47200000.0,47200000.0,47200000.0,47200000.0,53800000.0,53800000.0,53800000.0,53800000.0,57300000.0,57300000.0,57300000.0
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,2000000.0,,,,2400000.0,,,,4800000.0,,4800000.0,,,2200000.0,1500000.0,2700000.0,3000000.0,1600000.0,1000000.0,2700000.0,3000000.0,3500000.0,500000.0,1500000.0,1800000.0,3800000.0,400000.0,1700000.0,2600000.0,3200000.0,300000.0,900000.0,2400000.0
