fact_unit,2009-10-08,2010-01-06,2010-04-07,2010-07-20,2010-10-06,2011-01-06,2011-04-06,2011-07-22,2011-10-06,2012-01-05,2012-04-06,2012-07-24,2012-10-09,2013-01-09,2013-04-04,2013-07-23,2013-10-07,2014-01-07,2014-04-07,2014-07-25,2014-10-07,2015-01-07,2015-04-07,2015-07-23,2015-10-06,2016-01-06,2016-04-05,2016-07-21,2016-10-11,2017-01-05,2017-04-04,2017-07-20,2017-10-06,2018-01-05,2018-04-05,2018-07-25,2018-10-05,2019-01-08,2019-04-04,2019-07-23,2019-10-04,2020-01-07,2020-04-07,2020-07-24,2020-10-08,2021-01-05,2021-04-02,2021-07-20,2021-10-05,2022-01-06,2022-04-05,2022-07-21,2022-10-06,2023-01-05,2023-04-06,2023-07-20,2023-10-06,2024-01-05,2024-04-04,2024-07-25,2024-10-07,2025-01-03,2025-04-03,2025-07-17,2025-10-01
AccountsPayableCurrent / USD,1031900000.0,1031900000.0,1031900000.0,1031900000.0,1255000000.0,1255000000.0,1255000000.0,1255000000.0,1469000000.0,1469000000.0,1469000000.0,1469000000.0,1588000000.0,1548000000.0,1548000000.0,1549000000.0,1646000000.0,1646000000.0,1669000000.0,1669000000.0,1930000000.0,1930000000.0,1930000000.0,1930000000.0,2131000000.0,2131000000.0,2131000000.0,2131000000.0,2191000000.0,2191000000.0,2191000000.0,2191000000.0,2048000000.0,2048000000.0,2048000000.0,2048000000.0,2279000000.0,2279000000.0,2279000000.0,2279000000.0,2612000000.0,2612000000.0,2612000000.0,2612000000.0,2248000000.0,2248000000.0,2248000000.0,2248000000.0,2836000000.0,2836000000.0,2836000000.0,2836000000.0,3358000000.0,3358000000.0,3358000000.0,3358000000.0,2862000000.0,2862000000.0,2862000000.0,2862000000.0,2851000000.0,2851000000.0,2851000000.0,2851000000.0,3479000000.0
AccountsReceivableNetCurrent / USD,2883900000.0,2883900000.0,2883900000.0,2883900000.0,2650000000.0,2650000000.0,2650000000.0,2650000000.0,3138000000.0,3138000000.0,3138000000.0,3138000000.0,3280000000.0,3132000000.0,3132000000.0,3132000000.0,3117000000.0,3117000000.0,3117000000.0,3117000000.0,3434000000.0,3434000000.0,3434000000.0,3434000000.0,3358000000.0,3358000000.0,3358000000.0,3358000000.0,3241000000.0,3241000000.0,3241000000.0,3241000000.0,3677000000.0,3677000000.0,3677000000.0,3677000000.0,3498000000.0,3498000000.0,3498000000.0,3498000000.0,4272000000.0,4272000000.0,4272000000.0,4272000000.0,2749000000.0,2749000000.0,2749000000.0,2749000000.0,4463000000.0,4463000000.0,4463000000.0,4463000000.0,4667000000.0,4667000000.0,4667000000.0,4667000000.0,4131000000.0,4131000000.0,4131000000.0,4131000000.0,4427000000.0,4427000000.0,4427000000.0,4427000000.0,4717000000.0
AccruedIncomeTaxesCurrent / USD,86300000.0,86300000.0,86300000.0,86300000.0,59000000.0,59000000.0,59000000.0,59000000.0,117000000.0,117000000.0,117000000.0,117000000.0,67000000.0,65000000.0,65000000.0,65000000.0,98000000.0,98000000.0,98000000.0,84000000.0,432000000.0,432000000.0,432000000.0,432000000.0,71000000.0,71000000.0,71000000.0,71000000.0,85000000.0,85000000.0,85000000.0,85000000.0,84000000.0,84000000.0,84000000.0,84000000.0,150000000.0,150000000.0,150000000.0,150000000.0,229000000.0,229000000.0,229000000.0,229000000.0,156000000.0,156000000.0,156000000.0,156000000.0,306000000.0,306000000.0,306000000.0,306000000.0,222000000.0,222000000.0,222000000.0,222000000.0,240000000.0,240000000.0,240000000.0,240000000.0,534000000.0,534000000.0,534000000.0,534000000.0,669000000.0
AccruedIncomeTaxesNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266000000.0,
AccruedLiabilitiesCurrent / USD,1783900000.0,1783900000.0,1783900000.0,1783900000.0,1904000000.0,1904000000.0,1904000000.0,1904000000.0,1985000000.0,1985000000.0,1985000000.0,1985000000.0,2053000000.0,1941000000.0,1941000000.0,1941000000.0,1986000000.0,1986000000.0,2082000000.0,2036000000.0,2491000000.0,2491000000.0,2491000000.0,2491000000.0,3951000000.0,3951000000.0,3951000000.0,3949000000.0,3037000000.0,3037000000.0,3037000000.0,3037000000.0,3011000000.0,3011000000.0,3011000000.0,3011000000.0,3269000000.0,3269000000.0,3269000000.0,3269000000.0,5010000000.0,5010000000.0,5010000000.0,5010000000.0,5184000000.0,5184000000.0,5184000000.0,5184000000.0,6063000000.0,6063000000.0,6063000000.0,6063000000.0,6220000000.0,6220000000.0,6220000000.0,6220000000.0,5723000000.0,5723000000.0,5723000000.0,5723000000.0,5725000000.0,5725000000.0,5725000000.0,5725000000.0,5911000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,2298000000.0,2298000000.0,2298000000.0,,2458000000.0,2458000000.0,2458000000.0,2458000000.0,2791000000.0,2791000000.0,2791000000.0,2791000000.0,2965000000.0,2848000000.0,2848000000.0,2848000000.0,,,,3048000000.0,,,,3386000000.0,,,,3341000000.0,,,,3518000000.0,,,,3969000000.0,,,,4437000000.0,,,,4725000000.0,,,,4795000000.0,,,,5157000000.0,,,,5306000000.0,,,,5634000000.0,,,,5914000000.0,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,367500000.0,367500000.0,367500000.0,367500000.0,215000000.0,215000000.0,215000000.0,215000000.0,95000000.0,95000000.0,95000000.0,95000000.0,149000000.0,149000000.0,149000000.0,149000000.0,274000000.0,274000000.0,274000000.0,274000000.0,274000000.0,274000000.0,274000000.0,85000000.0,85000000.0,85000000.0,85000000.0,1246000000.0,318000000.0,318000000.0,318000000.0,318000000.0,-213000000.0,-213000000.0,-213000000.0,-213000000.0,-92000000.0,-92000000.0,-92000000.0,-92000000.0,231000000.0,231000000.0,231000000.0,231000000.0,-56000000.0,-56000000.0,-56000000.0,-56000000.0,-380000000.0,-380000000.0,-380000000.0,-380000000.0,318000000.0,318000000.0,318000000.0,318000000.0,231000000.0,231000000.0,231000000.0,231000000.0,53000000.0,53000000.0,53000000.0,53000000.0,-258000000.0
AdditionalPaidInCapitalCommonStock / USD,2871400000.0,2871400000.0,2871400000.0,2871400000.0,3441000000.0,3441000000.0,3441000000.0,3441000000.0,3944000000.0,3944000000.0,3944000000.0,3944000000.0,4641000000.0,4641000000.0,4641000000.0,4641000000.0,5184000000.0,5184000000.0,5184000000.0,5184000000.0,5865000000.0,5865000000.0,5865000000.0,5865000000.0,6773000000.0,6773000000.0,6773000000.0,6773000000.0,7786000000.0,7786000000.0,7786000000.0,7786000000.0,8638000000.0,8638000000.0,8638000000.0,5710000000.0,6384000000.0,6384000000.0,6384000000.0,6384000000.0,7163000000.0,7163000000.0,7163000000.0,7163000000.0,8299000000.0,8299000000.0,8299000000.0,8299000000.0,9965000000.0,9965000000.0,9965000000.0,9965000000.0,11484000000.0,11484000000.0,11484000000.0,11484000000.0,12412000000.0,12412000000.0,12412000000.0,12412000000.0,13409000000.0,13409000000.0,13409000000.0,13409000000.0,14195000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,,171000000.0,,,,159000000.0,,,,105000000.0,,,,130000000.0,,,,174000000.0,,,,177000000.0,,,,191000000.0,,,,236000000.0,,103000000.0,158000000.0,215000000.0,41000000.0,133000000.0,226000000.0,218000000.0,80000000.0,190000000.0,303000000.0,325000000.0,136000000.0,325000000.0,467000000.0,429000000.0,136000000.0,306000000.0,467000000.0,611000000.0,170000000.0,364000000.0,556000000.0,638000000.0,196000000.0,402000000.0,618000000.0,755000000.0,183000000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,117000000.0,,,,124000000.0,,,,91000000.0,,,,104000000.0,,,,78000000.0,,,,78000000.0,,,,43000000.0,,,,19000000.0,,,,30000000.0,,,,30000000.0,,,,214000000.0,,,,93000000.0,,,,34000000.0,,,,35000000.0,,,,35000000.0,
