fact_unit,2009-08-14,2009-11-05,2010-03-01,2010-05-07,2010-08-02,2010-11-02,2011-02-28,2011-05-04,2011-08-03,2011-11-03,2012-02-27,2012-05-02,2012-07-30,2012-11-06,2013-02-26,2013-05-03,2013-07-31,2013-10-31,2014-02-27,2014-05-01,2014-07-31,2014-10-29,2015-02-26,2015-05-04,2015-07-30,2015-11-04,2016-02-25,2016-05-04,2016-07-28,2016-10-24,2017-02-24,2017-05-09,2017-07-27,2017-11-09,2018-02-27,2018-05-01,2018-08-02,2018-10-31,2019-02-25,2019-05-02,2019-08-02,2019-11-01,2020-02-24,2020-05-01,2020-07-31,2020-10-30,2021-02-22,2021-04-29,2021-07-30,2021-10-29,2022-02-22,2022-05-02,2022-07-27,2022-10-26,2023-02-15,2023-04-26,2023-07-26,2023-10-26,2024-02-14,2024-05-02,2024-07-24,2024-10-23,2025-02-14,2025-04-23,2025-07-24,2025-10-23
LongTermInvestments / USD,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,48000000.0,48000000.0,48000000.0,48000000.0,55000000.0,55000000.0,55000000.0,55000000.0,32700000.0,32700000.0,32700000.0,32700000.0,22100000.0,22100000.0,22100000.0,22100000.0,18900000.0,18900000.0,18900000.0,18000000.0,10000000.0,10000000.0,10000000.0,10000000.0,66000000.0,66000000.0,66000000.0,66000000.0,89000000.0,89000000.0,89000000.0,89000000.0,87000000.0,87000000.0,87000000.0,87000000.0,100000000.0,100000000.0,100000000.0,100000000.0,98000000.0,98000000.0,98000000.0
MinorityInterest / USD,8300000.0,8300000.0,8300000.0,10100000.0,8300000.0,8300000.0,10100000.0,10100000.0,10100000.0,10100000.0,11200000.0,10600000.0,11200000.0,11200000.0,10600000.0,10600000.0,10600000.0,10600000.0,11400000.0,11400000.0,11400000.0,11400000.0,10900000.0,10900000.0,10900000.0,10900000.0,230700000.0,232000000.0,232000000.0,232000000.0,232000000.0,197700000.0,197700000.0,197700000.0,197700000.0,212800000.0,197700000.0,197700000.0,212800000.0,196600000.0,196600000.0,196600000.0,197000000.0,219000000.0,219000000.0,219000000.0,219000000.0,194000000.0,194000000.0,194000000.0,194000000.0,189000000.0,189000000.0,189000000.0,189000000.0,170000000.0,170000000.0,170000000.0,170000000.0,158000000.0,158000000.0,158000000.0,158000000.0,162000000.0,162000000.0,162000000.0
NetCashProvidedByUsedInFinancingActivities / USD,-233500000.0,-276400000.0,-865700000.0,-82300000.0,-172900000.0,-243600000.0,-349800000.0,-111900000.0,-223800000.0,-104700000.0,-348800000.0,-145100000.0,-153100000.0,-392400000.0,-241300000.0,-7000000.0,-142500000.0,294400000.0,-417700000.0,-156000000.0,-426200000.0,-343200000.0,202600000.0,-222100000.0,-501200000.0,-393400000.0,-498800000.0,123900000.0,-157600000.0,-512500000.0,-1064500000.0,-355500000.0,-640400000.0,-915000000.0,-505500000.0,553700000.0,1170500000.0,1889600000.0,-1042900000.0,-182300000.0,-467600000.0,-980200000.0,1600000000.0,-849000000.0,-1186000000.0,-1517000000.0,-412000000.0,765000000.0,123000000.0,3000000.0,-1563000000.0,-290000000.0,-792000000.0,135000000.0,-351000000.0,-352000000.0,-712000000.0,-957000000.0,-122000000.0,-216000000.0,-624000000.0,-1231000000.0,-1208000000.0,-308000000.0,-731000000.0,-812000000.0
NetCashProvidedByUsedInInvestingActivities / USD,-80900000.0,-99500000.0,-124700000.0,-13600000.0,-33600000.0,-64400000.0,-319300000.0,-13600000.0,-33300000.0,-55000000.0,-93800000.0,-13300000.0,-40400000.0,-65300000.0,-228800000.0,-13600000.0,-25900000.0,-46100000.0,-267600000.0,-2800000.0,-19000000.0,-222800000.0,-50200000.0,-82200000.0,-113400000.0,-244600000.0,-261900000.0,-49300000.0,-91800000.0,-81500000.0,-564900000.0,-108400000.0,-7300000.0,-2400000.0,-92000000.0,18600000.0,39900000.0,-3407400000.0,102000000.0,-18500000.0,-45300000.0,-113800000.0,-3420000000.0,-7000000.0,-53000000.0,-150000000.0,-406000000.0,-772000000.0,-823000000.0,-853000000.0,36000000.0,-194000000.0,-251000000.0,-2161000000.0,-1077000000.0,-161000000.0,-172000000.0,-172000000.0,-2619000000.0,-63000000.0,-103000000.0,-193000000.0,-262000000.0,-96000000.0,-191000000.0,-875000000.0
NetCashProvidedByUsedInOperatingActivities / USD,248700000.0,405400000.0,988200000.0,195000000.0,324500000.0,456600000.0,539700000.0,164100000.0,304000000.0,474700000.0,643800000.0,200900000.0,445900000.0,666300000.0,653300000.0,62000000.0,235500000.0,496000000.0,803300000.0,202600000.0,369100000.0,653500000.0,823100000.0,177200000.0,458000000.0,709800000.0,926800000.0,261800000.0,594400000.0,893500000.0,1018600000.0,253600000.0,546400000.0,889000000.0,1198100000.0,-512400000.0,-40600000.0,349800000.0,1259200000.0,391500000.0,777300000.0,1084600000.0,755000000.0,367000000.0,755000000.0,1196000000.0,1461000000.0,345000000.0,977000000.0,1488000000.0,1675000000.0,676000000.0,1270000000.0,1706000000.0,2146000000.0,470000000.0,761000000.0,1097000000.0,2005000000.0,608000000.0,1212000000.0,1674000000.0,1474000000.0,775000000.0,1461000000.0,2164000000.0
NetIncomeLoss / USD,255900000.0,368900000.0,701500000.0,90200000.0,199500000.0,300100000.0,457600000.0,113400000.0,234400000.0,370400000.0,402000000.0,155500000.0,344500000.0,475200000.0,507800000.0,173500000.0,346000000.0,529900000.0,571400000.0,188400000.0,413900000.0,597800000.0,690000000.0,218000000.0,537200000.0,752400000.0,804500000.0,230100000.0,491800000.0,723400000.0,988700000.0,184400000.0,439900000.0,695200000.0,941300000.0,345600000.0,657800000.0,975100000.0,266600000.0,372900000.0,749100000.0,1059300000.0,1001000000.0,373000000.0,683000000.0,1062000000.0,1310000000.0,488000000.0,997000000.0,1464000000.0,1422000000.0,736000000.0,1313000000.0,1787000000.0,1778000000.0,498000000.0,825000000.0,1128000000.0,2214000000.0,501000000.0,878000000.0,1267000000.0,1374000000.0,577000000.0,1129000000.0,1663000000.0
NetIncomeLossAttributableToNoncontrollingInterest / USD,2900000.0,3700000.0,5300000.0,900000.0,2600000.0,3700000.0,4000000.0,1300000.0,2900000.0,4100000.0,5100000.0,1600000.0,3300000.0,4700000.0,5600000.0,2000000.0,5200000.0,7800000.0,6600000.0,2700000.0,5600000.0,8500000.0,9700000.0,3700000.0,8900000.0,12200000.0,11400000.0,1200000.0,3600000.0,5800000.0,17300000.0,2200000.0,4800000.0,6100000.0,8300000.0,300000.0,1700000.0,4100000.0,9200000.0,3900000.0,5600000.0,7400000.0,7000000.0,1000000.0,2000000.0,5000000.0,10000000.0,-1000000.0,-1000000.0,-1000000.0,7000000.0,,,,-1000000.0,,,0.0,0.0,,0.0,1000000.0,0.0,,1000000.0,1000000.0
NoncontrollingInterestIncreaseFromBusinessCombination / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17400000.0,17400000.0,17000000.0,,17000000.0,17000000.0,17000000.0,,,,17000000.0,,,,,,,,,,2000000.0,10000000.0,10000000.0,2000000.0,2000000.0,10000000.0
NoncurrentAssets / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5710000000.0,,,,5667000000.0,,,,5968000000.0,,,,7051000000.0,,,,9251000000.0,,,,8897000000.0,,,
NonoperatingIncomeExpense / USD,-12500000.0,-17600000.0,-9000000.0,-7300000.0,-19900000.0,-29700000.0,-18400000.0,-14300000.0,-26900000.0,-34400000.0,-41300000.0,-14900000.0,-20800000.0,-32100000.0,-58400000.0,-10400000.0,-24300000.0,-29600000.0,-48600000.0,-13200000.0,-27200000.0,-55200000.0,-53400000.0,-21400000.0,52100000.0,30800000.0,-65300000.0,-26800000.0,-66900000.0,-73000000.0,21900000.0,-28500000.0,-59800000.0,-88300000.0,-93800000.0,4600000.0,6500000.0,23800000.0,-92900000.0,-49700000.0,-88200000.0,-142200000.0,-34000000.0,-50000000.0,-101000000.0,-137000000.0,-196000000.0,-28000000.0,-72000000.0,-115000000.0,-188000000.0,9000000.0,-34000000.0,-91000000.0,-159000000.0,-47000000.0,-112000000.0,-144000000.0,-89000000.0,-48000000.0,-106000000.0,-154000000.0,-123000000.0,-49000000.0,-105000000.0,-140000000.0
