fact_unit,2018-03-09,2019-03-08,2020-03-06,2021-03-12,2022-03-11,2023-03-10,2024-02-29,2024-03-15,2024-05-10,2024-08-08,2024-11-07,2025-02-26,2025-05-05,2025-08-06,2025-11-05
AccountsAndOtherReceivablesNetCurrent / USD,,,,,,,4300000000.0,,4706000000.0,6119000000.0,5972000000.0,4507000000.0,4798000000.0,5893000000.0,6422000000.0
AccountsPayableCurrent / USD,,,,,,,2930000000.0,,2627000000.0,3553000000.0,2954000000.0,3149000000.0,2730000000.0,3363000000.0,2963000000.0
AccountsReceivableGrossCurrent / USD,,,,,,,4041000000.0,,4421000000.0,5863000000.0,5771000000.0,4290000000.0,4553000000.0,5675000000.0,6110000000.0
AccruedIncomeTaxesCurrent / USD,,,,,,,142000000.0,,3000000.0,177000000.0,196000000.0,129000000.0,77000000.0,26000000.0,148000000.0
AccruedIncomeTaxesNoncurrent / USD,,,,,,,605000000.0,,622000000.0,632000000.0,635000000.0,712000000.0,633000000.0,712000000.0,816000000.0
AccruedInsuranceCurrent / USD,,,,,,,194000000.0,,205000000.0,176000000.0,168000000.0,171000000.0,159000000.0,162000000.0,178000000.0
AccruedInsuranceNoncurrent / USD,,,,,,,265000000.0,,266000000.0,257000000.0,266000000.0,260000000.0,260000000.0,259000000.0,266000000.0
AccruedLiabilitiesCurrent / USD,,,,,,,2132000000.0,,2079000000.0,2335000000.0,2457000000.0,2296000000.0,2241000000.0,2272000000.0,2513000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,,,,,,-787000000.0,,-673000000.0,-625000000.0,-763000000.0,-616000000.0,-797000000.0,-813000000.0,-499000000.0
AdditionalPaidInCapital / USD,,,,,,,443000000.0,,420000000.0,391000000.0,423000000.0,454000000.0,337000000.0,359000000.0,392000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,110000000.0,,31000000.0,60000000.0,92000000.0,101000000.0,30000000.0,63000000.0,96000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,108000000.0,,,,,100000000.0,,,
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,140000000.0,,125000000.0,125000000.0,125000000.0,131000000.0,149000000.0,149000000.0,149000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,,,,125000000.0,,134000000.0,139000000.0,139000000.0,149000000.0,150000000.0,142000000.0,151000000.0
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,,,,,14000000.0,,4000000.0,8000000.0,9000000.0,19000000.0,2000000.0,5000000.0,8000000.0
AmortizationOfIntangibleAssets / USD,,,,,,,46000000.0,,,,,103000000.0,,,
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,,,,,,3630633.0,,6928751.0,5700540.0,5336581.0,4209404.0,4045950.0,4904276.0,3919037.0
AssetImpairmentCharges / USD,,,,,,,0.0,,,,,0.0,,,
AssetRetirementObligation / USD,,,,,,,392000000.0,,,,,360000000.0,,,
AssetRetirementObligationAccretionExpense / USD,,,,,,,12000000.0,,,,,11000000.0,,,
AssetRetirementObligationCurrent / USD,,,,,,,63000000.0,,,,65000000.0,50000000.0,,,
AssetRetirementObligationsNoncurrent / USD,,,,,,,329000000.0,,339000000.0,352000000.0,352000000.0,310000000.0,307000000.0,290000000.0,325000000.0
Assets / USD,,,,46777000000.0,44944000000.0,44670000000.0,45319000000.0,,45107000000.0,46142000000.0,47631000000.0,45319000000.0,46333000000.0,48105000000.0,51221000000.0
AssetsCurrent / USD,,,,,,,14833000000.0,,14230000000.0,15074000000.0,16315000000.0,16885000000.0,13709000000.0,15113000000.0,14840000000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,,,,,,,,,0.0,0.0,0.0,1268000000.0,236000000.0,67000000.0,
BilledContractReceivables / USD,,,,,,,204000000.0,,173000000.0,183000000.0,215000000.0,245000000.0,221000000.0,223000000.0,252000000.0
BusinessAcquisitionPurchasePriceAllocationGoodwillExpectedTaxDeductibleAmount / USD,,,,,,,284000000.0,,980000000.0,1125000000.0,1379000000.0,1289000000.0,327000000.0,324000000.0,1259000000.0
BusinessCombinationAcquisitionRelatedCosts / USD,,,,,,,13000000.0,,2000000.0,2000000.0,6000000.0,39000000.0,20000000.0,24000000.0,52000000.0
BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual / USD,,,,,,,38000000.0,,-1000000.0,-3000000.0,-7000000.0,18000000.0,9000000.0,-17000000.0,-3000000.0
BusinessCombinationProFormaInformationRevenueOfAcquireeSinceAcquisitionDateActual / USD,,,,,,,524000000.0,,20000000.0,46000000.0,114000000.0,761000000.0,57000000.0,179000000.0,733000000.0
CashAndCashEquivalentsAtCarryingValue / USD,,,,,,,5783000000.0,,4650000000.0,4275000000.0,5722000000.0,5936000000.0,3308000000.0,3066000000.0,2978000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsDisposalGroupIncludingDiscontinuedOperations / USD,,,,,,,0.0,,0.0,0.0,,0.0,1000000.0,11000000.0,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations / USD,,,,,,,7721000000.0,,5936000000.0,5936000000.0,5936000000.0,5783000000.0,6390000000.0,6390000000.0,6390000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,-1938000000.0,,-1286000000.0,-1661000000.0,-214000000.0,153000000.0,-3081000000.0,-2444000000.0,-3310000000.0
CommonStockDividendsPerShareDeclared / USD/shares,,,,,,,1.21,,1.03,1.03,1.28,1.27,0.35,0.7,1.05
CommonStockParOrStatedValuePerShare / EUR/shares,,,,,,,0.32,,0.32,0.32,0.32,0.32,0.32,0.32,0.32
CommonStockSharesAuthorized / shares,,,,,,,1250000000.0,,1250000000.0,1250000000.0,1250000000.0,1250000000.0,1250000000.0,1250000000.0,1250000000.0
CommonStockSharesIssued / shares,,,,,,,752140338.0,,752140338.0,752140338.0,750725468.0,734519598.0,729477337.0,725113896.0,721319880.0
CommonStockSharesOutstanding / shares,,,,,,,752140338.0,,752140338.0,752140338.0,750725468.0,734519598.0,729477337.0,725113896.0,721319880.0
CommonStockValue / USD,,,,,,,302000000.0,,302000000.0,302000000.0,302000000.0,296000000.0,294000000.0,292000000.0,291000000.0
ComprehensiveIncomeNetOfTax / USD,,,,,,,2549000000.0,,86000000.0,1333000000.0,2501000000.0,3500000000.0,-65000000.0,1216000000.0,2906000000.0
ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest / USD,,,,,,,2570000000.0,,95000000.0,1349000000.0,2516000000.0,3481000000.0,-74000000.0,1207000000.0,2944000000.0
ConstructionPayableCurrent / USD,,,,,,,344000000.0,,337000000.0,329000000.0,404000000.0,439000000.0,430000000.0,448000000.0,495000000.0
ContractWithCustomerAssetNet / USD,,,,,,,606000000.0,,622000000.0,906000000.0,1005000000.0,,637000000.0,887000000.0,1004000000.0
ContractWithCustomerLiability / USD,,,,,,,344000000.0,,337000000.0,329000000.0,404000000.0,,430000000.0,448000000.0,495000000.0
ContractWithCustomerLiabilityRevenueRecognized / USD,,,,,,,308000000.0,,191000000.0,270000000.0,328000000.0,308000000.0,265000000.0,339000000.0,382000000.0
CostDirectLabor / USD,,,,,,,,,,,,6225000000.0,1647000000.0,3504000000.0,5479000000.0
CostOfGoodsAndServicesSold / USD,,,,,,,19379000000.0,,4808000000.0,10887000000.0,17252000000.0,21908000000.0,4726000000.0,10705000000.0,17161000000.0
CostsIncurredAssetRetirementObligationIncurred / USD,,,,,,,54000000.0,,,,,57000000.0,,,
CurrentFederalTaxExpenseBenefit / USD,,,,,,,304000000.0,,,,,443000000.0,,,
CurrentForeignTaxExpenseBenefit / USD,,,,,,,205000000.0,,,,,221000000.0,,,
CurrentIncomeTaxExpenseBenefit / USD,,,,,,,556000000.0,,,,,751000000.0,,,
CurrentStateAndLocalTaxExpenseBenefit / USD,,,,,,,47000000.0,,,,,87000000.0,,,
DebtCurrent / USD,,,,,,,1491000000.0,,2251000000.0,2185000000.0,1860000000.0,1866000000.0,2992000000.0,3218000000.0,3218000000.0
DebtInstrumentRepurchasedFaceAmount / USD,,,,,,,87000000.0,,87000000.0,87000000.0,87000000.0,87000000.0,87000000.0,87000000.0,87000000.0
DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet / USD,,,,,,,50000000.0,,52000000.0,54000000.0,68000000.0,67000000.0,64000000.0,72000000.0,70000000.0
DeferredFederalIncomeTaxExpenseBenefit / USD,,,,,,,54000000.0,,,,,11000000.0,,,
DeferredForeignIncomeTaxExpenseBenefit / USD,,,,,,,29000000.0,,,,,6000000.0,,,
DeferredIncomeTaxAssetsNet / USD,,,,,,,79000000.0,,,,,98000000.0,,,
DeferredIncomeTaxExpenseBenefit / USD,,,,,,,99000000.0,,49000000.0,95000000.0,108000000.0,-63000000.0,-36000000.0,197000000.0,195000000.0
DeferredIncomeTaxLiabilities / USD,,,,,,,3594000000.0,,,,,3571000000.0,,,
DeferredIncomeTaxLiabilitiesNet / USD,,,,,,,2885000000.0,,2972000000.0,3010000000.0,3050000000.0,2738000000.0,2684000000.0,2914000000.0,3168000000.0
DeferredStateAndLocalIncomeTaxExpenseBenefit / USD,,,,,,,11000000.0,,,,,-6000000.0,,,
DeferredTaxAssetsDerivativeInstruments / USD,,,,,,,0.0,,,,,2000000.0,,,
DeferredTaxAssetsGross / USD,,,,,,,1525000000.0,,,,,1845000000.0,,,
DeferredTaxAssetsNet / USD,,,,,,,788000000.0,,,,,931000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsPensions / USD,,,,,,,26000000.0,,,,,38000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost / USD,,,,,,,31000000.0,,,,,41000000.0,,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals / USD,,,,,,,350000000.0,,,,,420000000.0,,,
DeferredTaxAssetsValuationAllowance / USD,,,,,,,507000000.0,,,,,578000000.0,,,
DeferredTaxLiabilities / USD,,,,2530000000.0,2613000000.0,2734000000.0,2806000000.0,,,,,2640000000.0,,,
DeferredTaxLiabilitiesLeasingArrangements / USD,,,,,,,250000000.0,,,,,274000000.0,,,
DeferredTaxLiabilitiesOther / USD,,,,,,,0.0,,,,,12000000.0,,,
DefinedBenefitPensionPlanLiabilitiesNoncurrent / USD,,,,,,,272000000.0,,276000000.0,278000000.0,276000000.0,254000000.0,250000000.0,250000000.0,257000000.0
