fact_unit,2010-08-05,2010-11-08,2011-02-25,2011-05-09,2011-08-04,2011-11-09,2012-02-24,2012-05-03,2012-08-02,2012-11-02,2013-02-22,2013-05-02,2013-07-26,2013-10-31,2014-02-21,2014-05-01,2014-07-31,2014-10-30,2015-02-20,2015-04-30,2015-07-30,2015-10-29,2016-02-19,2016-04-28,2016-07-28,2016-11-07,2017-02-28,2017-05-04,2017-08-03,2017-11-01,2018-02-26,2018-05-04,2018-07-31,2018-09-10,2018-10-30,2019-02-27,2019-05-09,2019-08-01,2019-11-01,2020-02-24,2020-05-06,2020-07-29,2020-10-29,2021-02-19,2021-04-29,2021-07-29,2021-10-27,2022-02-17,2022-04-27,2022-08-05,2022-11-01,2023-02-15,2023-04-26,2023-07-27,2023-10-25,2024-02-14,2024-04-24,2024-07-24,2024-10-23,2025-02-12,2025-04-23,2025-07-24,2025-10-22
AccountsPayableCurrent / USD,119895000.0,119895000.0,119895000.0,170504000.0,170504000.0,170504000.0,170504000.0,244649000.0,244649000.0,244649000.0,244649000.0,248593000.0,248593000.0,248593000.0,248593000.0,326666000.0,326666000.0,326666000.0,326666000.0,399845000.0,399845000.0,399845000.0,399845000.0,319525000.0,319525000.0,319525000.0,319525000.0,530211000.0,530211000.0,530211000.0,530211000.0,552525000.0,552525000.0,530211000.0,552525000.0,552525000.0,589449000.0,589449000.0,589400000.0,589400000.0,1157500000.0,1157500000.0,1157500000.0,1157500000.0,909400000.0,909400000.0,909400000.0,909000000.0,1012000000.0,1012000000.0,1012000000.0,1012000000.0,1301000000.0,1301000000.0,1301000000.0,1301000000.0,1250000000.0,1250000000.0,1250000000.0,1250000000.0,1300000000.0,1300000000.0,1300000000.0
AccountsReceivableFromSecuritization / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000.0,175000000.0,80000000.0,80000000.0,80000000.0,20000000.0,20000000.0,20000000.0,20000000.0,,,
AccountsReceivableNetCurrent / USD,208260000.0,208260000.0,208260000.0,258149000.0,258149000.0,258149000.0,258149000.0,346281000.0,346281000.0,346281000.0,346281000.0,389915000.0,389915000.0,389915000.0,292786000.0,349458000.0,349458000.0,349458000.0,349458000.0,443464000.0,443464000.0,443464000.0,443464000.0,494975000.0,494975000.0,494975000.0,494975000.0,667596000.0,667596000.0,667596000.0,667596000.0,800619000.0,800619000.0,667596000.0,800619000.0,800619000.0,801193000.0,801193000.0,801200000.0,801200000.0,1149900000.0,1149900000.0,1149900000.0,1149900000.0,969300000.0,969300000.0,969300000.0,969000000.0,1085000000.0,1085000000.0,1085000000.0,1085000000.0,975000000.0,975000000.0,975000000.0,975000000.0,1160000000.0,1160000000.0,1160000000.0,1160000000.0,1152000000.0,1152000000.0,1152000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,250289000.0,250289000.0,250289000.0,271798000.0,271798000.0,271798000.0,271798000.0,291091000.0,291091000.0,291091000.0,291091000.0,311836000.0,311836000.0,311836000.0,311836000.0,321662000.0,321662000.0,321662000.0,321662000.0,343923000.0,343923000.0,343923000.0,343923000.0,364102000.0,364102000.0,364102000.0,364102000.0,393854000.0,393854000.0,393854000.0,393854000.0,452074000.0,452074000.0,393854000.0,452074000.0,452074000.0,472813000.0,472813000.0,472800000.0,472800000.0,560200000.0,560200000.0,560200000.0,560200000.0,,,,772000000.0,,,,906000000.0,,,,1050000000.0,,,,1190000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-30546000.0,-30546000.0,-30546000.0,-38077000.0,-38077000.0,-38077000.0,-38077000.0,-60897000.0,-60897000.0,-60897000.0,-60897000.0,-53564000.0,-53564000.0,-53564000.0,-53564000.0,-34856000.0,-34856000.0,-34856000.0,-34856000.0,-159486000.0,-159486000.0,-159486000.0,-159486000.0,-276719000.0,-276719000.0,-276719000.0,-276719000.0,-379605000.0,-379605000.0,-379605000.0,-379605000.0,-44992000.0,-44992000.0,-379605000.0,-44992000.0,-44992000.0,-256583000.0,-256583000.0,-256600000.0,-256600000.0,-382600000.0,-382600000.0,-382600000.0,-382600000.0,-339100000.0,-339100000.0,-339100000.0,-339000000.0,-466000000.0,-466000000.0,-466000000.0,-466000000.0,-661000000.0,-661000000.0,-661000000.0,-661000000.0,-590000000.0,-590000000.0,-590000000.0,-590000000.0,-846000000.0,-846000000.0,-846000000.0
AdditionalPaidInCapitalCommonStock / USD,,,,,,,,,,,,,,,,,,,415059000.0,448531000.0,448531000.0,448531000.0,448531000.0,469326000.0,469326000.0,469326000.0,469326000.0,869951000.0,869951000.0,869951000.0,869951000.0,906616000.0,906616000.0,869951000.0,906616000.0,906616000.0,914568000.0,914568000.0,914600000.0,914600000.0,7877200000.0,7877200000.0,7877200000.0,7877200000.0,7880600000.0,7880600000.0,7880600000.0,7881000000.0,7916000000.0,7916000000.0,7916000000.0,7916000000.0,7953000000.0,7953000000.0,7953000000.0,7953000000.0,7977000000.0,7977000000.0,7977000000.0,7977000000.0,8023000000.0,8023000000.0,8023000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,,,,,,,,11765000.0,,,,18646000.0,,,,19242000.0,,,,21896000.0,,,,23475000.0,,,,23713000.0,,,23713000.0,,17748000.0,5696000.0,5696000.0,20500000.0,16700000.0,8500000.0,8500000.0,8500000.0,21500000.0,10000000.0,10000000.0,10000000.0,38000000.0,9000000.0,9000000.0,9000000.0,17000000.0,10000000.0,10000000.0,10000000.0,41000000.0,10000000.0,10000000.0,10000000.0,41000000.0,12000000.0,12000000.0,12000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,,,,,,,,,,17600000.0,19800000.0,6700000.0,12100000.0,19100000.0,24100000.0,8800000.0,15000000.0,20100000.0,26100000.0,5500000.0,9700000.0,14800000.0,26000000.0,5700000.0,11900000.0,26000000.0,14500000.0,20800000.0,5700000.0,14000000.0,20500000.0,21300000.0,8500000.0,24300000.0,36100000.0,25300000.0,7300000.0,5700000.0,17600000.0,50000000.0,8000000.0,24000000.0,34000000.0,20000000.0,11000000.0,23000000.0,35000000.0,46000000.0,12000000.0,26000000.0,42000000.0,49000000.0,17000000.0,34000000.0,57000000.0
AmortizationOfIntangibleAssets / USD,,,,,4000000.0,6700000.0,9800000.0,3100000.0,6400000.0,10500000.0,10200000.0,3100000.0,6300000.0,10300000.0,15000000.0,3600000.0,8800000.0,12699000.0,15272000.0,4696000.0,9828000.0,16559000.0,17710000.0,5301000.0,10463000.0,16009000.0,22448000.0,5295000.0,10761000.0,16100000.0,21663000.0,9044000.0,18394000.0,21663000.0,27039000.0,22698000.0,10352000.0,20251000.0,30100000.0,36500000.0,27400000.0,93400000.0,172900000.0,39800000.0,69000000.0,141300000.0,211600000.0,238000000.0,70000000.0,142000000.0,215000000.0,282000000.0,73000000.0,145000000.0,218000000.0,287000000.0,75000000.0,148000000.0,222000000.0,291000000.0,74000000.0,145000000.0,224000000.0
Assets / USD,1585835000.0,1585835000.0,1585835000.0,1803081000.0,1803081000.0,1803081000.0,1585835000.0,2158953000.0,2158953000.0,2158953000.0,1803081000.0,2351542000.0,2351542000.0,2351542000.0,2158953000.0,2821997000.0,2821997000.0,2821997000.0,2351542000.0,3303841000.0,3303841000.0,3303841000.0,2821997000.0,3296846000.0,3296846000.0,3296846000.0,3303841000.0,6581018000.0,6581018000.0,6581018000.0,3229513000.0,6579980000.0,6579980000.0,3229513000.0,6579980000.0,6581018000.0,8649234000.0,8649234000.0,8649200000.0,6580000000.0,18944200000.0,18944200000.0,18944200000.0,18944200000.0,18454500000.0,18454500000.0,18454500000.0,18454000000.0,18454000000.0,18454000000.0,18454000000.0,18454000000.0,18516000000.0,18516000000.0,18516000000.0,18516000000.0,18988000000.0,18988000000.0,18988000000.0,18988000000.0,18747000000.0,18876000000.0,18644000000.0
AssetsCurrent / USD,689509000.0,689509000.0,689509000.0,801953000.0,801953000.0,801953000.0,801953000.0,1055782000.0,1055782000.0,1055782000.0,1055782000.0,1092938000.0,1092938000.0,1092938000.0,1092938000.0,1333047000.0,1333047000.0,1333047000.0,1333047000.0,1637864000.0,1637864000.0,1637864000.0,1637864000.0,1611678000.0,1611678000.0,1611678000.0,1540020000.0,2867631000.0,2867631000.0,2867631000.0,2867631000.0,2265113000.0,2265113000.0,2867631000.0,2265113000.0,2265113000.0,4449667000.0,4449667000.0,4449600000.0,4449600000.0,4192100000.0,4192100000.0,4192100000.0,4192100000.0,3879800000.0,3879800000.0,3879800000.0,3880000000.0,3832000000.0,3832000000.0,3832000000.0,3832000000.0,4327000000.0,4327000000.0,4327000000.0,4327000000.0,4855000000.0,4855000000.0,4855000000.0,4855000000.0,4943000000.0,4943000000.0,4943000000.0
AssetsNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14574700000.0,14574700000.0,14574000000.0,14622000000.0,14622000000.0,14622000000.0,14622000000.0,14189000000.0,14189000000.0,14189000000.0,14189000000.0,14133000000.0,14133000000.0,14133000000.0,14133000000.0,13759000000.0,13759000000.0,13759000000.0
BuildingsAndImprovementsGross / USD,,,,,,,116888000.0,,,,120200000.0,,,,129869000.0,,,,138469000.0,,,,180227000.0,,,,170668000.0,,,,225307000.0,,,225307000.0,,259561000.0,,,,248100000.0,,,,774200000.0,,,,801000000.0,,,,785000000.0,,,,783000000.0,,,,838000000.0,,,
CapitalLeaseObligationsIncurred / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68000000.0,2000000.0,24000000.0,58000000.0,80000000.0,2000000.0,24000000.0,58000000.0,80000000.0,14000000.0,20000000.0,27000000.0,37000000.0,14000000.0,32000000.0,40000000.0
CashAcquiredFromAcquisition / USD,,,,,,,1540000.0,,,,1570000.0,,,,4248000.0,,,,2303000.0,,,,671000.0,,,,30154000.0,,,,5681000.0,,,5681000.0,,186903000.0,,,,35400000.0,,,,7700000.0,,,,180000000.0,,,,1000000.0,,,,5000000.0,,,,1000000.0,,,
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1143232000.0,,,1143232000.0,429133000.0,233401000.0,233401000.0,233400000.0,1143200000.0,2342400000.0,2342400000.0,2342300000.0,233400000.0,604200000.0,604200000.0,604200000.0,2342000000.0,599000000.0,599000000.0,599000000.0,604000000.0,473000000.0,473000000.0,473000000.0,599000000.0,541000000.0,541000000.0,541000000.0,473000000.0,620000000.0,620000000.0,620000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-915152000.0,714099000.0,16485000.0,12173000.0,1902000000.0,-909800000.0,-1829500000.0,-1881100000.0,-1754900000.0,2108900000.0,11700000.0,-16300000.0,-44900000.0,-1738000000.0,-115000000.0,-145000000.0,-143000000.0,-5000000.0,15000000.0,28000000.0,41000000.0,-126000000.0,-124000000.0,-170000000.0,-149000000.0,68000000.0,19000000.0,-25000000.0,-210000000.0
CommonStockDividendsPerShareCashPaid / USD/shares,0.02,0.03,0.04,0.01,0.02,0.03,0.04,0.01,0.02,0.05,0.04,0.03,0.03,0.06,0.04,0.025,0.025,0.09,0.08,0.04,0.08,0.14,0.13,0.06,0.12,0.2,0.2,0.08,0.16,0.26,0.28,0.1,0.2,0.28,0.2,0.36,0.12,0.12,0.36,0.44,0.12,0.12,0.12,0.48,0.12,0.12,0.12,0.48,0.12,0.12,0.12,0.48,0.15,0.15,0.15,0.48,0.17,0.17,0.17,0.6,0.2,0.2,0.2
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,100000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,200000000.0,500000000.0,500000000.0,500000000.0,200000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0,500000000.0
