fact_unit,2009-10-01,2010-01-29,2010-04-01,2010-07-01,2010-10-01,2011-01-31,2011-04-01,2011-07-01,2011-09-30,2012-01-30,2012-03-30,2012-07-02,2012-10-05,2013-01-29,2013-04-03,2013-07-02,2013-10-03,2014-01-29,2014-04-02,2014-07-02,2014-10-03,2015-01-29,2015-04-02,2015-07-01,2015-10-02,2016-01-29,2016-03-31,2016-07-01,2016-09-30,2017-01-30,2017-03-30,2017-06-30,2017-09-29,2018-01-29,2018-03-22,2018-06-25,2018-09-27,2019-01-28,2019-04-09,2019-06-24,2019-09-26,2020-01-28,2020-03-31,2020-04-03,2020-07-10,2020-10-08,2021-01-26,2021-04-07,2021-06-28,2021-09-30,2022-01-27,2022-03-28,2022-06-29,2022-09-30,2023-01-27,2023-03-29,2023-06-28,2023-09-29,2024-01-26,2024-03-27,2024-06-27,2024-09-30,2025-01-27,2025-03-25,2025-06-26,2025-09-29
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree / USD,,,,,,,,,,,,,,1269000000.0,,,,1537000000.0,,,,634000000.0,,,,1477000000.0,,,,1595000000.0,,,,1315000000.0,,,,1101000000.0,,,,1352000000.0,1352000000.0,,,6686000000.0,6255000000.0,4548000000.0,4571000000.0,4724000000.0,4682000000.0,4522000000.0,4415000000.0,4258000000.0,4385000000.0,4611000000.0,4466000000.0,3194000000.0,3197000000.0,5457000000.0,5212000000.0,4931000000.0,4894000000.0,6691000000.0,6758000000.0,5034000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo / USD,,,,,,,,,,,,,,1615000000.0,,,,1403000000.0,,,,1785000000.0,,,,1007000000.0,,,,2071000000.0,,,,2109000000.0,,,,2143000000.0,,,,1915000000.0,1915000000.0,,,2539000000.0,2703000000.0,6393000000.0,6373000000.0,4503000000.0,2765000000.0,4825000000.0,4705000000.0,4935000000.0,2645000000.0,4488000000.0,4297000000.0,2211000000.0,2229000000.0,3323000000.0,2790000000.0,2815000000.0,2683000000.0,4889000000.0,4958000000.0,1959000000.0
LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048000000.0,,,,,,,,,,,,,,1719000000.0,1195000000.0,737000000.0,,1122000000.0,692000000.0,261000000.0
LongTermDebtNoncurrent / USD,8345000000.0,7735000000.0,9097000000.0,9097000000.0,9097000000.0,9097000000.0,8011000000.0,8011000000.0,8011000000.0,8011000000.0,8053000000.0,8053000000.0,8053000000.0,8053000000.0,7168000000.0,7168000000.0,7168000000.0,7168000000.0,8092000000.0,8092000000.0,8092000000.0,8092000000.0,7363000000.0,7363000000.0,7363000000.0,7363000000.0,7413000000.0,7413000000.0,7413000000.0,7413000000.0,8302000000.0,8302000000.0,8302000000.0,8302000000.0,6993000000.0,6993000000.0,6993000000.0,6993000000.0,7897000000.0,7897000000.0,7897000000.0,7897000000.0,7897000000.0,9675000000.0,9675000000.0,9675000000.0,9675000000.0,22130000000.0,22130000000.0,22130000000.0,22130000000.0,28509000000.0,28509000000.0,28509000000.0,28509000000.0,31953000000.0,31953000000.0,31953000000.0,31953000000.0,28483000000.0,28483000000.0,28483000000.0,28483000000.0,25936000000.0,25936000000.0,25936000000.0
LossContingencyAccrualAtCarryingValue / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000000.0,110000000.0,110000000.0,110000000.0,110000000.0,110000000.0,110000000.0,110000000.0,110000000.0,110000000.0,110000000.0
NetCashProvidedByUsedInFinancingActivities / USD,-258000000.0,-604000000.0,-20000000.0,334000000.0,123000000.0,-315000000.0,976000000.0,425000000.0,-327000000.0,-93000000.0,-230000000.0,-59000000.0,-608000000.0,-404000000.0,-50000000.0,483000000.0,-737000000.0,-1093000000.0,-203000000.0,84000000.0,-29000000.0,-1190000000.0,-162000000.0,-519000000.0,-1188000000.0,-780000000.0,151000000.0,-861000000.0,-1509000000.0,-1028000000.0,-947000000.0,-1381000000.0,-2426000000.0,-942000000.0,-615000000.0,-935000000.0,-2004000000.0,-2591000000.0,-428000000.0,-339000000.0,-1707000000.0,-2452000000.0,-2452000000.0,612000000.0,-26000000.0,-912000000.0,-1460000000.0,1089000000.0,9425000000.0,13699000000.0,-655000000.0,5216000000.0,4523000000.0,4899000000.0,18650000000.0,1728000000.0,2463000000.0,3217000000.0,6949000000.0,111000000.0,-1552000000.0,-4229000000.0,3577000000.0,237000000.0,-1183000000.0,-1953000000.0
NetCashProvidedByUsedInInvestingActivities / USD,-2714000000.0,-3746000000.0,-313000000.0,-1962000000.0,-2454000000.0,-3255000000.0,-1116000000.0,-2094000000.0,-2736000000.0,-3384000000.0,-158000000.0,-1625000000.0,-2410000000.0,-3501000000.0,-248000000.0,-1456000000.0,-1600000000.0,-2646000000.0,-167000000.0,-1373000000.0,-1807000000.0,-1772000000.0,-349000000.0,-1268000000.0,-1617000000.0,-2056000000.0,-974000000.0,-1427000000.0,-1805000000.0,-2507000000.0,-459000000.0,-2173000000.0,-2622000000.0,-2478000000.0,-474000000.0,-1934000000.0,-2419000000.0,-3323000000.0,-588000000.0,-2103000000.0,-2617000000.0,-3122000000.0,-3122000000.0,-2059000000.0,-2918000000.0,-3317000000.0,-3514000000.0,-1161000000.0,-1256000000.0,-1452000000.0,-5277000000.0,-3589000000.0,-4155000000.0,-3535000000.0,-3240000000.0,-3032000000.0,-3107000000.0,-3467000000.0,-3543000000.0,-1044000000.0,-1509000000.0,-2322000000.0,-4767000000.0,-2163000000.0,-3384000000.0,-3961000000.0
NetCashProvidedByUsedInOperatingActivities / USD,2879000000.0,4069000000.0,305000000.0,1441000000.0,2630000000.0,3391000000.0,396000000.0,1794000000.0,3084000000.0,3342000000.0,412000000.0,1801000000.0,3016000000.0,3818000000.0,322000000.0,1458000000.0,2476000000.0,3766000000.0,399000000.0,1556000000.0,2359000000.0,2999000000.0,477000000.0,1673000000.0,2793000000.0,2834000000.0,771000000.0,2286000000.0,3567000000.0,3430000000.0,798000000.0,2681000000.0,4110000000.0,4545000000.0,932000000.0,2849000000.0,4298000000.0,5134000000.0,1064000000.0,3087000000.0,4436000000.0,5322000000.0,5322000000.0,1116000000.0,3169000000.0,4414000000.0,5549000000.0,916000000.0,-1804000000.0,-4649000000.0,5475000000.0,-1503000000.0,-2862000000.0,-3741000000.0,-6301000000.0,-1212000000.0,-1209000000.0,-1553000000.0,-4109000000.0,388000000.0,1525000000.0,3359000000.0,-1670000000.0,1768000000.0,3807000000.0,5012000000.0
NetIncomeLoss / USD,1959000000.0,2408000000.0,260000000.0,524000000.0,1597000000.0,2324000000.0,175000000.0,427000000.0,1730000000.0,1790000000.0,152000000.0,358000000.0,1695000000.0,1978000000.0,-139000000.0,-125000000.0,1205000000.0,1912000000.0,37000000.0,78000000.0,1012000000.0,1298000000.0,-20000000.0,78000000.0,1319000000.0,1055000000.0,49000000.0,271000000.0,1487000000.0,1216000000.0,142000000.0,747000000.0,2171000000.0,1757000000.0,352000000.0,730000000.0,2060000000.0,2779000000.0,391000000.0,951000000.0,2659000000.0,2606000000.0,2606000000.0,336000000.0,787000000.0,2567000000.0,3152000000.0,-781000000.0,-5155000000.0,-8014000000.0,2990000000.0,-1973000000.0,-4045000000.0,-6881000000.0,-10236000000.0,-1891000000.0,-3726000000.0,-4495000000.0,-9501000000.0,-693000000.0,-1100000000.0,-26000000.0,-6093000000.0,-214000000.0,-123000000.0,1613000000.0
NetIncomeLossAvailableToCommonStockholdersBasic / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10236000000.0,,,,-9501000000.0,-693000000.0,-1100000000.0,,,-214000000.0,,
