fact_unit,2010-08-03,2010-11-02,2011-02-25,2011-05-03,2011-08-08,2011-11-07,2012-02-29,2012-05-09,2012-08-06,2012-11-06,2013-02-22,2013-05-06,2013-08-05,2013-11-07,2014-02-24,2014-05-05,2014-08-04,2014-11-03,2015-02-24,2015-05-05,2015-08-07,2015-11-05,2016-02-23,2016-05-05,2016-08-04,2016-11-02,2017-02-24,2017-05-10,2017-05-12,2017-08-01,2017-11-02,2018-02-23,2018-05-08,2018-07-27,2018-11-07,2019-02-25,2019-05-01,2019-07-31,2019-10-30,2020-02-21,2020-05-05,2020-07-28,2020-10-29,2021-02-19,2021-05-04,2021-07-29,2021-11-02,2022-02-22,2022-05-03,2022-07-28,2022-11-02,2023-02-24,2023-05-04,2023-07-27,2023-11-01,2024-02-23,2024-04-30,2024-08-08,2024-10-30,2025-02-21,2025-04-30,2025-08-07,2025-11-04
AccountsAndOtherReceivablesNetCurrent / USD,,,,,,,,,,,,,,,,,,,245421000.0,,,,421001000.0,,,,410921000.0,448048000.0,410921000.0,534459000.0,566425000.0,457910000.0,479215000.0,570618000.0,,487240000.0,,,,523300000.0,,,,573700000.0,,,,575100000.0,,,,774000000.0,,,,785900000.0,,,,753000000.0,,,
AccountsPayableCurrent / USD,75203000.0,61741000.0,52107000.0,67281000.0,80238000.0,76993000.0,60333000.0,74914000.0,85415000.0,86322000.0,92210000.0,100082000.0,113308000.0,99628000.0,83537000.0,77080000.0,99960000.0,111266000.0,103600000.0,98775000.0,139442000.0,230206000.0,202476000.0,184066000.0,201235000.0,226837000.0,164718000.0,174398000.0,164718000.0,197733000.0,192738000.0,178598000.0,188399000.0,187227000.0,163597000.0,183638000.0,210808000.0,210808000.0,210808000.0,210800000.0,229600000.0,229600000.0,229600000.0,229600000.0,207800000.0,207800000.0,207800000.0,207800000.0,356200000.0,356200000.0,356200000.0,356200000.0,385000000.0,385000000.0,385000000.0,385000000.0,343000000.0,343000000.0,343000000.0,343000000.0,375000000.0,375000000.0,375000000.0
AccountsReceivableGrossCurrent / USD,,,,,,,184857000.0,,,,197611000.0,,,,226577000.0,,,,246528000.0,,,,418016000.0,,,,408551000.0,,408551000.0,,,456508000.0,,,,480073000.0,,,,514100000.0,,,,564400000.0,,,,572600000.0,,,,767500000.0,,,,781000000.0,,,,747000000.0,,,
AccountsReceivableNetCurrent / USD,250340000.0,241520000.0,162815000.0,202101000.0,257761000.0,249613000.0,183361000.0,203242000.0,269390000.0,259773000.0,203748000.0,212052000.0,275416000.0,296947000.0,224050000.0,202150000.0,287521000.0,331030000.0,245421000.0,242587000.0,343784000.0,523928000.0,421001000.0,381389000.0,497468000.0,577424000.0,,,,,,,,,582532000.0,487240000.0,523276000.0,523276000.0,523276000.0,523300000.0,573700000.0,573700000.0,573700000.0,573700000.0,575100000.0,575100000.0,575100000.0,575100000.0,774000000.0,774000000.0,774000000.0,774000000.0,785900000.0,785900000.0,785900000.0,785900000.0,753000000.0,753000000.0,753000000.0,753000000.0,678000000.0,678000000.0,678000000.0
AccruedIncomeTaxesCurrent / USD,1646000.0,2469000.0,,,1862000.0,174000.0,,,,16256000.0,,,,13291000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000.0,6000000.0,6000000.0,6000000.0,102000000.0,102000000.0,102000000.0
AccruedInsuranceNoncurrent / USD,,,,,,,,,,,,,,,,,,,25529000.0,,,,42552000.0,,,,45911000.0,,45911000.0,,,42184000.0,,,,48061000.0,,,,48300000.0,,,,39900000.0,,,,37700000.0,,,,42000000.0,,,,48200000.0,,,,47000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,1695691000.0,1737939000.0,,1805610000.0,1832068000.0,1847852000.0,1880445000.0,1913562000.0,1946802000.0,1975805000.0,1914401000.0,1952450000.0,1985697000.0,2024379000.0,2059346000.0,2092551000.0,2126420000.0,2159520000.0,2177643000.0,2207969000.0,2195098000.0,2246810000.0,2288906000.0,2329440000.0,2371926000.0,2415210000.0,2457198000.0,2515387000.0,2457198000.0,2574307000.0,2633471000.0,2692135000.0,2744168000.0,2800823000.0,2854236000.0,2905254000.0,3137733000.0,3137733000.0,3137734000.0,3137700000.0,3427500000.0,3427500000.0,3427500000.0,3427500000.0,3712700000.0,3712700000.0,3712700000.0,,4032000000.0,4032000000.0,4032000000.0,,4344300000.0,4344300000.0,4344300000.0,,4522000000.0,4522000000.0,4522000000.0,,4977000000.0,4977000000.0,4977000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-96495000.0,-89267000.0,-75084000.0,-70528000.0,-69488000.0,-67249000.0,-75084000.0,-54564000.0,-49319000.0,-49560000.0,-53660000.0,-83890000.0,-83890000.0,-83890000.0,-53660000.0,-106169000.0,-106169000.0,-106169000.0,-83890000.0,-44114000.0,-44114000.0,-44114000.0,-106169000.0,-106159000.0,-106159000.0,-112742000.0,-105622000.0,-103833000.0,-105622000.0,-106068000.0,-104511000.0,-130687000.0,-128425000.0,-125906000.0,-122928000.0,-129104000.0,-143579000.0,-143579000.0,-143579000.0,-143600000.0,-145800000.0,-145800000.0,-145800000.0,-145800000.0,-158400000.0,-158400000.0,-158400000.0,-158400000.0,-97600000.0,-97600000.0,-97600000.0,-97600000.0,-38500000.0,-38500000.0,-38500000.0,-38500000.0,-49000000.0,-49000000.0,-49000000.0,-49000000.0,-13000000.0,-13000000.0,-13000000.0
AdditionalPaidInCapitalCommonStock / USD,315534000.0,319777000.0,381173000.0,386211000.0,392519000.0,395853000.0,396485000.0,400972000.0,397575000.0,400855000.0,401864000.0,405473000.0,404074000.0,408898000.0,414657000.0,421024000.0,429936000.0,431122000.0,432792000.0,442551000.0,456989000.0,3239709000.0,3243619000.0,3255809000.0,3274098000.0,3283200000.0,3287827000.0,3302258000.0,3287827000.0,3318859000.0,3326531000.0,3334461000.0,3349813000.0,3355992000.0,3362744000.0,3368007000.0,3396059000.0,3396059000.0,3396059000.0,3396100000.0,3418800000.0,3418800000.0,3418800000.0,3418800000.0,3440800000.0,3440800000.0,3440800000.0,3440800000.0,3470400000.0,3470400000.0,3470400000.0,3470400000.0,3489000000.0,3489000000.0,3489000000.0,3489000000.0,3519000000.0,3519000000.0,3519000000.0,3519000000.0,3550000000.0,3550000000.0,3550000000.0
AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11805000.0,6380000.0,8938000.0,10213000.0,11805000.0,6380000.0,10065000.0,10416000.0,11800000.0,7100000.0,12300000.0,25400000.0,11900000.0,12700000.0,13100000.0,13000000.0,28100000.0,15500000.0,16100000.0,16500000.0,14800000.0,24400000.0,25100000.0,26200000.0,19500000.0,17000000.0,18000000.0,19000000.0,29000000.0,27000000.0,28000000.0,28000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,8443000.0,11684000.0,21865000.0,2777000.0,6351000.0,9317000.0,20552000.0,1878000.0,4577000.0,5947000.0,14675000.0,1245000.0,3981000.0,5408000.0,11522000.0,1409000.0,4370000.0,6381000.0,7781000.0,2906000.0,7524000.0,10722000.0,7008000.0,7228000.0,12801000.0,17167000.0,8993000.0,10275000.0,8993000.0,17727000.0,23698000.0,13589000.0,10275000.0,17727000.0,23698000.0,20481000.0,9760000.0,17098000.0,23084000.0,30500000.0,13500000.0,22300000.0,28400000.0,29300000.0,12500000.0,19700000.0,22400000.0,34100000.0,10900000.0,20800000.0,33000000.0,30000000.0,12000000.0,24500000.0,34300000.0,43000000.0,14000000.0,28000000.0,39000000.0,43000000.0,15000000.0,33000000.0,48000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,,,,3578000.0,,,,5295000.0,,,,6069000.0,,,,4081000.0,,,,4077000.0,,,,6940000.0,,6940000.0,,,6266000.0,,,,2390000.0,,,,3300000.0,,,,4700000.0,,,,5900000.0,,,,5800000.0,,,,11000000.0,,,,12000000.0,,,
AmortizationOfIntangibleAssets / USD,,,,,,,,,,,1453000.0,,,,1812000.0,,,2692000.0,3593000.0,,,,3587000.0,,,,9311000.0,,9311000.0,,,13962000.0,,7167000.0,10710000.0,13922000.0,,,,14200000.0,,,,13900000.0,,6400000.0,9800000.0,13000000.0,,,,13400000.0,,,,24000000.0,,,,27000000.0,,,
AssetRetirementObligation / USD,,,,,,,38779000.0,,,,41079000.0,,,,43233000.0,,,,46173000.0,,,,48727000.0,,,,70422000.0,,70422000.0,,,89604000.0,,,,101106000.0,,,,109700000.0,,,,121800000.0,,,,143900000.0,,,,143900000.0,,,,153800000.0,,,,307000000.0,,,
AssetRetirementObligationAccretionExpense / USD,,,,,,,2464000.0,,,,2645000.0,,,,2712000.0,,,,2777000.0,,,,2818000.0,,,,3336000.0,,3336000.0,,,4288000.0,,,,4768000.0,,,,5100000.0,,,,5600000.0,,,,5900000.0,,,,5900000.0,,,,7200000.0,,,,10000000.0,,,
AssetRetirementObligationLiabilitiesIncurred / USD,,,,,,,495000.0,,,,3062000.0,,,,204000.0,,,,2240000.0,,,,20984000.0,,,,14735000.0,,14735000.0,,,6700000.0,,,,7940000.0,,,,4600000.0,,,,600000.0,,,,300000.0,,,,300000.0,,,,179000000.0,,,,79000000.0,,,
AssetRetirementObligationRevisionOfEstimate / USD,,,,,,,-267000.0,,,,-1462000.0,,,,150000.0,,,,-2463000.0,,,,-46000.0,,,,5601000.0,,5601000.0,,,348000.0,,,,-3852000.0,,,,5200000.0,,,,17100000.0,,,,14000000.0,,,,14000000.0,,,,3500000.0,,,,-3000000.0,,,
AssetRetirementObligationsNoncurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377700000.0,377700000.0,383000000.0,383000000.0,383000000.0,383000000.0,423000000.0,423000000.0,423000000.0
Assets / USD,3207193000.0,3232681000.0,3239283000.0,3244902000.0,3096392000.0,3115783000.0,3239283000.0,3208606000.0,3148919000.0,3158558000.0,3074743000.0,3182117000.0,3226533000.0,3243204000.0,3147822000.0,3154775000.0,3231119000.0,3337105000.0,3160926000.0,3255257000.0,3356043000.0,7338858000.0,3185005000.0,7177319000.0,7260397000.0,7308434000.0,7214517000.0,7058287000.0,7214517000.0,7233305000.0,7373201000.0,6957611000.0,7393791000.0,7515860000.0,7566785000.0,7300905000.0,9551419000.0,9551419000.0,9551419000.0,8992500000.0,10131600000.0,10131600000.0,10131600000.0,9551400000.0,10580800000.0,10580800000.0,10580800000.0,10131600000.0,14393000000.0,14393000000.0,14393000000.0,10580800000.0,14993600000.0,14993600000.0,14993600000.0,14393000000.0,15125000000.0,15125000000.0,15125000000.0,15125000000.0,18170000000.0,18170000000.0,18170000000.0
AssetsCurrent / USD,802123000.0,844966000.0,856860000.0,854711000.0,708466000.0,732116000.0,696211000.0,840361000.0,745568000.0,767416000.0,657850000.0,701944000.0,760331000.0,785107000.0,700401000.0,715733000.0,806485000.0,845669000.0,755366000.0,758214000.0,876701000.0,1212798000.0,1044178000.0,1045829000.0,1530122000.0,1515805000.0,1081635000.0,998315000.0,1081635000.0,1121929000.0,1191525000.0,1086385000.0,1123242000.0,1244297000.0,1277989000.0,2631160000.0,1365816000.0,1365816000.0,1365816000.0,1365800000.0,1426700000.0,1426700000.0,1426700000.0,1426700000.0,1668300000.0,1668300000.0,1668300000.0,1668300000.0,2025600000.0,2025600000.0,2025600000.0,2025600000.0,2876900000.0,2876900000.0,2876900000.0,2876900000.0,3919000000.0,3919000000.0,3919000000.0,3919000000.0,2542000000.0,2542000000.0,2542000000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9800000.0,102200000.0,102200000.0,102200000.0,102200000.0,73200000.0,73200000.0,73200000.0,73200000.0,807000000.0,807000000.0,807000000.0,807000000.0,,,8000000.0
BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642400000.0,,,,642400000.0,,,,,,420000000.0,834000000.0,1117000000.0,,1373000000.0,1733000000.0
BusinessAcquisitionsProFormaRevenue / USD,,,,,,,,,,,,,,,,,,1962216000.0,2638682000.0,563228000.0,1395150000.0,,3088642000.0,,,,,,,,,,,,,,,,,,,,,,,,,5184900000.0,,,,5184900000.0,,,,,,3277000000.0,5335000000.0,7003000000.0,,3067000000.0,4957000000.0
BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46000000.0,,,
CapitalExpenditureDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8600000.0,13200000.0,13200000.0,15500000.0,8600000.0,13200000.0,13200000.0,3700000.0,,4000000.0,4000000.0,16000000.0,,,88000000.0
CapitalExpendituresIncurredButNotYetPaid / USD,,,,,,,,,,,,,,,,,,1500000.0,1500000.0,,,1500000.0,1500000.0,,,23353000.0,31172000.0,23892000.0,31172000.0,33959000.0,24453000.0,22285000.0,34666000.0,34714000.0,20339000.0,38566000.0,35639000.0,20771000.0,24930000.0,61600000.0,20600000.0,18700000.0,28800000.0,67000000.0,21400000.0,22000000.0,30500000.0,54200000.0,28700000.0,29500000.0,28600000.0,61500000.0,24500000.0,27300000.0,51800000.0,92400000.0,40000000.0,63000000.0,65000000.0,152000000.0,35000000.0,49000000.0,45000000.0
CashAndCashEquivalentsAtCarryingValue / USD,37794000.0,37794000.0,20038000.0,263591000.0,263591000.0,263591000.0,37794000.0,70323000.0,70323000.0,70323000.0,263591000.0,26022000.0,26022000.0,26022000.0,70323000.0,25394000.0,25394000.0,25394000.0,26022000.0,42437000.0,42437000.0,42437000.0,25394000.0,108651000.0,108651000.0,108651000.0,42437000.0,168409000.0,42437000.0,168409000.0,168409000.0,108651000.0,50038000.0,50038000.0,50038000.0,1446364000.0,44892000.0,44892000.0,44892000.0,44900000.0,21000000.0,21000000.0,44900000.0,44900000.0,207300000.0,207300000.0,207300000.0,21000000.0,258400000.0,258400000.0,258400000.0,207300000.0,358000000.0,358000000.0,358000000.0,258400000.0,1272000000.0,1272000000.0,1272000000.0,358000000.0,670000000.0,670000000.0,670000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44900000.0,44900000.0,304400000.0,304400000.0,304400000.0,21000000.0,258900000.0,304400000.0,304400000.0,21000000.0,258900000.0,258900000.0,258900000.0,304400000.0,359000000.0,359000000.0,359000000.0,259000000.0,1282000000.0,1282000000.0,1282000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-118371000.0,-23991000.0,-1412585000.0,-1392403000.0,1396400000.0,-7500000.0,8700000.0,4200000.0,-1401500000.0,403000000.0,49100000.0,172700000.0,-23900000.0,50400000.0,-234100000.0,2078700000.0,283400000.0,-69300000.0,513200000.0,-123200000.0,-45500000.0,-129000000.0,63000000.0,289000000.0,100000000.0,1368000000.0,-1173000000.0,-1230000000.0
CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11900000.0,,,,,,,236700000.0,-3700000.0,-2000000.0,53000000.0,53000000.0,234000000.0,,,-83000000.0
CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11900000.0,,,,,,,35800000.0,-8200000.0,-4000000.0,-11000000.0,-9000000.0,-32000000.0,,,167000000.0
CommitmentsAndContingencies / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0
CommonStockCapitalSharesReservedForFutureIssuance / shares,,,,,,,2412000.0,,,,2132000.0,,,,1977000.0,,,,3934000.0,,,,3508000.0,,,,2164000.0,,2164000.0,,,1986000.0,,,,1819000.0,,,,1500000.0,,,,1400000.0,,,,1300000.0,,,,1200000.0,,,,1100000.0,,,,1000000.0,,,
CommonStockDividendsPerShareDeclared / USD/shares,,,1.49,,,,1.6,,,,1.6,,,,1.6,,,,1.6,,,,1.6,,,,1.6,,1.6,,,1.6,,,,1.64,0.44,0.88,1.36,1.72,0.48,0.96,1.51,1.84,0.55,1.1,1.67,2.06,0.57,1.14,1.75,2.24,0.61,1.22,1.88,2.36,0.66,1.32,2.06,2.54,0.74,1.48,2.27
CommonStockParOrStatedValuePerShare / USD/shares,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CommonStockSharesAuthorized / shares,,,100000000.0,,,,100000000.0,,,,100000000.0,,,,100000000.0,,,,100000000.0,,,,100000000.0,,,,100000000.0,,100000000.0,,,100000000.0,,,,100000000.0,,,,100000000.0,,,,100000000.0,,,,100000000.0,,,,100000000.0,,,,100000000.0,,,,100000000.0,,,
CommonStockSharesOutstanding / shares,,,45399000.0,,,,45579000.0,,,,45726000.0,,,,46002000.0,,,,46261000.0,,,,67293000.0,,,,64479000.0,,64479000.0,,,62873000.0,,,,62873000.0,,,,62500000.0,,,,62400000.0,,,62300000.0,62300000.0,62400000.0,62400000.0,62400000.0,62400000.0,62100000.0,62100000.0,62102353.0,62102353.0,61821421.0,61821421.0,61821421.0,61821421.0,61126646.0,61126646.0,61126646.0
