fact_unit,2011-11-21,2012-02-28,2012-05-03,2012-08-02,2012-11-01,2012-11-06,2013-02-25,2013-04-30,2013-07-30,2013-10-29,2014-02-27,2014-04-29,2014-07-29,2014-10-28,2015-02-26,2015-04-30,2015-07-30,2015-10-29,2016-02-26,2016-05-03,2016-08-02,2016-11-01,2017-02-23,2017-05-02,2017-08-01,2017-10-31,2018-02-23,2018-05-01,2018-07-31,2018-10-30,2019-02-22,2019-05-02,2019-08-01,2019-10-31,2020-02-28,2020-05-05,2020-07-30,2020-10-29,2021-02-26,2021-05-04,2021-08-03,2021-11-02,2022-02-25,2022-05-04,2022-08-02,2022-11-01,2023-02-24,2023-05-04,2023-08-04,2023-10-31,2024-02-28,2024-05-02,2024-07-30,2024-10-31,2025-03-03,2025-04-29,2025-07-31,2025-10-28
AccountsPayableCurrent / USD,309000000.0,309000000.0,322000000.0,322000000.0,322000000.0,322000000.0,322000000.0,332000000.0,332000000.0,332000000.0,332000000.0,332000000.0,332000000.0,332000000.0,332000000.0,338000000.0,338000000.0,338000000.0,338000000.0,338000000.0,338000000.0,338000000.0,338000000.0,457000000.0,457000000.0,457000000.0,457000000.0,549000000.0,549000000.0,549000000.0,549000000.0,586000000.0,586000000.0,586000000.0,586000000.0,597000000.0,597000000.0,597000000.0,597000000.0,569000000.0,569000000.0,569000000.0,569000000.0,639000000.0,639000000.0,639000000.0,639000000.0,723000000.0,723000000.0,723000000.0,723000000.0,968000000.0,968000000.0,968000000.0,968000000.0,1006000000.0,1006000000.0,1006000000.0
AccountsReceivableNetCurrent / USD,690000000.0,690000000.0,756000000.0,756000000.0,756000000.0,756000000.0,756000000.0,776000000.0,776000000.0,776000000.0,776000000.0,817000000.0,817000000.0,817000000.0,817000000.0,771000000.0,771000000.0,771000000.0,771000000.0,749000000.0,749000000.0,749000000.0,749000000.0,843000000.0,843000000.0,843000000.0,843000000.0,956000000.0,956000000.0,956000000.0,956000000.0,1031000000.0,1031000000.0,1031000000.0,1031000000.0,1036000000.0,1036000000.0,1036000000.0,1036000000.0,923000000.0,923000000.0,923000000.0,923000000.0,953000000.0,953000000.0,953000000.0,953000000.0,1096000000.0,1096000000.0,1096000000.0,1096000000.0,1617000000.0,1617000000.0,1617000000.0,1617000000.0,1668000000.0,1668000000.0,1668000000.0
AccrualForEnvironmentalLossContingenciesGross / USD,,,,,,,,,11000000.0,11000000.0,,8000000.0,8000000.0,8000000.0,,5000000.0,5000000.0,5000000.0,,4000000.0,4000000.0,4000000.0,,4000000.0,4000000.0,4000000.0,,4000000.0,4000000.0,4000000.0,,4000000.0,4000000.0,4000000.0,,3000000.0,3000000.0,3000000.0,,3000000.0,3000000.0,3000000.0,,4000000.0,3000000.0,3000000.0,,4000000.0,4000000.0,4000000.0,,4000000.0,4000000.0,4000000.0,,4000000.0,4000000.0,4000000.0
AccruedIncomeTaxesCurrent / USD,,,,77000000.0,77000000.0,77000000.0,77000000.0,50000000.0,50000000.0,50000000.0,50000000.0,45000000.0,45000000.0,45000000.0,45000000.0,77000000.0,77000000.0,77000000.0,77000000.0,64000000.0,64000000.0,64000000.0,64000000.0,63000000.0,63000000.0,63000000.0,63000000.0,75000000.0,75000000.0,75000000.0,75000000.0,85000000.0,85000000.0,85000000.0,85000000.0,79000000.0,79000000.0,79000000.0,79000000.0,103000000.0,103000000.0,103000000.0,103000000.0,86000000.0,86000000.0,86000000.0,86000000.0,186000000.0,186000000.0,186000000.0,186000000.0,170000000.0,170000000.0,170000000.0,170000000.0,201000000.0,201000000.0,201000000.0
AccruedLiabilitiesCurrent / USD,340000000.0,340000000.0,490000000.0,490000000.0,490000000.0,490000000.0,490000000.0,443000000.0,443000000.0,443000000.0,443000000.0,479000000.0,479000000.0,479000000.0,479000000.0,481000000.0,481000000.0,481000000.0,476000000.0,407000000.0,407000000.0,407000000.0,407000000.0,521000000.0,521000000.0,521000000.0,521000000.0,551000000.0,551000000.0,551000000.0,551000000.0,546000000.0,546000000.0,546000000.0,546000000.0,628000000.0,628000000.0,628000000.0,628000000.0,787000000.0,787000000.0,787000000.0,787000000.0,752000000.0,752000000.0,752000000.0,752000000.0,867000000.0,867000000.0,867000000.0,867000000.0,1221000000.0,1221000000.0,1221000000.0,1221000000.0,1271000000.0,1271000000.0,1271000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,,,684000000.0,684000000.0,684000000.0,684000000.0,753000000.0,753000000.0,753000000.0,753000000.0,816000000.0,816000000.0,816000000.0,816000000.0,804000000.0,804000000.0,804000000.0,804000000.0,800000000.0,800000000.0,800000000.0,800000000.0,822000000.0,822000000.0,822000000.0,822000000.0,933000000.0,933000000.0,933000000.0,933000000.0,,,,976000000.0,,,,1044000000.0,,,,1157000000.0,,,,1182000000.0,,,,1157000000.0,,,,1298000000.0,,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,358000000.0,37000000.0,122000000.0,122000000.0,122000000.0,122000000.0,72000000.0,115000000.0,115000000.0,115000000.0,37000000.0,167000000.0,167000000.0,167000000.0,122000000.0,-99000000.0,-99000000.0,-99000000.0,-99000000.0,-238000000.0,-238000000.0,-238000000.0,-238000000.0,-318000000.0,-318000000.0,-318000000.0,-318000000.0,-210000000.0,-210000000.0,-210000000.0,-210000000.0,-336000000.0,-336000000.0,-336000000.0,-336000000.0,-375000000.0,-375000000.0,-375000000.0,-375000000.0,-413000000.0,-413000000.0,-413000000.0,-413000000.0,-371000000.0,-371000000.0,-371000000.0,-371000000.0,-226000000.0,-226000000.0,-226000000.0,-226000000.0,-269000000.0,-269000000.0,-269000000.0,-269000000.0,-435000000.0,-435000000.0,-435000000.0
AdditionalPaidInCapitalCommonStock / USD,,0.0,1663000000.0,1663000000.0,1663000000.0,1663000000.0,1663000000.0,1706000000.0,1706000000.0,1706000000.0,1706000000.0,1753000000.0,1753000000.0,1753000000.0,1753000000.0,1796000000.0,1796000000.0,1796000000.0,1796000000.0,1834000000.0,1834000000.0,1834000000.0,1834000000.0,1876000000.0,1876000000.0,1876000000.0,1876000000.0,1912000000.0,1912000000.0,1912000000.0,1912000000.0,1950000000.0,1950000000.0,1950000000.0,1950000000.0,1991000000.0,1991000000.0,1991000000.0,1991000000.0,2037000000.0,2037000000.0,2037000000.0,2037000000.0,2089000000.0,2089000000.0,2089000000.0,2089000000.0,2134000000.0,2134000000.0,2134000000.0,2134000000.0,8564000000.0,8564000000.0,8564000000.0,8564000000.0,8687000000.0,8687000000.0,8687000000.0
AdjustmentForAmortization / USD,,,,,,,,11000000.0,23000000.0,35000000.0,44000000.0,12000000.0,25000000.0,38000000.0,48000000.0,13000000.0,25000000.0,37000000.0,51000000.0,11000000.0,22000000.0,33000000.0,47000000.0,12000000.0,24000000.0,36000000.0,45000000.0,31000000.0,61000000.0,91000000.0,64000000.0,38000000.0,74000000.0,108000000.0,125000000.0,35000000.0,69000000.0,104000000.0,144000000.0,35000000.0,68000000.0,101000000.0,140000000.0,32000000.0,65000000.0,96000000.0,134000000.0,30000000.0,62000000.0,93000000.0,127000000.0,32000000.0,83000000.0,167000000.0,125000000.0,73000000.0,156000000.0,229000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,3000000.0,,,,,3000000.0,,,,3000000.0,,,,43000000.0,,,,47000000.0,,,,43000000.0,,,,38000000.0,,,2000000.0,42000000.0,5000000.0,5000000.0,5000000.0,31000000.0,-2000000.0,-2000000.0,-2000000.0,29000000.0,3000000.0,3000000.0,3000000.0,26000000.0,5000000.0,5000000.0,5000000.0,35000000.0,4000000.0,4000000.0,4000000.0,44000000.0,10000000.0,10000000.0,10000000.0,39000000.0,39000000.0,39000000.0,39000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,7000000.0,5000000.0,,,13000000.0,,,,22000000.0,,,,27000000.0,,,,18000000.0,,,,15000000.0,,,,18000000.0,,,,21000000.0,,,,30000000.0,,,,29000000.0,,,,26000000.0,,,,33000000.0,,,,37000000.0,,,
