fact_unit,2015-10-29,2016-02-11,2016-05-03,2016-08-04,2016-11-03,2017-02-03,2017-05-02,2017-07-25,2017-10-27,2018-02-06,2018-04-24,2018-07-24,2018-10-26,2019-02-05,2019-04-30,2019-07-26,2019-10-29,2020-02-04,2020-04-29,2020-07-31,2020-10-30,2021-02-03,2021-04-28,2021-07-28,2021-10-27,2022-02-02,2022-04-27,2022-07-27,2022-10-26,2023-02-03,2023-04-26,2023-07-26,2023-10-25,2024-01-31,2024-04-26,2024-07-24,2024-10-30,2025-02-05,2025-04-25,2025-07-24,2025-10-30
AccountsPayableCurrent / USD,1715000000.0,1715000000.0,1715000000.0,1931000000.0,1931000000.0,1931000000.0,2041000000.0,2041000000.0,2041000000.0,2041000000.0,3137000000.0,3137000000.0,3137000000.0,3137000000.0,4378000000.0,4378000000.0,4378000000.0,4378000000.0,5561000000.0,5561000000.0,5561000000.0,5561000000.0,5589000000.0,5589000000.0,5589000000.0,5589000000.0,6037000000.0,6037000000.0,6037000000.0,6037000000.0,5128000000.0,5128000000.0,5128000000.0,5128000000.0,7493000000.0,7493000000.0,7493000000.0,7493000000.0,7987000000.0,7987000000.0,7987000000.0
AccountsReceivableNetCurrent / USD,9383000000.0,9383000000.0,9383000000.0,11556000000.0,11556000000.0,11556000000.0,14137000000.0,14137000000.0,14137000000.0,14137000000.0,18336000000.0,18336000000.0,18336000000.0,18336000000.0,20838000000.0,20838000000.0,20838000000.0,20838000000.0,25326000000.0,25326000000.0,25326000000.0,25326000000.0,30930000000.0,30930000000.0,30930000000.0,30930000000.0,39304000000.0,39304000000.0,39304000000.0,39304000000.0,40258000000.0,40258000000.0,40258000000.0,40258000000.0,47964000000.0,47964000000.0,47964000000.0,47964000000.0,52340000000.0,52340000000.0,52340000000.0
AccruedIncomeTaxesCurrent / USD,96000000.0,96000000.0,96000000.0,302000000.0,302000000.0,302000000.0,554000000.0,554000000.0,554000000.0,554000000.0,881000000.0,881000000.0,881000000.0,881000000.0,69000000.0,69000000.0,69000000.0,69000000.0,274000000.0,274000000.0,274000000.0,274000000.0,1485000000.0,1485000000.0,1485000000.0,1485000000.0,808000000.0,808000000.0,808000000.0,,1632000000.0,1632000000.0,1632000000.0,1632000000.0,2748000000.0,2748000000.0,2748000000.0,2748000000.0,2905000000.0,2905000000.0,2905000000.0
AccruedIncomeTaxesNoncurrent / USD,,,,,,,,,,,12812000000.0,12812000000.0,12812000000.0,12812000000.0,11327000000.0,11327000000.0,11327000000.0,11327000000.0,9885000000.0,9885000000.0,9885000000.0,9885000000.0,8849000000.0,8849000000.0,8849000000.0,8849000000.0,9176000000.0,9176000000.0,9176000000.0,9176000000.0,9258000000.0,9258000000.0,9258000000.0,9258000000.0,8474000000.0,8474000000.0,8474000000.0,8474000000.0,8782000000.0,8782000000.0,8782000000.0
AccruedLiabilitiesCurrent / USD,4434000000.0,4408000000.0,4408000000.0,4768000000.0,4768000000.0,4768000000.0,6144000000.0,6144000000.0,6144000000.0,6144000000.0,10177000000.0,10177000000.0,10177000000.0,10177000000.0,16958000000.0,16958000000.0,16958000000.0,16958000000.0,23067000000.0,23067000000.0,23067000000.0,23067000000.0,28631000000.0,28631000000.0,28631000000.0,28631000000.0,31236000000.0,31236000000.0,31236000000.0,32044000000.0,37866000000.0,37866000000.0,37866000000.0,37866000000.0,46168000000.0,46168000000.0,46168000000.0,46168000000.0,51228000000.0,51228000000.0,51228000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,8863000000.0,8863000000.0,8863000000.0,11130000000.0,11130000000.0,11130000000.0,13293000000.0,13293000000.0,13293000000.0,13293000000.0,17264000000.0,17264000000.0,17264000000.0,17264000000.0,22788000000.0,22788000000.0,22788000000.0,22788000000.0,,,,30561000000.0,,,,41713000000.0,,,,49414000000.0,,,,59042000000.0,67458000000.0,67458000000.0,,67458000000.0,79390000000.0,,
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,125000000.0,27000000.0,27000000.0,-1874000000.0,-1874000000.0,-1874000000.0,-2402000000.0,-2402000000.0,-2402000000.0,-2402000000.0,-992000000.0,-992000000.0,-992000000.0,-992000000.0,-2306000000.0,-2306000000.0,-2306000000.0,-2306000000.0,-1232000000.0,-1232000000.0,-1232000000.0,-1232000000.0,633000000.0,633000000.0,633000000.0,633000000.0,-1623000000.0,-1623000000.0,-1623000000.0,-1623000000.0,-7603000000.0,-7603000000.0,-7603000000.0,-7603000000.0,-4402000000.0,-4402000000.0,-4402000000.0,-4402000000.0,-4800000000.0,-4800000000.0,-4800000000.0
AdjustmentsToAdditionalPaidInCapitalDividendsInExcessOfRetainedEarnings / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5055000000.0,7536000000.0,2483000000.0,2543000000.0,5055000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,3343000000.0,3343000000.0,,,4279000000.0,,,,5151000000.0,,,,6700000000.0,2457000000.0,4870000000.0,7100000000.0,7694000000.0,2788000000.0,5570000000.0,8215000000.0,9353000000.0,3222000000.0,6635000000.0,9865000000.0,10890000000.0,3788000000.0,7632000000.0,11546000000.0,13123000000.0,4547000000.0,9370000000.0,14388000000.0,15539000000.0,5313000000.0,11128000000.0,16905000000.0,19525000000.0,5293000000.0,11201000000.0,17104000000.0
AllocatedShareBasedCompensationExpense / USD,3092000000.0,3343000000.0,3343000000.0,2335000000.0,3767000000.0,4279000000.0,1500000000.0,3010000000.0,4912000000.0,5300000000.0,2100000000.0,4100000000.0,6000000000.0,6900000000.0,2500000000.0,5000000000.0,7300000000.0,7900000000.0,2900000000.0,5800000000.0,8600000000.0,10000000000.0,3400000000.0,6800000000.0,10100000000.0,11700000000.0,3800000000.0,7800000000.0,11700000000.0,13400000000.0,4500000000.0,9400000000.0,14400000000.0,15700000000.0,5300000000.0,10700000000.0,16500000000.0,19500000000.0,5300000000.0,11200000000.0,17000000000.0
