fact_unit,2011-08-09,2011-11-08,2012-02-28,2012-05-09,2012-08-08,2012-11-08,2013-02-28,2013-05-08,2013-08-08,2013-11-07,2014-02-28,2014-05-07,2014-08-07,2014-11-05,2015-02-26,2015-04-30,2015-08-12,2015-11-06,2016-02-29,2016-04-29,2016-08-04,2016-09-06,2016-11-04,2017-02-28,2017-05-09,2017-08-04,2017-11-03,2018-02-22,2018-05-04,2018-08-02,2018-11-02,2019-02-26,2019-05-03,2019-08-06,2019-11-06,2020-02-26,2020-05-08,2020-08-07,2020-11-05,2021-02-24,2021-05-07,2021-08-06,2021-11-05,2022-02-24,2022-05-06,2022-08-05,2022-11-04,2023-02-24,2023-05-05,2023-08-09,2023-11-03,2024-02-23,2024-05-10,2024-08-09,2024-11-08,2025-02-21,2025-05-09,2025-08-07,2025-11-06
AccountsPayableCurrent / USD,4895000.0,4895000.0,4895000.0,11418000.0,11418000.0,11418000.0,4895000.0,9361000.0,9361000.0,9361000.0,9361000.0,19359000.0,19359000.0,19359000.0,19359000.0,14659000.0,14659000.0,14659000.0,14659000.0,15213000.0,15213000.0,12580000.0,15213000.0,15213000.0,13160000.0,13160000.0,13160000.0,13160000.0,24413000.0,24413000.0,24413000.0,24413000.0,25500000.0,25500000.0,25500000.0,25500000.0,54500000.0,54500000.0,54500000.0,54500000.0,54100000.0,54100000.0,54100000.0,54100000.0,37700000.0,37700000.0,37700000.0,37700000.0,30800000.0,30800000.0,30800000.0,30800000.0,19200000.0,19200000.0,19200000.0,19200000.0,19800000.0,19800000.0,19800000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,,,,,,,,,,,,,,,,,-13000.0,-13000.0,-654000.0,-654000.0,-13000.0,-654000.0,-654000.0,-726000.0,-726000.0,-726000.0,-726000.0,-493000.0,-493000.0,-493000.0,-493000.0,-2905000.0,-2905000.0,-2905000.0,-2900000.0,-1200000.0,-1200000.0,-1200000.0,-1200000.0,5500000.0,5500000.0,5500000.0,5500000.0,-2200000.0,-2200000.0,-2200000.0,-2200000.0,20000000.0,20000000.0,20000000.0,20000000.0,8000000.0,8000000.0,8000000.0,8000000.0,-13200000.0,-13200000.0,-13200000.0
AdditionalPaidInCapital / USD,,,450039000.0,512371000.0,512371000.0,512371000.0,450039000.0,525679000.0,525679000.0,525679000.0,525679000.0,651067000.0,651067000.0,651067000.0,651067000.0,661798000.0,661798000.0,661811000.0,661811000.0,686193000.0,686193000.0,661811000.0,686193000.0,686193000.0,744243000.0,744243000.0,744243000.0,744243000.0,866206000.0,866206000.0,866206000.0,866206000.0,898559000.0,898559000.0,898559000.0,898500000.0,749000000.0,749000000.0,749000000.0,749000000.0,1264300000.0,1264300000.0,1264300000.0,1264300000.0,1207900000.0,1207900000.0,1207900000.0,1207900000.0,1040600000.0,1040600000.0,1040600000.0,1040600000.0,1102600000.0,1102600000.0,1102600000.0,1102600000.0,1184400000.0,1184400000.0,1184400000.0
AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12000.0,-3212000.0,-3217000.0,,,,,,,-737700000.0,-779400000.0,,,-737700000.0,-779400000.0,-808500000.0,,,,-808500000.0,,,,,0.0,,
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,4161000.0,,,,4161000.0,,,,7683000.0,,,,9862000.0,,,,12616000.0,,,12616000.0,,22432000.0,,,,19178000.0,,,,23638000.0,8181000.0,15117000.0,31205000.0,31900000.0,5800000.0,14100000.0,20700000.0,37500000.0,7900000.0,13700000.0,20300000.0,28700000.0,8600000.0,17600000.0,25800000.0,35900000.0,9500000.0,20700000.0,29700000.0,34400000.0,12100000.0,25200000.0,35700000.0,40900000.0,14200000.0,31200000.0,49300000.0
AdvertisingExpense / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8600000.0,10500000.0,2700000.0,5600000.0,15600000.0,11200000.0,,,,30000000.0,,,,44100000.0,,,41200000.0,41200000.0,9500000.0,,60200000.0
AllocatedShareBasedCompensationExpense / USD,,,4200000.0,,,5600000.0,4200000.0,2600000.0,5100000.0,7500000.0,7700000.0,3000000.0,6800000.0,9800000.0,9900000.0,4400000.0,8600000.0,18200000.0,12700000.0,5300000.0,9600000.0,12400000.0,13800000.0,22000000.0,5271000.0,10785000.0,16873000.0,18700000.0,7124000.0,14655000.0,23552000.0,23777000.0,8181000.0,15117000.0,31205000.0,,5800000.0,14100000.0,20700000.0,,7900000.0,13700000.0,20300000.0,28700000.0,8600000.0,17600000.0,25800000.0,35900000.0,9500000.0,20700000.0,29700000.0,34400000.0,12100000.0,25200000.0,35700000.0,40900000.0,14200000.0,31200000.0,49300000.0
AllowanceForDoubtfulAccountsReceivable / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000.0,2500000.0,2500000.0,,2500000.0,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,5432000.0,7021000.0,7021000.0,7021000.0,5432000.0,6627000.0,6627000.0,6627000.0,6627000.0,7133000.0,7133000.0,7133000.0,7133000.0,5837000.0,5837000.0,5837000.0,5837000.0,4138000.0,4138000.0,4878000.0,4138000.0,4138000.0,2911000.0,2911000.0,2911000.0,2911000.0,2541000.0,2541000.0,2541000.0,2541000.0,3610000.0,3610000.0,3610000.0,,3800000.0,3800000.0,3800000.0,3800000.0,2900000.0,2900000.0,2900000.0,2900000.0,2700000.0,2700000.0,2700000.0,4900000.0,2500000.0,,,2900000.0,,,,2700000.0,,1400000.0,1400000.0
AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000.0,,
