fact_unit,2009-08-05,2009-11-04,2010-02-19,2010-04-30,2010-05-03,2010-07-30,2010-11-05,2010-11-08,2011-03-01,2011-05-06,2011-08-05,2011-11-07,2012-02-22,2012-04-27,2012-07-27,2012-10-26,2013-02-19,2013-04-26,2013-07-26,2013-10-25,2014-02-18,2014-04-29,2014-08-11,2014-09-04,2014-10-24,2015-02-13,2015-04-24,2015-07-27,2015-10-26,2016-02-12,2016-04-29,2016-07-29,2016-10-28,2017-02-14,2017-04-28,2017-07-28,2017-10-27,2018-02-09,2018-04-27,2018-07-27,2018-10-26,2019-02-08,2019-04-29,2019-07-26,2019-10-25,2020-02-24,2020-05-08,2020-08-07,2020-11-06,2020-11-09,2021-02-23,2021-05-07,2021-08-06,2021-11-05,2022-02-18,2022-05-06,2022-08-05,2022-11-04,2023-02-10,2023-05-09,2023-08-04,2023-11-03,2024-02-15,2024-05-02,2024-08-02,2024-10-31,2025-02-13,2025-05-01,2025-07-31,2025-10-30
Assets / USD,5771418000.0,5771418000.0,5771418000.0,5616245000.0,5771418000.0,5616245000.0,5616245000.0,5771418000.0,5616245000.0,5758021000.0,5758021000.0,5758021000.0,5758021000.0,17271910000.0,17271910000.0,17271910000.0,17271910000.0,18980000000.0,18980000000.0,18980000000.0,18980000000.0,19731494000.0,19731494000.0,18980000000.0,19731494000.0,19731494000.0,21226171000.0,21226171000.0,21165913000.0,21165913000.0,22261918000.0,22261918000.0,22261918000.0,22261918000.0,23166600000.0,23166600000.0,23166600000.0,23166600000.0,23954541000.0,23954541000.0,23954541000.0,23954541000.0,22584555000.0,22584555000.0,22584555000.0,22584555000.0,24692208000.0,24692208000.0,24692208000.0,24692208000.0,24692208000.0,23929404000.0,23929404000.0,23929404000.0,23929404000.0,24717786000.0,24717786000.0,24717786000.0,24717786000.0,24157840000.0,24157840000.0,24157840000.0,24157840000.0,24725433000.0,24725433000.0,24725433000.0,24725433000.0,26186906000.0,26186906000.0,26186906000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperation / USD,,,,,,,,,,,,,,,,,,,,,,,,,155340000.0,155340000.0,210463000.0,210463000.0,2574174000.0,2555322000.0,93060000.0,93060000.0,93060000.0,93060000.0,54961000.0,54961000.0,54961000.0,54961000.0,65413000.0,65413000.0,65413000.0,65413000.0,5454000.0,5454000.0,5454000.0,5454000.0,91433000.0,91433000.0,85527000.0,85527000.0,85527000.0,9608000.0,9608000.0,9608000.0,9608000.0,28399000.0,28399000.0,28399000.0,28399000.0,44893000.0,44893000.0,44893000.0,44893000.0,56489000.0,56489000.0,56489000.0,56489000.0,18625000.0,18625000.0,18625000.0
BelowMarketLeaseGross / USD,,,,,,,,,,,,,,,,,,,,,,,429199000.0,,429199000.0,429199000.0,425092000.0,425092000.0,229495000.0,229495000.0,256034000.0,256034000.0,256034000.0,256034000.0,345103000.0,345103000.0,345103000.0,345103000.0,359118000.0,359118000.0,359118000.0,359118000.0,356771000.0,356771000.0,356771000.0,356771000.0,349357000.0,349357000.0,349357000.0,349357000.0,349357000.0,339265000.0,339265000.0,339265000.0,339265000.0,334365000.0,334365000.0,334365000.0,334365000.0,333672000.0,333672000.0,333672000.0,333672000.0,306499000.0,306499000.0,306499000.0,306499000.0,269572000.0,269572000.0,
BusinessCombinationAcquisitionRelatedCosts / USD,,3128000.0,2979000.0,2054000.0,2979000.0,5556000.0,11450000.0,2979000.0,4460000.0,2319000.0,6526000.0,11668000.0,13015000.0,6449000.0,62256000.0,131606000.0,19243000.0,7981000.0,44649000.0,49566000.0,153923000.0,4262000.0,10929000.0,153923000.0,17137000.0,63183000.0,10760000.0,20359000.0,35944000.0,21634000.0,30613000.0,42878000.0,105023000.0,43304000.0,1632000.0,8856000.0,25073000.0,102944000.0,2056000.0,8099000.0,8903000.0,24635000.0,17336000.0,21830000.0,26288000.0,10535000.0,2180000.0,6780000.0,11084000.0,11084000.0,30547000.0,8218000.0,14804000.0,26129000.0,15235000.0,4617000.0,5338000.0,28000000.0,29812000.0,19992000.0,33070000.0,37852000.0,47318000.0,1386000.0,4455000.0,11580000.0,30884000.0,4677000.0,7563000.0,16143000.0
CashAndCashEquivalentsAtCarryingValue / USD,28334000.0,28334000.0,1246000.0,176812000.0,1246000.0,176812000.0,176812000.0,1246000.0,28334000.0,107397000.0,107397000.0,107397000.0,176812000.0,21812000.0,21812000.0,21812000.0,107397000.0,45807000.0,45807000.0,45807000.0,21812000.0,57690000.0,62421000.0,21812000.0,54672000.0,45807000.0,94816000.0,94816000.0,94816000.0,67908000.0,55348000.0,55348000.0,55348000.0,94816000.0,53023000.0,53023000.0,53023000.0,55348000.0,81355000.0,81355000.0,81355000.0,81355000.0,72277000.0,72277000.0,72277000.0,72277000.0,106363000.0,106363000.0,106363000.0,106363000.0,106363000.0,413327000.0,413327000.0,413327000.0,413327000.0,149725000.0,149725000.0,149725000.0,149725000.0,122564000.0,122564000.0,122564000.0,122564000.0,508794000.0,508794000.0,508794000.0,508794000.0,897850000.0,897850000.0,897850000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367354000.0,367354000.0,367354000.0,130919000.0,188253000.0,188253000.0,188253000.0,367354000.0,131464000.0,131464000.0,131464000.0,131464000.0,188253000.0,146102000.0,146102000.0,146102000.0,131464000.0,451640000.0,451640000.0,451640000.0,146102000.0,196597000.0,196597000.0,196597000.0,451640000.0,170745000.0,170745000.0,170745000.0,196597000.0,563462000.0,563462000.0,563462000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39253000.0,-179682000.0,8533000.0,6624000.0,76736000.0,76736000.0,-55974000.0,2742933000.0,884863000.0,483339000.0,13158000.0,-242086000.0,-178322000.0,-255640000.0,304450000.0,2609000.0,-19574000.0,2633000.0,-256490000.0,24430000.0,38952000.0,321107000.0,-22983000.0,126685000.0,55506000.0,604128000.0
CommercialPaper / USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,567450000.0,567450000.0,567450000.0,567450000.0,567450000.0,0.0,0.0,0.0,0.0,280000000.0,280000000.0,280000000.0,280000000.0,403000000.0,403000000.0,403000000.0,403000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CommonStockDividendsPerShareCashPaid / USD/shares,2.05,2.05,1.9,2.05,1.9,2.05,2.05,1.9,2.05,2.14,2.14,2.14,2.05,2.3,2.3,2.3,2.14,2.48,2.48,2.48,2.3,2.735,2.735,2.3,2.735,2.48,2.965,2.965,2.965,2.735,3.04,3.04,3.04,2.965,2.965,2.965,2.965,,3.115,3.115,3.115,,0.79,1.58,2.37,,0.7925,1.585,2.3775,2.3775,,0.7925,1.2425,1.6925,,0.45,0.9,1.35,,0.45,0.9,1.35,,0.45,0.9,1.35,,0.45,0.9,1.35
CommonStockDividendsPerShareDeclared / USD/shares,1.025,1.5375,,0.5125,,1.025,1.5375,,2.05,0.535,1.07,1.605,2.05,0.575,1.2764,1.725,0.575,0.62,1.24,1.86,0.62,0.67,1.34,0.62,2.01,0.67,0.725,1.45,2.175,0.725,0.79,1.58,2.31,0.79,0.73,1.46,2.19,3.04,0.775,1.55,2.325,2.965,0.79,1.58,2.37,3.115,,,,,3.1625,,,,3.17,,,,2.1425,,,,1.8,,,,1.8,,,
