fact_unit,2021-05-07,2021-08-05,2021-11-05,2022-02-22,2022-05-05,2022-08-04,2022-11-03,2023-02-23,2023-05-04,2023-08-03,2023-11-02,2024-02-22,2024-05-02,2024-08-02,2024-11-07,2025-02-28,2025-05-08,2025-08-07,2025-11-06
AccountsPayableCurrent / USD,444000000.0,444000000.0,444000000.0,444000000.0,731000000.0,731000000.0,731000000.0,731000000.0,771000000.0,771000000.0,771000000.0,771000000.0,658000000.0,658000000.0,658000000.0,658000000.0,1224000000.0,1224000000.0,1224000000.0
AccountsReceivableNetCurrent / USD,,,,,,,,,,1466000000.0,1466000000.0,1466000000.0,1610000000.0,1610000000.0,1610000000.0,1610000000.0,1959000000.0,1959000000.0,1959000000.0
AccrualForEnvironmentalLossContingenciesGross / USD,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,1000000.0,1000000.0,1000000.0,5000000.0,5000000.0,5000000.0,1000000.0,2000000.0,2000000.0,,,
AccrualForEnvironmentalLossContingenciesPayments1 / USD,,,,,,,,,,,,,4000000.0,4000000.0,4000000.0,,,,
AccruedIncomeTaxesCurrent / USD,25000000.0,25000000.0,25000000.0,25000000.0,28000000.0,28000000.0,28000000.0,28000000.0,90000000.0,90000000.0,90000000.0,90000000.0,138000000.0,138000000.0,138000000.0,138000000.0,221000000.0,221000000.0,221000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,14000000.0,14000000.0,14000000.0,16000000.0,22000000.0,22000000.0,22000000.0,14000000.0,14000000.0,14000000.0,14000000.0,14000000.0,15000000.0,15000000.0,15000000.0,15000000.0,12000000.0,12000000.0,12000000.0
AdditionalPaidInCapital / USD,11735000000.0,11735000000.0,11735000000.0,11735000000.0,11645000000.0,11645000000.0,11645000000.0,11645000000.0,11420000000.0,11420000000.0,11420000000.0,11420000000.0,11126000000.0,11126000000.0,11126000000.0,11126000000.0,13153000000.0,13153000000.0,13153000000.0
AdjustmentsToAdditionalPaidInCapitalDividendsInExcessOfRetainedEarnings / USD,,,,,,,,,,,,,,,232000000.0,245000000.0,75000000.0,168000000.0,260000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,,,61000000.0,,,,23000000.0,,,,21000000.0,,,,26000000.0,,,
AllocatedShareBasedCompensationExpense / USD,,,,110000000.0,,,,40000000.0,,,,157000000.0,,,,304000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,,,92000000.0,109000000.0,109000000.0,109000000.0,88000000.0,117000000.0,117000000.0,117000000.0,95000000.0,114000000.0,114000000.0,114000000.0,109000000.0,123000000.0,123000000.0,123000000.0
AmortizationOfFinancingCosts / USD,2000000.0,4000000.0,6000000.0,7000000.0,2000000.0,5000000.0,6000000.0,8000000.0,2000000.0,7000000.0,8000000.0,8000000.0,1000000.0,2000000.0,3000000.0,8000000.0,1000000.0,3000000.0,4000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,5500000.0,5400000.0,5100000.0,5000000.0,4000000.0,3700000.0,3400000.0,4500000.0,2900000.0,2700000.0,2500000.0,3300000.0,2400000.0,2200000.0,2000000.0,2400000.0,2100000.0,2100000.0,2000000.0
AssetImpairmentCharges / USD,4472000000.0,4500000000.0,4492000000.0,2949000000.0,0.0,0.0,18000000.0,4501000000.0,0.0,0.0,0.0,208000000.0,,46000000.0,46000000.0,0.0,,,1111000000.0
AssetRetirementObligation / USD,1944000000.0,1944000000.0,1944000000.0,1858000000.0,2130000000.0,2130000000.0,2130000000.0,1944000000.0,1995000000.0,1995000000.0,1995000000.0,2130000000.0,2438000000.0,2438000000.0,2438000000.0,1995000000.0,2694000000.0,2694000000.0,2694000000.0
AssetRetirementObligationAccretionExpense / USD,27000000.0,54000000.0,81000000.0,107000000.0,28000000.0,56000000.0,85000000.0,109000000.0,29000000.0,58000000.0,87000000.0,113000000.0,28000000.0,57000000.0,86000000.0,117000000.0,40000000.0,76000000.0,112000000.0
AssetRetirementObligationCurrent / USD,56000000.0,56000000.0,56000000.0,56000000.0,41000000.0,41000000.0,41000000.0,41000000.0,55000000.0,55000000.0,55000000.0,55000000.0,76000000.0,76000000.0,76000000.0,76000000.0,103000000.0,103000000.0,103000000.0
AssetRetirementObligationLiabilitiesIncurred / USD,1000000.0,3000000.0,3000000.0,10000000.0,,2000000.0,4000000.0,3000000.0,5000000.0,8000000.0,14000000.0,4000000.0,1000000.0,4000000.0,11000000.0,14000000.0,5000000.0,8000000.0,18000000.0
AssetRetirementObligationLiabilitiesSettled / USD,3000000.0,10000000.0,20000000.0,30000000.0,7000000.0,16000000.0,34000000.0,32000000.0,10000000.0,21000000.0,34000000.0,39000000.0,9000000.0,21000000.0,47000000.0,43000000.0,27000000.0,49000000.0,73000000.0
AssetRetirementObligationRevisionOfEstimate / USD,,,,23000000.0,,,,146000000.0,,,,-148000000.0,1000000.0,1000000.0,195000000.0,356000000.0,2000000.0,2000000.0,2000000.0
AssetRetirementObligationsNoncurrent / USD,1888000000.0,1888000000.0,1888000000.0,1888000000.0,2089000000.0,2089000000.0,2089000000.0,2089000000.0,1940000000.0,1940000000.0,1940000000.0,1940000000.0,2362000000.0,2362000000.0,2362000000.0,2362000000.0,2591000000.0,2591000000.0,2591000000.0
Assets / USD,13391000000.0,12999000000.0,12875000000.0,18107000000.0,13127000000.0,13512000000.0,13310000000.0,12746000000.0,12476000000.0,12924000000.0,13629000000.0,13303000000.0,13213000000.0,13244000000.0,13545000000.0,13147000000.0,14952000000.0,20195000000.0,19376000000.0
AssetsCurrent / USD,1846000000.0,1846000000.0,1846000000.0,1846000000.0,2380000000.0,2380000000.0,2380000000.0,2380000000.0,2708000000.0,2708000000.0,2708000000.0,2708000000.0,2462000000.0,2462000000.0,2462000000.0,2462000000.0,3404000000.0,3404000000.0,3404000000.0
AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent / USD,,,,,,,,,,,,,,,0.0,,,,
BusinessAcquisitionProFormaEarningsPerShareBasic / USD/shares,,,,,,,,,,,,,,2.08,4.04,10.66,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted / USD/shares,,,,,,,,,,,,,,2.08,4.04,10.63,,,
BusinessAcquisitionsProFormaNetIncomeLoss / USD,,,,,,,,,,,,,,790000000.0,1527000000.0,4021000000.0,,,
BusinessAcquisitionsProFormaRevenue / USD,,,,,,,,,,,,,,4883000000.0,7810000000.0,10578000000.0,,,
CapitalizedCostsAccumulatedDepreciationDepletionAmortizationAndValuationAllowanceForRelatingToOilAndGasProducingActivities / USD,,,,33623000000.0,,,,32926000000.0,,,,33632000000.0,,,,35114000000.0,,,
CapitalizedCostsOilAndGasProducingActivitiesGross / USD,,,,41819000000.0,,,,40749000000.0,,,,42356000000.0,,,,44860000000.0,,,
CapitalizedCostsOilAndGasProducingActivitiesNet / USD,,,,8196000000.0,,,,7823000000.0,,,,8724000000.0,,,,9746000000.0,,,
CapitalizedCostsProvedProperties / USD,,,,41217000000.0,,,,40059000000.0,,,,41597000000.0,,,,44007000000.0,,,
CapitalizedCostsUnprovedProperties / USD,,,,602000000.0,,,,690000000.0,,,,759000000.0,,,,853000000.0,,,
CapitalizedExploratoryWellCostAdditionsPendingDeterminationOfProvedReserves / USD,,,,286000000.0,,,,226000000.0,,,,174000000.0,,,,287000000.0,,,
CapitalizedExploratoryWellCostChargedToExpense1 / USD,,,,25000000.0,,,,76000000.0,,,,10000000.0,,,,24000000.0,,,
CapitalizedExploratoryWellCosts / USD,197000000.0,197000000.0,197000000.0,159000000.0,321000000.0,321000000.0,321000000.0,141000000.0,474000000.0,474000000.0,474000000.0,197000000.0,586000000.0,586000000.0,586000000.0,321000000.0,237000000.0,237000000.0,237000000.0
CapitalizedExploratoryWellCostsThatHaveBeenCapitalizedForPeriodGreaterThanOneYear / USD,,,,33000000.0,,,,13000000.0,5000000.0,,5000000.0,123000000.0,51000000.0,0.0,0.0,259000000.0,51000000.0,51000000.0,51000000.0
CapitalizedExploratoryWellCostsThatHaveBeenCapitalizedForPeriodOfOneYearOrLess / USD,,,,108000000.0,,,,184000000.0,,,,198000000.0,,,,215000000.0,,,
