fact_unit,2021-03-05,2021-05-14,2021-08-13,2021-11-10,2022-03-01,2022-05-06,2022-08-05,2022-11-04,2023-02-27,2023-05-05,2023-08-02,2023-11-01,2024-02-20,2024-05-01,2024-08-01,2024-10-30,2025-02-14,2025-05-07,2025-08-06,2025-11-06
AccountsPayableCurrent / USD,20000000.0,80000000.0,80000000.0,80000000.0,80000000.0,161000000.0,161000000.0,161000000.0,161000000.0,157000000.0,157000000.0,157000000.0,157000000.0,216000000.0,216000000.0,216000000.0,216000000.0,321000000.0,321000000.0,321000000.0
AccountsReceivableNetCurrent / USD,58000000.0,291000000.0,291000000.0,291000000.0,291000000.0,349000000.0,349000000.0,349000000.0,349000000.0,400000000.0,400000000.0,400000000.0,400000000.0,533000000.0,533000000.0,533000000.0,533000000.0,732000000.0,732000000.0,732000000.0
AccruedAdvertisingCurrent / USD,24000000.0,62000000.0,62000000.0,62000000.0,62000000.0,102000000.0,102000000.0,102000000.0,102000000.0,124000000.0,124000000.0,124000000.0,124000000.0,112000000.0,112000000.0,112000000.0,112000000.0,142000000.0,142000000.0,142000000.0
AccruedLiabilitiesCurrent / USD,345000000.0,943000000.0,943000000.0,943000000.0,943000000.0,1573000000.0,1573000000.0,1573000000.0,1573000000.0,2332000000.0,2332000000.0,2332000000.0,2332000000.0,3126000000.0,3126000000.0,3126000000.0,3126000000.0,4049000000.0,4049000000.0,4049000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,,,,0.0,-4000000.0,-4000000.0,-4000000.0,-4000000.0,-33000000.0,-33000000.0,-33000000.0,-33000000.0,73000000.0,73000000.0,73000000.0,73000000.0,-107000000.0,-107000000.0,-107000000.0
AdditionalPaidInCapital / USD,70000000.0,6313000000.0,6313000000.0,6313000000.0,6313000000.0,6752000000.0,6752000000.0,6752000000.0,6752000000.0,10633000000.0,10633000000.0,10633000000.0,10633000000.0,11887000000.0,11887000000.0,11887000000.0,11887000000.0,13165000000.0,13165000000.0,13165000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,25000000.0,5000000.0,5000000.0,5000000.0,18000000.0,118000000.0,118000000.0,118000000.0,330000000.0,157000000.0,157000000.0,157000000.0,579000000.0,265000000.0,265000000.0,265000000.0,1021000000.0,289000000.0,289000000.0,289000000.0
AdjustmentsToAdditionalPaidInCapitalWarrantIssued / USD,,,,,,,,,,,,,,,,,,,341000000.0,341000000.0
AdvertisingExpense / USD,81000000.0,,,,446000000.0,,,,698000000.0,,,,1200000000.0,,,,1100000000.0,,,
AllocatedShareBasedCompensationExpense / USD,24000000.0,5000000.0,8000000.0,11000000.0,18000000.0,97000000.0,235000000.0,357000000.0,322000000.0,129000000.0,360000000.0,609000000.0,486000000.0,230000000.0,541000000.0,819000000.0,889000000.0,252000000.0,554000000.0,828000000.0
AllowanceForDoubtfulAccountsReceivable / USD,2000000.0,28000000.0,13000000.0,13000000.0,0.0,13000000.0,13000000.0,13000000.0,2000000.0,39000000.0,39000000.0,39000000.0,13000000.0,20000000.0,20000000.0,20000000.0,39000000.0,17000000.0,17000000.0,17000000.0
AmortizationOfIntangibleAssets / USD,0.0,13000000.0,29000000.0,44000000.0,7000000.0,4000000.0,7000000.0,10000000.0,51000000.0,3000000.0,22000000.0,67000000.0,13000000.0,33000000.0,67000000.0,97000000.0,99000000.0,31000000.0,62000000.0,94000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,236883000.0,292974000.0,304419000.0,299628000.0,283124000.0,55303000.0,52206000.0,49531000.0,64763000.0,43847000.0,60021000.0,60990000.0,46633000.0,56944000.0,58971000.0,53505000.0,63205000.0,42161000.0,42087000.0,38186000.0
Assets / USD,1732000000.0,6353000000.0,6353000000.0,6353000000.0,6353000000.0,6809000000.0,6809000000.0,6809000000.0,6809000000.0,9789000000.0,9789000000.0,9789000000.0,9789000000.0,10839000000.0,10839000000.0,10839000000.0,10839000000.0,12845000000.0,12845000000.0,12845000000.0
AssetsCurrent / USD,998000000.0,5517000000.0,5517000000.0,5517000000.0,5517000000.0,4565000000.0,4565000000.0,4565000000.0,4565000000.0,4720000000.0,4720000000.0,4720000000.0,4720000000.0,5597000000.0,5597000000.0,5597000000.0,5597000000.0,7386000000.0,7386000000.0,7386000000.0
