fact_unit,2009-08-10,2009-11-05,2010-02-26,2010-05-07,2010-08-17,2010-09-02,2010-11-09,2011-02-28,2011-05-06,2011-08-05,2011-11-04,2012-02-28,2012-05-08,2012-08-08,2012-11-08,2013-02-27,2013-05-09,2013-05-10,2013-08-08,2013-11-07,2014-02-27,2014-05-08,2014-08-04,2014-11-04,2015-02-26,2015-05-04,2015-07-31,2015-10-29,2016-02-24,2016-05-02,2016-08-01,2016-10-28,2017-02-24,2017-04-28,2017-07-28,2017-10-27,2018-02-22,2018-04-27,2018-05-09,2018-07-27,2018-10-26,2019-02-21,2019-04-26,2019-08-02,2019-10-30,2020-02-20,2020-05-01,2020-07-31,2020-10-30,2021-02-17,2021-04-27,2021-07-22,2021-10-21,2022-02-16,2022-04-21,2022-07-21,2022-10-20,2023-02-13,2023-04-20,2023-07-20,2023-10-19,2024-02-12,2024-04-18,2024-07-18,2024-10-17,2025-02-10,2025-04-17,2025-07-17,2025-10-16
AccountsPayableAndAccruedLiabilitiesCurrent / USD,,,,,,,,,,,,,,,,,,,,1721000000.0,1721000000.0,1861000000.0,1861000000.0,1861000000.0,1861000000.0,1883000000.0,1883000000.0,1883000000.0,1883000000.0,1886000000.0,1886000000.0,1886000000.0,1886000000.0,1969000000.0,1969000000.0,1969000000.0,1969000000.0,2083000000.0,1969000000.0,2083000000.0,2083000000.0,2083000000.0,2234000000.0,2234000000.0,2234000000.0,2234000000.0,2746000000.0,2746000000.0,2746000000.0,2746000000.0,3050000000.0,3050000000.0,3050000000.0,3050000000.0,3165000000.0,3165000000.0,3165000000.0,3165000000.0,3278000000.0,3278000000.0,3278000000.0,3278000000.0,3403000000.0,3403000000.0,3403000000.0,3403000000.0,3402000000.0,3402000000.0,3402000000.0
AccountsReceivableGrossCurrent / USD,2418000000.0,2418000000.0,2418000000.0,2429000000.0,2298000000.0,2261000000.0,2298000000.0,2298000000.0,2544000000.0,2544000000.0,2544000000.0,2544000000.0,3011000000.0,3011000000.0,3011000000.0,2676000000.0,3164000000.0,2676000000.0,3164000000.0,3164000000.0,3164000000.0,3408000000.0,3408000000.0,3408000000.0,3408000000.0,3472000000.0,3472000000.0,3472000000.0,3472000000.0,3558000000.0,3558000000.0,3558000000.0,3558000000.0,3739000000.0,3739000000.0,3739000000.0,3739000000.0,4243000000.0,3739000000.0,4243000000.0,4243000000.0,4243000000.0,4429000000.0,4429000000.0,4429000000.0,4429000000.0,5376000000.0,5376000000.0,5376000000.0,5376000000.0,5468000000.0,5468000000.0,5468000000.0,5468000000.0,5752000000.0,5752000000.0,5752000000.0,5752000000.0,6012000000.0,6012000000.0,6012000000.0,6012000000.0,6569000000.0,6569000000.0,6569000000.0,6569000000.0,7323000000.0,7323000000.0,7323000000.0
AccruedIncomeTaxesCurrent / USD,66000000.0,66000000.0,66000000.0,,,66000000.0,,62000000.0,62000000.0,62000000.0,62000000.0,62000000.0,63000000.0,63000000.0,63000000.0,63000000.0,110000000.0,63000000.0,110000000.0,110000000.0,110000000.0,148000000.0,148000000.0,148000000.0,148000000.0,178000000.0,178000000.0,178000000.0,150000000.0,154000000.0,154000000.0,154000000.0,154000000.0,146000000.0,146000000.0,146000000.0,146000000.0,199000000.0,146000000.0,199000000.0,199000000.0,199000000.0,157000000.0,157000000.0,157000000.0,157000000.0,179000000.0,179000000.0,179000000.0,179000000.0,247000000.0,247000000.0,247000000.0,247000000.0,198000000.0,198000000.0,198000000.0,198000000.0,221000000.0,221000000.0,221000000.0,221000000.0,321000000.0,321000000.0,321000000.0,321000000.0,376000000.0,376000000.0,376000000.0
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,1301000000.0,1301000000.0,,1465000000.0,1332000000.0,,1332000000.0,1332000000.0,1411000000.0,1411000000.0,1411000000.0,1411000000.0,1469000000.0,1469000000.0,1469000000.0,1469000000.0,1582000000.0,1469000000.0,1582000000.0,1582000000.0,1582000000.0,1597000000.0,1597000000.0,1597000000.0,1597000000.0,1639000000.0,1639000000.0,1639000000.0,1639000000.0,1621000000.0,1621000000.0,1621000000.0,1621000000.0,1683000000.0,1683000000.0,1683000000.0,1683000000.0,1826000000.0,1683000000.0,1826000000.0,1826000000.0,1826000000.0,1842000000.0,1842000000.0,1842000000.0,1842000000.0,2001000000.0,2001000000.0,2001000000.0,2001000000.0,2159000000.0,2159000000.0,2159000000.0,2159000000.0,1589000000.0,1589000000.0,1589000000.0,1589000000.0,1531000000.0,1531000000.0,1531000000.0,1531000000.0,1562000000.0,1562000000.0,1562000000.0,1562000000.0,1538000000.0,1538000000.0,1538000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,-2098000000.0,-2098000000.0,-2098000000.0,-2171000000.0,-2171000000.0,-2098000000.0,-2171000000.0,-2171000000.0,-2300000000.0,-2300000000.0,-2300000000.0,-2300000000.0,-3188000000.0,-3188000000.0,-3188000000.0,-3188000000.0,-3307000000.0,-3188000000.0,-3307000000.0,-3307000000.0,-3307000000.0,-3307000000.0,-3307000000.0,-3307000000.0,-3307000000.0,-2621000000.0,-2621000000.0,-2621000000.0,-2621000000.0,-3847000000.0,-4220000000.0,-4220000000.0,-4220000000.0,-5093000000.0,-5093000000.0,-5093000000.0,-5093000000.0,-4043000000.0,-5093000000.0,-4043000000.0,-4043000000.0,-4043000000.0,-4647000000.0,-4647000000.0,-4647000000.0,-4647000000.0,-5055000000.0,-5055000000.0,-5055000000.0,-5055000000.0,-5110000000.0,-5110000000.0,-5110000000.0,-5110000000.0,-4575000000.0,-4575000000.0,-4575000000.0,-4575000000.0,-5314000000.0,-5314000000.0,-5314000000.0,-5314000000.0,-5295000000.0,-5295000000.0,-5295000000.0,-5295000000.0,-6240000000.0,-6240000000.0,-6240000000.0
AdditionalPaidInCapitalCommonStock / USD,1245000000.0,1245000000.0,1245000000.0,1211000000.0,1211000000.0,1245000000.0,1211000000.0,1211000000.0,1185000000.0,1185000000.0,1185000000.0,1185000000.0,1156000000.0,1156000000.0,1156000000.0,1156000000.0,1107000000.0,1156000000.0,1107000000.0,1107000000.0,1107000000.0,1028000000.0,1028000000.0,1028000000.0,1028000000.0,930000000.0,930000000.0,930000000.0,930000000.0,861000000.0,861000000.0,861000000.0,861000000.0,842000000.0,842000000.0,842000000.0,842000000.0,784000000.0,842000000.0,784000000.0,784000000.0,784000000.0,817000000.0,817000000.0,817000000.0,817000000.0,862000000.0,862000000.0,862000000.0,862000000.0,943000000.0,943000000.0,943000000.0,943000000.0,1112000000.0,1112000000.0,1112000000.0,1112000000.0,1179000000.0,1179000000.0,1179000000.0,1179000000.0,1242000000.0,1242000000.0,1242000000.0,1242000000.0,1370000000.0,1370000000.0,1370000000.0
AllocatedShareBasedCompensationExpense / USD,,,,,,,,,42000000.0,90000000.0,130000000.0,193000000.0,40000000.0,83000000.0,124000000.0,174000000.0,41000000.0,174000000.0,80000000.0,117000000.0,165000000.0,34000000.0,54000000.0,84000000.0,152000000.0,26000000.0,41000000.0,60000000.0,110000000.0,16000000.0,33000000.0,49000000.0,75000000.0,20000000.0,58000000.0,84000000.0,88000000.0,42000000.0,88000000.0,75000000.0,111000000.0,109000000.0,50000000.0,99000000.0,146000000.0,149000000.0,57000000.0,117000000.0,184000000.0,193000000.0,72000000.0,147000000.0,219000000.0,252000000.0,78000000.0,176000000.0,263000000.0,290000000.0,105000000.0,194000000.0,283000000.0,348000000.0,99000000.0,191000000.0,273000000.0,367000000.0,103000000.0,193000000.0,283000000.0
AllowanceForDoubtfulAccountsReceivableCurrent / USD,103000000.0,103000000.0,103000000.0,117000000.0,107000000.0,93000000.0,107000000.0,109000000.0,114000000.0,114000000.0,114000000.0,93000000.0,105000000.0,105000000.0,105000000.0,107000000.0,106000000.0,107000000.0,106000000.0,106000000.0,114000000.0,98000000.0,98000000.0,98000000.0,105000000.0,95000000.0,95000000.0,95000000.0,106000000.0,87000000.0,87000000.0,87000000.0,98000000.0,96000000.0,96000000.0,96000000.0,95000000.0,110000000.0,95000000.0,110000000.0,110000000.0,87000000.0,112000000.0,112000000.0,112000000.0,96000000.0,140000000.0,140000000.0,140000000.0,110000000.0,142000000.0,142000000.0,142000000.0,112000000.0,166000000.0,166000000.0,166000000.0,140000000.0,160000000.0,160000000.0,160000000.0,142000000.0,151000000.0,151000000.0,151000000.0,166000000.0,167000000.0,167000000.0,167000000.0
AmortizationOfIntangibleAssets / USD,36000000.0,53000000.0,76000000.0,16000000.0,32000000.0,76000000.0,48000000.0,72000000.0,17000000.0,36000000.0,52000000.0,58000000.0,16000000.0,32000000.0,50000000.0,66000000.0,17000000.0,66000000.0,34000000.0,53000000.0,65000000.0,18000000.0,35000000.0,53000000.0,72000000.0,22000000.0,42000000.0,64000000.0,72000000.0,24000000.0,48000000.0,79000000.0,86000000.0,33000000.0,67000000.0,99000000.0,109000000.0,40000000.0,109000000.0,80000000.0,122000000.0,130000000.0,45000000.0,88000000.0,135000000.0,169000000.0,51000000.0,151000000.0,235000000.0,183000000.0,86000000.0,174000000.0,265000000.0,314000000.0,100000000.0,189000000.0,278000000.0,351000000.0,91000000.0,174000000.0,258000000.0,365000000.0,85000000.0,172000000.0,257000000.0,338000000.0,90000000.0,179000000.0,269000000.0
Assets / USD,15206000000.0,15206000000.0,15206000000.0,15337000000.0,15337000000.0,15206000000.0,15337000000.0,15337000000.0,15310000000.0,15310000000.0,15310000000.0,15310000000.0,15454000000.0,15454000000.0,15454000000.0,15454000000.0,16288000000.0,15454000000.0,16288000000.0,16288000000.0,15454000000.0,16980000000.0,16980000000.0,16980000000.0,16288000000.0,17840000000.0,17840000000.0,17840000000.0,16960000000.0,18216000000.0,18216000000.0,18216000000.0,17793000000.0,18190000000.0,18190000000.0,18190000000.0,18216000000.0,20429000000.0,18216000000.0,20429000000.0,20429000000.0,18190000000.0,21578000000.0,21578000000.0,21578000000.0,20429000000.0,31357000000.0,31357000000.0,31357000000.0,21578000000.0,33049000000.0,33049000000.0,33049000000.0,31357000000.0,34388000000.0,34388000000.0,34388000000.0,33049000000.0,33454000000.0,44114000000.0,44114000000.0,44010000000.0,48030000000.0,48030000000.0,48030000000.0,48030000000.0,56481000000.0,56481000000.0,56481000000.0
AssetsCurrent / USD,4784000000.0,4784000000.0,4784000000.0,4931000000.0,4931000000.0,4784000000.0,4931000000.0,4931000000.0,5276000000.0,5276000000.0,5276000000.0,5276000000.0,5648000000.0,5648000000.0,5648000000.0,5648000000.0,5963000000.0,5648000000.0,5963000000.0,5963000000.0,5963000000.0,6300000000.0,6300000000.0,6300000000.0,6300000000.0,6055000000.0,6055000000.0,6055000000.0,5533000000.0,5044000000.0,5044000000.0,5044000000.0,5044000000.0,4884000000.0,4884000000.0,4884000000.0,4884000000.0,5562000000.0,4884000000.0,5562000000.0,5562000000.0,5562000000.0,5934000000.0,5934000000.0,5934000000.0,5934000000.0,7068000000.0,7068000000.0,7068000000.0,7068000000.0,8155000000.0,8155000000.0,8155000000.0,8155000000.0,8264000000.0,8264000000.0,8264000000.0,8264000000.0,8299000000.0,18959000000.0,18959000000.0,18959000000.0,21748000000.0,21748000000.0,21748000000.0,21748000000.0,22117000000.0,22117000000.0,22117000000.0
BusinessAcquisitionProFormaEarningsPerShareBasic / USD/shares,,,,,0.01,,0.41,0.49,0.46,0.89,1.2,0.49,0.59,0.52,0.24,1.59,0.59,1.59,1.25,1.7,1.84,0.76,1.48,1.94,2.2,0.81,1.6,2.15,2.5,0.91,1.72,2.34,2.69,0.92,,,3.02,,3.02,,,3.39,,,,2.92,,,,2.58,,,,3.71,,,,4.03,,,,6.27,,,,6.12,,,
BusinessAcquisitionProFormaEarningsPerShareDiluted / USD/shares,,,,,0.01,,0.41,0.49,0.46,0.89,1.19,0.49,0.58,0.51,0.24,1.57,0.58,1.57,1.24,1.67,1.81,0.75,1.45,1.91,2.16,0.8,1.58,2.12,2.46,0.9,1.7,2.32,2.66,0.91,,,2.99,,2.99,,,3.36,,,,2.89,,,,2.55,,,,3.67,,,,3.99,,,,6.2,,,,6.06,,,
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareBasic / USD/shares,,,,,0.63,,1.0,1.02,0.5,0.44,0.67,1.02,0.56,0.51,0.24,1.03,0.56,1.03,1.26,1.7,1.78,0.74,1.46,1.93,2.2,0.81,1.61,2.16,2.49,0.92,1.72,2.35,2.65,,1.82,2.54,3.02,1.11,3.02,2.08,2.85,3.39,1.37,1.23,1.59,,1.35,2.26,2.87,,1.5,2.64,3.27,,1.94,3.57,4.65,,2.15,4.05,5.13,,2.57,4.68,6.2,,2.82,5.14,6.63
BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareDiluted / USD/shares,,,,,0.63,,0.99,1.01,0.5,0.44,0.67,1.01,0.56,0.5,0.23,1.02,0.56,1.02,1.24,1.68,1.75,0.73,1.44,1.9,2.16,0.8,1.59,2.13,2.45,0.91,1.7,2.32,2.61,,1.81,2.52,2.99,1.09,2.99,2.06,2.82,3.36,1.35,1.22,1.57,,1.34,2.24,2.84,,1.48,2.61,3.24,,1.92,3.54,4.59,,2.13,4.0,5.07,,2.55,4.64,6.14,,2.8,5.1,6.58
BusinessAcquisitionsProFormaNetIncomeLoss / USD,,,,,,,,,,491000000.0,661000000.0,268000000.0,321000000.0,285000000.0,130000000.0,870000000.0,321000000.0,870000000.0,684000000.0,926000000.0,1001000000.0,417000000.0,812000000.0,1067000000.0,1195000000.0,445000000.0,879000000.0,1177000000.0,1373000000.0,492000000.0,922000000.0,1251000000.0,1469000000.0,481000000.0,950000000.0,1320000000.0,1606000000.0,569000000.0,1606000000.0,1072000000.0,1465000000.0,1759000000.0,694000000.0,626000000.0,804000000.0,1498000000.0,684000000.0,1146000000.0,1453000000.0,1302000000.0,755000000.0,1332000000.0,1655000000.0,1877000000.0,987000000.0,1817000000.0,2358000000.0,2042000000.0,1083000000.0,2032000000.0,2568000000.0,3177000000.0,1274000000.0,2317000000.0,3065000000.0,3058000000.0,1389000000.0,2531000000.0,3264000000.0
