fact_unit,2023-02-15,2023-04-25,2023-07-25,2023-10-31,2024-02-06,2024-04-30,2024-07-31,2024-10-30,2025-02-13,2025-04-30,2025-07-30,2025-10-29
AccountsAndOtherReceivablesNetCurrent / USD,,3295000000.0,,,,,,,,3566000000.0,3566000000.0,3566000000.0
AccountsPayableCurrent / USD,,2944000000.0,2944000000.0,2944000000.0,2944000000.0,2947000000.0,2947000000.0,2947000000.0,2947000000.0,3035000000.0,3035000000.0,3035000000.0
AccountsReceivableGrossCurrent / USD,,3112000000.0,,,,,,,,3382000000.0,3382000000.0,3382000000.0
AccountsReceivableGrossNoncurrent / USD,,80000000.0,80000000.0,80000000.0,80000000.0,55000000.0,55000000.0,55000000.0,55000000.0,59000000.0,59000000.0,59000000.0
AccruedEnvironmentalLossContingenciesCurrent / USD,,,,,11000000.0,,,,19000000.0,,,
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment / USD,,2988000000.0,2988000000.0,2988000000.0,2988000000.0,3064000000.0,3064000000.0,3064000000.0,3064000000.0,3080000000.0,3080000000.0,3080000000.0
AccumulatedOtherComprehensiveIncomeLossNetOfTax / USD,,-1878000000.0,-1878000000.0,-1878000000.0,-1878000000.0,-691000000.0,-691000000.0,-691000000.0,-691000000.0,-1379000000.0,-1379000000.0,-1379000000.0
AdditionalPaidInCapital / USD,,0.0,0.0,0.0,0.0,6493000000.0,6493000000.0,6493000000.0,6493000000.0,6583000000.0,6583000000.0,6583000000.0
AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue / USD,,24000000.0,52000000.0,81000000.0,114000000.0,24000000.0,52000000.0,81000000.0,114000000.0,34000000.0,70000000.0,92000000.0
AllocatedShareBasedCompensationExpense / USD,,24000000.0,52000000.0,81000000.0,114000000.0,,,,114000000.0,,,
AllocatedShareBasedCompensationExpenseNetOfTax / USD,,16000000.0,41000000.0,66000000.0,91000000.0,,,,91000000.0,,,
AllowanceForDoubtfulAccountsReceivableCurrent / USD,,91000000.0,91000000.0,91000000.0,93000000.0,98000000.0,98000000.0,98000000.0,107000000.0,103000000.0,103000000.0,103000000.0
AllowanceForDoubtfulAccountsReceivableNoncurrent / USD,,31000000.0,31000000.0,31000000.0,31000000.0,30000000.0,30000000.0,30000000.0,30000000.0,5000000.0,5000000.0,5000000.0
AllowanceForDoubtfulAccountsReceivableWriteOffs / USD,,,,,10000000.0,,,,13000000.0,,,
AllowanceForNotesAndLoansReceivableCurrent / USD,,4000000.0,4000000.0,4000000.0,4000000.0,3000000.0,3000000.0,3000000.0,3000000.0,2000000.0,2000000.0,2000000.0
AllowanceForNotesAndLoansReceivableNoncurrent / USD,,6000000.0,6000000.0,6000000.0,6000000.0,5000000.0,5000000.0,5000000.0,5000000.0,4000000.0,4000000.0,4000000.0
AmortizationOfIntangibleAssets / USD,,103000000.0,204000000.0,307000000.0,400000000.0,96000000.0,189000000.0,278000000.0,405000000.0,80000000.0,160000000.0,237000000.0
AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount / shares,,0.0,0.0,0.0,0.0,4000000.0,4000000.0,4000000.0,0.0,4000000.0,4000000.0,4000000.0
AssetRetirementObligation / USD,,,,,274000000.0,,,,267000000.0,,,
Assets / USD,,27539000000.0,27539000000.0,27539000000.0,27539000000.0,32454000000.0,32454000000.0,32454000000.0,32454000000.0,33089000000.0,33089000000.0,33089000000.0
AssetsCurrent / USD,,8318000000.0,8318000000.0,8318000000.0,8318000000.0,9410000000.0,9410000000.0,9410000000.0,9410000000.0,9901000000.0,9901000000.0,9901000000.0
BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1 / USD,,,0.0,-49000000.0,0.0,0.0,-3000000.0,-17000000.0,-65000000.0,,,
BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain / USD,,,,,,,,,,0.0,0.0,0.0
BusinessExitCosts1 / USD,,3000000.0,4000000.0,42000000.0,20000000.0,1000000.0,1000000.0,2000000.0,46000000.0,8000000.0,13000000.0,15000000.0
CapitalExpendituresIncurredButNotYetPaid / USD,,,,,93000000.0,64000000.0,70000000.0,80000000.0,136000000.0,53000000.0,76000000.0,72000000.0
CapitalizedContractCostNet / USD,,,,,204000000.0,,,,213000000.0,,,
CashAndCashEquivalentsAtCarryingValue / USD,,1440000000.0,1440000000.0,1440000000.0,1440000000.0,2494000000.0,2494000000.0,2494000000.0,2494000000.0,2874000000.0,2874000000.0,2874000000.0
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents / USD,,561000000.0,561000000.0,561000000.0,1012000000.0,1451000000.0,1451000000.0,1451000000.0,561000000.0,2506000000.0,2506000000.0,2506000000.0
