Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2018-01-25 00:00:00-05:00,67.8,67.8,67.8,67.8,0,0.0,0.0,0.0
2018-01-26 00:00:00-05:00,67.8,67.8,67.8,67.8,0,0.0,0.0,0.0
2018-01-29 00:00:00-05:00,67.8,67.8,67.8,67.8,0,0.0,0.0,0.0
2018-01-30 00:00:00-05:00,67.8,67.8,67.8,67.8,0,0.0,0.0,0.0
2018-01-31 00:00:00-05:00,67.8,67.8,67.8,67.8,0,0.0,0.0,0.0
2018-02-01 00:00:00-05:00,67.8,67.8,67.8,67.8,0,0.0,0.0,0.0
2018-02-02 00:00:00-05:00,67.8,67.8,67.8,67.8,0,0.0,0.0,0.0
2018-02-05 00:00:00-05:00,67.8,67.8,67.8,67.8,0,0.0,0.0,0.0
2018-02-06 00:00:00-05:00,67.8,67.8,67.8,67.8,0,0.0,0.0,0.0
2018-02-07 00:00:00-05:00,67.8,67.8,67.8,67.8,0,0.0,0.0,0.0
2018-02-08 00:00:00-05:00,67.8,67.8,67.8,67.8,0,0.0,0.0,0.0
2018-02-09 00:00:00-05:00,67.8,67.8,67.8,67.8,0,0.0,0.0,0.0
2018-02-12 00:00:00-05:00,67.8,67.8,67.8,67.8,0,0.0,0.0,0.0
2018-02-13 00:00:00-05:00,67.8,67.8,67.8,67.8,0,0.0,0.0,0.0
2018-02-14 00:00:00-05:00,85.12,85.12,83.32,83.32,225,0.0,0.0,0.0
2018-02-15 00:00:00-05:00,81.72,81.72,81.72,81.72,25,0.0,0.0,0.0
2018-02-16 00:00:00-05:00,81.72,81.72,81.72,81.72,0,0.0,0.0,0.0
2018-02-20 00:00:00-05:00,81.72,81.72,81.72,81.72,0,0.0,0.0,0.0
2018-02-21 00:00:00-05:00,81.52,81.52,81.52,81.52,25,0.0,0.0,0.0
2018-02-22 00:00:00-05:00,81.52,81.52,81.52,81.52,0,0.0,0.0,0.0
2018-02-23 00:00:00-05:00,81.52,81.52,81.52,81.52,0,0.0,0.0,0.0
2018-02-26 00:00:00-05:00,78.28,78.28,78.28,78.28,25,0.0,0.0,0.0
2018-02-27 00:00:00-05:00,78.28,78.28,78.28,78.28,0,0.0,0.0,0.0
2018-02-28 00:00:00-05:00,78.28,78.28,78.28,78.28,0,0.0,0.0,0.0
2018-03-01 00:00:00-05:00,84.88,85.88,84.88,85.88,175,0.0,0.0,0.0
2018-03-02 00:00:00-05:00,88.0,88.0,86.16,86.16,400,0.0,0.0,0.0
2018-03-05 00:00:00-05:00,86.16,86.16,86.16,86.16,0,0.0,0.0,0.0
2018-03-06 00:00:00-05:00,86.16,86.16,86.16,86.16,0,0.0,0.0,0.0
2018-03-07 00:00:00-05:00,86.16,86.16,86.16,86.16,0,0.0,0.0,0.0
2018-03-08 00:00:00-05:00,86.16,86.16,86.16,86.16,100,0.0,0.0,0.0
2018-03-09 00:00:00-05:00,86.16,86.16,86.16,86.16,0,0.0,0.0,0.0
2018-03-12 00:00:00-04:00,80.484,80.484,80.484,80.484,25,0.0,0.0,0.0
2018-03-13 00:00:00-04:00,80.484,80.484,80.484,80.484,0,0.0,0.0,0.0
2018-03-14 00:00:00-04:00,83.2,83.2,83.2,83.2,100,0.0,0.0,0.0
2018-03-15 00:00:00-04:00,83.2,83.2,83.2,83.2,0,0.0,0.0,0.0
2018-03-16 00:00:00-04:00,83.2,83.2,83.2,83.2,0,0.0,0.0,0.0
2018-03-19 00:00:00-04:00,83.2,83.2,83.2,83.2,0,0.0,0.0,0.0
2018-03-20 00:00:00-04:00,83.4,83.4,83.4,83.4,25,0.0,0.0,0.0
