Rank,Company,Symbol,Weight,Price,Change,Percent_Change
1,Nvidia,NVDA,13.74,190.29,1.44,0.76
2,Apple Inc.,AAPL,11.81,269.10,-1.91,-0.71
3,Microsoft,MSFT,10.43,472.19,-0.75,-0.16
4,Amazon,AMZN,7.36,231.88,5.38,2.38
5,Alphabet Inc. (Class A),GOOGL,5.88,316.70,1.55,0.49
6,Alphabet Inc. (Class C),GOOG,5.48,317.19,1.87,0.59
7,Meta Platforms,META,4.95,660.99,10.58,1.63
8,Broadcom Inc.,AVGO,4.83,343.06,-4.56,-1.31
9,"Tesla, Inc.",TSLA,4.50,455.01,16.94,3.87
10,ASML Holding,ASML,1.42,1228.89,65.11,5.59
11,Palantir Technologies,PLTR,1.24,174.80,6.94,4.13
12,Netflix,NFLX,1.16,91.71,0.72,0.79
13,Costco,COST,1.15,871.80,17.30,2.02
14,Advanced Micro Devices Inc.,AMD,1.09,225.16,1.69,0.75
15,Micron Technology,MU,1.06,318.11,2.69,0.85
16,Cisco,CSCO,0.89,75.81,-0.23,-0.30
17,AstraZeneca,AZN,0.83,90.36,-1.21,-1.33
18,Lam Research,LRCX,0.73,196.26,11.20,6.05
19,Applied Materials,AMAT,0.67,285.37,16.50,6.14
20,T-Mobile US,TMUS,0.66,198.97,-0.61,-0.30
21,Shopify,SHOP,0.64,165.42,8.22,5.23
22,Applovin Corp,APP,0.63,626.10,7.78,1.26
23,Linde plc,LIN,0.60,431.10,1.99,0.46
24,Intuitive Surgical,ISRG,0.59,564.20,2.22,0.40
25,Intel,INTC,0.57,40.36,0.98,2.49
26,PepsiCo,PEP,0.57,139.63,-2.60,-1.83
27,Qualcomm,QCOM,0.57,177.83,4.85,2.81
28,KLA Corporation,KLAC,0.53,1359.17,84.70,6.65
29,Intuit,INTU,0.52,632.94,3.48,0.55
30,Booking Holdings,BKNG,0.52,5431.08,107.88,2.03
31,Amgen,AMGN,0.51,319.97,-7.67,-2.34
32,PDD Holdings,PDD,0.50,118.05,2.30,1.99
33,Texas Instruments,TXN,0.49,181.93,4.41,2.48
34,Gilead Sciences,GILD,0.43,117.32,-4.28,-3.52
35,Adobe Inc.,ADBE,0.41,328.96,-4.34,-1.30
36,Analog Devices,ADI,0.41,280.70,6.95,2.54
37,Palo Alto Networks,PANW,0.38,185.25,5.88,3.28
38,Arm Holdings,ARM,0.38,120.15,5.42,4.72
39,Honeywell,HON,0.38,199.91,4.03,2.05
40,CrowdStrike,CRWD,0.35,465.74,12.16,2.68
41,Vertex Pharmaceuticals,VRTX,0.34,447.62,-4.51,-1.00
42,MercadoLibre,MELI,0.33,2161.78,188.08,9.53
43,Constellation Energy,CEG,0.33,350.47,-15.79,-4.31
44,ADP,ADP,0.31,256.25,3.37,1.33
45,Comcast,CMCSA,0.30,28.03,-1.51,-5.12
46,DoorDash,DASH,0.29,228.07,8.28,3.77
47,Starbucks,SBUX,0.29,86.19,2.22,2.65
48,Synopsys,SNPS,0.29,504.75,24.33,5.06
49,Cadence Design Systems,CDNS,0.25,312.32,1.92,0.62
50,Marriott International,MAR,0.25,312.14,-1.27,-0.41
51,Airbnb,ABNB,0.25,136.34,3.33,2.51
52,Regeneron Pharmaceuticals,REGN,0.24,763.80,-12.51,-1.61
53,Marvell Technology,MRVL,0.23,91.82,2.43,2.71
54,O'Reilly Automotive,ORLY,0.23,89.95,-0.39,-0.43
55,Cintas,CTAS,0.22,185.38,0.50,0.27
56,Monster Beverage,MNST,0.22,75.80,-0.36,-0.47
57,Warner Bros. Discovery,WBD,0.21,28.63,0.12,0.42
58,Mondelez International,MDLZ,0.20,53.17,-0.48,-0.90
59,CSX Corporation,CSX,0.20,35.80,-0.47,-1.29
60,Autodesk,ADSK,0.18,292.46,5.73,2.00
61,American Electric Power,AEP,0.18,113.08,-2.73,-2.35
62,Ross Stores,ROST,0.18,184.60,1.85,1.02
63,Fortinet,FTNT,0.18,79.42,1.54,1.97
64,Paccar,PCAR,0.17,111.92,0.36,0.33
65,NXP Semiconductors,NXPI,0.17,229.91,8.63,3.90
66,Thomson Reuters Corporation,TRI,0.17,128.09,1.73,1.37
67,PayPal,PYPL,0.16,59.30,1.16,2.00
68,"Workday, Inc.",WDAY,0.16,208.80,3.01,1.46
69,Idexx Laboratories,IDXX,0.16,677.29,7.30,1.09
70,Electronic Arts,EA,0.15,204.36,-0.05,-0.02
71,Baker Hughes,BKR,0.14,49.36,2.22,4.70
72,MicroStrategy Inc.,MSTR,0.14,167.12,9.96,6.34
73,Axon Enterprise Inc.,AXON,0.14,598.63,35.18,6.24
74,Take-Two Interactive,TTWO,0.14,256.95,5.35,2.13
75,Datadog,DDOG,0.14,134.99,1.22,0.91
76,Fastenal,FAST,0.14,41.18,0.74,1.84
77,Roper Technologies,ROP,0.14,430.63,-3.91,-0.90
78,Exelon,EXC,0.13,42.92,-1.00,-2.27
79,Xcel Energy,XEL,0.13,73.02,-1.66,-2.22
80,Diamondback Energy,FANG,0.12,145.34,-7.00,-4.59
81,Atlassian,TEAM,0.12,154.33,-0.43,-0.28
82,Cognizant,CTSH,0.12,82.24,0.96,1.18
83,Coca-Cola Europacific Partners,CCEP,0.12,87.59,-0.62,-0.70
84,Paychex,PAYX,0.12,108.62,0.02,0.02
85,GE HealthCare,GEHC,0.11,84.20,1.38,1.66
86,Copart,CPRT,0.11,38.17,0.40,1.06
87,Keurig Dr Pepper,KDP,0.11,27.13,-0.61,-2.18
88,Microchip Technology,MCHP,0.11,68.09,3.06,4.70
89,Zscaler,ZS,0.11,225.30,4.73,2.14
